year,month,date,arrival,min,max,modal
2015,July,29,3.00,1920,2200,2200
2015,May,11,3.00,2000,2100,2050
2015,August,18,3.00,2000,2150,2100
2015,August,07,3.00,2000,2200,2100
2015,September,29,3.00,2050,2200,2090
2017,April,29,3.00,2570,2660,2590
2015,April,25,4.00,2000,2100,2050
2015,August,10,4.00,2000,2200,2100
2015,April,23,4.00,2050,2200,2100
2015,September,28,4.00,2080,2090,2090
2015,January,05,4.00,2100,2155,2150
2015,April,27,4.50,2000,2100,2050
2015,August,05,5.00,2000,2200,2100
2015,August,09,5.00,2000,2200,2100
2015,January,10,5.00,2100,2155,2150
2015,August,29,6.00,2000,2100,2050
2015,August,31,6.00,2000,2100,2050
2015,August,12,6.00,2000,2200,2100
2016,May,10,6.00,2100,2300,2200
2016,November,18,6.00,2200,2400,2300
2017,June,23,6.00,2460,2520,2480
2016,June,13,6.50,2100,2300,2200
2015,May,13,7.00,2000,2200,2100
2016,April,30,7.00,2100,2250,2200
2017,June,14,7.00,2460,2540,2480
2015,May,08,7.50,2000,2200,2100
2015,April,07,8.00,1900,2150,2050
2014,October,20,8.00,2000,2150,2100
2015,June,05,8.00,2000,2200,2100
2015,May,16,8.00,2000,2200,2100
2015,June,23,8.00,2000,2200,2100
2015,June,26,8.00,2000,2200,2100
2015,July,28,8.00,2000,2200,2100
2016,May,12,8.00,2100,2250,2200
2016,May,18,8.00,2100,2250,2200
2016,April,07,8.00,2100,2300,2200
2016,June,15,8.00,2100,2300,2200
2016,May,20,8.00,2100,2300,2200
2016,June,22,8.00,2100,2300,2200
2016,January,27,8.00,2200,2250,2250
2016,June,07,8.50,2100,2300,2200
2014,November,19,9.00,2000,2150,2100
2015,May,21,9.00,2000,2200,2100
2015,June,25,9.00,2000,2200,2100
2015,July,31,9.00,2000,2200,2100
2015,September,30,9.00,2080,2200,2150
2016,April,01,9.00,2100,2300,2200
2016,April,04,9.00,2100,2300,2200
2016,October,21,9.00,2400,2450,2440
2015,April,10,10.00,1980,2100,2050
2015,August,17,10.00,2000,2150,2100
2015,August,04,10.00,2000,2200,2100
2015,June,04,10.00,2000,2200,2100
2015,May,14,10.00,2000,2200,2100
2014,October,22,10.00,2000,2200,2100
2015,June,24,10.00,2000,2200,2100
2014,August,14,10.00,2080,2150,2100
2016,June,08,10.00,2100,2300,2200
2017,June,30,10.00,2460,2520,2480
2017,June,06,10.00,2560,2600,2580
2017,April,04,10.00,2570,2650,2580
2014,October,28,11.00,2000,2200,2100
2015,April,02,12.00,1900,2100,2000
2015,May,15,12.00,2000,2200,2100
2014,October,25,12.00,2000,2200,2100
2016,April,25,12.00,2100,2250,2220
2016,June,06,12.00,2100,2300,2200
2016,April,29,12.00,2100,2300,2200
2016,May,30,12.00,2100,2300,2250
2016,October,26,12.00,2300,2470,2350
2016,December,06,12.00,2300,2500,2400
2016,November,08,12.00,2340,2400,2380
2016,December,31,12.50,2550,2600,2575
2015,August,06,13.00,2000,2200,2100
2016,May,17,13.00,2100,2300,2200
2016,May,23,13.00,2100,2300,2200
2015,April,20,14.00,2000,2200,2100
2015,April,13,14.00,2050,2200,2100
2016,May,04,14.00,2100,2250,2200
2016,June,01,14.00,2100,2300,2200
2015,April,01,15.00,1900,2100,2000
2014,November,21,15.00,1900,2100,2000
2015,July,07,15.00,2000,2200,2100
2015,June,08,15.00,2000,2200,2100
2015,July,10,15.00,2000,2200,2100
2015,June,16,15.00,2000,2200,2100
2015,May,19,15.00,2000,2200,2100
2015,July,23,15.00,2000,2200,2100
2014,September,26,15.00,2000,2200,2100
2014,October,27,15.00,2000,2200,2100
2015,April,08,15.00,2050,2200,2150
2016,May,06,15.00,2100,2300,2200
2016,June,18,15.00,2100,2300,2200
2016,May,31,15.00,2100,2300,2200
2016,November,01,15.00,2430,2440,2440
2017,July,01,15.00,2450,2500,2470
2017,July,07,15.00,2460,2500,2480
2017,July,10,15.00,2460,2530,2480
2017,July,25,15.00,2470,2530,2490
2017,July,28,15.00,2480,2530,2490
2017,June,07,15.00,2500,2600,2580
2019,July,16,15.00,2560,2780,2650
2017,May,24,15.00,2570,2640,2590
2014,November,01,16.00,1900,2100,2000
2015,June,18,16.00,2000,2200,2100
2014,September,25,16.00,2000,2200,2100
2015,July,27,16.00,2000,2200,2100
2016,November,30,16.00,2240,2400,2360
2017,June,08,16.00,2460,2500,2480
2017,July,12,16.00,2470,2530,2490
2014,November,04,17.00,2000,2200,2100
2017,June,29,17.00,2460,2520,2480
2015,July,04,18.00,2000,2200,2100
2015,July,13,18.00,2000,2200,2100
2016,September,05,18.00,2100,2300,2200
2016,November,28,18.00,2200,2400,2300
2016,December,08,18.00,2300,2500,2400
2016,November,02,18.00,2400,2460,2440
