year,month,date,arrival,min,max,modal
2017,May,05,3.50,3500,5000,4500
2014,October,27,20.00,2500,5000,3000
2015,May,13,26.00,3500,5000,4500
2017,May,17,30.00,3500,5000,4500
2015,November,28,34.00,3500,5500,4500
2017,April,05,35.00,3500,5000,4500
2017,April,18,35.00,3500,5000,4500
2017,April,21,35.00,3500,5000,4500
2017,July,22,35.00,3500,5000,4500
2016,August,25,35.00,3500,5000,4500
2017,May,26,35.00,3500,5000,4500
2017,June,17,36.00,3500,5000,4500
2017,February,21,36.00,3500,5000,4500
2016,November,11,37.00,3500,5000,4500
2015,July,23,38.00,3500,5000,4500
2014,October,24,40.00,2500,5000,2800
2017,March,08,40.00,3500,5000,4500
2018,March,13,40.00,3500,5000,4500
2018,April,16,40.00,3500,5000,4500
2017,November,17,40.00,3500,5000,4500
2019,June,21,40.00,3500,5000,4500
2019,November,24,40.00,3500,5000,4500
2017,May,03,40.00,3500,5000,4600
2014,December,08,41.00,3100,5000,4200
2019,May,24,43.00,3500,5000,4500
2016,August,11,44.00,3500,5000,4500
2017,July,02,45.00,3500,5000,4500
2018,July,05,45.00,3500,5000,4500
2015,July,13,45.00,3500,5000,4500
2017,April,19,45.00,3500,5000,4500
2017,January,05,46.00,3500,5000,4500
2015,October,09,46.00,3500,5000,4500
2016,July,15,46.00,3500,5000,4500
2019,August,13,47.00,3500,5000,4500
2016,January,08,47.00,3500,5500,4500
2018,March,05,50.00,3500,5000,4500
2018,September,05,50.00,3500,5000,4500
2019,August,07,50.00,3500,5000,4500
2018,February,09,50.00,3500,5000,4500
2019,July,09,50.00,3500,5000,4500
2018,July,10,50.00,3500,5000,4500
2017,September,12,50.00,3500,5000,4500
2018,May,14,50.00,3500,5000,4500
2019,March,15,50.00,3500,5000,4500
2018,January,16,50.00,3500,5000,4500
2018,March,16,50.00,3500,5000,4500
2019,May,17,50.00,3500,5000,4500
2018,January,20,50.00,3500,5000,4500
2018,March,23,50.00,3500,5000,4500
2019,September,24,50.00,3500,5000,4500
2018,January,25,50.00,3500,5000,4500
2018,July,26,50.00,3500,5000,4500
2019,July,26,50.00,3500,5000,4500
2019,March,26,50.00,3500,5000,4500
2018,April,27,50.00,3500,5000,4500
2016,September,29,50.00,3500,5000,4500
2019,October,30,50.00,3500,5000,4500
2014,July,24,15.00,3500,6000,4900
2019,December,04,20.00,3500,5000,4500
2015,September,08,26.00,3500,5000,4500
2015,June,05,28.00,3500,5000,4500
2014,September,11,29.50,3000,3500,3200
2015,August,04,30.00,3500,5000,4500
2015,August,14,30.00,3500,5000,4500
2015,May,16,30.00,3500,5000,4500
2017,March,20,30.00,3500,5000,4500
2015,April,23,30.00,3500,5000,4500
2015,December,16,30.00,3500,5500,4500
2016,April,29,31.00,3500,5000,4500
2016,July,28,34.00,3500,5000,4500
2017,April,09,35.00,3500,5000,4500
2019,July,17,35.00,3500,5000,4500
2019,February,20,35.00,3500,5000,4500
2015,December,08,36.00,3500,5500,4500
2017,May,21,38.00,3500,5000,4500
2016,September,28,38.00,3500,5000,4500
2017,December,07,40.00,3500,5000,4500
2016,October,07,40.00,3500,5000,4500
2018,June,08,40.00,3500,5000,4500
2017,May,11,40.00,3500,5000,4500
2018,July,27,40.00,3500,5000,4500
2017,April,28,40.00,3500,5000,4500
2015,October,31,40.00,3500,5500,4500
2016,September,23,43.00,3500,5000,4500
2018,February,06,45.00,3500,5000,4500
2019,November,08,45.00,3500,5000,4500
2015,July,27,45.00,3500,5000,4500
2016,March,05,46.00,3500,5000,4500
2019,March,11,47.50,3500,5000,4500
2019,April,30,47.50,3500,5000,4500
2019,November,07,50.00,3500,5000,4500
2018,October,09,50.00,3500,5000,4500
2018,May,11,50.00,3500,5000,4500
2019,June,19,50.00,3500,5000,4500
2018,May,25,50.00,3500,5000,4500
2019,July,27,50.00,3500,5000,4500
2018,September,29,50.00,3500,5000,4500
2018,October,30,50.00,3500,5000,4500
2019,March,07,50.00,3500,5500,4500
2019,August,31,53.00,3500,5000,4500
2016,August,16,54.00,3500,5000,4500
2018,January,09,56.00,3500,5000,4500
2018,September,13,56.00,3500,5000,4500
2017,November,14,58.00,3500,5000,4500
2016,January,01,60.00,3500,5500,4500
2017,August,20,65.00,3500,5000,4500
2017,October,06,80.00,3500,5000,4500
2016,November,19,20.00,2200,3000,2500
