year,month,date,arrival,min,max,modal
2016,March,18,3.00,2050,2150,2100
2016,June,08,4.00,1500,1650,1600
2015,September,19,4.00,1900,2000,1950
2015,September,01,4.00,1900,2050,2000
2015,September,10,4.00,1900,2050,2000
2015,August,05,4.00,1900,2100,2000
2015,August,10,4.00,1900,2100,2000
2015,August,20,4.00,1900,2100,2050
2015,November,30,4.00,2050,2150,2100
2015,August,07,4.50,1900,2100,2000
2016,June,16,4.80,1500,1700,1600
2015,August,02,5.00,1900,2100,2000
2015,September,07,6.00,1900,2000,1950
2015,September,15,6.00,1900,2000,1950
2015,August,18,6.00,1900,2050,2000
2015,April,23,6.00,1900,2050,2000
2015,August,09,6.00,1900,2100,2000
2015,June,09,6.00,1900,2100,2000
2016,February,04,6.00,2040,2150,2100
2016,March,17,6.50,2050,2150,2100
2016,March,19,6.50,2050,2150,2100
2015,September,09,7.00,1900,2000,1950
2015,April,27,7.00,1900,2000,1950
2015,April,25,7.00,1900,2050,2000
2015,August,01,7.00,1900,2100,2000
2015,May,13,7.00,1900,2100,2000
2016,May,20,7.00,2000,2150,2100
2016,March,12,7.00,2050,2200,2100
2016,March,22,7.50,2050,2150,2100
2014,November,14,8.00,1800,2000,1900
2014,November,17,8.00,1800,2000,1900
2015,May,08,8.00,1900,2000,1950
2015,August,29,8.00,1900,2000,1950
2015,October,01,8.00,1900,2050,2000
2015,November,02,8.00,1900,2050,2000
2015,November,04,8.00,1900,2050,2000
2015,April,22,8.00,1900,2050,2000
2015,August,31,8.00,1900,2050,2000
2015,June,04,8.00,1900,2100,2000
2015,August,12,8.00,1900,2100,2000
2016,March,04,8.00,2000,2100,2050
2016,May,04,8.00,2000,2100,2050
2016,February,06,8.00,2000,2100,2050
2016,January,08,8.00,2000,2100,2050
2015,November,18,8.00,2000,2100,2050
2016,April,30,8.00,2000,2100,2050
2015,November,28,8.00,2050,2150,2100
2015,December,30,8.00,2050,2150,2100
2016,July,19,8.00,2050,2200,2100
2016,July,20,8.00,2050,2200,2100
2016,August,19,8.00,2050,2200,2150
2015,October,05,9.00,1900,2050,2000
2016,March,15,9.50,2000,2100,2050
2016,July,04,9.70,2000,2150,2050
2014,November,26,10.00,1800,2000,1900
