year,month,date,arrival,min,max,modal
2014,July,05,2.00,3900,4100,4100
2014,June,20,4.00,3850,4100,4100
2014,July,02,4.00,3900,4100,4100
2014,July,14,4.00,3900,4100,4100
2014,June,26,5.00,3800,4200,4100
2014,May,26,20.00,4600,4700,4700
2014,June,07,25.00,4000,4500,4300
2014,June,04,30.00,4000,4500,4300
2014,June,10,30.00,4400,4700,4600
2014,June,06,40.00,4000,4700,4400
2014,June,09,40.00,4500,4700,4600
2014,June,17,45.00,4500,4700,4600
2014,June,14,45.00,4700,4800,4700
2014,January,01,50.00,3900,4000,3900
2014,June,18,55.00,4500,4700,4600
2014,May,30,65.00,8800,9500,9000
2014,June,11,4,700.00,4400,4700,4600
