year,month,date,arrival,min,max,modal
2014,July,03,3.00,5900,7200,6500
2014,July,01,3.00,5900,7200,6800
2014,June,26,4.00,5900,7200,6400
2014,July,05,4.00,6000,7200,6400
2014,June,27,5.00,6000,7200,6800
2014,June,20,6.00,5900,7200,6300
2014,June,25,6.00,5900,7200,6400
2014,July,02,6.00,6000,7200,6400
2014,July,07,6.00,6000,7200,6500
2014,July,10,6.00,6000,7220,6400
2014,June,19,6.00,6300,7500,7000
2014,July,04,8.00,6300,7500,6400
2014,July,08,8.00,6300,7500,6400
2014,May,27,35.00,6800,7400,7000
2014,May,29,36.00,6800,7300,7000
2014,June,02,45.00,6500,7500,7000
2014,May,26,50.00,6300,7500,7000
2014,June,07,60.00,6300,7500,6400
2014,May,31,60.00,6300,7500,7000
2014,May,28,60.00,6800,7200,7000
2014,June,10,68.00,6300,7500,6400
2014,June,05,70.00,6300,7500,6400
2014,June,11,70.00,6300,7500,6400
2014,June,14,70.00,6300,7500,6400
2014,June,16,70.00,6300,7500,6400
2014,June,09,75.00,6300,7500,6400
2014,June,04,75.00,6400,7500,6500
2014,January,01,80.00,5000,7000,5900
2014,June,13,80.00,6400,7200,7000
2014,June,17,80.00,6800,7200,7000
2014,May,30,88.00,6300,7500,7000
2014,June,18,90.00,6300,7500,6400
2014,June,06,90.00,6400,7500,6400
2014,June,12,95.00,6000,7000,6500
