year,month,date,arrival,min,max,modal
2014,June,27,4.00,8900,9500,9100
2014,July,10,4.00,8900,9600,9050
2014,June,19,5.00,8700,9500,9000
2014,July,03,5.00,8900,9600,9000
2014,June,25,5.00,8900,9600,9100
2014,July,04,6.00,8800,9500,9000
2014,July,08,6.00,8800,9500,9000
2014,June,26,6.00,8900,9600,9200
2014,May,27,23.00,8500,10000,9500
2014,May,29,32.00,8500,9800,9500
2014,June,02,35.00,8800,9500,9000
2014,June,14,40.00,8400,9500,9000
2014,May,31,40.00,8500,9800,9500
2014,June,05,40.00,8800,9500,9000
2014,June,11,40.00,8800,9500,9000
2014,May,28,45.00,8500,10000,9500
2014,June,16,45.00,8800,9500,9000
2014,January,01,50.00,7200,7500,7300
2014,June,17,50.00,8500,9500,9000
2014,June,10,55.00,8600,9400,9000
2014,June,04,55.00,8700,9500,9000
2014,June,07,55.00,8700,9500,9000
2014,June,13,60.00,8400,9500,9000
2014,June,09,60.00,8700,9800,9000
2014,June,18,65.00,8700,9400,9000
2014,June,12,70.00,8400,9000,9000
2014,June,06,70.00,8800,9500,9000
