year,month,date,arrival,min,max,modal
2022,February,01,58.00,800,1000,800
2014,October,29,0.40,1800,2000,1900
2015,August,24,2.50,800,1000,900
2014,July,29,3.00,1600,1900,1800
2014,July,25,3.00,1700,1900,1800
2014,July,26,3.00,1700,1900,1800
2016,February,20,4.00,600,700,650
2015,January,13,4.00,600,1000,750
2015,January,10,4.00,650,1000,800
2015,January,06,4.00,700,1020,910
2014,July,30,4.00,1700,1920,1800
2014,July,28,4.00,1700,2000,1800
2014,October,17,4.00,2000,2100,2100
2015,January,09,5.00,600,1000,850
2015,August,08,5.00,700,1000,800
2015,August,03,5.00,700,1000,900
2014,July,17,5.00,1500,1700,1600
2014,October,10,5.00,2000,2200,2100
2014,October,21,5.00,2000,2200,2150
2015,April,18,6.00,450,550,500
2016,January,25,6.00,600,800,700
2015,January,12,6.00,600,1000,750
2016,February,10,6.00,700,800,750
2015,August,07,6.00,700,1000,900
2015,August,21,6.00,750,850,800
2015,August,29,6.00,800,950,850
2015,September,04,6.00,850,950,900
2015,September,07,6.00,850,950,900
2015,September,10,6.00,850,950,900
2015,September,19,6.00,850,950,900
2015,August,31,6.00,850,950,900
2016,April,01,6.00,960,1050,1000
2016,April,30,6.00,1000,1200,1100
2014,June,27,6.00,1450,1500,1500
2016,October,31,6.00,1500,1600,1580
2014,July,22,6.00,1500,1700,1600
2015,April,21,7.00,500,650,600
2016,May,04,7.00,1000,1200,1150
2014,June,23,7.00,1600,1800,1800
2016,March,11,7.50,750,900,800
2016,March,16,7.50,850,1000,900
2015,August,01,8.00,700,800,750
2015,September,01,8.00,850,950,900
2015,September,17,8.00,850,950,900
2016,May,03,8.00,1000,1250,1150
2016,May,18,8.00,1200,1400,1300
2016,May,19,8.00,1200,1400,1300
2014,July,24,8.00,1600,1800,1700
2014,July,01,8.00,1600,2200,2000
2014,August,01,8.00,1740,1900,1800
2014,July,15,8.00,1800,2200,1900
2014,October,09,8.00,2000,2100,2000
2016,March,19,8.50,850,1000,900
2016,November,23,9.00,1500,1650,1600
2014,August,14,9.00,1800,2000,1900
2014,August,08,9.50,1700,1900,1800
2016,January,29,10.00,600,750,700
2016,January,27,10.00,600,820,700
2015,January,07,10.00,750,1020,900
2015,September,16,10.00,800,900,850
2016,March,14,10.00,850,1050,950
2014,July,18,10.00,1500,1700,1600
2014,July,23,10.00,1500,1700,1600
2014,July,21,10.00,1500,1750,1600
2014,July,10,10.00,1600,1800,1600
2014,July,11,10.00,1600,1800,1600
2014,July,02,10.00,1600,1800,1650
2014,July,05,10.00,1600,1800,1650
2014,June,25,10.00,1600,1800,1700
2014,August,05,10.00,1700,1800,1800
2014,October,08,10.00,1900,2100,2000
2015,October,06,12.00,800,900,850
2016,March,28,12.00,800,1000,950
2016,March,17,12.00,850,1000,950
2016,April,26,12.00,1000,1200,1100
2016,April,29,12.00,1000,1200,1100
2016,November,11,12.00,1450,1600,1500
2014,August,06,12.00,1600,1800,1700
2016,July,21,12.00,1600,1800,1700
2016,March,15,12.50,850,1000,950
2016,April,04,13.00,950,1100,1050
2016,May,10,13.00,1000,1200,1100
2016,May,05,13.00,1000,1300,1200
2016,June,02,13.00,1200,1400,1300
2016,June,08,13.00,1400,1550,1500
2016,June,07,13.00,1500,1650,1600
2016,February,17,14.00,600,800,700
2016,February,29,14.00,800,950,900
2015,November,17,14.00,900,1000,950
2016,March,31,14.00,950,1050,1000
2016,April,05,14.00,950,1100,1050
2015,December,07,14.00,1000,1200,1100
2016,May,16,14.00,1000,1250,1200
2016,April,28,14.00,1000,1250,1200
2015,November,23,14.00,1100,1250,1200
2016,May,24,14.00,1100,1400,1200
2016,June,04,14.00,1500,1600,1600
2016,November,19,14.00,1500,1680,1600
2014,November,17,14.00,1800,1950,1900
2016,March,08,14.50,800,900,850
2016,February,23,15.00,600,800,700
2016,February,25,15.00,650,800,750
2015,August,11,15.00,700,1000,800
2015,August,04,15.00,700,1000,900
2015,August,19,15.00,750,800,780
2015,October,03,15.00,750,900,800
2015,October,05,15.00,800,900,850
2015,August,27,15.00,800,900,850
