year,month,date,arrival,min,max,modal
2015,February,02,0.01,8040,8174,8107
2015,February,10,0.01,8040,8174,8107
2015,February,11,0.01,8040,8174,8107
2014,May,06,0.10,7867,8000,7934
2014,May,07,0.10,7867,8000,7934
2014,May,19,0.10,7867,8000,7934
2014,February,05,0.10,8200,8334,8267
2014,February,07,0.10,8200,8334,8267
2014,February,01,0.10,8334,8467,8400
2014,January,27,0.10,8334,8467,8400
2014,January,08,0.10,8534,8600,8567
2014,January,10,0.10,8534,8600,8567
2017,May,06,0.16,7236,7772,7504
2017,June,10,0.34,7236,7772,7504
2017,June,01,0.43,7236,7772,7504
2016,July,25,0.43,7303,7906,7604.5
2017,May,13,0.45,7236,7772,7504
2017,May,18,0.45,7236,7772,7504
2016,July,01,0.46,7303,7906,7604.5
2017,July,07,0.49,7236,7772,7504
2017,May,27,0.51,7236,7772,7504
2017,May,11,0.57,7236,7772,7504
2017,June,24,0.58,7236,7772,7504
2017,May,23,0.60,7236,7772,7504
2017,May,17,0.61,7236,7772,7504
2016,June,30,0.63,7303,7906,7604.5
2017,June,19,0.64,7236,7772,7504
2017,June,26,0.64,7236,7772,7504
2017,June,17,0.66,7236,7772,7504
2017,July,03,0.73,7236,7772,7504
2017,June,07,0.73,7236,7772,7504
2017,June,27,0.73,7236,7772,7504
2017,June,08,0.75,7236,7772,7504
2017,May,08,0.75,7236,7772,7504
2017,June,12,0.75,7236,7772,7504
2016,June,16,0.75,7303,7906,7604.5
2017,June,02,0.76,7236,7772,7504
2017,May,12,0.76,7236,7772,7504
2017,July,13,0.76,7236,7772,7504
2017,May,15,0.76,7236,7772,7504
2017,May,22,0.79,7236,7772,7504
2017,July,05,0.82,7236,7772,7504
2016,July,06,0.82,7303,7906,7604.5
2017,July,11,0.84,7236,7772,7504
2017,July,20,0.84,7236,7772,7504
2017,May,31,0.84,7236,7772,7504
2017,May,16,0.90,7236,7772,7504
2017,May,19,0.90,7236,7772,7504
2017,June,03,0.90,7236,7772,7571
2016,July,09,0.90,7303,7906,7604.5
2016,July,29,0.90,7303,7906,7604.5
2015,December,12,0.90,8375,8576,8442
2015,December,10,0.90,8375,8576,8475.5
2017,May,09,0.91,7236,7772,7504
2017,July,08,0.94,7236,7772,7504
2017,June,22,0.96,7236,7772,7504
2016,July,23,0.97,7303,7906,7604.5
2016,June,23,0.97,7303,7906,7604.5
2017,July,12,0.99,7236,7772,7504
2017,July,15,0.99,7236,7772,7504
2017,June,21,0.99,7236,7772,7504
2017,May,25,0.99,7236,7772,7504
2017,May,26,0.99,7236,7772,7504
2016,July,13,0.99,7303,7906,7604.5
2017,June,13,1.00,7236,7772,7504
2017,July,18,1.01,7236,7772,7504
2017,June,14,1.03,7236,7772,7504
2017,July,04,1.04,7236,7772,7504
2017,May,05,1.04,7236,7772,7504
2017,July,10,1.04,7236,7772,7504
2017,May,24,1.04,7236,7772,7504
2016,July,04,1.04,7303,7906,7604.5
2017,June,06,1.06,7236,7772,7504
2017,May,20,1.06,7236,7772,7504
2016,June,28,1.06,7303,7906,7604.5
2016,June,05,1.12,7303,7906,7604.5
2017,June,05,1.13,7236,7772,7504
2017,July,17,1.13,7236,7772,7504
2016,June,15,1.13,7303,7906,7604.5
2017,July,06,1.15,7236,7772,7504
2017,June,09,1.15,7236,7772,7504
2017,May,30,1.15,7236,7772,7504
2017,June,20,1.16,7236,7772,7504
2016,July,07,1.16,7303,7906,7604.5
2016,June,09,1.16,7303,7906,7604.5
2016,August,02,1.18,7303,7906,7604.5
2017,June,16,1.19,7236,7772,7504
2017,June,29,1.19,7236,7772,7504
2017,June,30,1.19,7236,7772,7504
2016,July,27,1.19,7303,7906,7604.5
2016,June,29,1.19,7303,7906,7604.5
2016,May,12,1.19,7303,8375,7604.5
2017,June,15,1.21,7236,7772,7504
2017,June,23,1.21,7236,7772,7504
2016,July,02,1.21,7303,7906,7604.5
2016,May,05,1.27,7303,7906,7604.5
2016,May,18,1.27,7303,7906,7604.5
2016,May,23,1.27,7303,8375,7604.5
2016,June,24,1.27,7303,8375,7604.5
2016,August,05,1.28,7303,7906,7604.5
2016,July,11,1.28,7303,7906,7604.5
