year,month,date,arrival,min,max,modal
2018,March,19,7.30,2100,3200,2400
2018,April,09,0.40,2100,3200,2400
2016,November,19,1.20,2200,2300,2250
2018,April,02,1.30,2100,3200,2400
2017,February,20,1.40,2200,2300,2250
2018,April,14,1.60,2100,3200,2400
2018,March,27,1.60,2100,3200,2400
2018,April,25,1.80,2100,3200,2400
2018,March,04,1.90,2100,3200,2400
2018,June,07,1.90,2450,3400,2920
2018,May,02,2.00,2100,3200,2400
2018,January,07,2.00,2100,3200,2400
2018,May,07,2.00,2100,3200,2400
2018,April,18,2.00,2100,3200,2400
2018,September,07,2.00,2450,3400,2920
2018,October,10,2.00,2450,3400,2920
2018,May,19,2.00,2450,3400,2920
2018,July,28,2.00,2450,3400,2920
2018,May,01,2.10,2100,3200,2400
2018,April,17,2.20,2100,3200,2400
2018,February,19,2.20,2100,3200,2400
2018,December,18,2.20,2450,3400,2920
2018,October,28,2.20,2450,3400,2920
2018,October,26,2.20,2450,3400,2929
2018,December,22,2.30,2450,3400,2920
2018,August,20,2.40,2450,3400,2920
2018,July,14,2.40,2450,3400,2929
2018,March,31,2.50,2100,2800,2400
2018,June,12,2.50,2450,3400,2920
2018,March,03,2.60,2100,3200,2400
2018,October,13,2.60,2450,3400,2920
2018,May,28,2.60,2450,3400,2929
2018,February,26,2.70,2100,3200,2400
2017,January,18,2.70,2200,2300,2250
2018,December,06,2.70,2450,3400,2920
2018,February,27,2.80,2100,3200,2400
2018,June,01,2.80,2450,3400,2920
2018,June,06,2.80,2450,3400,2920
2018,November,08,2.80,2450,3400,2920
2018,September,12,2.80,2450,3400,2920
2018,August,14,2.80,2450,3400,2920
2018,October,17,2.80,2450,3400,2920
2018,October,18,2.80,2450,3400,2920
2018,December,24,2.80,2450,3400,2920
2018,October,30,2.80,2450,3400,2920
2018,May,12,2.90,2100,3200,2400
2018,April,21,2.90,2100,3200,2400
2018,April,28,2.90,2100,3200,2400
2018,November,15,2.90,2450,3400,2920
2018,November,19,2.90,2450,3400,2920
2018,April,10,3.00,2100,3200,2400
2018,May,11,3.00,2100,3200,2400
2018,January,17,3.00,2100,3200,2400
2018,January,19,3.00,2100,3200,2400
2018,January,26,3.00,2100,3200,2400
2018,January,29,3.00,2100,3200,2400
2018,March,29,3.00,2100,3200,2400
2018,August,01,3.00,2450,3400,2920
2018,December,05,3.00,2450,3400,2920
2018,August,09,3.00,2450,3400,2920
2018,June,14,3.00,2450,3400,2920
2018,July,17,3.00,2450,3400,2920
2018,November,21,3.00,2450,3400,2920
2018,August,24,3.00,2450,3400,2920
2018,October,27,3.00,2450,3400,2920
2018,August,28,3.00,2450,3400,2920
2018,November,20,3.10,2450,3400,2920
2018,September,11,3.20,2450,3400,2929
2018,February,10,3.30,2100,3200,2400
2018,April,23,3.30,2100,3200,2400
2018,July,05,3.30,2450,3400,2920
2018,October,08,3.30,2450,3400,2920
2018,June,18,3.30,2450,3400,2920
2018,July,30,3.30,2450,3400,2920
2018,July,31,3.30,2450,3400,2920
