year,month,date,arrival,min,max,modal
2019,October,04,0.60,1800,1940,1900
2019,November,06,0.70,1880,1940,1900
2018,May,04,1.10,2000,2200,2100
2018,April,18,1.20,2000,2200,2100
2018,October,19,1.40,1880,1940,1900
2018,August,31,1.60,1880,1940,1900
2018,April,11,1.60,2000,2200,2100
2018,September,11,1.80,1880,1940,1900
2018,August,26,1.80,1880,1940,1900
2018,March,07,1.80,2000,2200,2100
2018,April,16,1.80,2000,2200,2100
2018,February,19,1.80,2000,2200,2100
2018,September,05,1.90,1880,1940,1900
2018,August,20,1.90,1880,1940,1900
2018,April,04,1.90,2000,2200,2100
2018,April,05,1.90,2000,2200,2100
2018,August,07,2.00,1880,1940,1900
2018,October,15,2.00,1880,1940,1900
2018,October,21,2.00,1880,1940,1900
2018,August,22,2.00,1880,1940,1900
2018,April,14,2.10,2000,2200,2100
2018,November,18,2.20,1880,1940,1900
2018,October,03,2.30,1880,1940,1900
2018,October,14,2.30,1880,1940,1900
2018,December,11,2.40,1880,1940,1900
2018,November,28,2.40,1880,1940,1900
2018,November,30,2.40,1880,1940,1900
2018,February,17,2.40,2000,2200,2100
2018,April,25,2.40,2000,2200,2100
2018,November,03,2.50,1880,1940,1900
2018,December,14,2.60,1880,1940,1900
2018,May,07,2.60,2000,2200,2100
2018,April,12,2.60,2000,2200,2100
2018,December,07,2.70,1880,1940,1900
2018,May,22,2.70,1880,1940,1900
2018,April,19,2.70,2000,2200,2100
2018,August,06,2.80,1880,1940,1900
2018,November,06,2.80,1880,1940,1900
2018,October,12,2.80,1880,1940,1900
2018,November,19,2.80,1880,1940,1900
2018,August,29,2.80,1880,1940,1900
2018,February,05,2.80,2000,2200,2100
2018,May,11,2.80,2000,2200,2100
2018,February,23,2.80,2000,2200,2100
2018,June,18,2.90,1880,1940,1900
2018,September,18,2.90,1880,1940,1900
2018,August,04,3.00,1880,1940,1900
2018,November,08,3.00,1880,1940,1900
2018,October,08,3.00,1880,1940,1900
2018,July,11,3.00,1880,1940,1900
2018,November,21,3.00,1880,1940,1900
2018,December,23,3.00,1880,1940,1900
2018,November,26,3.00,1880,1940,1900
2018,October,30,3.00,1880,1940,1900
2018,January,13,3.00,2000,2200,2100
2018,March,17,3.00,2000,2200,2100
2018,February,22,3.00,2000,2200,2100
2018,March,05,3.10,2000,2200,2100
2018,October,01,3.20,1880,1940,1900
2018,September,29,3.20,1880,1940,1900
2018,March,04,3.20,2000,2200,2100
2018,December,01,3.30,1880,1940,1900
2018,August,16,3.30,1880,1940,1900
2018,March,02,3.30,2000,2200,2100
2018,May,09,3.30,2000,2200,2100
2018,February,12,3.30,2000,2200,2100
2018,May,16,3.30,2000,2200,2100
2018,November,15,3.40,1880,1940,1900
2018,May,14,3.40,2000,2200,2100
2019,December,09,3.50,1880,1940,1900
2018,May,24,3.50,1880,1940,1900
2018,August,27,3.50,1880,1940,1900
2019,March,09,3.60,1880,1940,1900
2018,November,16,3.60,1880,1940,1900
2018,September,27,3.60,1880,1940,1900
2018,October,28,3.60,1880,1940,1900
2018,September,28,3.60,1880,1940,1900
2018,February,13,3.60,2000,2200,2100
2018,April,24,3.60,2000,2200,2100
2018,December,10,3.70,1880,1940,1900
2018,November,11,3.70,1880,1940,1900
2018,July,13,3.70,1880,1940,1900
2018,September,19,3.70,1880,1940,1900
2018,July,23,3.70,1880,1940,1900
2018,April,02,3.70,2000,2200,2100
2018,March,14,3.70,2000,2200,2100
2018,August,03,3.80,1880,1940,1900
2019,March,06,3.80,1880,1940,1900
2018,September,06,3.80,1880,1940,1900
2018,June,07,3.80,1880,1940,1900
2018,November,07,3.80,1880,1940,1900
2018,December,08,3.80,1880,1940,1900
2018,November,10,3.80,1880,1940,1900
2018,August,14,3.80,1880,1940,1900
2018,July,19,3.80,1880,1940,1900
2018,June,19,3.80,1880,1940,1900
2018,June,21,3.80,1880,1940,1900
2018,October,22,3.80,1880,1940,1900
2018,May,26,3.80,1880,1940,1900
2018,August,30,3.80,1880,1940,1900
2019,March,22,3.80,1880,1940,1910
2018,April,03,3.80,2000,2200,2100
2018,January,05,3.80,2000,2200,2100
2018,March,10,3.80,2000,2200,2100
2018,May,12,3.80,2000,2200,2100
2018,February,21,3.80,2000,2200,2100
2018,April,26,3.80,2000,2200,2100
2018,October,06,3.90,1880,1940,1900
2018,July,18,3.90,1880,1940,1900
2018,October,20,3.90,1880,1940,1900
2018,May,21,3.90,1880,1940,1900
2017,December,11,3.90,2000,2200,2100
2018,April,30,3.90,2000,2200,2100
