year,month,date,arrival,min,max,modal
2016,November,07,28.00,7200,10800,9000
2018,March,16,77.00,4900,5500,5200
2017,June,16,3.00,5600,7500,6550
2017,January,29,3.00,7200,10800,9000
2017,July,20,4.00,5600,7500,6550
2019,November,06,5.00,5000,6000,5700
2017,October,10,5.00,5600,7500,6550
2017,April,14,5.00,7200,10800,9000
2017,February,11,9.00,7200,10800,9000
2017,April,18,9.00,7200,10800,9000
2017,March,29,9.00,7200,10800,9000
2017,April,11,10.00,7200,10800,9000
2017,April,17,10.00,7200,10800,9000
2016,December,30,10.00,7200,10800,9000
2018,April,14,11.00,4900,5500,5200
2017,March,14,11.00,7200,10800,9000
2017,April,19,11.00,7200,10800,9000
2017,April,25,11.00,7200,10800,9000
2017,April,04,12.00,7200,10800,9000
2017,March,16,12.00,7200,10800,9000
2017,February,17,12.00,7200,10800,9000
2017,March,18,12.00,7200,10800,9000
2018,May,02,13.00,4900,5500,5200
2018,April,18,13.00,4900,5500,5200
2018,December,06,13.00,5000,5800,5400
2017,May,13,13.00,5600,7500,6550
2017,June,22,13.00,5600,7500,6550
2017,February,01,13.00,7200,10800,9000
2017,March,10,13.00,7200,10800,9000
2017,February,18,13.00,7200,10800,9000
2017,March,22,13.00,7200,10800,9000
2016,December,23,13.00,7200,10800,9000
2017,March,25,13.00,7200,10800,9000
2017,April,26,13.00,7200,10800,9000
2017,March,27,13.00,7200,10800,9000
2017,January,28,13.00,7200,10800,9000
2016,December,31,13.00,7200,10800,9000
2018,November,15,14.00,5000,5800,5400
2018,September,20,14.00,5000,5800,5400
2017,July,13,14.00,5600,7500,6550
2017,January,09,14.00,7200,10800,9000
2017,March,21,14.00,7200,10800,9000
2018,August,27,15.00,5000,5800,5400
2017,May,15,15.00,5600,7500,6550
2017,June,17,15.00,5600,7500,6550
2017,May,22,15.00,5600,7500,6550
2017,March,02,15.00,7200,10800,9000
2016,December,06,15.00,7200,10800,9000
2017,March,09,15.00,7200,10800,9000
2018,January,20,16.00,4900,5500,5200
2018,November,08,16.00,5000,5800,5400
2016,December,29,16.00,7200,10800,9000
2018,April,04,17.00,4900,5500,5200
2018,January,18,17.00,4900,5500,5200
2017,July,05,17.00,5600,7500,6550
2017,June,23,17.00,5600,7500,6550
2017,May,31,17.00,5600,7500,6550
2017,May,03,17.00,7200,10800,9000
2017,April,10,17.00,7200,10800,9000
2017,January,21,17.00,7200,10800,9000
2017,March,30,17.00,7200,10800,9000
2018,May,01,18.00,4900,5500,5200
2018,May,12,18.00,4900,5500,5200
2018,July,07,18.00,5000,5800,5400
2018,June,08,18.00,5000,5800,5400
2018,June,21,18.00,5000,5800,5400
2018,October,28,18.00,5000,5800,5400
2017,July,24,18.00,5600,7500,6550
2017,June,30,18.00,5600,7500,6550
2018,September,24,18.00,6400,7000,6700
2017,February,02,18.00,7200,10800,9000
2016,November,21,18.00,7200,10800,9000
2017,February,27,18.00,7200,10800,9000
2018,April,10,19.00,4900,5500,5200
2018,November,25,19.00,5000,5800,5400
2018,October,27,19.00,5000,5800,5400
2017,May,18,19.00,5600,7500,6550
2017,July,21,19.00,5600,7500,6550
2017,July,27,19.00,5600,7500,6550
2017,March,15,19.00,7200,10800,9000
2018,February,17,20.00,4900,5500,5200
2018,April,23,20.00,4900,5500,5200
2018,May,24,20.00,5000,5200,5150
2018,December,02,20.00,5000,5800,5400
2018,September,05,20.00,5000,5800,5400
2018,December,07,20.00,5000,5800,5400
2018,July,14,20.00,5000,5800,5400
2018,June,15,20.00,5000,5800,5400
2018,June,23,20.00,5000,5800,5400
2018,September,23,20.00,5000,5800,5400
2018,June,25,20.00,5000,5800,5400
2018,November,28,20.00,5000,5800,5400
2017,May,09,20.00,5600,7500,6550
2017,June,20,20.00,5600,7500,6550
2017,March,06,20.00,7200,10800,9000
2016,November,26,20.00,7200,10800,9000
2017,January,31,20.00,7200,10800,9000
2017,June,14,21.00,5600,7500,6550
2017,June,21,21.00,5600,7500,6550
2017,January,03,21.00,7200,10800,9000
2017,January,04,21.00,7200,10800,9000
2017,January,13,21.00,7200,10800,9000
2016,December,22,21.00,7200,10800,9000
2017,March,24,21.00,7200,10800,9000
2017,February,25,21.00,7200,10800,9000
2018,January,02,22.00,4900,5500,5200
2018,April,13,22.00,4900,5500,5200
2018,November,10,22.00,5000,5800,5400
2018,November,12,22.00,5000,5800,5400
2018,July,21,22.00,5000,5800,5400
2018,July,27,22.00,5000,5800,5400
2019,March,19,22.00,5000,5800,5700
2017,July,08,22.00,5600,7500,6550
2017,June,12,22.00,5600,7500,6550
2017,July,19,22.00,5600,7500,6550
2017,May,26,22.00,5600,7500,6550
2017,March,04,22.00,7200,10800,9000
2017,April,05,22.00,7200,10800,9000
2017,April,13,22.00,7200,10800,9000
2016,November,30,22.00,7200,10800,9000
2018,May,04,23.00,4900,5500,5200
2018,September,07,23.00,5000,5800,5400
2018,November,21,23.00,5000,5800,5400
2017,July,11,23.00,5600,7500,6550
2017,May,27,23.00,5600,7500,6550
2017,April,06,23.00,7200,10800,9000
2016,December,16,23.00,7200,10800,9000
2017,February,16,23.00,7200,10800,9000
2018,April,03,24.00,4900,5500,5200
2018,May,05,24.00,4900,5500,5200
2018,April,26,24.00,4900,5500,5200
2018,October,09,24.00,5000,5800,5400
2018,September,26,24.00,5000,5800,5400
2018,October,04,25.00,5000,5800,5400
2018,September,17,25.00,5000,5800,5400
2018,July,19,25.00,5000,5800,5400
2018,August,30,25.00,5000,5800,5400
2017,May,12,25.00,5600,7500,6550
2017,January,06,25.00,7200,10800,9000
2016,December,08,25.00,7200,10800,9000
2017,January,18,25.00,7200,10800,9000
2016,December,26,25.00,7200,10800,9000
2018,February,01,26.00,4900,5500,5200
2018,March,19,26.00,4900,5500,5200
2018,January,27,26.00,4900,5500,5200
2018,October,31,26.00,5000,5800,5400
2017,May,17,26.00,5600,7500,6550
2017,April,08,26.00,7200,10800,9000
2016,December,13,26.00,7200,10800,9000
2017,April,22,26.00,7200,10800,9000
2017,January,23,26.00,7200,10800,9000
2017,January,25,26.00,7200,10800,9000
2016,December,28,26.00,7200,10800,9000
2018,February,10,27.00,4900,5500,5200
2018,November,03,27.00,5000,5800,5400
2018,June,04,27.00,5000,5800,5400
2018,September,11,27.00,5000,5800,5400
2018,October,14,27.00,5000,5800,5400
2018,November,16,27.00,5000,5800,5400
2018,August,22,27.00,5000,5800,5400
2018,September,29,27.00,5000,5800,5400
2017,June,08,27.00,5600,7500,6550
2016,December,03,27.00,7200,10800,9000
2017,February,13,27.00,7200,10800,9000
2016,November,14,27.00,7200,10800,9000
2017,January,16,27.00,7200,10800,9000
2016,December,20,27.00,7200,10800,9000
2016,November,24,27.00,7200,10800,9000
2018,May,09,28.00,4900,5500,5200
2018,February,14,28.00,4900,5500,5200
2018,April,16,28.00,4900,5500,5200
2017,December,18,28.00,4900,5500,5200
2018,February,19,28.00,4900,5500,5200
2018,January,23,28.00,4900,5500,5200
2017,October,29,28.00,4900,6300,5800
2018,October,07,28.00,5000,5800,5400
2018,June,12,28.00,5000,5800,5400
2018,October,15,28.00,5000,5800,5400
2018,November,17,28.00,5000,5800,5400
2018,May,22,28.00,5000,5800,5400
2018,August,26,28.00,5000,5800,5400
2018,October,29,28.00,5000,5800,5400
2018,May,30,28.00,5000,5800,5400
2017,October,04,28.00,5600,7500,6550
2017,August,10,28.00,5600,7500,6550
2017,July,17,28.00,5600,7500,6550
2017,May,19,28.00,5600,7500,6550
2017,May,05,28.00,5600,7500,6650
2017,February,03,28.00,7200,10800,9000
2016,November,17,28.00,7200,10800,9000
2017,January,19,28.00,7200,10800,9000
2017,March,20,28.00,7200,10800,9000
2017,January,30,28.00,7200,10800,9000
2017,December,09,29.00,4900,5500,5200
2018,April,24,29.00,4900,5500,5200
2018,February,24,29.00,4900,5500,5200
2018,August,20,29.00,5000,5800,5400
2017,May,04,29.00,7200,10800,9000
2016,November,04,29.00,7200,10800,9000
2017,January,10,29.00,7200,10800,9000
2016,November,10,29.00,7200,10800,9000
2017,February,23,29.00,7200,10800,9000
2017,February,26,29.00,7200,10800,9000
2018,February,07,30.00,4900,5500,5200
2018,January,25,30.00,4900,5500,5200
2018,January,30,30.00,4900,5500,5200
2018,October,03,30.00,5000,5800,5400
2018,July,18,30.00,5000,5800,5400
2018,June,20,30.00,5000,5800,5400
2017,September,02,30.00,5600,7500,6550
2017,June,07,30.00,5600,7500,6550
2017,June,19,30.00,5600,7500,6550
2017,September,22,30.00,5600,7500,6550
2017,April,03,30.00,7200,10800,9000
2017,January,07,30.00,7200,10800,9000
2016,December,15,30.00,7200,10800,9000
2017,March,28,30.00,7200,10800,9000
2017,April,29,30.00,7200,10800,9000
2018,February,13,31.00,4900,5500,5200
2018,January,13,31.00,4900,5500,5200
2018,March,22,31.00,4900,5500,5200
2018,June,09,31.00,5000,5800,5400
2018,November,18,31.00,5000,5800,5400
2018,December,22,31.00,5000,5800,5400
2017,June,01,31.00,5600,7500,6550
2017,May,29,31.00,5600,7500,6550
2017,March,01,31.00,7200,10800,9000
2016,December,05,31.00,7200,10800,9000
2017,February,08,31.00,7200,10800,9000
2016,November,11,31.00,7200,10800,9000
2016,December,12,31.00,7200,10800,9000
2017,February,14,31.00,7200,10800,9000
2017,February,15,31.00,7200,10800,9000
2016,November,15,31.00,7200,10800,9000
2017,January,17,31.00,7200,10800,9000
2016,November,22,31.00,7200,10800,9000
2016,November,25,31.00,7200,10800,9000
2016,November,29,31.00,7200,10800,9000
2018,February,02,32.00,4900,5500,5200
2018,February,12,32.00,4900,5500,5200
