year,month,date,arrival,min,max,modal
2018,August,27,0.20,1700,2100,1900
2016,June,10,0.40,1150,1250,1200
2016,February,16,0.60,1900,3000,2450
2019,September,25,0.70,1700,2300,2100
2019,March,20,0.80,1200,1600,1500
2016,September,09,1.00,1150,1250,1200
2016,May,17,1.00,1150,1250,1200
2016,July,23,1.00,1150,1250,1200
2016,July,28,1.00,1150,1250,1200
2018,October,05,1.00,1700,2100,1900
2018,November,15,1.00,1700,2100,1900
2018,September,07,1.10,1700,2100,1900
2018,April,23,1.10,3400,4000,3600
2016,May,19,1.20,1150,1250,1200
2016,May,31,1.20,1150,1250,1200
2016,February,19,1.20,1900,3000,2450
2019,December,07,1.20,5600,6100,6000
2016,June,02,1.30,1150,1250,1200
2016,June,13,1.30,1150,1250,1200
2016,September,20,1.30,1150,1250,1200
2016,June,23,1.30,1150,1250,1200
2016,October,26,1.30,1150,1250,1200
2016,July,30,1.30,1150,1250,1200
2018,October,14,1.30,1700,2100,1900
2018,April,13,1.30,3400,4000,3600
2016,June,20,1.40,1150,1250,1200
2016,August,05,1.50,1150,1250,1200
2016,August,08,1.50,1150,1250,1200
2016,July,08,1.50,1150,1250,1200
2016,June,11,1.50,1150,1250,1200
2016,June,16,1.50,1150,1250,1200
2016,August,19,1.50,1150,1250,1200
2016,June,25,1.50,1150,1250,1200
2016,August,26,1.50,1150,1250,1200
2016,July,26,1.50,1150,1250,1200
2016,August,30,1.50,1150,1250,1200
2018,October,07,1.50,1700,2100,1900
2018,September,27,1.50,1700,2100,1900
2016,July,02,1.60,1150,1250,1200
2016,May,02,1.60,1150,1250,1200
2016,October,22,1.60,1150,1250,1200
2016,May,24,1.60,1150,1250,1200
2018,June,05,1.60,1400,1500,1450
2018,September,24,1.60,1700,2100,1900
2016,June,08,1.70,1150,1250,1200
2016,September,15,1.70,1150,1250,1200
2016,July,18,1.70,1150,1250,1200
2018,December,28,1.70,1700,2100,1900
2018,May,01,1.70,3400,4000,3600
2018,May,14,1.70,3400,4000,3600
2016,August,12,1.80,1150,1250,1200
2016,May,12,1.80,1150,1250,1200
2016,April,18,1.80,1150,1250,1200
2016,May,21,1.80,1150,1250,1200
2016,July,22,1.80,1150,1250,1200
2018,December,01,1.80,1700,2100,1900
2018,July,16,1.80,1700,2100,1900
2018,August,21,1.80,1700,2100,1900
2018,May,04,1.80,3400,4000,3600
2018,April,09,1.80,3400,4000,3600
2016,May,26,1.90,1150,1250,1200
2018,June,12,1.90,1400,1500,1450
2018,June,22,1.90,1400,1500,1450
2018,June,27,1.90,1400,1500,1450
2018,May,09,1.90,3400,4000,3600
2016,June,22,2.00,1150,1250,1200
2018,June,13,2.00,1400,1500,1450
2018,December,15,2.00,1700,2100,1900
2018,November,27,2.00,1700,2100,1900
2018,August,29,2.00,1700,2100,1900
2018,May,03,2.00,3400,4000,3600
2018,April,27,2.00,3400,4000,3600
2018,March,27,2.00,3400,4000,3600
2016,August,02,2.10,1150,1250,1200
2016,September,05,2.10,1150,1250,1200
2016,June,06,2.10,1150,1250,1200
2016,August,09,2.10,1150,1250,1200
2016,July,11,2.10,1150,1250,1200
2016,July,13,2.10,1150,1250,1200
2016,September,17,2.10,1150,1250,1200
2016,October,21,2.10,1150,1250,1200
2016,February,29,2.10,1900,3000,2450
2018,March,13,2.10,3400,4000,3600
2016,June,14,2.20,1150,1250,1200
2016,October,24,2.20,1150,1250,1200
2018,November,04,2.20,1700,2100,1900
2018,October,19,2.20,1700,2100,1900
2017,October,31,2.20,2500,3100,2800
2018,January,11,2.20,3400,4000,3600
2018,March,12,2.20,3400,4000,3600
2018,February,14,2.20,3400,4000,3600
2018,January,18,2.20,3400,4000,3600
2018,March,30,2.20,3400,4000,3600
2016,June,04,2.30,1150,1250,1200
2016,May,07,2.30,1150,1250,1200
2016,June,09,2.30,1150,1250,1200
2016,May,10,2.30,1150,1250,1200
2016,July,19,2.30,1150,1250,1200
2016,April,20,2.30,1150,1250,1200
2016,May,30,2.30,1150,1250,1200
2018,June,09,2.30,1400,1500,1450
2018,February,27,2.30,3400,4000,3600
2018,December,24,2.40,1700,2100,1900
2016,May,04,2.50,1150,1250,1200
2016,October,12,2.50,1150,1250,1200
2016,October,17,2.50,1150,1250,1200
2016,May,20,2.50,1150,1250,1200
2016,August,23,2.50,1150,1250,1200
2016,June,27,2.50,1150,1250,1200
2018,June,08,2.50,1400,1500,1450
2018,November,01,2.50,1700,2100,1900
2018,July,12,2.50,1700,2100,1900
2018,November,17,2.50,1700,2100,1900
2018,December,18,2.50,1700,2100,1900
2018,December,23,2.50,1700,2100,1900
2018,October,29,2.50,1700,2100,1900
2016,February,10,2.50,1900,3000,2450
2016,February,18,2.50,1900,3000,2450
2018,April,02,2.50,3400,4000,3600
2018,March,16,2.50,3400,4000,3600
2016,June,01,2.60,1150,1250,1200
2016,August,11,2.60,1150,1250,1200
2016,October,19,2.60,1150,1250,1200
2018,June,26,2.60,1400,1500,1450
2018,May,26,2.60,1400,1500,1450
2018,November,11,2.60,1700,2100,1900
2018,October,22,2.60,1700,2100,1900
2016,August,18,2.70,1150,1250,1200
2016,September,21,2.70,1150,1250,1200
2016,July,27,2.70,1150,1250,1200
2016,June,30,2.70,1150,1250,1200
2018,November,02,2.70,1700,2100,1900
2018,September,03,2.70,1700,2100,1900
2018,July,05,2.70,1700,2100,1900
2018,September,11,2.70,1700,2100,1900
2018,August,13,2.70,1700,2100,1900
2018,September,17,2.70,1700,2100,1900
2018,September,20,2.70,1700,2100,1900
2018,November,22,2.70,1700,2100,1900
2018,April,04,2.70,3400,4000,3600
2018,April,05,2.70,3400,4000,3600
2018,May,05,2.70,3400,4000,3600
2018,January,10,2.70,3400,4000,3600
2016,October,03,2.80,1150,1250,1200
2016,July,06,2.80,1150,1250,1200
2016,August,25,2.80,1150,1250,1200
2018,June,02,2.80,1400,1500,1450
2018,November,09,2.80,1700,2100,1900
2018,November,12,2.80,1700,2100,1900
2018,May,10,2.80,3400,4000,3600
2018,May,15,2.80,3400,4000,3600
2018,April,21,2.80,3400,4000,3600
2018,April,25,2.80,3400,4000,3600
2016,August,06,2.90,1150,1250,1200
2016,October,14,2.90,1150,1250,1200
2016,September,23,2.90,1150,1250,1200
2016,September,26,2.90,1150,1250,1200
2016,April,30,2.90,1150,1250,1200
2018,May,30,2.90,1400,1500,1450
2018,December,14,2.90,1700,2100,1900
2018,August,18,2.90,1700,2100,1900
2016,April,06,2.90,1900,3000,2450
2016,March,23,2.90,1900,3000,2450
2016,September,01,3.00,1150,1250,1200
2016,August,03,3.00,1150,1250,1200
2016,July,03,3.00,1150,1250,1200
2016,October,04,3.00,1150,1250,1200
2016,May,06,3.00,1150,1250,1200
2016,September,06,3.00,1150,1250,1200
2016,August,10,3.00,1150,1250,1200
2016,August,14,3.00,1150,1250,1200
2016,July,15,3.00,1150,1250,1200
2016,June,15,3.00,1150,1250,1200
2016,June,18,3.00,1150,1250,1200
2016,September,19,3.00,1150,1250,1200
2016,April,25,3.00,1150,1250,1200
2018,June,15,3.00,1400,1500,1450
2018,November,10,3.00,1700,2100,1900
2018,January,05,3.00,3400,4000,3600
2018,April,12,3.00,3400,4000,3600
2017,December,20,3.00,3400,4000,3600
2018,March,26,3.00,3400,4000,3600
2016,June,03,3.10,1150,1250,1200
2016,April,12,3.10,1150,1250,1200
2016,May,16,3.10,1150,1250,1200
2016,October,18,3.10,1150,1250,1200
2016,May,25,3.10,1150,1250,1200
2016,June,28,3.10,1150,1250,1200
2016,October,29,3.10,1150,1250,1200
2016,April,02,3.10,1900,3000,2450
2016,March,16,3.10,1900,3000,2450
2018,March,01,3.10,3400,4000,3600
2018,April,06,3.10,3400,4000,3600
2016,May,09,3.20,1150,1250,1200
2016,June,24,3.20,1150,1250,1200
2018,August,02,3.20,1700,2100,1900
2018,September,04,3.20,1700,2100,1900
2018,November,08,3.20,1700,2100,1900
2018,October,15,3.20,1700,2100,1900
2018,August,20,3.20,1700,2100,1900
2016,February,20,3.20,1900,3000,2450
2018,April,10,3.20,3400,4000,3600
2017,December,23,3.20,3400,4000,3600
2016,June,21,3.30,1150,1250,1200
2016,July,25,3.30,1150,1250,1200
2018,October,06,3.30,1700,2100,1900
2018,October,13,3.30,1700,2100,1900
2018,October,31,3.30,1700,2100,1900
2016,February,15,3.30,1900,3000,2450
2018,June,16,3.40,1400,1500,1450
2018,October,01,3.40,1700,2100,1900
2018,December,20,3.40,1700,2100,1900
2018,December,22,3.40,1700,2100,1900
2018,October,27,3.40,1700,2100,1900
2016,March,03,3.40,1900,3000,2450
2017,November,15,3.40,2500,3100,2800
2016,June,05,3.50,1150,1250,1200
2016,May,13,3.50,1150,1250,1200
2016,July,20,3.50,1150,1250,1200
2016,October,20,3.50,1150,1250,1200
2016,April,28,3.50,1150,1250,1200
2016,July,29,3.50,1150,1250,1200
2019,March,19,3.50,1200,1600,1500
2018,May,19,3.50,1400,1500,1450
2018,December,06,3.50,1700,1800,1750
2018,November,06,3.50,1700,2100,1900
2018,November,16,3.50,1700,2100,1900
2018,October,20,3.50,1700,2100,1900
2016,March,12,3.50,1900,3000,2450
2016,February,13,3.50,1900,3000,2450
2018,January,29,3.50,3400,4000,3600
2016,September,08,3.60,1150,1250,1200
2016,September,10,3.60,1150,1250,1200
2016,May,11,3.60,1150,1250,1200
2016,April,19,3.60,1150,1250,1200
2016,April,22,3.60,1150,1250,1200
2018,June,04,3.60,1400,1500,1450
2018,August,10,3.60,1700,2100,1900
2018,December,12,3.60,1700,2100,1900
2018,July,14,3.60,1700,2100,1900
2018,September,19,3.60,1700,2100,1900
2018,July,23,3.60,1700,2100,1900
2018,March,11,3.60,3400,4000,3600
2018,April,14,3.60,3400,4000,3600
2016,September,02,3.70,1150,1250,1200
2018,June,19,3.70,1400,1500,1450
2018,December,13,3.70,1700,2100,1900
2018,August,17,3.70,1700,2100,1900
2018,November,21,3.70,1700,2100,1900
2018,August,25,3.70,1700,2100,1900
2018,November,29,3.70,1700,2100,1900
2018,May,12,3.70,3400,4000,3600
2019,October,19,3.70,4600,4900,4800
2016,June,07,3.80,1150,1250,1200
2016,July,12,3.80,1150,1250,1200
2016,August,16,3.80,1150,1250,1200
2016,July,16,3.80,1150,1250,1200
2016,May,18,3.80,1150,1250,1200
2016,October,25,3.80,1150,1250,1200
2018,May,31,3.80,1400,1500,1450
2018,September,18,3.80,1700,2100,1900
2018,August,24,3.90,1700,2100,1900
2018,August,31,3.90,1700,2100,1900
2016,March,19,3.90,1900,3000,2450
2016,February,22,3.90,1900,3000,2450
2016,March,31,3.90,1900,3000,2450
2018,April,07,3.90,3400,4000,3600
2018,April,18,3.90,3400,4000,3600
2016,July,01,4.00,1150,1250,1200
2016,August,04,4.00,1150,1250,1200
2016,October,07,4.00,1150,1250,1200
2016,September,12,4.00,1150,1250,1200
2016,August,20,4.00,1150,1250,1200
2016,June,29,4.00,1150,1250,1200
2019,March,30,4.00,1200,1600,1500
2018,June,07,4.00,1400,1500,1450
2018,August,11,4.00,1700,2100,1900
