year,month,date,arrival,min,max,modal
2018,April,16,0.50,1000,1200,1100
2018,April,10,1.00,1000,1200,1100
2018,April,25,1.00,1000,1200,1100
2018,September,07,1.00,1700,1800,1750
2018,August,18,1.00,1700,1800,1750
2018,August,27,1.00,1700,1800,1750
2018,April,24,1.10,1000,1200,1100
2018,January,30,1.10,1000,1200,1100
2018,August,24,1.10,1700,1800,1750
2018,June,12,1.20,1700,1750,1720
2018,October,13,1.20,1700,1800,1750
2018,September,29,1.20,1700,1800,1750
2018,April,26,1.30,1000,1200,1100
2018,September,27,1.30,1700,1800,1750
2018,May,01,1.50,1000,1200,1100
2018,April,21,1.50,1000,1200,1100
2018,March,31,1.50,1000,1200,1100
2018,June,20,1.50,1700,1750,1720
2018,June,15,1.60,1700,1750,1720
2018,December,23,1.60,1700,1800,1750
2018,February,26,1.70,1000,1200,1100
2018,April,27,1.70,1000,1200,1100
2018,June,18,1.70,1700,1750,1720
2018,April,17,1.80,1000,1200,1100
2018,February,23,1.80,1000,1200,1100
2018,April,28,1.80,1000,1200,1100
2018,June,04,1.80,1700,1750,1720
2018,June,06,1.80,1700,1750,1720
2018,August,08,1.80,1700,1800,1750
2018,September,19,1.80,1700,1800,1750
2018,August,30,1.80,1700,1800,1750
2018,July,30,1.80,1700,1800,1750
2018,October,20,1.90,1700,1800,1750
2018,February,08,2.00,1000,1200,1100
2018,May,10,2.00,1000,1200,1100
2016,June,22,2.00,1150,1250,1200
2018,October,06,2.00,1700,1800,1750
2018,September,10,2.00,1700,1800,1750
2018,November,15,2.00,1700,1800,1750
2018,October,18,2.00,1700,1800,1750
2018,September,18,2.00,1700,1800,1750
2018,July,26,2.00,1700,1800,1750
2018,November,29,2.00,1700,1800,1750
2018,February,03,2.10,1000,1200,1100
2018,March,08,2.10,1000,1200,1100
2018,February,15,2.10,1000,1200,1100
2018,March,06,2.20,1000,1200,1100
2018,March,11,2.20,1000,1200,1100
2018,May,14,2.20,1000,1200,1100
2018,April,20,2.20,1000,1200,1100
2018,August,03,2.20,1700,1800,1750
2018,August,10,2.20,1700,1800,1750
2018,November,24,2.20,1700,1800,1750
2018,May,02,2.30,1000,1200,1100
2018,April,23,2.30,1000,1200,1100
2018,July,18,2.30,1700,1800,1750
2018,September,22,2.30,1700,1800,1750
2018,April,03,2.40,1000,1200,1100
2018,April,11,2.40,1000,1200,1100
2018,April,19,2.40,1000,1200,1100
2018,June,07,2.40,1700,1750,1720
2018,November,03,2.40,1700,1800,1750
2018,December,04,2.40,1700,1800,1750
2018,November,05,2.40,1700,1800,1750
2018,December,12,2.40,1700,1800,1750
2018,April,07,2.50,1000,1200,1100
2018,January,26,2.50,1000,1200,1100
2018,March,26,2.50,1000,1200,1100
2018,May,19,2.50,1700,1750,1720
2018,June,28,2.50,1700,1750,1720
2018,July,07,2.50,1700,1800,1750
2018,September,12,2.50,1700,1800,1750
2018,December,14,2.50,1700,1800,1750
2018,August,17,2.50,1700,1800,1750
2018,August,21,2.50,1700,1800,1750
2018,September,25,2.50,1700,1800,1750
2018,August,26,2.50,1700,1800,1750
2018,March,04,2.60,1000,1200,1100
2018,March,28,2.60,1000,1200,1100
