year,month,date,arrival,min,max,modal
2016,December,03,5.00,8200,12000,10700
2016,November,18,5.00,9000,11300,10700
2017,December,23,5.20,8500,10000,9600
2017,December,29,5.20,8500,10000,9600
2016,November,29,5.20,9000,11300,10700
2017,January,23,5.40,8200,11700,10700
2016,December,15,5.40,8200,12000,10700
2017,December,22,5.40,8500,10000,9600
2017,August,04,5.50,8200,11000,10500
2016,December,12,5.50,8200,12000,10700
2017,December,21,5.50,8500,10000,9600
2018,January,19,5.60,8200,11000,10000
2017,December,20,5.60,8500,10000,9600
2017,December,27,5.60,8500,10000,9600
2017,December,28,5.60,8500,10000,9600
2018,January,27,5.80,8200,11000,10000
2016,December,17,5.80,8200,12000,10700
2018,January,09,5.80,8500,10000,9600
2017,December,19,5.80,8500,10000,9600
2017,December,26,5.80,8500,10000,9600
2018,January,14,6.00,8200,11000,10000
2018,April,18,6.00,8200,11000,10000
2018,January,18,6.00,8200,11000,10000
2018,February,20,6.00,8200,11000,10000
2018,March,21,6.00,8200,11000,10000
2018,January,26,6.00,8200,11000,10000
2017,August,05,6.00,8200,11000,10500
2017,July,05,6.00,8200,11700,10700
2017,February,16,6.00,8200,11700,10700
2017,January,21,6.00,8200,11700,10700
2017,January,25,6.00,8200,11700,10700
2017,April,26,6.00,8200,11700,10700
2017,May,26,6.00,8200,11700,10700
2017,March,28,6.00,8200,11700,10700
2016,December,02,6.00,8200,12000,10700
2016,December,05,6.00,8200,12000,10700
2016,December,13,6.00,8200,12000,10700
2017,October,15,6.00,8300,10000,9500
2017,November,16,6.00,8300,10000,9500
2017,October,16,6.00,8300,10000,9500
2018,January,04,6.00,8500,10000,9600
2017,December,17,6.00,8500,10000,9600
2017,December,18,6.00,8500,10000,9600
2017,December,25,6.00,8500,10000,9600
2016,November,22,6.00,9000,11300,10700
2016,November,28,6.00,9000,11300,10700
2018,January,13,6.20,8200,11000,10000
2018,January,17,6.20,8200,11000,10000
2018,March,20,6.20,8200,11000,10000
2017,August,03,6.20,8200,11000,10500
2017,August,18,6.20,8200,11000,10500
2017,July,04,6.20,8200,11700,10700
2017,February,13,6.20,8200,11700,10700
2017,February,15,6.20,8200,11700,10700
2017,March,27,6.20,8200,11700,10700
2017,June,30,6.20,8200,11700,10700
2016,December,09,6.20,8200,12000,10700
2016,December,21,6.20,8200,12000,10700
2017,November,15,6.20,8300,10000,9500
2018,January,08,6.20,8500,10000,9600
2017,December,16,6.20,8500,11500,9600
2016,November,20,6.20,9000,11300,10700
2016,December,08,6.40,8200,12000,10700
2016,December,16,6.40,8200,12000,10700
2016,December,20,6.40,8200,12000,10700
2017,December,15,6.40,8500,11500,9600
2018,January,12,6.50,8200,11000,10000
2018,March,19,6.50,8200,11000,10000
2018,January,25,6.50,8200,11000,10000
2017,August,06,6.50,8200,11000,10500
2017,August,11,6.50,8200,11000,10500
2017,January,19,6.50,8200,11700,10700
2016,December,04,6.50,8200,12000,10700
2017,November,14,6.50,8300,10000,9500
2017,December,14,6.50,8500,11500,9600
2018,January,16,6.60,8200,11000,10000
2017,August,02,6.60,8200,11000,10500
2017,August,16,6.60,8200,11000,10500
2017,February,12,6.60,8200,11700,10700
2017,April,25,6.60,8200,11700,10700
2017,May,25,6.60,8200,11700,10700
2017,March,26,6.60,8200,11700,10700
2017,June,29,6.60,8200,11700,10700
2017,May,31,6.60,8200,11700,10700
2016,December,07,6.60,8200,12000,11700
2017,September,18,6.60,8300,10000,9500
2018,January,11,6.70,8200,11000,10000
2018,March,18,6.70,8200,11000,10000
2018,January,24,6.70,8200,11000,10000
2017,August,10,6.70,8200,11000,10500
2017,November,13,6.70,8300,10000,9500
2017,September,16,6.70,8300,10000,9500
2017,December,13,6.70,8500,11500,9600
2018,February,19,6.80,8200,11000,10000
2017,March,19,6.80,8200,11700,10700
2018,January,15,7.00,8200,11000,10000
2018,March,17,7.00,8200,11000,10000
2018,February,18,7.00,8200,11000,10000
2018,January,23,7.00,8200,11000,10000
2017,August,01,7.00,8200,11000,10500
2017,August,09,7.00,8200,11000,10500
2017,February,01,7.00,8200,11700,10700
2017,January,02,7.00,8200,11700,10700
2017,February,03,7.00,8200,11700,10700
2017,May,03,7.00,8200,11700,10700
2017,January,04,7.00,8200,11700,10700
2017,May,05,7.00,8200,11700,10700
2017,February,09,7.00,8200,11700,10700
2017,April,12,7.00,8200,11700,10700
2017,February,14,7.00,8200,11700,10700
2017,March,14,7.00,8200,11700,10700
2017,February,17,7.00,8200,11700,10700
2017,March,20,7.00,8200,11700,10700
