year,month,date,arrival,min,max,modal
2016,April,07,0.60,1950,2050,2000
2015,January,02,2.50,1700,1750,1700
2015,September,06,2.60,1650,1750,1700
2014,September,19,2.70,1650,1700,1650
2014,September,18,3.00,1650,1700,1650
2014,September,26,3.00,1650,1700,1650
2014,October,27,3.00,1650,1700,1650
2015,September,05,3.00,1650,1750,1700
2015,August,30,3.00,1650,1750,1700
2014,December,24,3.00,1700,1750,1700
2014,October,26,3.20,1650,1700,1650
2015,September,04,3.20,1650,1750,1700
2014,December,20,3.20,1700,1750,1700
2014,November,21,3.20,1700,1750,1700
2014,November,28,3.20,1700,1750,1700
2015,November,15,3.20,1850,2100,2000
2014,October,22,3.30,1650,1700,1650
2014,September,16,3.40,1600,1700,1650
2015,September,09,3.40,1650,1750,1700
2015,September,25,3.40,1750,1800,1780
2014,November,19,3.50,1650,1700,1650
2014,September,25,3.50,1650,1700,1650
2015,September,08,3.50,1650,1750,1700
2015,August,31,3.50,1650,1750,1700
2015,January,06,3.50,1700,1750,1700
2016,February,05,3.50,1850,2000,1900
2016,February,21,3.50,1850,2000,1900
2015,December,15,3.50,1850,2100,2000
2014,October,12,3.60,1650,1700,1650
2015,September,14,3.60,1650,1750,1700
2015,August,28,3.60,1650,1750,1700
2014,December,03,3.60,1700,1750,1700
2014,December,16,3.60,1700,1750,1700
2014,December,21,3.60,1700,1750,1700
2014,December,22,3.60,1700,1750,1700
2014,November,22,3.60,1700,1750,1700
2014,December,27,3.60,1700,1750,1700
2014,November,29,3.60,1700,1750,1700
2016,February,03,3.60,1850,2000,1900
2016,February,17,3.60,1850,2000,1900
2016,February,23,3.60,1850,2000,1900
2015,November,16,3.60,1850,2100,2000
2015,January,09,3.70,1700,1750,1700
2014,October,09,3.80,1650,1700,1650
2014,November,12,3.80,1650,1700,1650
2015,November,04,3.80,1850,2100,2000
2014,September,08,4.00,1650,1700,1650
2014,November,14,4.00,1650,1700,1650
2014,October,14,4.00,1650,1700,1650
2014,October,19,4.00,1650,1700,1650
2015,July,14,4.00,1650,1700,1680
2015,August,18,4.00,1650,1700,1680
2015,August,21,4.00,1650,1700,1680
2015,September,03,4.00,1650,1750,1700
2015,September,17,4.00,1650,1750,1700
2015,September,18,4.00,1650,1750,1700
2015,August,27,4.00,1650,1750,1700
2015,August,29,4.00,1650,1750,1700
2015,October,06,4.00,1750,1800,1780
2015,October,09,4.00,1750,1800,1780
2015,October,16,4.00,1750,1800,1780
2016,March,02,4.00,1850,2000,1900
2016,February,04,4.00,1850,2000,1900
2016,February,06,4.00,1850,2000,1900
2016,February,08,4.00,1850,2000,1900
