year,month,date,arrival,min,max,modal
2015,September,11,3.00,1820,2100,2040
2017,February,19,10.60,2100,2300,2200
2014,August,14,13.60,1800,2800,2200
2014,August,07,17.00,1800,2800,2200
2015,March,26,17.00,1900,2600,2100
2014,December,18,18.00,1900,2600,2100
2016,October,21,20.00,2100,2500,2480
2016,September,20,21.30,2100,2480,2440
2016,September,16,22.40,2160,2480,2440
2016,October,31,22.80,2100,2500,2480
2016,September,15,23.60,2160,2480,2440
2016,September,19,23.90,2100,2480,2440
2016,October,15,24.80,2100,2500,2480
2016,September,22,24.90,2100,2480,2440
2016,July,07,25.20,2100,2600,2200
2014,November,15,25.70,1800,2800,2200
2016,October,20,25.90,2100,2500,2480
2016,October,14,26.10,2100,2500,2480
2016,October,07,26.20,2100,2500,2460
2016,October,19,26.20,2100,2500,2480
2016,October,26,26.40,2100,2500,2480
2016,September,18,26.40,2160,2480,2440
2016,October,05,26.60,2100,2500,2460
2016,October,17,26.80,2100,2500,2480
2016,September,30,27.00,2100,2480,2460
2016,September,02,27.00,2300,2500,2460
2016,October,13,27.10,2100,2500,2460
2016,October,23,27.10,2100,2500,2480
2016,October,18,27.20,2100,2500,2480
2016,September,13,27.50,2300,2500,2460
2016,September,21,27.60,2100,2480,2440
2016,October,28,27.60,2100,2500,2480
2016,October,12,27.80,2100,2500,2460
2016,October,30,28.00,2100,2500,2480
2016,December,03,28.00,2160,2500,2480
2016,October,03,28.20,2100,2500,2460
2016,October,25,28.20,2100,2500,2480
2016,September,14,28.20,2300,2500,2460
2016,October,02,28.80,2100,2500,2460
2016,October,01,29.00,2100,2480,2460
2016,October,04,29.00,2100,2500,2460
2016,October,24,29.10,2100,2500,2480
2016,December,16,29.20,2160,2300,2250
2016,December,20,30.10,2160,2300,2250
2016,September,28,30.80,2100,2480,2460
2017,August,23,31.00,2200,2700,2600
2017,August,05,31.20,2200,2700,2600
2017,October,21,31.50,2200,2700,2600
2017,August,06,31.80,2200,2700,2600
2016,September,09,31.80,2300,2500,2400
2017,August,20,31.90,2200,2700,2600
2017,August,16,32.00,2200,2700,2600
2017,September,06,32.20,2200,2700,2600
2017,September,14,32.20,2200,2700,2600
2016,April,11,32.50,1900,2200,2000
2017,August,08,32.50,2200,2700,2600
2017,August,14,32.60,2200,2700,2600
2017,August,21,32.60,2200,2700,2600
2017,August,11,32.80,2200,2700,2600
2017,October,20,32.80,2200,2700,2600
2017,August,18,33.00,2200,2700,2600
2017,September,07,33.40,2200,2700,2600
2015,May,28,33.50,1800,2400,1900
2017,August,09,33.60,2200,2700,2600
2017,October,10,33.80,2200,2700,2600
2017,August,07,33.90,2200,2700,2600
2017,November,26,33.90,2200,2780,2600
2016,December,12,34.00,2160,2300,2250
2016,December,15,34.00,2160,2300,2250
2017,August,04,34.20,2200,2700,2600
2017,September,05,34.30,2200,2700,2600
2017,September,15,34.30,2200,2700,2600
2017,August,13,34.40,2200,2700,2600
2017,August,25,34.70,2200,2700,2600
2017,August,10,34.80,2200,2700,2600
2017,October,11,34.80,2200,2700,2600
2017,September,12,35.00,2200,2700,2600
2017,October,23,35.00,2200,2700,2600
2017,October,27,35.00,2200,2700,2600
2017,October,09,35.20,2200,2700,2600
2017,August,22,35.20,2200,2700,2600
2017,October,22,35.20,2200,2700,2600
2017,October,26,35.20,2200,2700,2600
2017,November,27,35.30,2300,2780,2600
2017,September,11,35.60,2200,2700,2600
2017,October,17,35.70,2200,2700,2600
2017,November,03,35.70,2200,3200,2700
2017,October,16,35.80,2200,2700,2600
2017,November,07,35.80,2200,3200,2760
2018,July,11,35.80,2400,2800,2700
2017,July,05,36.20,2100,2480,2300
2017,November,25,36.20,2200,2780,2600
2017,November,02,36.20,2200,3200,2760
2017,October,08,36.30,2200,2700,2600
2017,September,10,36.40,2200,2700,2600
2016,January,05,36.50,1900,2100,2050
2017,September,08,36.50,2200,2700,2600
2016,December,22,36.60,2160,2300,2250
2016,February,16,36.70,1900,2000,1980
2016,December,19,36.80,2160,2300,2250
2018,July,10,36.80,2400,2800,2700
2017,October,06,36.90,2200,2700,2600
2017,October,25,37.10,2200,2700,2600
2017,October,19,37.20,2200,2700,2600
2017,November,01,37.20,2200,3200,2700
2016,September,29,37.30,2100,2480,2460
2017,September,25,37.30,2200,2700,2600
2016,February,19,37.50,1900,2000,1980
2016,June,10,37.70,2200,2400,2250
2017,September,21,37.70,2200,2700,2600
2017,November,06,37.70,2200,3200,2760
2016,February,15,37.80,1900,2000,1980
2017,September,18,37.90,2200,2700,2600
2016,November,28,38.10,2100,2500,2480
2017,July,04,38.20,2100,2480,2300
2016,September,12,38.20,2300,2500,2460
2016,February,02,38.50,1900,2000,1980
2016,February,20,38.50,1900,2200,2000
2017,October,12,38.50,2200,2700,2600
2018,April,18,38.60,2300,2850,2800
2017,September,04,38.70,2200,2700,2600
2017,October,15,38.80,2200,2700,2600
2016,September,26,39.00,2100,2480,2460
2016,July,28,39.00,2100,2600,2200
2016,December,18,39.00,2160,2300,2250
2017,October,04,39.00,2200,2700,2600
2016,December,07,39.20,2160,2300,2250
2017,August,03,39.20,2200,2700,2600
2017,September,20,39.30,2200,2700,2600
2016,February,13,39.50,1900,2000,1980
2017,September,17,39.50,2200,2700,2600
2016,July,16,39.60,2100,2600,2200
2017,September,03,39.60,2200,2700,2600
2016,November,16,39.70,2100,2500,2480
2017,September,24,39.70,2200,2700,2600
2016,July,27,39.80,2100,2600,2200
2017,September,16,39.80,2200,2700,2600
2016,February,21,40.00,1900,2200,2000
2017,August,24,40.00,2200,2700,2600
2017,October,24,40.00,2200,2700,2600
2017,November,13,40.10,2200,3200,2760
2016,February,01,40.20,1900,2000,1980
2017,November,10,40.20,2200,3200,2760
2016,February,06,40.30,1900,2000,1980
2017,November,05,40.90,2200,3200,2760
2016,February,08,41.00,1900,2000,1980
2015,December,27,41.00,1900,2100,2050
2015,November,30,41.00,1900,2100,2050
2017,August,01,41.00,2200,2700,2600
2016,February,17,41.10,1900,2000,1980
2017,October,03,41.20,2200,2700,2600
2018,June,07,41.20,2400,2900,2850
2015,November,15,41.40,1900,2100,2050
2017,September,19,41.40,2200,2700,2600
2017,September,26,41.40,2200,2700,2600
2018,August,06,41.40,2400,2800,2700
2016,November,27,41.50,2100,2500,2480
2016,October,27,41.50,2100,2500,2480
2016,February,09,41.70,1900,2000,1980
2016,June,07,41.70,2100,2400,2250
2018,June,06,41.70,2400,2900,2850
2014,September,27,41.80,1800,2800,2200
2016,February,22,41.90,1900,2200,2000
2017,September,22,41.90,2200,2700,2600
2016,July,15,42.10,2100,2600,2200
2016,July,29,42.10,2100,2600,2200
2016,January,20,42.20,1900,2000,1980
2017,November,08,42.20,2200,3200,2760
2017,November,12,42.20,2200,3200,2760
2016,January,02,42.50,1900,2100,2050
2016,January,04,42.50,1900,2100,2050
2015,November,12,42.50,1900,2100,2050
2015,December,29,42.50,1900,2100,2050
2015,December,12,42.60,1900,2100,2050
2016,December,17,42.60,2160,2300,2250
2017,November,23,42.60,2200,2780,2600
2014,September,16,42.70,1800,2800,2200
2017,October,05,42.70,2200,2700,2600
2016,July,26,42.80,2100,2600,2200
2014,September,13,42.90,1800,2800,2200
2016,February,14,42.90,1900,2000,1980
2016,January,06,42.90,1900,2100,2050
2017,November,21,43.10,2200,3200,2760
2018,June,04,43.10,2400,2900,2850
2015,December,13,43.20,1900,2100,2050
2016,November,18,43.20,2100,2500,2480
2016,March,01,43.30,1900,2200,2000
2016,November,20,43.30,2100,2500,2480
2016,October,29,43.30,2100,2500,2480
2014,September,07,43.40,1800,2800,2200
2017,September,13,43.50,2200,2700,2600
2015,November,14,43.60,1900,2100,2050
2017,June,28,43.60,2100,2480,2300
2017,May,11,43.60,2100,2480,2450
2017,October,02,43.70,2200,2700,2600
2015,December,26,44.00,1900,2100,2050
2016,December,13,44.00,2160,2300,2250
2018,April,17,44.10,2300,2850,2800
2016,February,27,44.20,1900,2200,2000
2016,February,05,44.40,1900,2000,1980
2016,February,03,44.50,1900,2000,1980
2015,December,28,44.50,1900,2100,2050
2016,November,21,44.50,2100,2500,2480
2016,November,23,44.50,2100,2500,2480
2016,July,25,44.50,2100,2600,2200
2016,July,11,44.60,2100,2600,2200
2016,February,11,44.70,1900,2000,1980
2016,November,29,44.80,2100,2500,2480
2017,June,30,45.00,2100,2480,2300
2018,April,16,45.00,2300,2850,2800
2017,June,29,45.10,2100,2480,2300
2016,January,01,45.20,1900,2100,2050
2018,May,29,45.20,2400,2900,2850
2015,December,30,45.30,1900,2100,2050
2015,December,22,45.50,1900,2100,2050
2015,November,27,45.50,1900,2100,2050
2017,June,16,45.50,2100,2480,2300
2018,June,02,45.50,2400,2900,2850
2017,November,17,45.60,2200,3200,2760
2018,April,15,45.60,2300,2850,2800
2016,January,27,45.70,1900,2000,1980
2016,March,23,45.70,1900,2200,2000
2017,January,21,45.70,2100,2300,2200
2016,July,22,45.70,2100,2600,2200
2016,February,18,45.80,1900,2000,1980
2017,June,22,45.80,2100,2480,2300
2016,July,30,45.80,2100,2600,2200
2016,July,04,45.90,2100,2600,2200
2017,November,16,45.90,2200,3200,2760
2014,October,12,46.00,1800,2800,2200
2014,September,26,46.00,1800,2800,2200
2014,December,24,46.00,1900,2600,2100
2016,July,12,46.00,2100,2600,2200
2016,December,05,46.10,2160,2300,2250
2016,November,22,46.20,2100,2500,2480
2016,February,26,46.30,1900,2200,2000
2017,January,22,46.30,2100,2300,2200
2017,June,23,46.30,2100,2480,2300
2016,July,10,46.30,2100,2600,2200
2016,February,10,46.60,1900,2000,1980
2017,March,04,46.60,2100,2300,2200
2015,November,18,46.70,1900,2100,2050
2015,November,20,46.70,1950,2100,2050
2017,March,13,46.70,2100,2300,2200
2014,October,07,46.80,1800,2800,2200
2017,February,08,46.80,2100,2300,2200
2017,March,17,46.80,2100,2300,2200
2016,June,30,46.80,2100,2600,2200
2014,September,10,46.90,1800,2800,2200
2017,January,10,46.90,2100,2300,2200
2018,February,16,46.90,2300,2780,2600
2014,October,26,47.00,1800,2800,2200
2016,February,07,47.00,1900,2000,1980
2016,January,29,47.00,1900,2000,1980
2015,December,25,47.00,1900,2100,2050
2014,December,01,47.10,1600,2600,2100
2014,December,08,47.10,1600,2600,2100
2016,January,19,47.30,1900,2000,1980
2018,July,25,47.30,2400,2800,2700
2016,December,08,47.40,2160,2300,2250
2017,December,25,47.40,2300,2780,2570
2015,October,17,47.50,1820,2100,2050
2016,January,18,47.50,1900,2000,1980
2016,June,29,47.50,2100,2600,2200
2014,September,09,47.60,1800,2800,2200
2016,February,04,47.60,1900,2000,1980
2015,November,26,47.60,1900,2100,2050
2016,July,03,47.70,2100,2600,2200
2016,December,02,47.90,2160,2500,2480
2014,November,21,48.00,1600,2600,2000
2014,July,26,48.00,1800,2800,2200
2017,May,19,48.00,2100,2480,2300
2017,November,29,48.00,2300,2780,2500
2017,March,08,48.10,2100,2300,2200
2017,March,03,48.20,2100,2300,2200
2016,January,12,48.30,1900,2000,1980
2016,December,14,48.30,2160,2300,2250
2018,July,24,48.30,2400,2800,2700
2017,March,19,48.40,2100,2300,2200
2015,October,27,48.50,1820,2100,2050
2016,January,11,48.50,1900,2000,1980
2015,November,19,48.50,1900,2100,2050
2017,February,21,48.50,2100,2300,2200
2016,December,06,48.50,2160,2300,2250
2014,October,08,48.60,1800,2800,2200
2015,November,13,48.60,1900,2100,2050
2017,February,20,48.60,2100,2300,2200
2017,May,16,48.60,2100,2480,2300
2017,May,17,48.60,2100,2480,2300
2016,July,20,48.60,2100,2600,2200
