year,month,date,arrival,min,max,modal
2014,June,10,0.10,1600,1650,1620
2014,June,24,3.80,1600,1650,1620
2014,February,07,4.00,1630,1660,1650
2014,November,22,4.00,1650,1700,1650
2014,January,27,4.80,1620,1660,1640
2014,January,24,4.90,1600,1620,1610
2014,August,05,5.00,1600,1650,1600
2014,March,31,5.00,1630,1670,1640
2014,January,09,5.20,1630,1650,1640
2014,January,10,5.20,1630,1650,1640
2014,April,10,5.20,1640,1660,1640
2014,December,19,5.20,1650,1700,1650
2016,June,07,5.20,1900,2000,1950
2014,January,28,5.50,1610,1630,1620
2014,July,04,5.60,1600,1650,1610
2014,February,15,5.80,1630,1650,1640
2014,January,21,6.00,1620,1660,1640
2014,February,10,6.00,1630,1650,1640
2014,July,01,6.20,1600,1650,1600
2014,June,25,6.20,1600,1650,1610
2014,June,27,6.20,1600,1650,1620
2014,June,30,6.20,1600,1650,1620
2016,June,10,6.40,1900,2000,1950
2014,February,20,7.00,1630,1650,1640
2014,January,06,7.00,1630,1660,1640
2014,February,12,7.00,1640,1650,1640
2014,February,19,7.00,1640,1660,1640
2016,June,09,7.00,1900,2000,1950
2016,June,14,7.00,1900,2000,1950
2014,March,11,7.20,1620,1660,1650
2014,March,21,8.00,1630,1650,1640
2014,March,24,8.00,1630,1660,1640
2016,June,18,8.00,1900,2000,1950
2016,April,22,8.60,1900,2000,1950
2014,June,05,9.00,1620,1650,1620
2014,January,22,9.00,1620,1660,1640
2014,February,21,9.00,1630,1650,1640
2016,May,30,14.00,1900,2000,1950
2014,June,03,15.00,1600,1610,1600
2014,June,04,15.00,1600,1610,1600
2014,June,09,18.00,1600,1650,1620
2014,June,20,18.00,1600,1650,1620
2014,June,21,18.00,1600,1650,1620
2014,June,23,18.00,1600,1650,1620
2014,May,23,19.00,1600,1610,1600
2014,May,27,19.00,1600,1610,1600
2014,May,19,20.00,1600,1610,1600
2014,May,13,21.00,1600,1610,1600
2014,May,30,21.00,1600,1610,1600
2014,May,14,24.00,1600,1610,1600
2014,August,14,3.00,1600,1650,1600
2015,September,07,3.00,1630,1700,1650
2016,February,05,3.00,1800,1900,1850
2014,September,19,3.20,1600,1650,1600
2014,October,27,3.20,1600,1650,1600
2015,September,25,3.20,1700,1800,1700
2015,November,09,3.20,1800,2000,1900
2015,December,15,3.20,1800,2000,1900
2014,July,21,3.40,1600,1650,1600
2016,September,02,3.40,2100,2150,2120
2015,July,14,3.50,1600,1650,1620
2015,August,21,3.50,1600,1650,1620
2015,January,02,3.50,1650,1700,1650
2015,September,28,3.50,1700,1800,1700
2015,November,12,3.50,1800,2000,1900
2015,December,27,3.50,1800,2000,1900
2015,October,31,3.50,1800,2000,1900
2014,December,20,3.60,1650,1700,1650
