year,month,date,arrival,min,max,modal
2016,July,03,0.50,1500,1550,1530
2016,June,30,0.50,1500,1550,1535
2016,June,16,0.60,1500,1550,1525
2016,June,26,0.60,1500,1580,1540
2016,April,30,0.70,1500,1550,1525
2014,August,02,1.00,1200,1400,1300
2014,July,21,1.00,1200,1400,1300
2014,July,29,1.00,1200,1400,1300
2014,August,14,1.00,1200,1500,1420
2016,May,19,1.00,1500,1520,1510
2016,June,02,1.00,1500,1550,1525
2016,June,23,1.00,1500,1580,1540
2014,August,05,1.20,1200,1400,1300
2014,August,08,1.20,1200,1400,1300
2014,August,12,1.20,1200,1400,1300
2014,July,14,1.20,1200,1400,1300
2014,July,24,1.20,1200,1400,1300
2014,July,30,1.20,1200,1400,1300
2014,August,13,1.20,1200,1500,1430
2014,August,06,1.40,1200,1400,1300
2014,July,23,1.40,1200,1400,1300
2014,July,27,1.40,1200,1400,1300
2014,July,31,1.40,1200,1400,1300
2016,May,15,1.50,1520,1550,1535
2014,August,01,1.70,1200,1400,1300
2014,July,22,1.70,1200,1400,1300
2014,July,26,1.70,1200,1400,1300
2014,August,07,1.80,1200,1400,1300
2014,July,13,1.80,1200,1400,1300
2014,July,20,1.80,1200,1400,1300
2014,July,28,1.80,1200,1400,1300
2014,July,12,2.00,1200,1400,1300
2016,May,22,2.00,1500,1550,1525
2014,July,19,2.70,1200,1400,1300
2014,July,10,3.00,1200,1400,1300
2016,May,08,3.00,1500,1525,1513
2014,July,08,3.40,1400,1400,1400
2016,April,28,3.50,1500,1550,1525
2014,July,17,3.80,1200,1400,1300
2014,July,09,3.80,1200,1400,1400
2014,July,04,4.10,1200,1400,1400
2014,July,05,4.80,1200,1400,1400
2014,September,11,5.20,1200,1400,1300
2014,June,06,7.00,1620,1650,1620
2014,September,10,8.00,1200,1400,1300
2016,April,21,15.00,1500,1560,1530
2015,January,27,15.00,1650,1700,1650
2014,September,04,16.00,1650,1700,1650
2017,March,23,20.00,1575,1600,1590
2015,April,12,21.00,1650,1700,1670
2016,March,31,30.00,1500,1550,1525
2014,July,25,31.00,1200,1400,1300
2016,March,27,50.00,1550,1562,1556
