year,month,date,arrival,min,max,modal
2017,February,01,4.20,10000,11300,11000
2017,February,08,4.50,10000,11300,11000
2017,February,13,4.50,10000,11300,11000
2017,January,27,4.60,10000,11300,11000
2017,February,12,4.80,10000,11300,11000
2017,February,04,5.00,10000,11300,11000
2017,February,07,5.00,10000,11300,11000
2017,January,08,5.00,13000,13300,13200
2016,December,30,5.00,13000,13300,13200
2016,November,04,5.00,14600,14800,14750
2017,January,03,5.20,13000,13300,13200
2017,January,22,5.20,13000,13300,13200
2017,January,02,5.40,13000,13300,13200
2017,January,25,5.50,10000,11300,11000
2017,January,05,5.60,13000,13300,13200
2017,January,07,6.00,13000,13300,13200
2017,January,20,6.00,13000,13300,13200
2017,January,01,6.20,13000,13300,13200
2017,January,15,6.50,13000,13300,13200
2017,January,12,7.00,13000,13300,13200
2017,January,19,7.00,13000,13300,13200
2017,January,13,8.20,13000,13300,13200
2017,January,16,8.20,13000,13300,13200
2016,October,24,32.00,9700,9800,9750
2016,October,21,36.00,9700,9800,9750
2016,October,20,38.00,9700,9800,9750
2016,October,28,38.00,9700,9800,9750
2016,October,19,40.00,9700,9800,9750
2016,October,31,40.00,9700,9800,9750
2016,November,02,112.00,9700,9800,9750
2016,November,01,120.00,9700,9800,9750
2018,August,03,3.00,5400,5600,5500
2018,August,20,3.00,5700,6000,5800
2019,December,26,3.20,6000,6500,6100
2018,September,19,3.30,5700,6000,5800
2019,December,25,3.40,6000,6500,6100
2018,July,22,3.50,5400,5600,5500
2018,August,02,3.60,5400,5600,5500
2018,September,18,3.60,5700,6000,5800
2018,August,19,3.60,5700,6000,5800
2018,November,29,3.60,6000,6400,6100
2019,December,24,3.60,6000,6500,6100
2019,June,20,3.80,5800,6100,6000
2019,June,21,3.80,5800,6100,6000
2019,December,30,3.80,6000,6500,6100
2018,November,07,4.00,5300,6200,5800
2018,August,01,4.00,5400,5600,5500
2018,July,21,4.00,5400,5600,5500
2018,September,17,4.00,5700,6000,5800
2018,August,18,4.00,5700,6000,5800
2019,June,19,4.00,5800,6100,6000
2018,December,13,4.00,6000,6400,6100
2018,November,28,4.00,6000,6400,6100
2019,December,23,4.00,6000,6500,6100
2019,December,27,4.00,6000,6500,6100
2019,December,29,4.00,6000,6500,6100
2019,May,14,4.00,6100,6600,6150
2018,November,06,4.20,5300,6200,5800
2018,July,19,4.20,5400,5600,5500
2018,July,20,4.20,5400,5600,5500
2018,August,17,4.20,5700,6000,5800
2019,June,18,4.20,5800,6100,6000
2019,June,24,4.20,5800,6100,6000
2018,December,11,4.20,6000,6400,6100
2019,May,13,4.20,6100,6600,6150
2019,February,04,4.40,6000,6500,6100
2018,November,05,4.50,5300,6200,5800
2018,October,28,4.50,5300,6200,5800
2018,July,18,4.50,5400,5600,5500
2018,September,15,4.50,5700,6000,5800
2018,August,16,4.50,5700,6000,5800
2019,June,02,4.50,5800,6100,6000
2019,June,16,4.50,5800,6100,6000
2019,June,17,4.50,5800,6100,6000
2019,June,23,4.50,5800,6100,6000
2018,December,10,4.50,6000,6400,6100
2018,November,27,4.50,6000,6400,6100
2019,February,20,4.50,6000,6500,6100
2017,May,13,4.50,7200,8000,7500
2018,July,17,4.60,5400,5600,5500
2018,July,27,4.60,5400,5600,5500
2019,June,14,4.60,5800,6100,6000
2019,June,15,4.60,5800,6100,6000
2019,July,16,4.60,5800,6100,6000
2019,July,17,4.60,5800,6100,6000
2019,February,03,4.60,6000,6500,6100
2019,February,19,4.60,6000,6500,6100
2019,December,22,4.60,6000,6500,6100
2019,May,12,4.60,6100,6600,6150
2018,October,26,4.80,5300,6200,5800
2018,July,24,4.80,5400,5600,5500
2018,July,25,4.80,5400,5600,5500
2018,July,26,4.80,5400,5600,5500
2018,September,14,4.80,5700,6000,5800
2019,June,01,4.80,5800,6100,6000
2019,June,13,4.80,5800,6100,6000
2019,July,15,4.80,5800,6100,6000
2019,December,07,4.80,5800,6500,6100
2018,December,06,4.80,6000,6400,6100
2018,December,07,4.80,6000,6400,6100
2019,February,17,4.80,6000,6500,6100
2019,December,21,4.80,6000,6500,6100
2019,February,24,4.80,6000,6500,6100
2018,October,15,5.00,5300,6200,5800
2018,October,16,5.00,5300,6200,5800
2018,July,11,5.00,5400,5600,5500
2018,July,16,5.00,5400,5600,5500
2018,July,23,5.00,5400,5600,5500
2018,August,14,5.00,5700,6000,5800
2018,August,15,5.00,5700,6000,5800
2019,June,12,5.00,5800,6100,6000
2019,July,14,5.00,5800,6100,6000
2019,May,31,5.00,5800,6100,6000
2019,December,05,5.00,5800,6500,6100
2019,January,01,5.00,6000,6400,6100
2018,December,03,5.00,6000,6400,6100
2018,November,22,5.00,6000,6400,6100
2018,December,23,5.00,6000,6400,6100
2019,February,01,5.00,6000,6500,6100
2019,February,16,5.00,6000,6500,6100
2019,December,20,5.00,6000,6500,6100
2019,February,21,5.00,6000,6500,6100
2019,February,22,5.00,6000,6500,6100
2019,February,23,5.00,6000,6500,6100
2019,January,24,5.00,6000,6500,6100
2019,May,10,5.00,6100,6600,6150
2017,January,24,5.00,13000,13300,13200
2018,November,01,5.20,5300,6200,5800
2018,October,24,5.20,5300,6200,5800
2018,September,11,5.20,5700,6000,5800
2019,June,11,5.20,5800,6100,6000
2019,July,13,5.20,5800,6100,6000
2019,December,04,5.20,5800,6500,6100
2018,December,02,5.20,6000,6400,6100
2018,November,21,5.20,6000,6400,6100
2018,December,22,5.20,6000,6400,6100
2019,February,15,5.20,6000,6500,6100
2019,December,18,5.20,6000,6500,6100
2019,December,19,5.20,6000,6500,6100
2019,January,23,5.20,6000,6500,6100
2019,May,09,5.20,6100,6600,6150
2019,February,14,5.40,6000,6500,6100
2019,January,22,5.40,6000,6500,6100
2018,October,23,5.50,5300,6200,5800
2018,October,12,5.50,5700,6000,5800
2019,June,10,5.50,5800,6100,6000
2018,December,18,5.50,6000,6400,6100
2018,December,27,5.50,6000,6400,6100
2019,January,30,5.50,6000,6500,6100
2019,May,08,5.50,6100,6600,6150
2018,July,10,5.60,5400,5600,5500
2018,August,13,5.60,5400,5600,5500
2018,July,15,5.60,5400,5600,5500
2018,September,09,5.60,5700,6000,5800
2019,June,09,5.60,5800,6100,6000
2019,July,12,5.60,5800,6100,6000
2018,December,16,5.60,6000,6400,6100
2018,December,17,5.60,6000,6400,6100
2018,November,20,5.60,6000,6400,6100
2018,December,21,5.60,6000,6400,6100
2019,February,13,5.60,6000,6500,6100
2019,January,21,5.60,6000,6500,6100
2019,May,30,5.60,6400,7500,6500
2018,October,30,5.80,5300,6200,5800
2018,October,11,5.80,5700,6000,5800
2019,June,07,5.80,5800,6100,6000
2019,July,11,5.80,5800,6100,6000
2019,December,03,5.80,5800,6500,6100
2018,December,15,5.80,6000,6400,6100
2018,December,20,5.80,6000,6400,6100
2019,February,12,5.80,6000,6500,6100
2019,February,28,5.80,6000,6500,6100
2019,January,29,5.80,6000,6500,6100
2018,November,14,6.00,5300,6200,5800
2018,October,21,6.00,5300,6200,5800
2018,October,29,6.00,5300,6200,5800
2018,August,06,6.00,5400,5600,5500
2018,July,09,6.00,5400,5600,5500
2018,August,12,6.00,5400,5600,5500
2018,July,14,6.00,5400,5600,5500
2018,September,07,6.00,5700,6000,5800
2019,June,06,6.00,5800,6100,6000
2019,July,10,6.00,5800,6100,6000
2018,December,14,6.00,6000,6400,6100
2018,November,19,6.00,6000,6400,6100
2019,December,09,6.00,6000,6500,6100
2019,February,10,6.00,6000,6500,6100
2019,February,11,6.00,6000,6500,6100
2019,January,20,6.00,6000,6500,6100
2019,February,27,6.00,6000,6500,6100
2019,January,28,6.00,6000,6500,6100
2019,December,31,6.00,6000,6500,6100
2019,May,29,6.00,6400,7500,6500
2019,December,08,6.10,6000,6500,6100
2018,November,13,6.20,5300,6200,5800
2018,July,08,6.20,5400,5600,5500
2018,August,10,6.20,5400,5600,5500
2018,July,13,6.20,5400,5600,5500
2018,September,03,6.20,5700,6000,5800
2018,August,24,6.20,5700,6000,5800
2018,August,26,6.20,5700,6000,5800
2018,September,29,6.20,5700,6000,5800
2019,June,04,6.20,5800,6100,6000
2019,July,22,6.20,5800,6100,6000
2019,February,09,6.20,6000,6500,6100
2019,January,19,6.20,6000,6500,6100
2019,February,26,6.20,6000,6500,6100
2019,January,27,6.20,6000,6500,6100
2018,September,06,6.40,5700,6000,5800
2019,January,18,6.40,6000,6500,6100
2018,November,09,6.50,5300,6200,5800
2018,July,06,6.50,5400,5600,5500
2018,August,09,6.50,5400,5600,5500
2018,August,23,6.50,5700,6000,5800
2018,September,27,6.50,5700,6000,5800
2018,September,28,6.50,5700,6000,5800
2018,August,31,6.50,5700,6000,5800
2019,June,03,6.50,5800,6100,6000
2019,July,09,6.50,5800,6100,6000
2019,July,21,6.50,5800,6100,6000
2018,November,17,6.50,6000,6400,6100
2018,December,24,6.50,6000,6400,6100
2019,February,25,6.50,6000,6500,6100
2019,January,25,6.50,6000,6500,6100
2019,May,28,6.50,6400,7500,6500
2018,July,07,6.60,5400,5600,5500
2018,July,12,6.60,5400,5600,5500
2018,September,05,6.60,5700,6000,5800
2019,February,07,6.60,6000,6500,6100
2019,February,08,6.60,6000,6500,6100
2019,January,17,6.60,6000,6500,6100
2018,October,08,6.70,5700,6000,5800
2019,July,08,6.70,5800,6100,6000
2019,July,20,6.70,5800,6100,6000
2018,November,16,6.80,5300,6200,5800
2019,May,27,6.80,6400,7500,6500
2018,November,08,7.00,5300,6200,5800
2018,October,19,7.00,5300,6200,5800
2018,August,08,7.00,5400,5600,5500
2018,September,04,7.00,5700,6000,5800
2018,August,21,7.00,5700,6000,5800
2018,September,26,7.00,5700,6000,5800
2018,August,29,7.00,5700,6000,5800
2019,July,04,7.00,5800,6100,6000
2019,July,07,7.00,5800,6100,6000
2019,July,18,7.00,5800,6100,6000
2019,July,19,7.00,5800,6100,6000
2019,February,06,7.00,6000,6500,6100
2019,January,16,7.00,6000,6500,6100
2019,May,25,7.00,6400,7500,6500
2019,May,26,7.00,6400,7500,6500
2019,November,21,7.20,5800,6500,6100
2019,January,11,7.20,6000,6500,6100
2019,January,15,7.20,6000,6500,6100
2019,May,24,7.20,6400,7500,6500
2018,October,18,7.40,5300,6200,5800
2018,August,28,7.50,5700,6000,5800
2019,August,25,7.50,5800,6400,6200
2019,November,20,7.50,5800,6500,6100
2019,January,14,7.50,6000,6500,6100
2019,May,23,7.50,6400,7500,6500
2018,August,05,7.60,5400,5600,5500
2018,August,07,7.60,5400,5600,5500
2018,September,25,7.60,5700,6000,5800
2018,September,24,7.80,5700,6000,5800
2019,June,28,7.80,5800,6100,6000
2019,August,24,7.80,5800,6400,6200
2019,November,19,7.80,5800,6500,6100
2019,January,10,7.80,6000,6500,6100
2019,January,13,7.80,6000,6500,6100
2018,August,04,8.00,5400,5600,5500
2018,October,04,8.00,5700,6000,5800
2018,September,23,8.00,5700,6000,5800
2018,August,27,8.00,5700,6000,5800
2019,July,05,8.00,5800,6100,6000
2019,June,26,8.00,5800,6100,6000
2019,August,23,8.00,5800,6400,6200
2019,December,02,8.00,5800,6500,6100
2019,November,18,8.00,5800,6500,6100
2019,January,06,8.00,6000,6500,6100
2019,January,09,8.00,6000,6500,6100
2019,January,12,8.00,6000,6500,6100
2019,May,16,8.00,6100,6600,6150
2019,May,22,8.00,6400,7500,6500
2019,August,22,8.10,5800,6400,6200
2018,September,22,8.20,5700,6000,5800
2019,November,23,8.20,5800,6500,6100
2019,January,04,8.20,6000,6500,6100
2019,September,03,8.50,5800,6400,6200
2019,August,21,8.50,5800,6400,6200
2019,November,15,8.50,5800,6500,5900
2019,November,22,8.50,5800,6500,6100
2019,October,19,8.50,5800,6800,6100
2019,January,03,8.50,6000,6500,6100
2019,January,07,8.50,6000,6500,6100
2019,May,15,8.50,6100,6600,6150
2019,May,21,8.50,6400,7500,6500
2019,November,14,8.60,5800,6500,5900
2019,November,30,8.60,5800,6500,6100
2018,September,21,8.80,5700,6000,5800
2019,September,02,8.80,5800,6400,6200
2019,August,20,8.80,5800,6400,6200
2019,November,12,8.80,5800,6500,5900
2019,November,13,8.80,5800,6500,5900
2019,October,21,8.80,5800,6500,5900
2019,November,17,8.80,5800,6500,6100
2019,November,29,8.80,5800,6500,6100
2019,October,18,8.80,5800,6800,6100
2019,May,20,8.80,6400,7500,6500
2019,September,01,9.00,5800,6400,6200
2019,August,19,9.00,5800,6400,6200
2019,November,11,9.00,5800,6500,5900
2019,October,20,9.00,5800,6500,5900
2019,November,25,9.00,5800,6500,6100
2019,November,28,9.00,5800,6500,6100
2019,October,17,9.00,5800,6800,6100
2019,October,16,9.00,5800,6800,6500
2019,January,02,9.00,6000,6400,6100
2019,May,19,9.00,6500,7400,6850
2019,August,04,9.20,5800,6100,6000
2019,August,18,9.20,5800,6400,6200
2019,August,31,9.20,5800,6400,6200
2019,November,27,9.20,5800,6500,6100
2019,October,15,9.20,5800,6800,6500
2019,May,18,9.20,6400,7500,6500
2019,August,03,9.50,5800,6100,6000
2019,July,23,9.50,5800,6100,6000
2019,August,15,9.50,5800,6400,6200
2019,August,17,9.50,5800,6400,6200
2019,August,30,9.50,5800,6400,6200
2019,November,26,9.50,5800,6500,6100
2019,October,14,9.50,5800,6800,6500
2019,August,07,9.60,5800,6100,6000
2019,August,02,9.80,5800,6100,6000
2019,August,06,9.80,5800,6100,6000
2019,August,16,9.80,5800,6400,6200
2019,August,29,9.80,5800,6400,6200
2019,November,10,9.80,5800,6500,5900
2019,October,13,9.80,5800,6800,6500
2019,August,01,10.00,5800,6100,6000
2019,August,05,10.00,5800,6100,6000
2019,July,25,10.00,5800,6100,6000
2019,September,08,10.00,5800,6400,6200
2019,September,10,10.00,5800,6400,6200
2019,August,14,10.00,5800,6400,6200
2019,August,27,10.00,5800,6400,6200
2019,August,28,10.00,5800,6400,6200
2019,November,08,10.00,5800,6500,5900
2019,November,24,10.00,5800,6500,6100
2019,October,10,10.00,5800,6800,6500
2019,October,12,10.00,5800,6800,6500
2019,September,06,10.20,5800,6400,6200
2019,October,11,10.20,5800,6800,6500
2019,September,26,10.20,5800,6800,6500
2019,July,24,10.50,5800,6100,6000
2019,July,30,10.50,5800,6100,6000
2019,July,31,10.50,5800,6100,6000
2019,August,13,10.50,5800,6400,6200
2019,September,13,10.50,5800,6400,6200
2019,October,09,10.50,5800,6800,6500
2019,September,25,10.50,5800,6800,6500
2019,September,05,10.80,5800,6400,6200
2019,September,12,10.80,5800,6400,6200
2019,October,05,10.80,5800,6800,6500
2019,September,24,10.80,5800,6800,6500
2019,July,29,11.00,5800,6100,6000
2019,September,04,11.00,5800,6400,6200
2019,August,11,11.00,5800,6400,6200
2019,September,11,11.00,5800,6400,6200
2019,October,04,11.00,5800,6800,6500
2019,September,23,11.00,5800,6800,6500
2019,July,28,11.20,5800,6100,6000
2019,September,22,11.20,5800,6800,6500
2019,October,03,11.40,5800,6800,6500
2019,August,10,11.50,5800,6400,6200
2019,October,02,11.60,5800,6800,6500
2019,August,09,11.80,5800,6400,6200
2019,November,07,11.80,5800,6500,5900
2019,September,28,11.80,5800,6800,6500
2019,September,30,11.80,5800,6800,6500
2019,July,26,12.00,5800,6100,6000
2019,August,08,12.00,5800,6400,6200
2019,November,06,12.00,5800,6500,5900
2019,September,18,12.00,5800,6800,6500
2019,September,27,12.00,5800,6800,6500
2019,November,05,12.20,5800,6500,5900
2019,November,04,12.50,5800,6500,5900
2019,September,17,12.60,5800,6800,6500
2019,November,03,12.80,5800,6500,5900
2019,September,16,12.80,5800,6800,6500
2019,October,31,13.00,5800,6500,5900
2019,September,15,13.00,5800,6800,6500
2019,October,30,13.20,5800,6500,5900
2019,October,26,13.50,5800,6500,5900
2019,October,29,13.50,5800,6500,5900
2019,October,25,13.70,5800,6500,5900
2019,October,28,13.70,5800,6500,5900
2019,October,24,14.00,5800,6500,5900
2019,October,23,14.20,5800,6500,5900
2019,August,26,15.00,5800,6400,6200
2019,October,22,15.00,5800,6500,5900
2019,July,27,21.50,5800,6100,6000
2016,October,02,26.00,9700,9800,9780
2016,October,01,28.00,9700,9800,9780
2016,September,30,32.00,9700,9800,9780
2016,September,29,36.00,9700,9800,9780
2016,September,26,38.00,9700,9800,9780
2016,September,28,40.00,9700,9800,9780
2017,July,05,2.50,7200,8000,7500
2017,December,13,2.80,7200,7500,7300
2018,January,31,3.00,6700,7500,7300
2017,December,08,3.00,7200,7500,7300
2017,December,12,3.00,7200,7500,7300
2017,July,04,3.00,7200,8000,7500
2017,August,06,3.00,7200,8000,7500
2017,August,09,3.00,7200,8000,7500
2017,April,21,3.00,7200,8000,7500
2017,October,04,3.00,7500,8000,7600
2017,December,28,3.20,6700,7500,7300
2018,January,29,3.20,6700,7500,7300
2017,December,07,3.20,7200,7500,7300
2017,December,11,3.20,7200,7500,7300
2017,August,05,3.20,7200,8000,7500
2017,May,20,3.20,7200,8000,7500
2017,May,23,3.20,7200,8000,7500
2017,May,25,3.20,7200,8000,7500
2017,May,26,3.20,7200,8000,7500
2017,September,11,3.20,7500,8000,7600
2017,October,26,3.20,7500,8000,7600
2017,December,27,3.40,6700,7500,7300
2018,January,28,3.40,6700,7500,7300
2017,December,06,3.40,7200,7500,7300
2017,August,18,3.40,7200,8000,7500
2017,August,22,3.40,7200,8000,7500
2017,November,16,3.40,7500,7700,7600
2017,December,23,3.50,6700,7500,7300
2017,August,01,3.50,7200,8000,7500
2017,August,03,3.50,7200,8000,7500
2017,September,03,3.50,7200,8000,7500
2017,May,19,3.50,7200,8000,7500
2017,September,10,3.50,7500,8000,7600
2017,October,25,3.50,7500,8000,7600
2017,September,25,3.50,7500,8000,7600
2017,December,21,3.60,6700,7500,7300
2018,January,27,3.60,6700,7500,7300
2017,August,16,3.60,7200,8000,7500
2017,April,20,3.60,7200,8000,7500
2017,May,22,3.60,7200,8000,7500
2017,November,15,3.60,7500,7700,7600
2018,March,25,3.80,5800,6000,5900
2017,December,26,3.80,6700,7500,7300
2018,January,26,3.80,6700,7500,7300
2017,December,20,3.80,7200,7500,7300
2017,November,29,3.80,7200,7500,7300
2017,June,06,3.80,7200,8000,7500
2017,August,08,3.80,7200,8000,7500
2017,June,12,3.80,7200,8000,7500
2017,May,17,3.80,7200,8000,7500
2017,August,20,3.80,7200,8000,7500
2017,August,25,3.80,7200,8000,7500
2017,October,03,3.80,7500,8000,7600
2017,September,21,3.80,7500,8000,7600
2017,September,24,3.80,7500,8000,7600
2018,April,02,4.00,5200,5600,5500
2018,May,03,4.00,5200,5600,5500
2018,May,04,4.00,5200,5600,5500
2018,April,19,4.00,5200,5600,5500
2018,April,20,4.00,5200,5600,5500
2018,March,24,4.00,5800,6000,5900
2017,December,25,4.00,6700,7500,7300
2018,January,25,4.00,6700,7500,7300
2017,December,29,4.00,6700,7500,7300
2017,December,04,4.00,7200,7500,7300
2017,December,17,4.00,7200,7500,7300
2017,December,18,4.00,7200,7500,7300
2017,December,19,4.00,7200,7500,7300
2017,November,28,4.00,7200,7500,7300
2017,August,02,4.00,7200,8000,7500
2017,June,03,4.00,7200,8000,7500
2017,April,04,4.00,7200,8000,7500
2017,August,04,4.00,7200,8000,7500
2017,June,04,4.00,7200,8000,7500
2017,June,05,4.00,7200,8000,7500
2017,May,06,4.00,7200,8000,7500
2017,May,08,4.00,7200,8000,7500
2017,August,11,4.00,7200,8000,7500
2017,May,12,4.00,7200,8000,7500
2017,June,13,4.00,7200,8000,7500
2017,March,17,4.00,7200,8000,7500
2017,April,19,4.00,7200,8000,7500
2017,August,21,4.00,7200,8000,7500
2017,June,21,4.00,7200,8000,7500
2017,May,21,4.00,7200,8000,7500
2017,August,23,4.00,7200,8000,7500
2017,June,23,4.00,7200,8000,7500
2017,April,24,4.00,7200,8000,7500
2017,August,24,4.00,7200,8000,7500
2017,March,24,4.00,7200,8000,7500
2017,May,24,4.00,7200,8000,7500
