year,month,date,arrival,min,max,modal
2017,September,21,3.50,6000,7500,6500
2018,June,07,4.00,5500,6900,6200
2018,June,08,4.00,5500,6900,6200
2016,October,24,4.00,7200,9800,8400
2017,December,28,4.20,5000,6800,5300
2018,June,06,4.20,5500,6900,6200
2016,October,28,4.50,7200,9800,8400
2016,October,17,4.50,7400,9800,8400
2016,October,21,4.50,7400,9800,8400
2018,March,14,4.60,5000,6000,5500
2018,June,04,4.60,5500,6900,6200
2017,September,11,4.60,6000,7500,6500
2016,October,23,4.60,7200,9800,8400
2016,October,27,4.60,7200,9800,8400
2018,March,13,4.80,5000,6000,5500
2018,January,08,4.80,5000,6800,5300
2017,December,23,4.80,5000,6800,5300
2017,December,27,4.80,5000,6800,5300
2017,November,16,4.80,6100,7000,6300
2018,May,04,5.00,4800,6900,6200
2018,March,12,5.00,5000,6000,5500
2017,December,22,5.00,5000,6800,5300
2017,December,26,5.00,5000,6800,5300
2017,December,21,5.00,5000,6800,5500
2018,August,02,5.00,5400,6000,5700
2018,October,28,5.00,5400,6200,5800
2018,June,02,5.00,5500,6900,6200
2017,September,10,5.00,6000,7500,6500
2017,August,09,5.00,6000,7600,6600
2017,November,15,5.00,6100,7000,6300
2016,December,14,5.00,7200,9200,8200
2016,December,15,5.00,7200,9200,8200
2016,October,26,5.00,7200,9800,8400
2016,October,05,5.00,7400,9800,8400
2016,October,14,5.00,7400,9800,8400
2016,October,20,5.00,7400,9800,8400
2017,December,25,5.20,5000,6800,5300
2017,November,29,5.20,5000,6800,5500
2018,October,26,5.20,5400,6200,5800
2018,May,29,5.20,5500,6900,6200
2017,September,22,5.20,6000,7500,6500
2017,November,14,5.20,6100,7000,6300
2016,November,28,5.20,7200,9400,8200
2016,October,25,5.20,7200,9800,8400
2016,October,18,5.20,7400,9800,8400
2018,May,03,5.30,4800,6900,6200
2017,December,13,5.40,5000,6800,5500
2018,May,02,5.50,4800,6900,6200
2018,March,11,5.50,5000,6000,5500
2017,December,12,5.50,5000,6800,5500
2017,November,28,5.50,5000,6800,5500
2018,August,03,5.50,5400,6000,5700
2018,May,28,5.50,5500,6900,6200
2017,July,05,5.50,6000,6600,6300
2017,November,13,5.50,6000,7000,6300
2017,September,12,5.50,6000,7500,6500
2016,October,13,5.50,7400,9800,8400
2018,July,06,5.60,5000,6000,5500
2018,February,20,5.60,5000,6000,5500
2018,March,25,5.60,5000,6000,5500
2017,December,06,5.60,5000,6800,5500
2018,October,24,5.60,5400,6200,5800
2017,October,23,5.60,6000,7500,6500
2018,March,10,5.70,5000,6000,5500
2018,April,27,5.80,4800,6900,6200
2018,March,24,5.80,5000,6000,5900
2017,December,05,5.80,5000,6800,5500
2017,December,20,5.80,5000,6800,5500
2018,January,19,5.80,5400,7000,5500
2017,November,12,5.80,6000,7000,6300
2017,September,20,5.80,6000,7500,6500
2017,August,11,5.80,6000,7600,6600
2016,October,03,5.80,7400,9800,8400
2016,October,04,5.80,7400,9800,8400
2018,April,02,6.00,4800,6900,6200
2018,April,18,6.00,4800,6900,6200
2018,April,26,6.00,4800,6900,6200
2018,March,09,6.00,5000,6000,5500
2018,July,11,6.00,5000,6000,5500
2018,March,23,6.00,5000,6000,5500
2018,January,04,6.00,5000,6800,5300
2017,December,29,6.00,5000,6800,5300
2017,December,04,6.00,5000,6800,5500
2017,December,11,6.00,5000,6800,5500
2017,December,19,6.00,5000,6800,5500
2017,November,26,6.00,5000,6800,5500
2018,August,01,6.00,5400,6000,5700
2018,October,23,6.00,5400,6200,5800
2018,February,05,6.00,5400,7000,5500
2018,January,18,6.00,5400,7000,5500
2018,January,27,6.00,5400,7000,5500
2019,December,30,6.00,5400,7000,6600
2018,August,20,6.00,5500,6000,5700
2017,June,03,6.00,6000,6600,6300
2017,July,04,6.00,6000,6600,6300
2017,May,15,6.00,6000,6600,6300
2017,May,24,6.00,6000,6600,6300
2017,November,10,6.00,6000,7000,6300
2017,September,14,6.00,6000,7500,6500
2017,September,17,6.00,6000,7500,6500
2017,September,19,6.00,6000,7500,6500
2017,October,22,6.00,6000,7500,6500
2017,September,25,6.00,6000,7500,6500
2017,October,27,6.00,6000,7500,6500
2017,August,01,6.00,6000,7600,6600
2017,September,04,6.00,6000,7600,6600
2017,August,08,6.00,6000,7600,6600
2017,August,13,6.00,6000,7600,6600
2017,November,17,6.00,6100,7000,6300
2017,November,21,6.00,6100,7000,6300
2017,March,04,6.00,6200,7000,6600
2017,March,07,6.00,6200,7000,6600
2017,March,14,6.00,6200,7000,6600
2017,February,26,6.00,6400,7600,7000
2017,November,01,6.00,6500,7200,7000
2016,November,27,6.00,7200,9400,8200
2016,October,12,6.00,7400,9800,8400
2018,April,25,6.20,4800,6900,6200
2018,March,22,6.20,5000,6000,5500
2018,February,27,6.20,5000,6000,5500
2017,December,10,6.20,5000,6800,5500
2017,December,18,6.20,5000,6800,5500
