year,month,date,arrival,min,max,modal
2016,October,01,3.20,7200,8500,7900
2018,July,06,3.80,6900,7200,7000
2016,October,02,4.00,7200,8500,7900
2016,September,30,4.00,7200,8500,7900
2018,October,28,4.20,6800,7200,7000
2018,October,26,4.40,6800,7200,7000
2019,June,24,4.50,7000,8500,7400
2019,May,14,4.60,7100,7550,7300
2018,August,03,4.80,6900,7200,7000
2018,September,19,4.80,7000,7500,7100
2019,January,11,4.80,7000,7500,7300
2016,September,29,4.80,7200,8500,7900
2018,November,06,5.00,6800,7200,7000
2018,November,07,5.00,6800,7200,7000
2018,October,24,5.00,6800,7200,7000
2018,August,02,5.00,6900,7200,7000
2018,September,18,5.00,7000,7500,7100
2018,August,20,5.00,7000,7500,7100
2019,January,07,5.00,7000,7500,7300
2019,January,09,5.00,7000,7500,7300
2019,January,10,5.00,7000,7500,7300
2019,June,21,5.00,7000,8500,7400
2019,June,23,5.00,7000,8500,7400
2019,May,13,5.00,7100,7550,7300
2016,September,28,5.00,7200,8500,7900
2018,November,05,5.20,6800,7200,7000
2018,August,19,5.20,7000,7500,7100
2019,June,20,5.20,7000,8500,7400
2019,May,12,5.20,7100,7550,7300
2019,December,30,5.20,8000,10000,9400
2018,July,11,5.50,6900,7200,7000
2019,June,19,5.50,7000,8500,7400
2019,May,10,5.50,7100,7550,7300
2019,December,29,5.50,8000,10000,9400
2018,September,17,5.60,7000,7500,7100
2018,August,18,5.60,7000,7500,7100
2019,January,06,5.60,7000,7500,7300
2019,June,18,5.60,7000,8500,7400
2018,July,27,5.80,6900,7200,7000
2018,August,17,5.80,7000,7500,7100
2019,May,09,5.80,7100,7550,7300
2019,December,27,5.80,8000,10000,9400
2018,November,01,6.00,6800,7200,7000
2018,October,16,6.00,6800,7200,7000
2018,July,15,6.00,6900,7200,7000
2018,July,22,6.00,6900,7200,7000
2018,July,25,6.00,6900,7200,7000
2018,July,26,6.00,6900,7200,7000
2018,August,16,6.00,7000,7500,7100
2019,January,04,6.00,7000,7500,7300
2019,February,20,6.00,7000,7500,7300
2019,February,24,6.00,7000,7500,7300
2019,June,17,6.00,7000,8500,7400
2019,May,08,6.00,7100,7550,7300
2019,December,26,6.00,8000,10000,9400
2018,October,15,6.20,6800,7200,7000
2018,October,23,6.20,6800,7200,7000
2018,July,10,6.20,6900,7200,7000
2018,July,24,6.20,6900,7200,7000
2018,September,15,6.20,7000,7500,7100
2019,January,03,6.20,7000,7500,7300
2019,February,19,6.20,7000,7500,7300
2019,February,22,6.20,7000,7500,7300
2019,February,23,6.20,7000,7500,7300
2019,June,16,6.20,7000,8500,7400
2019,December,25,6.20,8000,10000,9400
2018,July,14,6.40,6900,7200,7000
2018,October,30,6.50,6800,7200,7000
2018,July,09,6.50,6900,7200,7000
2018,July,21,6.50,6900,7200,7000
2018,October,11,6.50,7000,7500,7100
2018,September,14,6.50,7000,7500,7100
2019,January,02,6.50,7000,7500,7300
2019,February,21,6.50,7000,7500,7300
2019,June,15,6.50,7000,8500,7400
2019,December,31,6.50,8000,10000,9400
2018,July,13,6.60,6900,7200,7000
2018,July,23,6.60,6900,7200,7000
2018,August,15,6.60,7000,7500,7100
2019,February,04,6.60,7000,7500,7300
2019,February,17,6.60,7000,7500,7300
2019,February,28,6.60,7000,7500,7300
2019,December,07,6.60,7500,9500,9000
2018,July,08,6.70,6900,7200,7000
2018,July,19,6.70,6900,7200,7000
2018,July,20,6.70,6900,7200,7000
2019,February,16,6.70,7000,7500,7300
2019,June,14,6.70,7000,8500,7400
2019,December,05,6.70,7500,9500,9000
2019,December,24,6.70,8000,10000,9400
2018,November,13,7.00,6800,7200,7000
2018,November,14,7.00,6800,7200,7000
2018,October,21,7.00,6800,7200,7000
2018,October,29,7.00,6800,7200,7000
2018,August,06,7.00,6900,7200,7000
2018,July,07,7.00,6900,7200,7000
2018,July,12,7.00,6900,7200,7000
2018,October,12,7.00,7000,7500,7100
2018,August,14,7.00,7000,7500,7100
2019,January,01,7.00,7000,7500,7300
2019,February,03,7.00,7000,7500,7300
2019,February,14,7.00,7000,7500,7300
2019,February,15,7.00,7000,7500,7300
2019,February,27,7.00,7000,7500,7300
2019,June,13,7.00,7000,8500,7400
2019,December,04,7.00,7500,9500,9000
2019,December,23,7.00,8000,10000,9400
2018,August,01,7.10,6900,7200,7000
2018,July,18,7.20,6900,7200,7000
2018,October,08,7.20,7000,7500,7100
2018,September,11,7.20,7000,7500,7100
2019,February,01,7.20,7000,7500,7300
2019,February,13,7.20,7000,7500,7300
2018,December,17,7.20,7000,7500,7300
2018,December,18,7.20,7000,7500,7300
2019,January,20,7.20,7000,7500,7300
2018,December,23,7.20,7000,7500,7300
2019,February,26,7.20,7000,7500,7300
2019,June,12,7.20,7000,8500,7400
2019,December,22,7.20,8000,10000,9400
2018,September,29,7.40,7000,7500,7100
