year,month,date,arrival,min,max,modal
2019,December,31,1.00,6000,6500,6250
2019,December,21,1.00,7500,7750,7600
2017,February,26,2.00,4000,4100,4050
2016,December,16,2.00,4000,4500,4200
2017,March,05,2.50,4000,4175,4100
2017,March,06,2.50,4000,4175,4100
2017,February,12,3.50,4275,4675,4500
2017,February,07,5.00,4300,4375,4350
2017,February,09,6.00,4250,4300,4275
2017,January,22,6.00,4550,4700,4600
2019,February,09,7.50,4000,4300,4100
2017,March,16,8.00,4125,4200,4170
2017,March,14,8.00,4200,4300,4250
2017,February,18,9.00,4000,4300,4200
2017,March,18,10.00,4125,4150,4140
2017,January,19,11.00,4500,4700,4600
2017,February,04,20.00,4300,4375,4350
2017,January,10,30.00,4200,4400,4300
2017,January,07,55.00,4300,4600,4500
