year,month,date,arrival,min,max,modal
2014,March,20,1.00,1300,1350,1300
2014,February,19,1.00,1400,1500,1400
2014,January,09,1.00,1400,1800,1700
2014,January,29,3.50,1400,1450,1400
2014,January,24,4.80,1400,1600,1500
2014,February,07,5.50,1400,1600,1450
2014,January,27,6.00,1400,1500,1400
2014,January,10,6.00,1400,1800,1700
2014,February,20,6.50,1400,1500,1400
2014,January,28,6.50,1400,1500,1400
2014,March,21,7.00,1300,1350,1300
2014,February,10,7.00,1400,1500,1400
2014,January,21,7.00,1400,1800,1700
2014,January,22,7.00,1400,1800,1700
2014,March,11,8.00,1400,1500,1400
2014,February,15,8.00,1400,1500,1400
2014,February,21,8.00,1400,1500,1400
