year,month,date,arrival,min,max,modal
2014,January,09,0.80,1200,1400,1250
2014,March,20,1.20,1000,1050,1000
2014,February,07,6.00,700,800,700
2014,January,29,6.00,850,1100,900
2014,January,24,6.00,1200,1300,1200
2014,February,19,7.00,700,800,700
2014,March,21,8.00,1000,1050,1000
2014,January,28,8.00,1200,1300,1200
2014,January,21,8.00,1200,1400,1200
2014,February,10,9.00,650,700,650
2014,February,15,9.00,700,800,700
2014,February,20,9.00,700,800,700
2014,January,22,9.00,1200,1400,1200
2014,February,12,10.00,700,800,700
2014,January,27,10.00,1100,1200,1100
2014,January,10,10.00,1200,1400,1200
2014,January,06,10.00,1200,1400,1300
2014,March,11,10.20,700,800,700
2014,February,21,10.80,700,800,700
