year,month,date,arrival,min,max,modal
2016,September,26,0.50,8000,9000,8500
2014,February,28,1.00,7900,9500,9200
2014,July,09,1.00,8900,9200,9000
2014,March,11,1.00,9000,9500,9200
2014,May,26,1.00,9000,9500,9200
2014,September,07,1.00,9100,9500,9300
2014,May,11,1.00,9200,9600,9400
2014,May,21,1.00,9200,9600,9400
2014,June,20,1.00,9200,9800,9400
2014,July,07,1.00,9400,9800,9600
2014,March,05,1.50,7900,9500,9200
2014,October,14,2.00,7900,8700,8500
2014,November,05,2.00,8000,8500,8200
2014,December,17,2.00,8200,8700,8500
2016,January,14,2.00,8900,9500,9200
2014,September,18,2.00,9000,9500,9200
2014,May,01,2.00,9200,9600,9400
2014,May,08,2.00,9200,9600,9400
2014,June,26,2.00,9200,9600,9400
2014,May,19,2.00,9200,9800,9500
2014,June,17,2.00,9200,9800,9600
2014,July,03,2.00,9400,9800,9600
2014,July,04,2.00,9400,9800,9600
2014,June,01,2.00,9500,9800,9600
2015,January,07,3.00,7700,8200,8000
2016,August,09,3.00,7900,8500,8200
2014,November,11,3.00,8000,8500,8200
2014,November,19,3.00,8000,8500,8200
2016,November,10,3.00,8000,9000,8500
2014,September,29,3.00,8900,9100,9000
2014,August,10,3.00,8900,9200,9000
2014,July,10,3.00,8900,9200,9000
2014,March,29,3.00,8900,9600,9500
2014,September,16,3.00,9000,9500,9200
2014,April,01,3.00,9000,9800,9600
2014,September,02,3.00,9100,9500,9300
2014,September,03,3.00,9100,9500,9300
2014,June,30,3.00,9400,9800,9600
2015,March,10,3.50,7500,8500,7800
2015,April,03,4.00,7200,7900,7500
2015,February,05,4.00,7500,8800,8500
2015,May,11,4.00,7900,8500,8200
2014,October,30,4.00,7900,8500,8300
2014,October,13,4.00,7900,8700,8500
2015,April,02,4.00,7900,9000,8500
2014,November,04,4.00,8000,8500,8200
2014,November,07,4.00,8000,8500,8200
2014,November,16,4.00,8000,8500,8200
2017,June,20,4.00,8000,8500,8200
2014,November,26,4.00,8000,8500,8200
2015,October,08,4.00,8200,8800,8500
2015,June,11,4.00,8900,9200,9000
2016,April,28,4.00,9000,9500,9200
2014,August,29,4.00,9100,9500,9300
2014,May,04,4.00,9200,9800,9600
2014,July,06,4.00,9400,9800,9600
2015,March,08,4.50,7500,8600,8200
