year,month,date,arrival,min,max,modal
2016,September,22,1.80,2100,2300,2200
2016,October,13,2.50,2100,2300,2200
2016,September,20,2.50,2100,2300,2200
2016,September,26,3.00,2100,2300,2200
2017,April,03,3.00,2200,2400,2300
2017,July,04,3.00,2300,2500,2400
2017,August,29,3.00,2300,2500,2400
2016,September,16,3.50,2100,2300,2200
2016,October,14,3.50,2100,2350,2300
2016,October,15,5.00,2100,2300,2200
2016,January,31,5.00,2300,2450,2400
2017,November,01,5.00,2300,2500,2400
2017,August,22,5.00,2300,2500,2400
2017,November,14,5.50,2300,2500,2400
2018,April,17,6.00,2300,2500,2400
2016,September,10,7.00,2100,2300,2200
2016,August,14,7.00,2100,2300,2200
2016,September,15,7.00,2100,2300,2200
2016,September,30,7.00,2100,2300,2200
2016,December,14,7.00,2200,2400,2300
2017,January,21,7.00,2200,2400,2300
2017,August,06,7.00,2300,2400,2350
2018,August,01,7.00,2350,2500,2450
2016,September,27,8.00,2100,2300,2200
2016,August,29,8.00,2100,2300,2200
2016,December,09,8.00,2200,2400,2300
2016,December,12,8.00,2200,2400,2300
2017,March,16,8.00,2200,2400,2300
2017,March,26,8.00,2200,2400,2300
2017,September,03,8.00,2300,2500,2400
2017,October,11,8.00,2300,2500,2400
2017,September,12,8.00,2300,2500,2400
2017,December,13,8.00,2300,2500,2400
2017,May,17,8.00,2300,2500,2400
2018,March,22,8.00,2300,2500,2400
2018,March,31,8.00,2300,2500,2400
2019,December,03,8.00,2500,2800,2600
2016,October,02,9.00,2100,2300,2200
2017,February,09,9.00,2100,2300,2200
2016,September,23,9.00,2100,2300,2200
2016,December,27,9.00,2100,2300,2200
2016,December,28,9.00,2100,2300,2200
2016,December,07,9.00,2200,2400,2300
2016,November,11,9.00,2200,2400,2300
2017,May,27,9.00,2300,2450,2400
2017,September,02,9.00,2300,2500,2400
2017,November,10,9.00,2300,2500,2400
2017,December,12,9.00,2300,2500,2400
2018,April,18,9.00,2300,2500,2400
2017,May,20,9.00,2300,2500,2400
2014,October,09,9.00,2350,2500,2450
2016,November,01,10.00,2100,2300,2200
2016,September,03,10.00,2100,2300,2200
2016,September,11,10.00,2100,2300,2200
2017,February,14,10.00,2100,2300,2200
2016,August,20,10.00,2100,2300,2200
2016,October,20,10.00,2100,2300,2200
2016,September,25,10.00,2100,2300,2200
2016,August,28,10.00,2100,2300,2200
2016,September,28,10.00,2100,2300,2200
