year,month,date,arrival,min,max,modal
2016,October,25,9.00,2200,2400,2300
2015,September,28,10.00,2300,2500,2400
2014,August,05,0.50,2000,2200,2100
2014,May,09,1.00,1900,2050,2000
2016,September,20,1.00,2200,2350,2300
2016,September,22,1.00,2300,2450,2400
2016,September,27,1.00,2300,2500,2400
2016,September,25,1.00,2300,2700,2400
2016,September,26,1.00,2300,2700,2500
2016,September,23,1.50,2200,2400,2300
2016,October,13,1.50,2300,2500,2400
2016,October,18,1.50,2300,2500,2400
2014,May,06,2.00,1900,2050,2000
2014,May,22,2.00,1900,2050,2000
2014,June,03,2.00,2050,2250,2200
2014,June,16,2.00,2050,2250,2200
2014,July,09,2.00,2100,2250,2200
2014,June,25,2.00,2100,2250,2200
2014,June,26,2.00,2100,2250,2200
2016,October,02,2.00,2300,2500,2400
2016,October,17,2.00,2300,2500,2400
2016,October,24,2.80,2200,2400,2300
2014,April,21,3.00,1800,2000,1900
2014,May,01,3.00,1900,2050,2000
2014,May,10,3.00,1900,2050,2000
2014,March,26,3.00,1900,2100,2000
2014,May,18,3.00,1950,2050,2000
2014,May,20,3.00,1950,2050,2000
2014,August,03,3.00,2000,2200,2100
2014,August,07,3.00,2000,2200,2100
2014,May,26,3.00,2000,2250,2200
2014,June,02,3.00,2050,2250,2200
2014,June,06,3.00,2050,2250,2200
2014,June,21,3.00,2050,2250,2200
2014,July,07,3.00,2100,2250,2200
2014,July,18,3.00,2100,2250,2200
2014,June,23,3.00,2100,2250,2200
2014,June,27,3.00,2100,2250,2200
2014,June,30,3.00,2100,2250,2200
2014,October,01,3.00,2100,2300,2200
2014,September,13,3.00,2100,2300,2200
2014,October,14,3.00,2100,2300,2200
2014,July,25,3.00,2100,2300,2200
2014,November,13,3.00,2150,2300,2250
2014,March,04,3.00,2150,2350,2300
2016,September,06,3.00,2200,2350,2300
2014,February,28,3.00,2200,2400,2300
2016,October,01,3.00,2300,2500,2400
2016,September,28,3.00,2300,2500,2400
2017,October,12,3.00,2500,2700,2600
2014,May,05,3.50,1900,2050,2000
2017,August,27,3.50,2400,2600,2500
2014,April,11,4.00,1800,2000,1900
2014,May,04,4.00,1900,2050,2000
2014,May,08,4.00,1900,2050,2000
2014,May,23,4.00,1900,2050,2000
2014,March,29,4.00,1900,2100,2000
2014,May,19,4.00,1950,2050,2000
2014,May,24,4.00,2000,2250,2200
2014,May,27,4.00,2000,2250,2200
2014,June,01,4.00,2050,2250,2200
2014,June,08,4.00,2050,2250,2200
2014,July,03,4.00,2100,2250,2200
2014,July,04,4.00,2100,2250,2200
2014,July,10,4.00,2100,2250,2200
2014,June,24,4.00,2100,2250,2200
2014,July,23,4.00,2100,2300,2200
2014,October,29,4.00,2100,2300,2200
2015,March,31,4.00,2150,2300,2250
2016,November,30,4.00,2200,2400,2300
2016,October,31,4.00,2200,2400,2300
2017,July,02,4.00,2400,2600,2500
2017,November,09,4.00,2400,2600,2500
2018,April,17,4.00,2400,2600,2500
2018,March,19,4.00,2400,2600,2500
2017,September,19,4.00,2400,2600,2500
2017,March,19,4.00,2400,2700,2500
2017,May,07,4.00,2500,2600,2550
2015,March,01,4.50,2100,2300,2200
2016,September,14,4.50,2200,2350,2300
2016,September,15,4.50,2200,2350,2300
2018,January,04,4.50,2450,2550,2500
2014,March,11,5.00,1720,1900,1800
2014,April,22,5.00,1800,2000,1900
2014,April,23,5.00,1800,2000,1900
2014,August,09,5.00,2000,2200,2100
2014,August,11,5.00,2000,2200,2100
2014,August,12,5.00,2000,2200,2100
2014,June,20,5.00,2050,0,2200
2014,June,07,5.00,2050,2250,2200
2014,July,02,5.00,2100,2250,2200
