year,month,date,arrival,min,max,modal
2014,March,26,1.00,5800,6200,6000
2016,September,24,1.50,8900,10500,9500
2014,April,21,4.00,6000,7500,7200
2014,March,29,5.00,5800,6200,6000
2014,January,06,5.00,5900,8000,7400
2014,April,11,6.00,5950,6500,6200
2014,April,01,7.00,5900,6600,6400
2017,February,14,8.00,8500,9000,8900
2014,May,11,1.00,6500,7500,7200
2014,May,29,1.00,6600,7500,7200
2014,May,31,1.00,6600,7500,7200
2014,June,21,1.00,6600,7600,7400
2014,July,05,1.00,6700,7800,7600
2014,July,11,1.00,6700,7800,7600
2014,June,29,1.00,6700,7800,7600
2014,March,11,2.00,6000,7500,7000
2014,May,01,2.00,6500,7500,7200
2014,May,05,2.00,6500,7500,7200
2014,June,06,2.00,6500,7500,7200
2014,June,07,2.00,6500,7500,7200
2014,June,08,2.00,6500,7500,7200
2014,May,23,2.00,6500,7500,7200
2014,July,04,2.00,6700,7800,7600
2014,July,07,2.00,6700,7800,7600
2014,June,20,3.00,0,7600,7400
2014,April,23,3.00,6000,7500,7200
2014,March,04,3.00,6000,8000,7500
2014,May,17,3.00,6400,7400,7200
2014,May,19,3.00,6400,7400,7200
2014,May,22,3.00,6500,7400,7200
2014,June,01,3.00,6500,7500,7200
2014,June,10,3.00,6500,7500,7200
2014,June,12,3.00,6500,7500,7200
2014,May,24,3.00,6500,7500,7200
2014,May,26,3.00,6500,7500,7200
2014,May,28,3.00,6500,7500,7200
2014,June,05,3.00,6600,7500,7200
2014,June,19,3.00,6600,7600,7400
2014,July,02,3.00,6700,7800,7600
2014,July,03,3.00,6700,7800,7600
2014,June,25,3.00,6700,7800,7600
2014,June,26,3.00,6700,7800,7600
2014,March,05,4.00,6000,8000,7500
2014,February,28,4.00,6000,8000,7500
2014,May,20,4.00,6400,7400,7200
2014,June,03,4.00,6500,7500,7200
2014,May,03,4.00,6500,7500,7200
2014,May,06,4.00,6500,7500,7200
2014,May,09,4.00,6500,7500,7200
2014,June,17,4.00,6500,7500,7200
2014,July,09,4.00,6700,7800,7600
2014,June,23,4.00,6700,7800,7600
2014,June,24,4.00,6700,7800,7600
2014,June,27,4.00,6700,7800,7600
2014,June,30,4.00,6700,7800,7600
2014,May,04,4.50,6500,7500,7200
2014,May,10,4.50,6500,7500,7200
2014,June,28,4.50,6700,7800,7600
2014,February,27,5.00,6200,8000,7500
2014,May,08,5.00,6500,7500,7200
2014,May,27,5.00,6500,7500,7200
2014,July,06,5.00,6700,7800,7600
2017,February,13,5.00,8500,9000,8900
2014,May,02,6.00,6500,7500,7200
2014,April,22,6.50,6000,7500,7200
2014,April,28,7.00,6200,7500,7200
2014,July,08,10.00,6700,7800,7600
