year,month,date,arrival,min,max,modal
2014,June,28,1.00,1900,2500,2200
2014,February,28,2.00,1500,2000,1800
2014,May,05,2.00,1800,2200,2000
2014,May,07,2.00,1800,2200,2000
2014,May,18,2.00,1800,2200,2000
2014,May,24,2.00,1850,2000,1950
2014,May,26,2.00,1850,2000,1950
2014,June,01,2.00,1850,2500,2200
2014,June,07,2.00,1850,2500,2200
2014,June,09,2.00,1900,2500,2200
2014,June,10,2.00,1900,2500,2200
2014,June,11,2.00,1900,2500,2200
2014,June,12,2.00,1900,2500,2200
2014,June,18,2.00,1900,2500,2200
2014,June,20,2.00,1900,2500,2200
2014,June,22,2.00,1900,2500,2200
2014,June,24,2.00,1900,2500,2200
2014,June,26,2.00,1900,2500,2200
2014,June,29,2.00,1900,2500,2200
2014,July,09,2.00,2200,2600,2500
2014,July,02,2.50,2200,2800,2700
2014,May,09,3.00,1800,2200,2000
2014,May,19,3.00,1800,2200,2000
2014,June,02,3.00,1850,2500,2200
2014,June,16,3.00,1850,2500,2200
2014,June,17,3.00,1850,2500,2200
2014,June,23,3.00,1900,2500,2200
2014,June,30,3.00,2000,2500,2400
2014,July,01,3.00,2000,2700,2600
2014,July,06,3.00,2100,2600,2500
2014,July,03,3.00,2200,2700,2600
2014,January,06,3.00,2800,3800,3000
2014,March,04,4.00,1500,2000,1800
2014,March,05,4.00,1500,2000,1800
2014,May,01,4.00,1800,2200,2000
2014,May,02,4.00,1800,2200,2000
2014,May,06,4.00,1800,2200,2000
2014,May,10,4.00,1800,2200,2000
2014,May,17,4.00,1800,2200,2000
2014,June,19,4.00,1800,2200,2000
2014,May,25,4.00,1850,2000,1950
2014,May,27,4.00,1850,2000,1950
2014,May,28,4.00,1850,2000,1950
2014,June,04,4.00,1850,2500,2200
2014,June,08,4.00,1850,2500,2200
2014,June,21,4.00,1900,2500,2200
2014,June,25,4.00,1900,2500,2200
2014,June,27,4.00,1900,2500,2200
2014,July,04,4.00,2000,2700,2600
2014,April,23,5.00,1600,2000,1800
2014,March,26,5.00,1800,2050,2000
2014,March,28,5.00,1800,2050,2000
2014,May,03,5.00,1800,2200,2000
2014,May,20,5.00,1800,2200,2000
2014,April,28,5.00,1800,2200,2000
2014,May,29,5.00,1850,2300,2100
2014,June,05,5.00,1850,2500,2200
2014,July,08,5.00,2200,2600,2500
2014,July,10,5.00,2200,2600,2500
2014,April,21,7.00,1600,2000,1800
2014,May,04,7.00,1800,2200,2000
2014,May,31,7.00,1850,2300,2100
2014,April,01,7.00,1900,2150,2100
2014,May,23,8.00,1850,2000,1950
2014,June,06,8.00,1850,2500,2200
2014,April,11,9.00,1600,2000,1800
2014,March,29,10.00,1800,2050,2000
2016,April,29,0.10,1900,2200,2000
2016,September,20,0.50,1750,2000,1950
2014,August,03,1.00,2500,2800,2700
2016,October,13,1.50,1400,1800,1600
2016,October,03,1.80,1400,1800,1600
2016,October,02,2.00,1400,1800,1600
2016,September,25,2.00,1400,1800,1600
2016,October,15,2.00,1400,2000,1800
2016,October,14,2.00,1450,1800,1650
2016,September,26,2.00,1500,1800,1600
2016,October,23,2.00,1600,2000,1800
2016,October,28,2.00,1600,2000,1800
2016,September,03,2.00,1700,2000,1800
2016,August,14,2.00,1700,2000,1900
2016,September,11,2.00,1700,2100,2000
2015,April,18,2.00,2100,2400,2200
2014,November,08,2.00,2600,3000,2800
2015,January,07,2.00,2700,3000,2900
2016,October,18,2.50,1400,1800,1600
2016,November,03,2.50,1500,2000,1800
2016,December,27,2.50,1500,2000,1800
2016,November,09,2.50,1600,2000,1800
2016,September,04,2.50,1700,2150,2000
2017,January,20,2.50,1800,2200,2000
2016,December,05,3.00,1000,1800,1500
2016,December,01,3.00,1200,1800,1500
2016,December,06,3.00,1200,1800,1500
2016,October,01,3.00,1400,1800,1600
2016,September,30,3.00,1500,1800,1700
2016,November,30,3.00,1500,1900,1800
2016,November,02,3.00,1500,2000,1800
2016,November,05,3.00,1500,2000,1800
2017,June,11,3.00,1500,2000,1800
2017,February,22,3.00,1500,2000,1800
2017,May,26,3.00,1500,2000,1800
2016,November,01,3.00,1600,2000,1800
2016,September,23,3.00,1600,2000,1800
2016,September,27,3.00,1600,2000,1800
2016,August,06,3.00,1600,2050,2000
2016,September,16,3.00,1700,2000,1800
2016,July,03,3.00,1700,2100,2000
2016,July,11,3.00,1800,2050,2000
2016,August,18,3.00,1800,2050,2000
2016,February,02,3.00,1800,2200,2000
2014,October,16,3.00,2350,2600,2500
2014,November,05,3.00,2500,2700,2600
2018,September,04,3.00,2500,3000,2800
2014,November,11,3.00,2600,2800,2700
2015,January,01,3.00,2600,3000,2800
2015,February,06,3.00,2600,3000,2800
2014,July,23,3.00,2600,3000,2800
2015,March,01,3.00,2700,3000,2900
2017,October,13,3.00,2800,3000,2900
2018,February,17,3.00,3500,4500,4000
2018,February,06,3.00,4000,5000,4500
2016,November,28,3.50,1300,1500,1400
2017,April,16,3.50,1400,1800,1600
2017,June,15,3.50,1500,2000,1800
2016,November,16,3.50,1600,2000,1800
2016,October,24,3.50,1600,2000,1800
2016,September,05,3.50,1700,2000,1800
2017,September,03,3.50,2800,3200,3000
2017,October,06,3.50,2800,3200,3000
2017,August,30,3.50,2800,3200,3000
2017,August,11,3.50,3000,3500,3200
2017,November,11,3.50,3800,4200,4000
2017,May,09,4.00,1300,1600,1400
2017,March,27,4.00,1350,1700,1500
2016,December,03,4.00,1400,1800,1500
2016,December,16,4.00,1400,1800,1500
2017,June,08,4.00,1400,2000,1800
2017,February,09,4.00,1500,2000,1800
2017,June,14,4.00,1500,2000,1800
2016,November,11,4.00,1600,2000,1800
2016,October,25,4.00,1600,2000,1800
2016,October,27,4.00,1600,2000,1800
2016,October,29,4.00,1600,2000,1800
2016,September,15,4.00,1700,2000,1800
2016,August,12,4.00,1700,2000,1900
2016,September,14,4.00,1700,2000,1900
2016,August,29,4.00,1800,2200,2000
2015,April,20,4.00,1800,2400,2200
2015,April,02,4.00,2000,2500,2200
2014,December,17,4.00,2200,2600,2400
2014,September,03,4.00,2400,2700,2600
2014,September,08,4.00,2400,2700,2600
2014,November,28,4.00,2400,2700,2600
2014,August,01,4.00,2400,2800,2600
2014,September,17,4.00,2400,2800,2700
2014,October,28,4.00,2500,2700,2600
2015,February,21,4.00,2500,2800,2700
2015,February,22,4.00,2500,2900,2650
2018,August,03,4.00,2500,3000,2800
2014,July,19,4.00,2500,3000,2800
2017,September,19,4.00,2500,3000,2800
2014,July,24,4.00,2600,3000,2800
2015,February,05,4.00,2700,3000,2800
2017,December,04,4.00,4500,5500,5000
2015,September,03,4.00,5500,6500,6000
2015,August,30,4.00,5500,6500,6000
2015,September,02,4.00,6000,6800,6500
2016,December,09,4.50,1200,1800,1500
2017,January,19,4.50,1500,2000,1800
2016,October,31,4.50,1600,2000,1800
2017,February,07,4.50,1800,2100,2000
2016,September,01,4.50,1800,2200,2000
2017,November,10,4.50,3500,4200,3800
2018,January,03,4.50,4800,5200,5000
2016,December,02,5.00,1200,1800,1500
2017,March,19,5.00,1200,1800,1500
2017,March,06,5.00,1250,1400,1350
2016,December,13,5.00,1400,1800,1500
2017,May,22,5.00,1400,1800,1500
2017,April,17,5.00,1400,1800,1600
2017,May,18,5.00,1400,1800,1600
2016,September,24,5.00,1400,1800,1600
2017,April,27,5.00,1400,1800,1600
2016,November,27,5.00,1400,1800,1600
2016,December,28,5.00,1400,2000,1800
2017,March,16,5.00,1500,1800,1600
2017,June,02,5.00,1500,2000,1800
2017,June,04,5.00,1500,2000,1800
2017,July,10,5.00,1500,2000,1800
2017,June,10,5.00,1500,2000,1800
2017,June,13,5.00,1500,2000,1800
2017,June,23,5.00,1500,2000,1800
2016,June,27,5.00,1500,2000,1800
2016,June,29,5.00,1500,2000,1800
2016,October,20,5.00,1600,1900,1800
2016,August,03,5.00,1600,2000,1800
2016,November,10,5.00,1600,2000,1800
2017,July,14,5.00,1600,2000,1800
2016,August,16,5.00,1600,2000,1800
2017,July,24,5.00,1600,2000,1800
2017,July,25,5.00,1600,2000,1800
2016,August,10,5.00,1700,2000,1900
2016,August,13,5.00,1700,2000,1900
2016,July,15,5.00,1700,2050,2000
2016,July,02,5.00,1700,2100,2000
2016,September,07,5.00,1700,2100,2000
2016,September,10,5.00,1700,2150,2000
2016,July,10,5.00,1800,2000,1900
2016,August,20,5.00,1800,2050,2000
2016,November,23,5.00,1800,2100,2000
2018,April,16,5.00,1800,2200,2000
2018,April,18,5.00,1800,2200,2000
2016,July,18,5.00,1850,2050,2000
2016,June,23,5.00,1900,2100,2000
2016,April,19,5.00,1900,2200,2000
2016,May,24,5.00,1900,2200,2000
2016,May,26,5.00,1900,2200,2000
2016,May,27,5.00,1900,2200,2000
2016,April,24,5.00,2000,2500,2200
2017,August,05,5.00,2000,2800,2500
2017,August,06,5.00,2000,2800,2500
2015,April,03,5.00,2200,2600,2400
2015,April,21,5.00,2300,2600,2400
2014,October,13,5.00,2350,2600,2500
2014,August,29,5.00,2400,2600,2500
2014,August,30,5.00,2400,2600,2500
2014,August,31,5.00,2400,2600,2500
2014,September,02,5.00,2400,2700,2600
2014,September,14,5.00,2400,2700,2600
2014,December,16,5.00,2400,2700,2600
2014,September,21,5.00,2400,2700,2600
2014,September,22,5.00,2400,2700,2600
2014,September,25,5.00,2400,2700,2600
2014,August,09,5.00,2400,2800,2600
2014,August,11,5.00,2400,2800,2600
2014,November,01,5.00,2450,2700,2650
2014,November,04,5.00,2500,2700,2600
2014,August,02,5.00,2500,2800,2700
2014,August,05,5.00,2500,2800,2700
2014,December,06,5.00,2600,2800,2700
2014,November,25,5.00,2600,2800,2700
2014,November,26,5.00,2600,2800,2700
2015,February,11,5.00,2600,2900,2800
2015,January,05,5.00,2600,3000,2800
2015,May,08,5.00,2600,3000,2800
2015,February,09,5.00,2600,3000,2800
2014,November,10,5.00,2600,3000,2800
2014,November,17,5.00,2600,3000,2800
2014,November,12,5.00,2700,2900,2800
2014,November,15,5.00,2700,3000,2800
2015,March,17,5.00,2700,3000,2800
2014,July,22,5.00,2700,3000,2800
2014,July,27,5.00,2700,3000,2800
2014,July,28,5.00,2700,3000,2800
2014,August,08,5.00,2700,3200,3000
2015,March,24,5.00,2800,3000,2900
2017,September,02,5.00,2800,3200,3000
2017,September,04,5.00,2800,3200,3000
2017,September,05,5.00,2800,3200,3000
2018,March,15,5.00,2800,3200,3000
2014,December,29,5.00,2800,3200,3000
2017,August,24,5.00,2800,3500,3000
2014,December,26,5.00,2900,3200,3000
2017,December,29,5.00,3000,4000,3500
2017,November,18,5.00,3500,4000,3800
2017,November,09,5.00,3500,4200,3800
2018,February,21,5.00,3500,4200,4000
2017,November,20,5.00,3500,4500,4000
2017,November,21,5.00,4000,5000,4500
2018,January,15,5.00,4200,5000,4500
2018,January,14,5.00,4500,5000,4800
2018,February,05,5.00,4500,5100,5000
2018,January,02,5.00,4500,5500,5000
2017,December,15,5.00,5000,5500,5200
2017,December,01,5.00,5000,6000,5500
2017,December,02,5.00,5000,6000,5500
2015,August,28,5.00,6000,7000,6500
2017,June,16,5.50,1500,2000,1800
2017,September,20,5.50,2500,3000,2800
2015,February,25,5.50,2650,3000,2850
2018,March,17,5.50,2800,3200,3000
2018,March,05,5.50,2800,3500,3000
2015,March,19,5.60,2700,3000,2850
2017,May,19,6.00,1400,1800,1600
2017,May,25,6.00,1400,2000,1700
2017,July,12,6.00,1500,1800,1600
2016,September,29,6.00,1500,1800,1600
2017,April,01,6.00,1500,2000,1800
2017,June,19,6.00,1500,2000,1800
2017,June,20,6.00,1500,2000,1800
2017,April,28,6.00,1500,2000,1800
2017,May,28,6.00,1500,2000,1800
2016,November,29,6.00,1500,2000,1800
2016,August,04,6.00,1600,2000,1800
2016,August,08,6.00,1600,2000,1800
2017,July,23,6.00,1600,2000,1800
2016,July,27,6.00,1600,2000,1800
2017,July,27,6.00,1600,2000,1800
2016,June,01,6.00,1700,1900,1800
2016,July,14,6.00,1700,2050,2000
2016,May,07,6.00,1800,2000,1900
2018,April,26,6.00,1800,2200,2000
2016,August,30,6.00,1800,2200,2000
