year,month,date,arrival,min,max,modal
2018,July,12,4.50,1800,2050,2000
2018,September,04,8.00,1800,2000,1900
2015,December,10,10.00,1700,2000,1800
2015,December,09,16.00,1700,2000,1800
2014,September,08,3.00,2400,2600,2500
2014,September,03,5.00,2300,2700,2500
2017,September,12,6.00,2300,2500,2400
2014,September,02,7.00,2300,2700,2500
2014,September,05,8.00,2400,2700,2500
2015,September,28,10.00,1000,1300,1200
2016,November,01,0.60,1600,2000,1800
2016,September,20,1.20,1900,2200,2000
2015,August,09,2.00,1000,1200,1100
2017,December,02,2.00,1200,1500,1400
2016,October,03,2.00,1600,2000,1800
2014,July,24,2.00,1700,2200,2000
2016,September,22,2.00,1800,2100,2000
2014,June,09,2.00,1800,2200,2000
2016,September,24,2.00,1800,2200,2000
2014,June,25,2.00,1800,2200,2000
2014,June,28,2.00,1800,2200,2000
2016,September,14,2.00,1900,2100,2000
2014,December,10,2.00,2000,2400,2200
2014,July,21,2.00,2000,2400,2200
2014,July,03,2.00,2100,2600,2500
2016,December,01,2.50,800,1000,900
2016,October,15,2.50,1800,2100,2000
2016,December,04,3.00,800,1000,900
2015,April,23,3.00,800,1000,900
2015,February,05,3.00,900,1000,950
2015,April,01,3.00,900,1200,1000
2017,November,21,3.00,1000,1500,1200
2017,June,27,3.00,1000,1500,1200
2016,October,16,3.00,1600,2000,1800
2016,October,17,3.00,1600,2000,1800
2016,October,18,3.00,1600,2000,1800
2016,October,26,3.00,1600,2000,1800
2014,May,28,3.00,1650,2000,1750
2014,June,08,3.00,1750,2200,2000
2016,November,05,3.00,1800,2050,2000
2016,September,03,3.00,1800,2100,2000
2016,October,13,3.00,1800,2100,2000
2016,October,14,3.00,1800,2100,2000
2014,June,11,3.00,1800,2200,2000
2014,December,17,3.00,1800,2200,2000
2014,June,18,3.00,1800,2200,2000
2014,June,20,3.00,1800,2200,2000
2014,June,24,3.00,1800,2200,2000
2016,September,25,3.00,1800,2200,2000
2014,June,26,3.00,1800,2200,2000
2014,August,29,3.00,2200,2700,2600
2014,October,08,3.00,2300,2600,2500
2014,November,08,3.00,2500,2700,2600
2014,November,09,3.00,2500,2700,2600
2016,September,09,3.20,1800,2100,2000
2017,June,07,3.50,800,1000,900
2016,December,09,3.50,800,1000,900
2018,April,01,3.50,900,1200,1000
2017,November,15,3.50,1000,1500,1200
2016,October,02,3.50,1800,2100,2000
2016,September,04,3.50,1800,2200,2000
2016,September,11,3.50,2000,2300,2200
2017,May,18,4.00,600,1000,800
2016,December,07,4.00,800,1000,900
2015,April,24,4.00,800,1000,900
2018,March,14,4.00,800,1200,1000
2018,March,16,4.00,800,1200,1000
2018,April,02,4.00,900,1200,1000
2017,October,06,4.00,900,1200,1000
2017,July,02,4.00,1000,1500,1200
2018,April,16,4.00,1000,1600,1500
2016,November,30,4.00,1200,1500,1300
2014,May,07,4.00,1400,1800,1600
2014,May,11,4.00,1400,1800,1600
2014,May,22,4.00,1400,1800,1600
2017,February,09,4.00,1500,2000,1800
2014,May,23,4.00,1650,2000,1750
2014,July,26,4.00,1700,2200,2000
2014,June,01,4.00,1750,2200,2000
2014,June,05,4.00,1750,2200,2000
2014,June,07,4.00,1750,2200,2000
2014,June,17,4.00,1750,2200,2000
2014,May,30,4.00,1750,2200,2000
2014,May,31,4.00,1750,2200,2000
2016,November,03,4.00,1800,2050,2000
2016,September,05,4.00,1800,2050,2000
2014,December,25,4.00,1800,2100,2000
2016,August,06,4.00,1800,2200,2000
2014,January,06,4.00,1800,2200,2000
2014,June,10,4.00,1800,2200,2000
2014,June,12,4.00,1800,2200,2000
2014,June,21,4.00,1800,2200,2000
2014,June,23,4.00,1800,2200,2000
2016,September,23,4.00,1800,2200,2000
2016,September,27,4.00,1800,2200,2000
2014,June,29,4.00,1800,2200,2000
2016,July,11,4.00,1900,2100,2000
2014,July,07,4.00,2000,2200,2100
2014,July,08,4.00,2000,2200,2100
2014,July,09,4.00,2000,2200,2100
2018,July,04,4.00,2000,2300,2200
2014,July,15,4.00,2000,2400,2200
2014,July,20,4.00,2000,2400,2200
2014,July,01,4.00,2000,2600,2500
2014,July,02,4.00,2100,2700,2600
2014,November,05,4.00,2400,2600,2500
2014,December,06,4.00,2500,2700,2600
2014,November,24,4.00,2500,2700,2600
2015,March,10,4.50,800,1000,900
2016,October,23,4.50,1600,2000,1800
2016,November,02,4.50,1800,2050,2000
2017,March,19,5.00,550,1000,700
2017,May,15,5.00,700,1000,900
2017,June,03,5.00,800,1000,900
2016,December,06,5.00,800,1000,900
2017,December,12,5.00,800,1000,900
2016,December,14,5.00,800,1000,900
2015,March,14,5.00,800,1000,900
2015,February,15,5.00,800,1000,900
2015,April,19,5.00,800,1000,900
2015,March,19,5.00,800,1000,900
2015,April,20,5.00,800,1000,900
2015,February,21,5.00,800,1000,900
2017,April,28,5.00,800,1000,900
2014,February,28,5.00,800,1000,900
2016,December,03,5.00,850,1050,900
2015,February,06,5.00,900,1100,1000
2015,February,28,5.00,900,1100,1000
2014,March,05,5.00,900,1200,1000
2017,October,12,5.00,1000,1500,1200
2015,January,08,5.00,1000,1500,1300
2015,January,07,5.00,1000,1700,1500
2015,November,01,5.00,1100,1300,1200
2015,August,21,5.00,1100,1300,1200
2017,December,04,5.00,1200,1500,1400
2015,January,04,5.00,1200,1800,1600
2015,January,01,5.00,1300,1800,1500
2014,May,02,5.00,1400,1800,1600
2014,May,05,5.00,1400,1800,1600
2014,May,10,5.00,1400,1800,1600
2014,May,19,5.00,1400,1800,1600
2016,November,28,5.00,1500,2000,1800
2016,October,24,5.00,1600,2000,1800
2016,October,25,5.00,1600,2000,1800
2014,May,24,5.00,1650,2000,1750
2014,May,26,5.00,1650,2000,1750
2014,July,31,5.00,1700,2200,2000
2014,June,04,5.00,1750,2200,2000
2014,May,29,5.00,1750,2200,2000
2016,July,04,5.00,1800,2000,1900
2014,August,09,5.00,1800,2000,1900
2014,August,10,5.00,1800,2000,1900
2016,November,09,5.00,1800,2050,2000
2016,October,29,5.00,1800,2050,2000
2016,October,01,5.00,1800,2100,2000
2014,December,27,5.00,1800,2100,2000
2016,October,27,5.00,1800,2100,2000
2014,December,28,5.00,1800,2100,2000
2016,October,28,5.00,1800,2100,2000
2016,September,08,5.00,1800,2200,2000
2014,June,19,5.00,1800,2200,2000
2014,June,22,5.00,1800,2200,2000
2016,September,30,5.00,1800,2200,2000
2014,August,05,5.00,1820,1970,1950
2016,September,12,5.00,1900,2100,2000
2014,June,30,5.00,1900,2400,2300
2014,July,11,5.00,2000,2200,2100
2016,September,15,5.00,2000,2200,2100
2016,August,14,5.00,2000,2250,2200
2016,August,28,5.00,2000,2400,2200
2016,August,31,5.00,2000,2500,2200
2014,December,12,5.00,2000,2600,2400
2014,December,15,5.00,2000,2600,2400
2014,September,27,5.00,2200,2600,2400
2014,November,28,5.00,2200,2600,2500
2014,October,14,5.00,2300,2500,2400
2014,October,16,5.00,2300,2600,2500
2014,December,04,5.00,2400,2600,2500
2014,September,11,5.00,2400,2600,2500
2014,September,12,5.00,2400,2600,2500
2014,September,22,5.00,2400,2600,2500
2014,September,16,5.00,2400,2700,2600
2014,November,20,5.00,2400,2700,2600
2014,November,07,5.00,2500,2600,2550
2014,December,08,5.00,2500,2700,2600
2014,November,11,5.00,2500,2700,2600
2014,November,13,5.00,2500,2700,2600
2014,November,29,5.00,2550,2700,2650
2014,November,23,5.00,2600,2750,2700
2015,March,12,5.50,800,1000,900
2016,November,11,5.50,1800,2050,2000
2016,September,16,5.50,1900,2100,2000
2017,April,04,6.00,550,800,650
