year,month,date,arrival,min,max,modal
2014,July,07,1.00,1600,2000,1800
2014,February,27,1.00,2800,3500,3000
2014,July,04,2.00,1200,1600,1400
2014,July,05,3.00,1200,1600,1400
2014,April,11,3.00,1600,2000,1800
2014,June,29,1.00,1400,1800,1600
2014,May,21,1.00,1500,2000,1800
2014,May,23,1.00,1500,2000,1800
2014,March,28,1.00,1500,2500,2000
2014,June,22,1.00,1600,1800,1700
2014,June,27,1.00,1600,1800,1700
2014,July,10,1.00,1600,2000,1800
2014,May,27,1.00,1600,2000,1800
2014,June,09,1.00,1800,2000,1900
2014,June,03,1.00,1800,2200,2000
2014,May,05,1.00,1800,2200,2000
2014,June,07,1.00,1800,2200,2000
2014,May,03,1.00,1800,2500,2000
2014,June,30,2.00,1300,1800,1700
2014,June,25,2.00,1400,1600,1500
2014,June,24,2.00,1400,1800,1500
2014,June,26,2.00,1400,1800,1500
2014,July,09,2.00,1400,1800,1600
2014,June,20,2.00,1400,1800,1600
2014,June,28,2.00,1400,1800,1600
2014,May,20,2.00,1500,2000,1800
2014,May,22,2.00,1500,2000,1800
2014,May,24,2.00,1500,2000,1800
2014,March,29,2.00,1500,2500,2000
2014,July,08,2.00,1600,2000,1800
2014,June,12,2.00,1600,2000,1800
2014,June,13,2.00,1600,2000,1800
2014,May,26,2.00,1600,2000,1800
2014,June,08,2.00,1800,2000,1900
2014,June,06,2.00,1800,2200,2000
2014,May,19,2.00,1800,2200,2000
2014,May,17,2.00,2000,2500,2200
2017,March,16,3.00,600,900,800
2015,February,24,3.00,1500,2000,1800
2014,April,01,3.00,1500,2500,2000
2014,July,06,3.00,1600,2000,1800
2014,June,11,3.00,1600,2000,1800
2014,June,17,3.00,1600,2000,1800
2014,June,23,3.00,1600,2000,1800
2014,May,25,3.00,1600,2000,1800
2014,May,02,3.00,1800,2500,2000
2014,April,21,3.00,1800,2500,2000
2018,March,14,3.00,2000,2500,2200
2018,August,01,3.00,3000,3500,3200
2014,June,19,4.00,1500,1800,1600
2014,March,26,4.00,1500,2500,2000
2014,June,16,4.00,1600,2000,1800
2018,March,17,4.00,1800,2200,2000
2018,March,19,4.00,1800,2200,2000
2014,April,23,4.00,1800,2500,2000
2014,April,28,4.00,1800,2500,2000
2015,December,11,5.00,2500,3000,2800
2014,October,10,2.00,4800,6000,5500
2014,July,31,3.00,1800,2500,2200
2014,July,20,0.30,1600,2000,1800
2016,September,27,0.60,2800,3500,3000
2016,October,01,0.70,2800,3500,3000
2016,September,28,0.70,2800,3500,3000
2016,October,13,0.80,2900,3200,3000
2016,April,19,1.00,1800,2200,2000
2016,September,20,1.00,2500,3000,2800
2016,August,31,1.00,2800,3200,3000
2016,August,20,1.00,2800,3500,3200
2016,October,14,1.00,3000,3300,3200
2022,April,12,1.20,2400,2600,2500
2016,October,03,1.50,2800,3200,3000
2016,September,29,1.50,2900,3200,3000
2016,October,15,1.50,3000,3500,3200
2016,October,18,1.50,3000,3800,3500
2015,April,23,2.00,800,1200,1000
2015,March,23,2.00,1000,1400,1200
2015,April,29,2.00,1000,1500,1200
2017,January,19,2.00,1000,1800,1500
2015,March,31,2.00,1000,1800,1500
2017,June,07,2.00,1000,2000,1500
2015,February,11,2.00,1200,1800,1500
2017,April,26,2.00,1500,2000,1800
2016,April,07,2.00,1800,2000,1900
2016,April,01,2.00,1800,2200,2000
2016,March,16,2.00,1800,2200,2000
2018,March,31,2.00,1800,2200,2000
