year,month,date,arrival,min,max,modal
2018,January,18,5.00,2100,2300,2200
2014,November,01,2.00,2000,2500,2400
2014,August,13,2.00,2350,2900,2700
2014,September,20,2.00,2350,2970,2700
2016,July,07,2.00,2400,2900,2700
2015,August,16,2.00,2400,2900,2700
2016,June,24,2.00,2400,2900,2700
2015,October,24,2.00,2400,2900,2700
2016,March,25,2.00,2400,2900,2700
2014,July,27,2.00,2400,2900,2700
2014,August,29,2.00,2400,2900,2700
2015,September,29,2.00,2400,2900,2700
2014,September,26,2.00,2400,2950,2700
2014,September,19,2.00,2400,3000,2700
2014,August,26,2.00,2400,3000,2700
2014,August,19,2.50,2300,2900,2700
2014,August,14,2.50,2350,2950,2700
2014,October,21,2.50,2400,2900,2700
2014,August,21,3.00,2200,2850,2700
2018,June,18,3.00,2300,2500,2400
2018,June,23,3.00,2300,2500,2400
2014,August,16,3.00,2300,2900,2700
2014,September,09,3.00,2300,2950,2700
2014,October,20,3.00,2350,2850,2650
2016,September,01,3.00,2400,2800,2500
2016,September,03,3.00,2400,2800,2500
2016,September,07,3.00,2400,2800,2500
2016,August,11,3.00,2400,2800,2500
2016,July,12,3.00,2400,2800,2500
2016,August,15,3.00,2400,2800,2500
2016,August,29,3.00,2400,2800,2500
2016,July,29,3.00,2400,2800,2500
2016,August,31,3.00,2400,2800,2500
2014,July,25,3.00,2400,2800,2600
2015,August,01,3.00,2400,2900,2700
2016,February,01,3.00,2400,2900,2700
2015,January,03,3.00,2400,2900,2700
2015,November,03,3.00,2400,2900,2700
2015,September,04,3.00,2400,2900,2700
2015,January,05,3.00,2400,2900,2700
2015,November,05,3.00,2400,2900,2700
2015,May,06,3.00,2400,2900,2700
2015,October,06,3.00,2400,2900,2700
2015,September,06,3.00,2400,2900,2700
2015,July,07,3.00,2400,2900,2700
2015,May,07,3.00,2400,2900,2700
2016,July,08,3.00,2400,2900,2700
2015,July,09,3.00,2400,2900,2700
2015,June,10,3.00,2400,2900,2700
2015,September,10,3.00,2400,2900,2700
2015,December,12,3.00,2400,2900,2700
2015,November,12,3.00,2400,2900,2700
2015,September,12,3.00,2400,2900,2700
2014,October,13,3.00,2400,2900,2700
2015,October,13,3.00,2400,2900,2700
2015,August,14,3.00,2400,2900,2700
2015,May,14,3.00,2400,2900,2700
2016,March,15,3.00,2400,2900,2700
2015,March,16,3.00,2400,2900,2700
2015,January,17,3.00,2400,2900,2700
2015,March,17,3.00,2400,2900,2700
2015,August,18,3.00,2400,2900,2700
2015,June,18,3.00,2400,2900,2700
2015,May,18,3.00,2400,2900,2700
2015,March,19,3.00,2400,2900,2700
2015,November,19,3.00,2400,2900,2700
2014,December,20,3.00,2400,2900,2700
2015,August,21,3.00,2400,2900,2700
2016,June,21,3.00,2400,2900,2700
2015,November,23,3.00,2400,2900,2700
2014,July,26,3.00,2400,2900,2700
2015,April,27,3.00,2400,2900,2700
2015,January,27,3.00,2400,2900,2700
2014,October,27,3.00,2400,2900,2700
2015,July,29,3.00,2400,2900,2700
2014,July,30,3.00,2400,2900,2700
2015,May,30,3.00,2400,2900,2700
2014,October,30,3.00,2400,2900,2700
2015,July,31,3.00,2400,2900,2700
2015,April,02,3.00,2400,2950,2700
2015,July,03,3.00,2400,2950,2700
2015,April,04,3.00,2400,2950,2700
2015,March,04,3.00,2400,2950,2700
2015,April,07,3.00,2400,2950,2700
2015,March,07,3.00,2400,2950,2700
2015,March,11,3.00,2400,2950,2700
2015,March,13,3.00,2400,2950,2700
2015,August,19,3.00,2400,2950,2700
2015,January,19,3.00,2400,2950,2700
2015,January,22,3.00,2400,2950,2700
2015,March,25,3.00,2400,2950,2700
2015,January,26,3.00,2400,2950,2700
2015,March,26,3.00,2400,2950,2700
2015,July,27,3.00,2400,2950,2700
2015,January,28,3.00,2400,2950,2700
2015,March,30,3.00,2400,2950,2700
2015,March,31,3.00,2400,2950,2700
2014,August,25,3.00,2400,3000,2700
2014,August,11,3.00,2500,2850,2700
2016,May,18,3.20,2450,2950,2750
