year,month,date,arrival,min,max,modal
2014,April,09,4.00,6000,7500,7200
2014,January,03,4.00,7000,7500,7300
2014,January,07,4.00,7000,7500,7300
2014,March,07,4.00,7000,7500,7300
2014,March,12,4.00,7000,7500,7300
2014,February,24,4.00,7000,7500,7300
2014,May,28,4.00,7000,7500,7300
2014,June,07,4.00,7000,7800,7500
2014,January,10,5.00,7000,7500,7300
2014,May,29,5.00,7000,7500,7300
2015,January,01,5.00,7000,7600,7400
2014,June,03,5.00,7000,7600,7400
2015,January,07,5.00,7000,7600,7400
2015,January,13,5.00,7000,7600,7400
2014,August,07,5.00,7000,7700,7300
2014,July,10,5.00,7000,7800,7500
2014,June,11,5.00,7000,7800,7500
2014,July,15,5.00,7000,7800,7600
2014,January,21,6.00,7000,7500,7200
2014,February,01,6.00,7000,7500,7300
2014,March,01,6.00,7000,7500,7300
2014,April,02,6.00,7000,7500,7300
2014,May,02,6.00,7000,7500,7300
2014,January,04,6.00,7000,7500,7300
2014,March,06,6.00,7000,7500,7300
2014,March,11,6.00,7000,7500,7300
2014,May,12,6.00,7000,7500,7300
2014,January,13,6.00,7000,7500,7300
2014,April,17,6.00,7000,7500,7300
2014,March,22,6.00,7000,7500,7300
2014,April,23,6.00,7000,7500,7300
2014,March,27,6.00,7000,7500,7300
2015,January,12,6.00,7000,7600,7400
2014,December,14,6.00,7000,7600,7400
2015,January,16,6.00,7000,7600,7400
2015,January,20,6.00,7000,7600,7400
2014,June,04,6.00,7000,7800,7500
2014,July,08,6.00,7000,7800,7500
2014,June,16,6.00,7000,7800,7500
2014,July,17,6.00,7000,7800,7600
2014,April,10,7.00,6200,7500,7300
2014,January,18,7.00,7000,7500,7200
2014,February,26,7.00,7000,7500,7200
2014,March,05,7.00,7000,7500,7300
2014,May,05,7.00,7000,7500,7300
2014,May,07,7.00,7000,7500,7300
2014,May,08,7.00,7000,7500,7300
2014,January,16,7.00,7000,7500,7300
2014,March,24,7.00,7000,7500,7300
2014,March,26,7.00,7000,7500,7300
2014,May,26,7.00,7000,7500,7300
2014,March,28,7.00,7000,7500,7300
2014,April,29,7.00,7000,7500,7300
2014,January,30,7.00,7000,7500,7300
2014,March,31,7.00,7000,7500,7300
2014,May,31,7.00,7000,7500,7300
2014,August,06,7.00,7000,7600,7300
2015,January,30,7.00,7000,7600,7300
2015,April,01,7.00,7000,7600,7400
2015,April,04,7.00,7000,7600,7400
2015,February,04,7.00,7000,7600,7400
2015,January,08,7.00,7000,7600,7400
2015,April,11,7.00,7000,7600,7400
2015,February,17,7.00,7000,7600,7400
2015,February,18,7.00,7000,7600,7400
2015,March,23,7.00,7000,7600,7400
2015,March,29,7.00,7000,7600,7400
2015,March,31,7.00,7000,7600,7400
2014,June,02,7.00,7000,7600,7500
2014,July,23,7.00,7000,7800,7400
2014,June,09,7.00,7000,7800,7500
2014,June,12,7.00,7000,7800,7500
2014,July,18,7.00,7000,7800,7600
2014,June,06,7.00,7000,8000,7500
2014,August,12,7.00,7200,7600,7400
2014,August,21,7.00,7350,7600,7400
2014,April,03,8.00,6000,7500,7200
2014,April,05,8.00,6000,7500,7200
2014,April,07,8.00,6000,7500,7200
2014,January,17,8.00,7000,7500,7200
2014,April,24,8.00,7000,7500,7300
2014,March,25,8.00,7000,7500,7300
2014,August,22,8.00,7300,7600,7400
2014,January,02,9.00,7000,7500,7300
2014,March,04,9.00,7000,7500,7300
2014,January,08,9.00,7000,7500,7300
2014,March,13,9.00,7000,7500,7300
2014,April,28,9.00,7000,7500,7300
2014,July,19,9.00,7000,8000,7600
2014,September,11,10.00,7000,7500,7300
2014,October,14,10.00,7000,7500,7300
2014,October,15,10.00,7000,7500,7300
2014,April,21,10.00,7000,7500,7300
2014,October,24,10.00,7000,7500,7400
2014,October,10,10.00,7000,7600,7300
2014,November,01,10.00,7000,7600,7400
2015,April,02,10.00,7000,7600,7400
2015,February,02,10.00,7000,7600,7400
2015,March,02,10.00,7000,7600,7400
2015,March,03,10.00,7000,7600,7400
2014,November,03,10.00,7000,7600,7400
2014,December,04,10.00,7000,7600,7400
2015,February,05,10.00,7000,7600,7400
2015,March,06,10.00,7000,7600,7400
2015,April,07,10.00,7000,7600,7400
2014,December,09,10.00,7000,7600,7400
2015,February,10,10.00,7000,7600,7400
2015,February,11,10.00,7000,7600,7400
2015,February,16,10.00,7000,7600,7400
2015,March,17,10.00,7000,7600,7400
2014,November,17,10.00,7000,7600,7400
2015,March,18,10.00,7000,7600,7400
2015,February,19,10.00,7000,7600,7400
2015,February,21,10.00,7000,7600,7400
2014,November,29,10.00,7000,7600,7400
2014,October,31,10.00,7000,7600,7400
2014,January,22,12.00,7000,7500,7200
2014,February,25,12.00,7000,7500,7200
2014,January,06,12.00,7000,7500,7300
2014,March,10,12.00,7000,7500,7300
2014,November,21,12.00,7000,7600,7400
2014,January,03,4.00,5400,5800,5600
2014,January,07,4.00,5400,5800,5600
2014,March,07,4.00,5400,5800,5600
2014,March,12,4.00,5400,5800,5600
2014,February,24,4.00,5400,5800,5600
2014,January,10,5.00,5400,5800,5600
2014,February,01,6.00,5400,5800,5600
2014,March,01,6.00,5400,5800,5600
2014,April,02,6.00,5400,5800,5600
2014,January,04,6.00,5400,5800,5600
2014,March,06,6.00,5400,5800,5600
2014,March,11,6.00,5400,5800,5600
2014,January,13,6.00,5400,5800,5600
2014,January,21,6.00,5400,5800,5600
2014,March,22,6.00,5400,5800,5600
2014,March,27,6.00,5400,5800,5600
2014,March,05,7.00,5400,5800,5600
2014,January,16,7.00,5400,5800,5600
2014,January,18,7.00,5400,5800,5600
2014,March,24,7.00,5400,5800,5600
2014,February,26,7.00,5400,5800,5600
2014,March,26,7.00,5400,5800,5600
2014,March,28,7.00,5400,5800,5600
2014,January,30,7.00,5400,5800,5600
2014,March,31,7.00,5400,5800,5600
2014,April,05,8.00,5200,5700,5500
2014,January,17,8.00,5400,5800,5600
2014,March,25,8.00,5400,5800,5600
2014,January,02,9.00,5400,5800,5600
2014,March,04,9.00,5400,5800,5600
2014,January,08,9.00,5400,5800,5600
2014,March,13,9.00,5400,5800,5600
2014,January,06,12.00,5400,5800,5600
2014,March,10,12.00,5400,5800,5600
2014,January,22,12.00,5400,5800,5600
2014,February,25,12.00,5400,5800,5600
