year,month,date,arrival,min,max,modal
2015,January,27,0.01,1130,1180,1150
2015,January,12,0.01,1210,1230,1225
2015,July,31,0.07,1170,1200,1180
2016,April,08,0.15,7800,8500,8100
2015,June,03,0.18,1200,1220,1210
2015,December,05,0.22,1230,1260,1250
2016,April,05,0.22,7800,8400,8200
2016,April,19,0.22,7800,8400,8200
2016,April,29,0.22,7800,8400,8200
2016,June,02,0.22,7800,8500,8000
2016,May,03,0.22,7800,8500,8000
2016,March,31,0.22,7800,8500,8200
2016,March,16,0.22,8000,8250,8000
2016,February,17,0.22,8000,8250,8100
2016,March,08,0.22,8000,8300,8100
2016,March,28,0.22,8000,8300,8100
2016,March,14,0.22,8000,8300,8200
2017,July,07,0.30,7000,10600,7500
2017,June,13,0.30,7000,10600,7500
2017,June,14,0.30,7000,10600,7500
2017,June,16,0.30,7000,10600,7500
2017,June,17,0.30,7000,10600,7500
2017,June,19,0.30,7000,10600,7500
2017,July,20,0.30,7000,10600,7500
2017,June,20,0.30,7000,10600,7500
2017,June,21,0.30,7000,10600,7500
2017,June,23,0.30,7000,10600,7500
2017,July,27,0.30,7000,10600,7500
2017,June,28,0.30,7000,10600,7500
2017,July,29,0.30,7000,10600,7500
2017,July,31,0.30,7000,10600,7500
2017,July,04,0.30,7000,10600,7600
2017,July,11,0.30,7000,10600,7600
2017,August,17,0.30,7200,10400,7600
2016,August,30,0.30,7200,11500,7800
2017,May,03,0.30,7200,11900,7500
2016,September,28,0.30,7200,12200,7500
2016,October,24,0.30,7300,12000,7500
2017,February,04,0.30,7500,8500,8000
2017,January,07,0.30,7500,11600,8000
2016,March,04,0.30,7700,8200,8000
2016,April,06,0.30,7800,8400,8200
2016,April,28,0.30,7800,8400,8200
2016,May,02,0.30,7800,8500,8200
2016,June,09,0.30,7800,8500,8200
2016,February,16,0.30,8000,8250,8100
2016,March,29,0.30,8000,8300,8100
2016,March,17,0.30,8000,8400,8200
2016,April,18,0.30,8000,8500,8200
2016,June,16,0.33,7700,8500,8200
2017,August,09,0.37,7000,10200,7800
2017,July,05,0.37,7000,10600,7400
2017,July,01,0.37,7000,10600,7500
2017,August,02,0.37,7000,10600,7500
2017,August,04,0.37,7000,10600,7500
2017,July,06,0.37,7000,10600,7500
2017,July,10,0.37,7000,10600,7500
2017,July,12,0.37,7000,10600,7500
2017,June,12,0.37,7000,10600,7500
2017,July,14,0.37,7000,10600,7500
2017,July,17,0.37,7000,10600,7500
2017,July,18,0.37,7000,10600,7500
2017,July,19,0.37,7000,10600,7500
2017,July,24,0.37,7000,10600,7500
2017,June,27,0.37,7000,10600,7500
2017,July,28,0.37,7000,10600,7500
2017,June,29,0.37,7000,10600,7500
2017,March,20,0.37,7200,11600,7500
2016,October,04,0.37,7200,12200,7500
2016,February,23,0.37,7500,8300,8000
2017,August,16,0.37,7500,10300,7800
2017,February,09,0.37,7500,11600,8000
2016,June,10,0.37,7700,8500,8200
2016,July,04,0.37,7700,11300,8000
2016,July,08,0.37,7700,11400,8000
2016,April,20,0.37,7800,8400,8200
2016,April,22,0.37,7800,8450,8000
2016,June,03,0.37,7800,8500,8000
2016,May,06,0.37,7800,8500,8000
2016,May,12,0.37,7800,8500,8000
2016,May,04,0.37,7800,8500,8200
2016,April,25,0.37,7800,8500,8200
2016,May,27,0.37,7800,8500,8200
2016,March,09,0.37,8000,8300,8100
2016,February,11,0.37,8000,8300,8100
2017,June,22,0.45,7000,10600,7500
2017,July,25,0.45,7000,10600,7500
2017,July,26,0.45,7000,10600,7500
2017,May,04,0.45,7200,11900,7500
2016,September,29,0.45,7200,12200,7500
2016,March,01,0.45,7500,8300,8100
2016,March,03,0.45,7500,8300,8100
2016,August,08,0.45,7500,11500,8000
2017,January,03,0.45,7500,12000,8000
2016,June,13,0.45,7700,8500,8200
2016,June,24,0.45,7700,8500,8200
2016,July,13,0.45,7700,11400,8000
2016,June,06,0.45,7800,8500,8000
2016,February,10,0.45,8000,8300,8100
2016,February,18,0.45,8000,8300,8200
2016,June,18,0.48,7700,8500,8200
2016,April,21,0.48,7800,8450,8000
2016,March,11,0.48,8000,8300,8200
2016,September,01,0.52,7200,11500,7800
2016,February,24,0.52,7500,8300,8000
2016,August,01,0.52,7500,11500,8000
2016,August,04,0.52,7500,11500,8000
2016,August,10,0.52,7500,11500,8000
2016,August,12,0.52,7500,11500,8000
2016,July,16,0.52,7500,11500,8000
2016,June,17,0.52,7700,8500,8200
2016,March,07,0.52,7800,8200,8000
2017,August,03,0.60,7000,10600,7500
2017,August,07,0.60,7000,10600,7500
2017,June,07,0.60,7000,10600,7500
2016,September,08,0.60,7200,11500,7500
2016,November,03,0.60,7200,12000,7500
2016,October,06,0.60,7200,12000,7500
2016,September,22,0.60,7200,12000,7500
2016,September,27,0.60,7200,12000,7600
2016,October,21,0.60,7200,12000,7800
2016,October,05,0.60,7200,12200,7500
2016,August,03,0.60,7500,11500,8000
2016,August,06,0.60,7500,11500,8000
2016,August,20,0.60,7500,11500,8000
2016,August,29,0.60,7500,11500,8000
2017,January,05,0.60,7500,11600,8000
2016,July,02,0.60,7600,11300,8000
2016,July,06,0.60,7700,11300,8000
2016,July,12,0.60,7700,11400,8000
2016,February,09,0.60,8000,8100,8050
2016,February,12,0.60,8000,8300,8100
2016,March,18,0.60,8000,8400,8200
2016,September,19,0.67,7200,11500,7700
2016,September,26,0.67,7200,12000,7500
2016,October,03,0.67,7200,12200,7500
2016,August,05,0.67,7500,11500,8000
2016,August,09,0.67,7500,11500,8000
2016,August,18,0.67,7500,11500,8000
2016,July,05,0.67,7700,11300,8000
2017,May,29,0.75,6200,11500,7000
2017,May,17,0.75,6200,11600,9000
2017,August,10,0.75,7000,10200,7500
2017,June,06,0.75,7000,10600,7500
2017,June,09,0.75,7000,10600,7500
2017,May,20,0.75,7000,11000,9000
2016,September,09,0.75,7200,11500,7500
2016,September,06,0.75,7200,11500,7700
2017,April,19,0.75,7200,11600,7500
2016,October,18,0.75,7200,12000,7500
2016,September,16,0.75,7200,12000,7800
2016,October,26,0.75,7300,12000,7500
2016,August,02,0.75,7500,11500,8000
2016,August,19,0.75,7500,11500,8000
2017,January,12,0.75,7500,11900,8000
2016,July,11,0.75,7700,11400,8000
2016,April,27,0.75,7800,8400,8000
2016,April,11,0.75,8000,8500,8200
2017,May,27,0.90,6000,11500,8500
2017,May,16,0.90,6200,11500,9000
2017,May,30,0.90,6200,11500,9000
2017,May,19,0.90,6700,11200,9500
2017,May,18,0.90,7000,11500,9000
2017,May,22,0.90,7000,11500,9000
2016,September,05,0.90,7200,11500,7700
2016,October,07,0.90,7200,12000,7500
2016,September,23,0.90,7200,12000,7500
2016,September,12,0.90,7200,12000,7800
2016,September,15,0.90,7200,12000,7800
2016,October,13,0.90,7200,12200,7500
2016,October,14,0.90,7200,12200,7500
2017,May,08,0.90,7300,11000,9500
2016,October,25,0.90,7300,12000,7500
2016,March,02,0.90,7500,8300,8100
2016,April,26,0.90,7800,8400,8000
2016,February,15,0.90,8000,8300,8200
2016,October,27,0.97,7300,12000,7500
2017,May,24,1.04,6800,11500,9000
2016,September,20,1.04,7200,11500,7700
2016,October,15,1.04,7200,12200,7500
2016,July,14,1.04,7500,11500,8000
2016,August,16,1.12,7500,11500,8000
2017,August,28,1.19,7500,10400,7800
2015,December,17,1.49,1200,1250,1220
2016,September,30,1.49,7200,12200,7500
2018,January,09,1.49,7500,10700,8000
2018,January,08,1.49,7500,11000,8000
2017,January,10,1.49,7500,11600,8000
2016,October,01,1.64,7200,12200,7500
2015,December,14,2.24,1200,1240,1220
2015,December,28,2.24,1200,1250,1220
2015,December,11,2.24,1220,1250,1240
2015,December,04,2.24,1220,1260,1240
2014,July,16,2.24,7600,7800,7650
2014,November,18,2.39,1130,1160,1150
2015,December,16,2.39,1200,1250,1230
2015,December,29,2.54,1200,1250,1220
2017,August,22,2.69,7500,10400,7800
2015,July,28,2.99,1170,1200,1190
2016,January,05,2.99,1200,1250,1220
2015,December,23,2.99,1200,1250,1220
2015,December,15,2.99,1200,1250,1230
2016,January,18,2.99,1200,1250,1230
2015,December,21,2.99,1200,1250,1230
2016,January,27,2.99,1200,1250,1230
2015,December,30,2.99,1200,1250,1230
2015,November,02,2.99,1220,1250,1240
2015,November,07,2.99,1220,1260,1240
2015,December,08,2.99,1220,1260,1240
2015,December,10,2.99,1220,1260,1240
2017,October,16,2.99,7500,10400,7800
2017,October,13,2.99,7500,10600,7800
2017,October,09,2.99,7500,10600,8000
2017,November,18,2.99,7500,10700,8000
2017,December,11,2.99,7500,10800,8000
2017,December,18,2.99,7500,10800,8000
2017,November,21,2.99,7500,10800,8000
2017,November,30,2.99,7500,10800,8000
2018,January,04,2.99,7500,11000,8000
2018,March,07,2.99,7500,11000,8000
2018,January,16,2.99,7500,11000,8000
2018,February,06,2.99,7800,11000,8000
2017,November,13,3.13,7500,10600,8000
2017,October,17,3.13,7500,10600,8000
2017,November,16,3.13,7500,10700,8000
2017,November,27,3.13,7500,10800,8000
2018,August,14,3.13,9000,10800,9500
2018,August,02,3.28,9000,10800,9500
2018,August,08,3.28,9000,10800,9500
2018,September,18,3.28,9000,10800,9500
2018,August,20,3.28,9000,10800,9500
2017,December,07,3.28,7500,10800,8000
2018,January,11,3.28,7500,10800,8000
2018,January,22,3.28,7500,10800,8000
2018,March,06,3.28,7500,11000,8000
2018,March,08,3.28,7800,10800,8000
2018,March,15,3.28,8000,10600,8500
2018,April,21,3.28,8000,10800,8500
2018,February,20,3.28,8000,11000,8500
2018,May,29,3.28,8500,10800,9000
2018,May,23,3.28,8500,11000,9000
2018,December,06,3.43,9000,11000,9500
2018,October,20,3.43,9500,11400,10000
2017,September,07,3.58,7500,10200,7800
2018,September,04,3.58,9000,10800,9500
2018,September,06,3.58,9000,10800,9500
2018,June,13,3.58,9000,10800,9500
2018,July,16,3.58,9000,10800,9500
2018,July,20,3.58,9000,10800,9500
2018,July,02,3.58,9000,11000,9500
2018,December,03,3.58,9000,11000,9500
2018,July,04,3.58,9000,11000,9500
2019,February,05,3.58,9000,11000,9500
2019,January,07,3.58,9000,11000,9500
2018,May,10,3.58,9000,11000,9500
2019,February,15,3.58,9000,11000,9500
2019,February,20,3.58,9000,11000,9500
2019,August,29,3.58,9000,11000,9500
2019,July,31,3.58,9000,11000,9500
2018,October,03,3.58,9500,11400,10000
2018,October,15,3.58,9500,11400,10000
2015,December,18,3.73,1200,1250,1220
2016,January,01,3.73,1200,1250,1230
2016,January,25,3.73,1200,1250,1230
2015,November,05,3.73,1220,1260,1240
2015,November,09,3.73,1220,1260,1240
2015,November,16,3.73,1220,1260,1240
2015,November,27,3.73,1230,1260,1250
2015,November,19,3.73,1240,1260,1250
2018,March,20,3.73,8000,10600,8500
2018,March,26,3.73,8000,10600,8500
2018,April,06,3.73,8000,10800,8500
2018,April,27,3.73,8500,10800,9000
2018,March,29,3.73,8500,11000,9000
2018,July,12,3.73,9000,10800,9500
2019,July,01,3.73,9000,11000,9500
2019,October,01,3.73,9000,11000,9500
2019,March,02,3.73,9000,11000,9500
2019,January,03,3.73,9000,11000,9500
2019,September,03,3.73,9000,11000,9500
2019,February,04,3.73,9000,11000,9500
2019,January,04,3.73,9000,11000,9500
2019,October,04,3.73,9000,11000,9500
2019,August,06,3.73,9000,11000,9500
