year,month,date,arrival,min,max,modal
2015,March,13,0.20,2200,2300,2250
2015,May,14,0.20,2300,2400,2350
2014,December,15,0.40,2200,2400,2300
2014,August,20,5.00,2200,2400,2300
2014,August,22,5.00,2200,2400,2300
2014,August,04,6.00,2200,2400,2300
2014,August,12,6.00,2200,2400,2300
2014,August,09,6.50,2200,2400,2300
2014,August,05,7.00,2200,2400,2300
2014,August,11,7.00,2200,2400,2300
2014,August,13,7.00,2200,2400,2300
2014,August,02,7.50,2200,2400,2300
2014,August,07,7.50,2200,2400,2300
2014,September,03,8.00,2200,2400,2300
2014,August,14,8.00,2200,2400,2300
2014,August,29,8.00,2200,2400,2300
2014,August,01,9.00,2200,2400,2300
2014,August,08,9.00,2200,2400,2300
2014,December,08,10.00,2100,2300,2200
2015,February,04,10.00,2200,2300,2250
2014,September,06,10.00,2200,2300,2250
2014,October,10,10.00,2200,2300,2250
2014,September,11,10.00,2200,2300,2250
2014,September,12,10.00,2200,2300,2250
2015,April,22,10.00,2200,2300,2250
2014,September,04,10.00,2200,2400,2300
2014,September,05,10.00,2200,2400,2300
2014,August,26,10.00,2200,2400,2300
2014,September,27,10.00,2200,2400,2300
2014,September,08,12.00,2200,2300,2250
2015,March,19,12.00,2200,2400,2300
2014,September,19,15.00,2200,2300,2250
2014,September,20,15.00,2200,2300,2250
2014,September,22,15.00,2200,2300,2250
2015,March,20,15.00,2200,2400,2300
2014,December,12,20.00,2100,2300,2200
2014,November,18,20.00,2200,2300,2250
2014,October,18,20.00,2200,2300,2250
2015,April,21,20.00,2200,2300,2250
2014,November,22,20.00,2200,2300,2250
2014,September,10,20.00,2200,2400,2300
2014,September,16,20.00,2200,2400,2300
2014,August,25,20.00,2200,2400,2300
2015,March,30,23.00,2200,2300,2250
2015,April,20,30.00,2200,2300,2250
2014,September,30,30.00,2200,2300,2250
2015,May,28,30.00,2300,2400,2350
2015,April,16,40.00,2200,2300,2250
2015,March,18,0.10,2200,2400,2300
2014,June,07,6.00,2000,2300,2100
2014,June,16,6.00,2100,2300,2200
2014,June,19,6.00,2100,2300,2200
2014,July,04,6.00,2100,2400,2200
2014,June,24,6.00,2100,2400,2200
2014,June,27,6.00,2100,2400,2200
2014,May,22,6.00,2100,2500,2200
2014,May,03,6.00,2200,2500,2300
2014,June,12,6.50,2100,2300,2200
2014,May,20,6.50,2100,2500,2200
2014,May,26,6.50,2100,2500,2300
2014,June,10,7.00,2000,2200,2100
2014,June,03,7.00,2000,2300,2100
2014,June,05,7.00,2000,2300,2100
2014,June,06,7.00,2000,2300,2100
2014,May,06,7.00,2100,2300,2200
2014,May,08,7.00,2100,2300,2200
2014,June,13,7.00,2100,2300,2200
2014,June,17,7.00,2100,2300,2200
2014,May,30,7.00,2100,2300,2200
2014,June,25,7.00,2100,2400,2200
2014,June,30,7.00,2100,2400,2200
2014,May,21,7.00,2100,2500,2200
2014,May,23,7.00,2100,2500,2300
2014,May,28,7.00,2100,2500,2300
2014,May,01,7.00,2200,2500,2300
2014,May,05,7.00,2200,2500,2300
2014,January,27,7.00,2200,2500,2300
2014,May,16,7.00,2200,2600,2300
2014,May,19,7.00,2200,2600,2300
2014,June,20,7.50,2100,2300,2200
2014,June,23,7.50,2100,2300,2200
2014,July,05,7.50,2100,2400,2200
2014,June,11,8.00,2000,2200,2100
2014,June,04,8.00,2000,2300,2100
2014,June,02,9.00,2000,2300,2100
2014,May,07,9.00,2100,2300,2200
2014,June,21,9.00,2100,2300,2200
2014,July,03,9.00,2100,2400,2200
2014,May,27,9.00,2100,2500,2300
2014,May,29,9.00,2100,2500,2300
2014,May,09,9.00,2200,2400,2300
2014,January,21,9.00,2200,2400,2300
2014,May,17,9.00,2200,2600,2300
2014,May,15,11.00,2200,2600,2300
2014,May,12,12.00,2200,2500,2300
2014,May,13,13.50,2200,2500,2300
