year,month,date,arrival,min,max,modal
2015,July,29,0.20,2000,3000,2800
2015,March,12,0.30,1900,2900,2700
2015,March,13,0.30,1900,2900,2700
2014,December,04,0.30,2400,3000,2850
2015,December,01,0.40,2000,2800,2700
2015,March,28,0.40,2200,3000,2800
2015,February,04,0.50,1900,3000,2600
2015,January,21,0.50,2200,2800,2700
2015,May,06,0.50,2200,3000,2800
2014,December,12,0.50,2200,3000,2800
2014,December,22,0.50,2300,3000,2800
2014,November,29,0.50,2400,2700,2600
2014,October,16,0.50,2500,3200,3000
2015,January,19,0.60,2200,2700,2600
2014,November,24,0.60,2400,2700,2600
2015,May,25,0.70,2200,3000,2880
2015,March,14,0.80,1900,2900,2700
2015,March,26,0.80,2200,3000,2800
2014,August,22,2.00,2500,3200,2800
2014,August,13,4.00,2500,3200,2700
2017,October,23,4.10,2500,5000,3000
2014,August,08,5.00,2500,3000,2700
2014,August,12,5.00,2500,3200,2700
2014,August,11,6.00,2500,3200,2700
2015,August,04,10.00,2000,3000,2800
2015,August,07,10.00,2000,3000,2800
2015,August,18,10.00,2000,3000,2800
2014,October,14,10.00,2500,3200,3000
2014,September,26,10.00,2500,3200,3000
2014,August,07,13.20,2500,3000,2700
2014,August,09,13.20,2500,3000,2700
2014,August,04,13.50,2500,3000,2700
2014,July,22,13.50,2500,3000,2700
2014,July,24,13.50,2500,3000,2700
2014,July,19,14.50,2500,2800,2600
2014,July,11,14.50,2500,3000,2700
2015,March,18,15.00,1900,2700,2500
2015,August,14,15.00,2000,3000,2700
2015,August,12,15.00,2000,3000,2800
2016,November,09,15.00,2250,3000,2700
2017,July,29,15.00,2250,5000,3000
2017,June,28,15.00,2300,3700,3000
2014,August,01,15.00,2500,3000,2700
2014,August,14,15.00,2500,3200,2700
2014,September,03,15.00,2500,3200,3000
2017,May,30,16.00,2250,3700,3000
2014,August,02,16.00,2500,3000,2700
2014,July,25,16.00,2500,3000,2700
2014,July,18,16.50,2500,2800,2600
2014,July,21,16.50,2500,3000,2700
2017,May,27,17.00,2300,3600,3000
2014,July,15,17.00,2500,3000,2700
2014,July,26,17.00,2500,3000,2700
2014,July,28,17.00,2500,3000,2700
2014,July,31,17.00,2500,3000,2700
2015,August,27,18.00,1950,3000,2700
2015,September,07,18.00,2000,3000,2700
2015,September,09,18.00,2000,3000,2700
2015,August,20,18.00,2000,3000,2800
2015,August,25,18.00,2050,3000,2700
2017,May,17,18.00,2200,3700,3000
2014,December,08,19.00,2200,3000,2500
2015,August,13,20.00,1050,3000,2700
2015,August,31,20.00,1950,3000,2800
2015,August,01,20.00,2000,3000,2800
2015,August,03,20.00,2000,3000,2800
2015,August,05,20.00,2000,3000,2800
2015,August,06,20.00,2000,3000,2800
2015,September,11,20.00,2000,3000,2800
2015,September,16,20.00,2000,3000,2800
2015,August,17,20.00,2000,3000,2800
2015,September,21,20.00,2000,3000,2800
2015,August,24,20.00,2000,3000,2800
2015,August,26,20.00,2000,3000,2800
2015,August,28,20.00,2000,3000,2800
2015,July,28,20.00,2000,3000,2800
2016,May,10,20.00,2100,3000,2700
2015,October,28,20.00,2100,3100,2800
2016,July,02,20.00,2200,3000,2700
2016,September,12,20.00,2200,3000,2700
2016,July,16,20.00,2200,3000,2700
2016,September,16,20.00,2200,3000,2700
2016,July,18,20.00,2200,3000,2700
2016,August,20,20.00,2200,3000,2700
2016,July,20,20.00,2200,3000,2700
2016,November,05,20.00,2250,3000,2700
2016,November,08,20.00,2250,3000,2700
2016,October,13,20.00,2250,3000,2700
2016,November,28,20.00,2250,3000,2700
2016,September,28,20.00,2250,3000,2750
2016,December,01,20.00,2250,3000,2800
2016,November,03,20.00,2250,3000,2800
2016,December,07,20.00,2250,3000,2800
2016,November,23,20.00,2250,3000,2800
2016,October,24,20.00,2250,3000,2800
2016,October,05,20.00,2250,3200,2800
2017,June,06,20.00,2250,3700,3000
2017,June,08,20.00,2250,3700,3000
2017,June,12,20.00,2250,3700,3000
2017,August,02,20.00,2250,5000,3000
2017,January,05,20.00,2300,3000,2800
2017,February,09,20.00,2300,3000,2800
2017,April,20,20.00,2300,3000,2800
2017,March,20,20.00,2300,3000,2800
2017,May,03,20.00,2300,3700,3000
2017,July,04,20.00,2300,3700,3000
2017,June,16,20.00,2300,3700,3000
2017,June,22,20.00,2300,3700,3000
2017,April,24,20.00,2300,3700,3000
2017,June,30,20.00,2300,3700,3000
2017,July,06,20.00,2350,3700,3000
2017,July,07,20.00,2350,3700,3000
2017,July,10,20.00,2350,3700,3000
2017,July,17,20.00,2350,3700,3000
2017,June,27,20.00,2350,3700,3000
2017,July,14,20.00,2360,3700,3000
2017,July,15,20.00,2400,3700,3000
2017,July,19,20.00,2400,3700,3000
2017,May,19,20.00,2400,3700,3000
2017,May,29,20.00,2400,3700,3100
2017,July,18,20.00,2400,3900,3000
2017,October,04,20.00,2400,7000,3100
2014,August,26,20.00,2500,3200,3000
2017,November,08,20.00,2500,5000,3000
2017,November,18,20.00,2500,7000,3000
2017,September,05,21.00,2400,5000,3000
2017,September,08,21.00,2400,5000,3000
2017,September,22,21.00,2400,5000,3000
2017,August,31,21.00,2400,5000,3000
2017,November,07,21.00,2500,5000,3000
2017,November,10,21.00,2500,5000,3000
2017,November,14,21.00,2500,5000,3000
2017,August,30,21.00,2500,5000,3000
2017,November,16,21.00,2500,6000,3000
2015,March,19,22.00,1900,2700,2500
2015,October,03,22.00,1950,3200,2800
2015,September,19,22.00,2000,3000,2700
2015,October,06,22.00,2000,3200,2800
2015,October,26,22.00,2050,3200,2700
2015,October,31,22.00,2100,3000,2800
2016,October,27,22.00,2250,3000,2800
2017,May,16,22.00,2250,3700,3000
2017,August,22,22.00,2400,5000,3200
2017,October,17,22.00,2500,5000,3000
2017,October,21,22.00,2500,5000,3000
2017,October,25,22.00,2500,5000,3000
2018,January,04,22.00,2500,7000,3000
2018,January,05,22.00,2500,7000,3000
2018,May,10,22.00,2500,7000,3200
2017,May,22,24.00,2400,3700,3000
2018,June,20,24.00,2500,7000,3200
2015,October,01,25.00,1950,2100,2000
2015,September,14,25.00,1950,3000,2800
2016,May,06,25.00,2000,3000,2700
2015,September,10,25.00,2000,3000,2700
2015,December,15,25.00,2000,3000,2700
2016,April,19,25.00,2000,3000,2700
2015,August,19,25.00,2000,3000,2700
2015,August,21,25.00,2000,3000,2700
2015,August,29,25.00,2000,3000,2700
2015,September,29,25.00,2000,3000,2700
2015,September,04,25.00,2000,3000,2800
2015,September,08,25.00,2000,3000,2800
2015,September,17,25.00,2000,3000,2800
2016,April,18,25.00,2000,3000,2800
2015,September,28,25.00,2000,3000,2800
2016,June,08,25.00,2100,3000,2700
2016,May,09,25.00,2100,3000,2700
2016,June,10,25.00,2100,3000,2700
2016,June,14,25.00,2100,3000,2700
2016,June,16,25.00,2100,3000,2700
2016,May,12,25.00,2100,3000,2800
2015,November,05,25.00,2100,3200,3000
2015,October,14,25.00,2100,3200,3000
2015,October,29,25.00,2100,3200,3000
2015,October,30,25.00,2100,3200,3000
2016,August,02,25.00,2200,3000,2700
2016,August,06,25.00,2200,3000,2700
2016,July,06,25.00,2200,3000,2700
2016,August,08,25.00,2200,3000,2700
2016,July,08,25.00,2200,3000,2700
2016,July,12,25.00,2200,3000,2700
2016,September,19,25.00,2200,3000,2700
2016,June,21,25.00,2200,3000,2700
2016,August,29,25.00,2200,3000,2700
2016,July,29,25.00,2200,3000,2700
2016,September,29,25.00,2200,3000,2700
2016,June,30,25.00,2200,3000,2700
2016,September,27,25.00,2200,3000,2800
2017,July,25,25.00,2250,2600,2400
2017,January,17,25.00,2250,2800,2300
2016,November,04,25.00,2250,3000,2700
2016,October,04,25.00,2250,3000,2700
2016,December,05,25.00,2250,3000,2700
2016,December,06,25.00,2250,3000,2800
2016,October,14,25.00,2250,3000,2800
2016,November,16,25.00,2250,3000,2800
2016,October,18,25.00,2250,3000,2800
2016,December,21,25.00,2250,3000,2800
2016,November,22,25.00,2250,3000,2800
2016,November,25,25.00,2250,3000,2800
2016,October,25,25.00,2250,3000,2800
2016,December,26,25.00,2250,3000,2800
2016,November,30,25.00,2250,3000,2800
2016,October,06,25.00,2250,3200,2800
2017,June,07,25.00,2250,3700,3000
2017,June,13,25.00,2250,3700,3000
2017,August,04,25.00,2250,5000,3000
2017,July,31,25.00,2250,5000,3000
2017,January,07,25.00,2300,3000,2800
2017,June,14,25.00,2300,3200,3000
2017,July,01,25.00,2300,3700,3000
2017,July,12,25.00,2300,3700,3000
2017,June,17,25.00,2300,3700,3000
2017,June,19,25.00,2300,3700,3000
2017,June,21,25.00,2300,3700,3000
2017,June,29,25.00,2300,3700,3000
2017,July,05,25.00,2300,3700,3100
2017,July,11,25.00,2350,3700,3000
2017,July,24,25.00,2350,3700,3000
2017,July,20,25.00,2400,3700,3000
2017,July,26,25.00,2400,3700,3000
2017,July,27,25.00,2400,3700,3000
2017,August,16,25.00,2400,5000,3000
2014,September,16,25.00,2500,3200,3000
2018,January,09,25.00,2500,7000,3000
2018,February,17,25.00,2500,7000,3000
2018,February,27,25.00,2500,7000,3000
2018,May,08,25.00,2500,7000,3200
2018,June,12,25.00,2500,7000,3200
2018,April,16,25.00,2500,7000,3200
2018,November,09,25.00,2550,7000,3200
2018,December,27,25.00,2550,7000,3200
2019,October,19,25.00,2550,7000,3400
2017,January,04,25.00,2650,2850,2700
2018,March,17,26.00,2450,7000,3000
2018,January,11,26.00,2500,7000,3000
2019,February,08,26.00,2500,7000,3200
2018,September,14,26.00,2500,7000,3200
2019,February,16,26.00,2500,7000,3200
2018,June,22,26.00,2500,7000,3200
2018,September,26,26.00,2500,7000,3200
2018,May,29,26.00,2500,7000,3200
2016,April,05,27.00,2000,3000,2700
2015,September,22,27.00,2000,3000,2800
2015,October,05,27.00,2000,3200,2800
2018,April,25,27.00,2500,7000,3200
2018,September,27,27.00,2500,7000,3200
2018,April,30,27.00,2500,7000,3200
2018,May,03,27.50,2500,7000,3200
2018,July,04,27.50,2500,7000,3200
2018,April,10,27.50,2500,7000,3200
2018,August,10,27.50,2500,7000,3200
2018,May,11,27.50,2500,7000,3200
2018,July,21,27.50,2500,7000,3200
2018,May,24,27.50,2500,7000,3200
2018,July,26,27.50,2500,7000,3200
2018,July,27,27.50,2500,7000,3200
2018,July,31,27.50,2500,7000,3200
2019,August,09,27.50,2500,7000,3400
2018,December,18,27.50,2550,7000,3200
2018,December,21,27.50,2550,7000,3200
2018,October,25,27.50,2550,7000,3200
2018,October,26,27.50,2550,7000,3200
2018,November,28,27.50,2550,7000,3200
2019,October,03,27.50,2550,7000,3400
2019,October,15,27.50,2550,7000,3400
2019,September,16,27.50,2550,7000,3400
2019,October,22,27.50,2550,7000,3400
2019,October,29,27.50,2550,7000,3400
2019,October,30,27.50,2550,7000,3400
2015,December,16,28.00,2000,3000,2800
2015,November,02,28.00,2100,3000,2800
2015,November,16,28.00,2100,3000,2800
2015,October,27,28.00,2100,3200,2800
2015,November,04,28.00,2100,3200,3000
2015,November,07,28.00,2100,3200,3000
2017,September,04,28.00,2400,5000,3000
2017,September,11,28.00,2400,5000,3000
2017,August,17,28.00,2400,5000,3000
2017,September,18,28.00,2400,5000,3000
2017,August,24,28.00,2400,5000,3000
2017,September,26,28.00,2400,5000,3000
2017,August,28,28.00,2400,5000,3000
2018,March,20,28.00,2450,7000,3200
2017,October,31,28.00,2500,5000,3000
2018,April,12,28.00,2500,7000,3200
2015,March,20,29.00,1900,2700,2500
2018,January,02,29.00,2500,7000,3000
2018,August,02,29.00,2500,7000,3100
2018,April,24,29.00,2500,7000,3200
2018,April,27,29.00,2500,7000,3200
2018,August,30,29.00,2500,7000,3200
2018,September,29,29.00,2550,7000,3200
2019,November,07,29.00,2550,7000,3400
2019,May,14,29.00,2550,7000,3400
2019,September,25,29.00,2550,7000,3400
2016,May,03,30.00,2000,3000,2700
2016,February,04,30.00,2000,3000,2700
2016,May,05,30.00,2000,3000,2700
2016,April,20,30.00,2000,3000,2700
2016,April,22,30.00,2000,3000,2700
