year,month,date,arrival,min,max,modal
2015,August,11,1.50,1920,2000,1950
2014,May,01,9.00,2100,2300,2200
2014,June,05,12.00,1900,2200,2000
2014,June,06,12.00,1900,2200,2000
2014,June,17,12.00,1900,2200,2000
2014,May,19,12.00,2100,2500,2300
2014,June,02,13.00,1900,2200,2000
2014,June,21,13.00,1900,2200,2000
2014,May,26,13.20,1900,2300,2000
2014,May,07,13.20,2100,2400,2200
2014,May,15,13.20,2100,2400,2200
2014,June,07,13.50,1900,2200,2000
2014,May,17,13.50,2100,2400,2200
2014,June,20,14.00,1900,2200,2000
2014,June,03,14.50,1900,2200,2000
2014,June,11,14.50,1900,2200,2000
2014,June,16,14.50,1900,2200,2000
2014,June,18,14.50,1900,2200,2000
2014,May,20,14.50,1900,2200,2000
2014,May,03,14.50,2100,2300,2200
2014,May,06,14.50,2100,2400,2200
2014,May,08,14.50,2100,2400,2200
2014,May,13,14.50,2100,2400,2200
2014,June,23,15.00,1900,2200,2000
2014,November,18,15.00,2200,2400,2300
2014,June,04,16.00,1900,2200,2000
2014,June,10,16.00,1900,2200,2000
2014,May,21,16.00,1900,2200,2000
2014,May,30,16.00,1900,2200,2000
2014,May,27,16.00,1900,2300,2000
2014,July,04,16.00,2000,2300,2100
2014,June,30,16.00,2000,2300,2100
2014,May,05,16.00,2100,2300,2200
2014,June,12,16.00,2100,2300,2200
2014,May,16,16.00,2100,2400,2200
2014,May,23,16.50,1900,2300,2000
2014,June,19,17.00,1900,2200,2000
2014,May,28,17.00,1900,2300,2000
2014,July,05,17.00,2000,2300,2100
2014,June,24,17.00,2000,2300,2100
2014,June,25,17.00,2000,2300,2100
2014,June,27,17.00,2000,2300,2100
2014,June,13,17.00,2100,2300,2200
2014,May,09,17.00,2100,2400,2300
2014,May,29,19.00,1900,2300,2000
2014,July,03,19.00,2000,2300,2100
2014,May,12,19.00,2100,2400,2200
2015,March,18,27.00,2100,2400,2200
2015,August,19,30.00,1950,2100,2000
2014,September,08,30.00,2000,2200,2100
2015,March,20,32.00,2100,2200,2200
2014,September,04,0.20,2000,2300,2200
2014,September,12,0.20,2100,2200,2150
2015,December,01,0.30,1980,2200,2100
2015,January,03,0.30,2000,2200,2100
2015,July,29,0.40,1900,1950,1920
2015,February,04,0.40,2100,2200,2150
2015,April,21,0.40,2100,2200,2150
2015,April,16,0.50,2100,2200,2150
2015,April,20,0.50,2100,2200,2150
2014,December,15,0.50,2100,2300,2200
2015,May,22,0.60,2100,2200,2150
2015,April,24,0.60,2200,2300,2250
2017,October,14,2.00,2200,2600,2400
2017,October,09,2.20,2200,2600,2400
2015,September,29,2.50,1920,2100,2000
2014,August,22,6.00,2000,2300,2200
2016,April,18,10.00,2000,2250,2200
2014,August,29,10.00,2000,2300,2200
2016,September,28,10.00,2200,2350,2300
2018,February,07,10.00,2200,2600,2300
2018,January,09,10.00,2200,2600,2400
2018,January,10,10.00,2200,2600,2400
2017,July,29,10.00,2200,2600,2400
2017,August,22,10.00,2200,2600,2500
2017,January,10,10.00,2650,2850,2700
2014,August,12,12.00,2000,2200,2100
2014,July,25,12.00,2000,2200,2100
2014,July,10,12.00,2000,2300,2100
2014,August,08,12.00,2100,2300,2200
2018,January,06,12.00,2200,2700,2400
2016,November,09,12.00,2550,2650,2600
2014,August,07,13.00,2100,2300,2200
2014,August,02,13.20,2000,2200,2100
2014,July,26,14.50,2000,2200,2100
2014,July,28,14.50,2000,2200,2100
2014,August,04,14.50,2100,2300,2200
2015,August,12,15.00,1920,2000,1950
2016,March,04,15.00,1950,2200,2100
2016,February,09,15.00,1950,2200,2100
2016,February,04,15.00,1950,2250,2100
2014,August,13,15.00,2000,2200,2100
2016,March,16,15.00,2000,2250,2200
2016,March,08,15.00,2050,2250,2200
2016,April,05,15.00,2100,2250,2200
2016,April,20,15.00,2100,2300,2150
2016,June,02,15.00,2100,2300,2200
2016,May,06,15.00,2100,2300,2200
2016,June,07,15.00,2100,2300,2200
2016,May,10,15.00,2100,2300,2200
2016,June,14,15.00,2100,2300,2200
