year,month,date,arrival,min,max,modal
2017,December,12,20.00,3300,5000,3900
2018,April,19,21.00,2800,3800,3000
2017,December,13,21.00,3600,5000,3900
2018,March,12,22.00,3000,3800,3300
2017,December,21,22.00,3300,5000,3800
2018,January,19,22.00,3300,5000,3900
2018,August,10,22.00,3600,4800,4000
2018,August,14,22.00,3600,4800,4000
2018,September,05,22.00,3600,4800,4200
2018,August,29,22.00,3600,4800,4200
2018,January,09,22.00,3600,5000,3900
2018,November,08,24.00,3400,4800,3700
2018,October,11,24.00,3600,4800,4200
2018,February,06,24.00,3600,5000,3900
2018,April,04,25.00,2500,3900,3000
2018,April,10,25.00,2700,3800,2800
2018,March,23,25.00,2800,3800,3000
2018,March,26,25.00,2800,3900,3200
2019,February,05,25.00,3200,4500,3400
2019,February,15,25.00,3200,4500,3500
2019,February,20,25.00,3200,4500,3500
2019,February,21,25.00,3200,4500,3500
2019,February,22,25.00,3200,4500,3500
2019,January,07,25.00,3200,4800,3600
2019,January,09,25.00,3200,4800,3600
2019,January,10,25.00,3200,4800,3600
2018,May,25,25.00,3300,4200,3600
2018,May,17,25.00,3300,4400,3700
2018,November,28,25.00,3300,4800,3600
2018,May,29,25.00,3600,4200,3800
2018,August,13,25.00,3600,4800,4200
2018,September,25,25.00,3600,4800,4200
2019,February,14,27.50,3200,4500,3500
2019,January,18,27.50,3200,4500,3500
2019,January,21,27.50,3200,4500,3600
2018,December,31,27.50,3200,4800,3600
2018,May,28,40.00,3600,4200,3800
2018,May,16,40.00,3600,4400,3700
2018,May,14,41.00,3200,4200,3400
2019,January,17,41.00,3200,4500,3500
2018,December,24,41.00,3200,4700,3600
2018,December,03,41.00,3300,4800,3600
2018,January,10,41.00,3300,5000,3700
2017,December,11,41.00,3300,5000,3800
2017,December,22,41.00,3300,5000,3900
2018,January,16,41.00,3400,5000,3900
2018,June,21,41.00,3600,4200,3700
2018,April,28,42.50,2800,3800,3000
2018,May,19,44.00,3300,4200,3600
2018,October,06,44.00,3600,4800,4200
2018,February,08,44.00,3600,5000,3900
2018,April,05,45.00,2700,3800,2800
2018,April,12,45.00,2800,3800,3000
2018,December,18,45.00,3200,4700,3600
2018,December,20,45.00,3200,4800,3600
2018,December,01,45.00,3300,4800,3600
2018,October,14,45.00,3600,4800,4200
2018,July,25,45.00,3600,4800,4200
2018,January,08,60.00,3300,5000,3700
2019,January,24,61.00,3200,4500,3600
2019,January,12,61.00,3200,4600,3600
2018,March,06,62.00,3000,4500,4000
2019,February,19,62.00,3200,4500,3500
2019,January,28,65.00,3200,4500,3600
2018,July,16,75.00,3600,4800,4400
2018,January,06,80.00,3300,5000,3900
2018,January,29,80.00,3600,5000,3900
2018,April,11,85.00,2800,3800,3000
2018,January,22,180.00,3600,5000,3900
2015,March,16,0.10,2000,2900,2300
2015,April,06,0.10,2200,3000,2700
2015,January,19,0.10,2200,3000,2700
2014,September,13,0.10,3000,3700,3500
2015,February,11,0.10,3100,3400,3200
2015,October,09,0.10,3400,4000,3800
2015,September,29,0.10,3400,4000,3800
2017,January,02,0.10,3800,5000,4700
2015,November,04,0.20,3500,4500,4000
2015,February,05,0.50,3100,3400,3200
2015,July,29,0.50,3200,3700,3500
2015,July,31,0.50,3200,3700,3500
2015,March,12,0.80,2000,2300,2200
2015,March,26,0.80,2800,3000,2900
2015,March,28,0.80,2800,3000,2900
2015,March,24,1.00,2800,8500,2900
2015,August,12,1.00,3200,3700,3500
2015,August,19,1.00,3200,3700,3500
2015,August,21,1.00,3200,3700,3500
2015,August,13,1.00,3200,3800,3500
2015,August,14,1.00,3200,3800,3500
2015,September,08,1.00,3200,3800,3600
2015,August,26,1.00,3200,3800,3700
2015,August,28,1.00,3200,3800,3700
2015,August,29,1.00,3200,3800,3700
2015,September,17,1.00,3200,4000,3800
2015,August,20,1.00,3250,3800,3500
2015,September,04,1.00,3300,3800,3600
2015,August,24,1.00,3300,3800,3600
2015,September,24,1.00,3300,4000,3800
2015,September,28,1.00,3300,4000,3800
2015,October,05,1.00,3400,4000,3700
2015,October,03,1.00,3400,4000,3800
2015,October,13,1.00,3500,4000,3800
2016,April,20,1.00,3500,4000,3800
2015,November,02,1.00,3500,4200,4000
2016,May,03,1.00,3500,4200,4000
2015,October,30,1.00,3500,4200,4000
2015,October,26,1.00,3500,4300,4000
2015,November,05,1.00,3500,4500,4000
2015,November,07,1.00,3500,4500,4000
2015,September,09,1.20,3200,3800,3700
2015,August,31,1.20,3300,3900,3600
2015,October,06,1.20,3400,4000,3800
2015,September,16,1.20,3400,4000,3800
2015,December,01,1.20,3500,4500,4000
2015,August,17,1.50,3200,3700,3500
2015,August,18,1.50,3200,3700,3500
2015,September,11,1.50,3200,3800,3600
2015,September,14,1.50,3200,4000,3700
2015,September,19,1.50,3200,4000,3700
2015,September,10,1.50,3300,3800,3700
2015,August,27,1.50,3300,4000,3800
2015,October,07,1.50,3400,4000,3800
2015,September,30,1.50,3400,4100,3700
2015,October,28,1.50,3400,4100,3800
2016,February,18,1.50,3400,4200,4000
2015,October,27,1.50,3400,4200,4000
2015,October,31,1.50,3400,4400,4000
2016,May,05,1.50,3500,4000,3800
2016,April,08,1.50,3500,4200,3800
2015,November,09,1.50,3500,4200,4000
2016,February,11,1.50,3500,4200,4000
2015,October,15,1.50,3500,4200,4000
2015,October,17,1.50,3500,4200,4000
2016,June,10,1.50,3500,4250,4000
2015,December,15,1.50,3500,4500,4000
2016,May,26,1.50,3600,4200,4000
2015,August,07,2.00,3200,3800,3700
2015,September,07,2.00,3200,4000,3700
2015,September,03,2.00,3300,3800,3600
2015,August,25,2.00,3300,3800,3600
2015,September,22,2.00,3300,4000,3800
2016,January,30,2.00,3400,4000,3800
2015,October,14,2.00,3400,4100,3800
2016,March,17,2.00,3400,4200,3800
2016,February,09,2.00,3400,4200,4000
2016,January,18,2.00,3400,4200,4000
2016,January,22,2.00,3400,4200,4000
2016,February,23,2.00,3400,4200,4000
2016,May,24,2.00,3400,4200,4000
2015,December,28,2.00,3400,4500,4200
2016,March,08,2.00,3500,4000,3800
2016,March,11,2.00,3500,4000,3800
2016,February,16,2.00,3500,4000,3900
2016,March,04,2.00,3500,4200,3800
2016,March,14,2.00,3500,4200,3800
2016,March,28,2.00,3500,4200,3800
2016,June,01,2.00,3500,4200,4000
2016,June,02,2.00,3500,4200,4000
2016,April,05,2.00,3500,4200,4000
2016,May,06,2.00,3500,4200,4000
2016,June,07,2.00,3500,4200,4000
2016,March,07,2.00,3500,4200,4000
2016,May,12,2.00,3500,4200,4000
2016,May,16,2.00,3500,4200,4000
2015,November,16,2.00,3500,4200,4000
2015,October,16,2.00,3500,4200,4000
2016,May,19,2.00,3500,4200,4000
2015,November,19,2.00,3500,4200,4000
2015,October,29,2.00,3500,4200,4000
2016,May,30,2.00,3500,4200,4000
2015,December,11,2.00,3500,4400,4000
2015,December,16,2.00,3500,4500,4000
2015,December,17,2.00,3500,4500,4000
2016,April,18,2.00,3500,4500,4000
2015,December,24,2.00,3500,4500,4000
2015,December,30,2.00,3500,4500,4000
2017,November,14,2.00,3500,5000,4000
2016,June,20,2.00,3600,4200,4000
2015,December,02,2.00,3800,4500,4200
2017,February,09,2.00,3900,4800,4500
2017,June,15,2.00,3900,5000,4700
2017,June,16,2.00,3900,5000,4700
2017,June,22,2.00,3900,5000,4700
2017,June,30,2.00,3900,5000,4700
2017,July,01,2.00,3900,5000,4800
2017,July,14,2.00,3900,5000,4800
2017,October,13,2.20,3900,5000,4400
2015,August,04,2.50,3200,3700,3500
2015,August,05,2.50,3200,3700,3500
2015,August,06,2.50,3200,3700,3500
2016,February,01,2.50,3300,4200,4000
2016,February,04,2.50,3400,4200,4000
2016,February,08,2.50,3400,4200,4000
2016,May,11,2.50,3500,4000,3800
2016,March,16,2.50,3500,4000,3800
2016,May,09,2.50,3500,4200,3800
2016,June,06,2.50,3500,4200,4000
2016,June,08,2.50,3500,4200,4000
2015,November,12,2.50,3500,4200,4000
2016,June,13,2.50,3500,4200,4000
2016,June,16,2.50,3500,4200,4000
2016,April,21,2.50,3500,4200,4000
2016,May,25,2.50,3500,4200,4000
2016,April,26,2.50,3500,4200,4000
2016,April,27,2.50,3500,4200,4000
2016,June,29,2.50,3500,4200,4000
2015,December,10,2.50,3500,4500,4000
2015,December,18,2.50,3500,4500,4000
2015,December,21,2.50,3500,4500,4000
2015,December,08,2.50,3500,4500,4200
2016,May,13,2.50,3600,4200,4000
2016,June,15,2.50,3600,4200,4000
2016,May,20,2.50,3600,4200,4000
2015,November,26,2.50,3800,4500,4200
2017,January,18,2.50,3800,5400,5000
2017,May,03,2.50,3900,5000,4700
2017,July,04,2.50,3900,5000,4700
2017,July,11,2.50,3900,5000,4700
2017,June,21,2.50,3900,5000,4800
2017,June,23,2.50,3900,5000,4800
2017,June,28,2.50,3900,5000,4800
2017,July,31,2.50,3900,5000,4800
2016,May,10,3.00,3200,4000,3800
2015,September,21,3.00,3300,4000,3800
2016,February,02,3.00,3300,4200,4000
2016,January,29,3.00,3300,4200,4000
2016,March,02,3.00,3400,4200,3800
2016,March,09,3.00,3500,4000,3800
2016,March,31,3.00,3500,4000,3800
2016,July,01,3.00,3500,4200,4000
2016,February,15,3.00,3500,4200,4000
2016,April,22,3.00,3500,4200,4000
2016,April,25,3.00,3500,4200,4000
2016,May,31,3.00,3500,4200,4000
2016,January,01,3.00,3500,4500,4000
2015,December,22,3.00,3500,4500,4000
2015,December,23,3.00,3500,4500,4000
2015,December,14,3.00,3500,4500,4200
2016,June,03,3.00,3600,4200,4000
2016,June,18,3.00,3600,4200,4000
2016,June,22,3.00,3600,4200,4000
2014,May,07,3.00,3600,4500,4000
2014,August,04,3.00,3600,4500,4300
2014,June,10,3.00,3600,4500,4300
2014,June,21,3.00,3600,4500,4300
2014,June,17,3.00,3600,4600,4200
2014,August,06,3.00,3700,4500,4300
2014,July,11,3.00,3800,4200,4000
2015,November,27,3.00,3800,4500,4000
2014,July,10,3.00,3800,4500,4200
2014,July,18,3.00,3800,4500,4300
2014,June,30,3.00,3800,5000,4500
2014,May,21,3.00,3900,4500,4000
2014,May,27,3.00,3900,4500,4000
2014,July,04,3.00,3900,5000,4600
2017,May,04,3.00,3900,5000,4700
2017,June,20,3.00,3900,5000,4700
2017,July,10,3.00,3900,5000,4800
2017,July,13,3.00,3900,5000,4800
2017,July,27,3.00,3900,5200,5000
2016,September,27,3.00,4700,5200,5000
2016,May,23,3.20,3400,4200,4000
2016,March,18,3.20,3500,4200,3800
2016,March,29,3.20,3500,4200,3800
2016,May,17,3.20,3500,4200,4000
2016,February,24,3.20,3500,4200,4000
2014,May,05,3.20,3600,4000,3900
2016,June,14,3.20,3600,4200,4000
2016,May,27,3.20,3600,4200,4000
2014,August,01,3.20,3600,4500,4200
2014,June,07,3.20,3600,4500,4300
2014,June,20,3.20,3600,4500,4300
2014,June,23,3.20,3600,4500,4300
2014,June,16,3.20,3600,4600,4300
