year,month,date,arrival,min,max,modal
2018,January,29,200.00,5000,6900,6400
2018,March,14,210.00,4800,6400,5000
2018,June,14,220.00,4600,6000,5800
2018,March,15,220.00,4800,6300,6200
2018,February,26,220.00,4800,6300,6200
2017,December,05,220.00,4900,6800,6700
2017,December,07,220.00,4900,6900,6700
2018,February,17,220.00,5000,6500,6300
2018,November,22,220.00,5100,5900,5700
2018,August,08,220.00,5100,6000,5700
2018,August,27,220.00,5200,6000,5700
2017,December,30,220.00,5200,6900,6800
2018,March,17,240.00,4800,6300,6200
2019,February,22,240.00,5300,6700,6400
2018,April,02,250.00,4700,6200,6000
2018,April,03,250.00,4700,6200,6000
2018,April,05,250.00,4800,6200,6000
2018,February,19,250.00,4800,6300,6200
2018,February,23,250.00,5000,6300,6200
2017,December,06,250.00,5000,6900,6700
2018,October,12,250.00,5100,5900,5700
2018,November,26,250.00,5100,5900,5700
2018,December,06,250.00,5200,6100,5800
2018,January,02,250.00,5200,6900,6700
2019,March,07,250.00,5300,6700,6500
2019,March,08,250.00,5300,6700,6500
2019,August,29,250.00,5400,7600,7500
2017,December,13,260.00,4900,6900,6700
2018,July,07,270.00,4600,5800,5600
2018,May,24,270.00,4600,6100,5800
2018,August,10,270.00,5100,6000,5800
2019,September,16,270.00,5500,7700,7400
2018,May,19,275.00,4600,6000,5800
2018,May,23,275.00,4600,6000,5800
2018,May,29,275.00,4700,6100,6000
2018,May,09,275.00,4700,6200,5800
2018,April,11,275.00,4700,6200,5800
2018,June,27,275.00,4800,5800,5200
2018,April,24,275.00,4800,6100,5800
2018,April,26,275.00,4800,6100,5800
2018,March,23,275.00,4800,6300,6000
2018,March,31,275.00,4800,6300,6000
2018,October,03,275.00,5100,5900,5500
2018,October,08,275.00,5100,5900,5600
2018,October,06,275.00,5100,5900,5700
2018,September,15,275.00,5100,5900,5700
2018,September,26,275.00,5100,5900,5700
2018,September,27,275.00,5100,5900,5700
2018,October,29,275.00,5100,5900,5700
2018,September,29,275.00,5100,5900,5700
2018,August,16,275.00,5100,6000,5700
2019,March,14,275.00,5100,6600,6400
2019,January,17,275.00,5200,6200,5800
2019,January,10,275.00,5200,6200,6000
2019,March,04,275.00,5200,6600,6200
2019,February,28,275.00,5300,6600,6400
2019,March,06,275.00,5300,6700,6500
2019,February,07,275.00,5300,6700,6500
2019,March,10,275.00,5300,6700,6500
2019,March,13,275.00,5300,6700,6500
2019,February,23,275.00,5300,6700,6500
2019,February,25,275.00,5300,6700,6500
2019,September,04,275.00,5400,7600,7400
2019,September,05,275.00,5400,7700,7400
2019,September,07,275.00,5400,7700,7400
2019,September,10,275.00,5400,7700,7400
2019,February,16,275.00,5500,6700,6500
2019,June,07,275.00,5500,7400,7000
2019,October,14,275.00,5500,7600,7400
2019,August,19,275.00,5500,7600,7400
2019,October,21,275.00,5500,7600,7400
2019,September,30,275.00,5500,7600,7500
2019,September,21,275.00,5500,7700,7300
2019,September,19,275.00,5500,7700,7400
2019,September,23,275.00,5500,7700,7400
2019,October,22,275.00,5600,7500,6800
2019,November,01,275.00,5600,7500,7400
2019,June,18,275.00,5600,7600,7200
2019,November,06,275.00,5600,7700,7200
2019,June,15,275.00,5600,7700,7300
2019,July,02,275.00,5600,7700,7400
2019,June,28,275.00,5600,7700,7400
2019,June,21,275.00,5600,7700,7500
2019,December,06,275.00,5800,7600,7200
2019,November,19,275.00,5800,7700,7500
2019,November,13,275.00,6000,7700,7400
2019,November,25,275.00,6000,7700,7500
2019,July,31,275.00,6000,7800,7600
2018,June,07,280.00,4700,6100,5800
2019,August,26,280.00,5500,7600,7400
2018,June,25,290.00,4600,5800,5000
2017,December,11,290.00,4900,6900,6700
2018,October,26,290.00,5100,5900,5700
2018,August,06,290.00,5100,6000,5700
2019,January,18,290.00,5200,6200,5800
2018,December,24,290.00,5200,6200,6000
2019,March,09,290.00,5300,6700,6500
2019,May,13,290.00,5300,6700,6500
2019,August,27,290.00,5400,7700,7500
2019,June,12,290.00,5500,7400,7000
2019,May,22,290.00,5500,7400,7000
2019,May,30,290.00,5500,7400,7000
2019,August,20,290.00,5500,7500,7400
2019,October,03,290.00,5500,7600,7400
2019,October,04,290.00,5500,7600,7500
