year,month,date,arrival,min,max,modal
2014,December,12,0.10,1100,1200,1150
2015,April,01,0.10,1600,1700,1650
2014,December,19,0.10,2300,2400,2350
2015,June,11,0.10,2400,2600,2500
2015,January,19,0.20,2000,2100,2050
2014,December,30,0.20,2400,2600,2500
2014,December,22,0.20,2600,2650,2625
2015,March,12,0.30,1500,1600,1550
2015,March,14,0.30,1500,1600,1550
2015,April,10,0.30,1600,1700,1650
2015,April,23,0.30,1600,1700,1650
2015,March,28,0.30,1600,1700,1660
2015,May,25,0.30,1900,2000,1950
2015,January,27,0.30,1950,2000,1975
2015,January,08,0.30,2200,2250,2225
2014,December,15,0.30,2500,3000,2800
2015,July,31,0.30,3400,3700,3500
2015,January,05,0.40,2000,2200,2100
2015,December,05,0.40,2400,2500,2450
2015,November,21,0.40,2950,3000,2980
2015,July,28,0.40,3000,3500,3400
2015,July,29,0.40,3200,3500,3400
2017,April,06,0.50,950,1050,1000
2017,March,14,0.50,1100,1200,1150
2017,January,30,0.50,1150,1250,1200
2015,November,20,0.50,2970,3000,2980
2017,March,27,0.60,1000,1100,1050
2015,December,07,0.60,2300,2400,2350
2022,April,04,3.00,3500,4500,4000
2017,June,17,4.00,1200,1400,1350
2014,July,11,7.50,2700,3000,2800
2014,July,12,7.50,2700,3000,2800
2014,November,18,9.00,2300,2700,2500
2014,August,07,9.00,2500,2600,2550
2014,August,09,9.00,2500,2800,2700
2014,July,14,9.00,2500,3000,2600
2014,August,22,10.00,2200,2600,2500
2015,August,18,10.00,4700,5000,4800
2015,August,19,10.00,4800,5000,4900
2015,October,08,10.00,5300,5700,5600
2014,August,12,10.50,2300,2700,2500
2014,July,10,10.50,2500,2800,2600
2014,August,08,10.50,2500,2800,2700
2014,July,19,10.50,2700,3200,3000
2014,August,06,11.00,2500,2600,2550
2014,July,25,11.00,2550,2700,2600
2017,May,20,12.00,1000,1200,1100
2017,May,23,12.00,1100,1400,1250
2014,August,13,12.00,2300,2700,2500
2014,July,28,12.00,2500,2800,2600
2014,July,31,12.00,2500,3200,3000
2015,August,21,12.00,4750,5000,4800
2015,August,29,12.00,5000,5500,5400
2015,October,06,12.00,5200,5800,5600
2015,October,07,12.00,5500,5700,5600
2015,August,24,12.00,5500,6000,5800
2014,July,21,12.50,2500,2900,2700
2014,July,24,13.00,2500,2800,2700
2014,August,05,13.00,2550,2700,2600
2014,July,18,13.00,2700,3200,3000
