year,month,date,arrival,min,max,modal
2014,May,01,12.00,1550,1700,1600
2014,June,20,13.00,1600,1800,1700
2014,May,05,14.50,1550,1700,1600
2014,June,21,15.00,1600,1800,1700
2014,July,04,15.50,1600,1900,1700
2014,May,06,16.00,1550,1650,1600
2014,June,04,16.00,1550,1700,1600
2014,June,07,16.00,1550,1700,1600
2014,May,22,16.00,1600,1700,1620
2014,June,11,16.00,1600,1800,1700
2014,July,05,16.00,1600,1900,1700
2014,June,13,16.00,1650,1800,1700
2014,June,27,16.00,1650,1800,1700
2014,June,24,16.00,1650,1900,1700
2014,July,03,16.50,1600,1900,1700
2014,May,07,17.00,1550,1650,1600
2014,June,05,17.00,1550,1700,1600
2014,June,06,17.00,1550,1700,1600
2014,May,20,17.00,1600,1700,1620
2014,June,19,17.00,1600,1700,1650
2014,June,23,17.00,1600,1800,1700
2014,June,30,17.00,1600,1900,1700
2014,June,03,17.00,1650,1800,1700
2014,June,25,17.00,1650,1900,1700
2014,June,10,18.00,1600,1800,1700
2014,May,03,19.00,1550,1700,1600
2014,May,21,19.00,1600,1700,1620
2014,June,16,19.00,1600,1900,1700
2014,June,02,19.00,1650,1800,1700
2014,June,12,19.00,1650,1800,1700
2014,May,23,19.00,1700,1750,1720
2014,May,29,21.00,1650,1800,1700
2014,May,26,21.00,1700,1750,1720
2014,May,12,22.00,1550,1700,1650
2014,May,30,23.20,1600,1700,1650
2014,January,27,23.50,725,800,750
2014,May,28,24.00,1650,1750,1700
2014,January,21,24.50,900,950,925
2014,May,15,25.00,1600,1700,1650
2014,May,27,26.00,1650,1750,1700
2014,May,19,26.50,1600,1700,1650
2014,March,18,27.00,1000,1150,1100
2014,March,24,27.00,1150,1250,1200
2014,May,08,27.00,1550,1650,1600
2014,May,13,27.00,1550,1700,1650
2014,May,16,27.00,1600,1700,1650
2014,April,04,29.00,1050,1150,1100
2014,April,05,29.00,1050,1150,1100
2014,May,09,29.00,1550,1700,1600
2014,May,17,29.00,1600,1700,1650
2014,April,01,31.00,1050,1200,1150
2015,March,18,45.00,500,600,550
2014,December,09,0.30,1600,1900,1850
2014,November,27,0.30,2600,3000,2800
2015,April,22,0.40,450,500,475
2015,May,05,0.40,500,550,525
2015,March,12,0.40,700,750,725
2014,December,19,0.40,1100,1200,1150
2014,December,18,0.40,1300,1400,1350
2015,April,23,0.50,450,500,475
2015,March,26,0.50,500,550,520
2015,February,02,0.50,650,700,675
2014,December,22,0.50,1000,1100,1050
2014,December,15,0.50,1300,1400,1350
2014,December,17,0.50,1300,1400,1350
2015,March,24,0.60,500,520,510
2015,February,09,0.60,500,550,525
2015,January,19,0.60,700,750,720
2015,June,03,0.60,700,920,900
2015,January,01,0.60,1000,1050,1025
2014,December,10,0.60,1500,1800,1650
2015,November,21,0.70,1280,1330,1300
2015,April,11,0.80,450,500,475
2015,January,27,0.80,650,700,675
2015,November,20,0.80,1270,1300,1280
2017,January,27,1.00,600,680,650
2017,March,01,1.20,400,450,420
2017,February,16,1.20,450,480,460
2017,March,15,1.20,480,520,500
2017,January,18,1.20,620,700,650
2015,September,01,1.20,800,840,820
2015,October,08,1.20,820,870,850
2016,August,26,1.20,1700,1900,1750
2017,March,14,1.40,480,520,500
2017,April,10,1.40,520,570,550
2017,January,30,1.40,550,600,580
2015,December,05,1.40,1400,1800,1750
2015,December,07,1.40,1400,1850,1750
2017,March,03,1.50,400,450,430
2017,February,14,1.60,450,500,470
2022,April,04,1.80,2000,2800,2500
2015,April,06,4.50,450,500,475
2014,July,28,16.00,1650,1800,1750
2014,August,07,16.00,1850,2000,1950
2014,July,12,16.00,1900,2200,2000
2014,July,25,16.50,1750,1900,1800
2014,August,02,16.50,1750,1900,1850
2014,July,24,17.00,1700,1800,1750
2014,August,05,17.00,1800,1950,1900
2014,August,08,17.00,1950,2100,2000
2014,August,09,17.00,1950,2100,2000
