year,month,date,arrival,min,max,modal
2014,July,18,2.00,3100,3300,3200
2014,July,28,2.00,3100,3300,3200
2014,July,30,2.50,3000,3200,3100
2014,July,26,2.50,3100,3300,3200
2015,October,11,5.00,5100,5600,5500
2017,April,05,6.00,1400,1500,1450
2015,October,02,7.00,5300,5900,5800
2017,April,03,8.00,1400,1500,1450
2017,March,20,8.00,1400,1500,1450
2017,May,09,10.00,1100,1200,1150
2017,April,12,10.00,1100,1200,1150
2017,April,29,10.00,1100,1200,1150
2017,April,19,10.00,1100,1250,1200
2017,April,17,10.00,1400,1500,1450
2017,March,27,10.00,1400,1500,1450
2015,November,09,10.00,3300,3600,3500
2017,May,03,12.50,1100,1200,1150
2017,May,04,15.00,1100,1200,1150
2017,April,06,15.00,1100,1200,1150
2017,April,28,15.00,1100,1200,1150
2017,March,23,15.00,1400,1500,1450
2017,March,24,15.00,1400,1500,1450
2015,February,13,0.10,1700,2100,2000
2014,August,06,0.10,2700,3000,2800
2015,July,29,0.20,2600,2750,2700
2014,June,13,0.30,2100,2200,2100
2014,September,01,0.30,2800,3000,2900
2014,June,11,0.60,2100,2200,2100
2014,June,12,0.60,2100,2200,2100
2015,July,27,0.70,2600,2750,2700
2015,December,22,1.00,1800,2000,1900
2015,December,14,1.00,2200,2400,2300
2014,September,17,1.00,2500,2700,2600
2014,July,25,1.20,3100,3300,3200
2014,April,21,1.50,1100,1700,1600
2014,March,05,1.50,1400,1500,1450
2014,March,06,1.50,1400,1500,1450
2014,June,07,1.50,1800,2100,2000
2014,June,09,1.50,1800,2100,2000
2014,October,22,1.50,2400,2600,2500
2014,December,03,1.50,2400,2700,2600
2014,October,29,1.50,2500,2700,2600
2014,August,01,1.50,2700,2900,2800
2014,September,02,1.50,2800,3000,2900
2014,September,04,1.50,2800,3000,2900
2014,September,05,1.50,2800,3000,2900
2014,August,16,1.50,2800,3000,2900
2014,March,12,2.00,1300,1450,1400
2014,April,10,2.00,1300,1600,1500
2014,March,21,2.00,1300,1600,1500
2014,March,24,2.00,1300,1600,1500
2014,April,03,2.00,1300,1700,1600
2014,April,07,2.00,1300,1700,1600
2014,April,19,2.00,1300,1700,1600
2014,May,07,2.00,1400,1800,1700
2014,April,28,2.00,1400,1800,1700
2014,June,06,2.00,1700,2000,1900
2014,June,10,2.00,1800,2200,2100
2014,June,26,2.00,1900,2300,2200
2014,June,30,2.00,1900,2300,2200
2014,June,16,2.00,2000,2200,2100
2015,January,07,2.00,2200,2400,2300
2014,December,19,2.00,2200,2500,2400
2014,December,20,2.00,2200,2500,2400
2014,June,21,2.00,2200,2500,2400
2014,December,23,2.00,2200,2500,2400
2014,June,23,2.00,2200,2500,2400
2014,November,07,2.00,2300,2600,2500
2014,November,10,2.00,2300,2600,2500
2014,December,12,2.00,2300,2600,2500
2014,November,19,2.00,2300,2600,2500
2014,November,04,2.00,2400,2600,2500
2014,December,05,2.00,2400,2700,2600
2014,December,08,2.00,2400,2700,2600
2014,November,26,2.00,2400,2700,2600
2014,October,08,2.00,2500,2700,2600
2014,September,19,2.00,2500,2700,2600
2014,October,20,2.00,2500,2700,2600
2014,September,22,2.00,2500,2700,2600
2014,September,26,2.00,2500,2700,2600
2014,October,28,2.00,2500,2700,2600
2014,September,15,2.00,2600,2800,2700
2014,September,11,2.00,2700,2800,2750
2014,August,02,2.00,2700,2900,2800
2014,August,05,2.00,2700,3000,2800
2014,August,07,2.00,2700,3000,2800
2014,September,09,2.00,2800,3000,2900
2014,August,12,2.00,2800,3000,2900
2014,August,19,2.00,2800,3000,2900
2014,August,20,2.00,2800,3000,2900
2014,August,25,2.00,2800,3000,2900
2014,August,26,2.00,2800,3000,2900
2014,August,29,2.00,2800,3000,2900
2014,July,07,2.00,2800,3100,3000
2014,July,13,2.00,3100,3300,3200
2014,July,16,2.00,3100,3300,3200
2014,July,21,2.00,3100,3300,3200
2014,July,23,2.00,3100,3300,3200
2014,September,16,2.20,2500,2700,2600
2014,April,11,2.50,1300,1600,1500
2014,April,08,2.50,1300,1700,1600
2014,April,17,2.50,1300,1700,1600
2014,May,08,2.50,1400,1800,1700
2015,January,29,2.50,1800,2100,2000
2015,February,02,2.50,1800,2200,2100
2014,June,27,2.50,1900,2300,2200
2015,January,09,2.50,2200,2400,2300
2014,June,20,2.50,2200,2500,2400
2014,June,24,2.50,2200,2500,2400
2014,December,15,2.50,2200,2600,2300
2014,December,17,2.50,2200,2600,2300
2014,November,01,2.50,2300,2600,2500
2014,November,05,2.50,2300,2600,2500
2014,October,15,2.50,2500,2700,2600
2014,September,29,2.50,2500,2700,2600
2014,August,13,2.50,2800,3000,2900
2014,August,28,2.50,2800,3000,2900
2014,July,01,2.50,2800,3100,3000
2014,July,02,2.50,2800,3100,3000
2014,July,03,2.50,2800,3100,3000
2014,July,08,2.50,2800,3100,3000
2014,April,04,2.90,1300,1700,1600
2015,March,19,3.00,1300,1500,1400
2014,March,01,3.00,1400,1500,1450
2014,March,07,3.00,1400,1500,1450
2015,February,04,3.00,1700,2100,2000
2015,February,11,3.00,1700,2100,2000
2015,February,12,3.00,1700,2100,2000
2015,February,17,3.00,1700,2100,2000
2015,February,18,3.00,1700,2100,2000
2015,January,30,3.00,1800,2100,2000
2015,January,05,3.00,2200,2400,2300
2015,January,13,3.00,2200,2400,2300
2014,June,25,3.00,2200,2500,2400
2015,March,09,3.00,2300,2500,2400
2014,November,13,3.00,2300,2600,2500
2014,December,01,3.00,2400,2700,2600
2014,December,04,3.00,2400,2700,2600
2014,September,20,3.00,2500,2700,2600
2014,August,14,3.00,2700,2900,2800
2016,June,06,3.50,1390,1410,1400
2015,January,19,3.50,1800,2100,2000
2015,January,20,3.50,1800,2100,2000
2015,January,21,3.50,1800,2100,2000
2015,January,02,3.50,2200,2400,2300
2015,March,10,3.50,2300,2500,2400
2015,March,11,3.50,2300,2500,2400
2014,April,05,4.00,1300,1800,1600
2016,April,30,4.00,1320,1360,1350
2016,June,08,4.00,1350,1410,1400
2015,January,22,4.00,1800,2100,2000
2015,January,27,4.00,1800,2100,2000
2016,January,02,4.00,1900,2000,1950
2015,April,17,4.00,2000,2200,2100
2015,March,13,4.00,2200,2400,2300
2015,March,17,4.00,2200,2400,2300
2015,April,24,4.00,2200,2400,2300
2015,April,27,4.00,2200,2400,2300
2015,April,30,4.00,2200,2400,2300
2015,May,07,4.00,2300,2500,2400
2015,May,08,4.00,2300,2500,2400
2015,June,06,4.00,2400,2600,2500
2015,June,08,4.00,2400,2600,2500
2015,May,21,4.00,2400,2600,2500
2015,May,22,4.00,2400,2600,2500
2015,August,06,4.00,3400,3800,3700
2015,October,25,4.00,4000,4300,4200
2015,October,13,4.00,5100,5600,5500
2015,February,20,4.50,2300,2500,2400
2015,February,21,4.50,2300,2500,2400
2016,May,25,5.00,1350,1450,1400
2016,May,27,5.00,1360,1450,1420
2015,April,01,5.00,1400,1600,1500
2015,April,10,5.00,1500,1700,1600
2016,January,25,5.00,1800,2000,1900
2015,December,27,5.00,1900,2000,1950
2015,December,28,5.00,1900,2000,1950
2015,March,02,5.00,2000,2300,2100
2015,March,04,5.00,2000,2300,2100
2015,June,02,5.00,2400,2600,2500
2015,June,04,5.00,2400,2600,2500
2015,December,05,5.00,2400,2600,2500
2015,May,26,5.00,2400,2600,2500
2015,June,11,5.00,2500,2700,2600
2015,June,18,5.00,2500,2700,2600
2015,June,19,5.00,2500,2700,2600
2015,June,20,5.00,2500,2700,2600
2015,July,14,5.00,2600,2750,2700
2015,July,31,5.00,2650,2900,2850
2015,September,17,5.00,2700,3500,2900
2015,September,19,5.00,2700,3500,2900
2015,November,18,5.00,3000,3200,3100
2015,November,22,5.00,3000,3200,3100
2015,November,11,5.00,3300,3500,3400
2015,August,11,5.00,3500,4000,3800
2015,August,21,5.00,3600,3900,3700
2015,November,07,5.00,4000,4200,4100
2015,October,19,5.00,5100,5300,5200
2015,October,09,5.00,5200,5700,5600
2015,October,07,5.00,5200,5800,5700
2015,September,01,5.00,5300,5800,5700
2015,September,02,5.00,5300,5800,5700
2015,August,29,5.00,5300,5800,5700
2015,October,04,5.00,5300,5900,5800
2016,April,25,6.00,1200,1350,1330
2016,May,03,6.00,1320,1360,1350
2016,May,19,6.00,1350,1450,1400
2016,May,23,6.00,1350,1450,1400
2015,April,06,6.00,1500,1700,1600
2015,April,07,6.00,1500,1700,1600
2015,April,08,6.00,1500,1700,1600
2016,January,04,6.00,1900,2100,2000
2016,January,13,6.00,1900,2100,2000
2015,April,18,6.00,2000,2200,2100
2015,April,20,6.00,2000,2200,2100
2015,May,11,6.00,2300,2500,2400
2015,February,26,6.00,2300,2500,2400
2015,December,07,6.00,2400,2600,2500
2015,May,20,6.00,2400,2600,2500
2015,July,09,6.00,2600,2750,2700
2015,June,24,6.00,2600,2750,2700
2015,June,25,6.00,2600,2750,2700
2015,December,02,6.00,2900,3100,3000
2015,November,23,6.00,3000,3200,3100
2015,August,04,6.00,3400,3800,3700
2015,August,05,6.00,3400,3800,3700
2015,October,28,6.00,4000,4300,4200
2015,October,18,6.00,5100,5300,5200
2015,October,14,6.00,5100,5500,5400
2015,September,29,6.00,5300,5900,5800
2016,May,04,7.00,1320,1360,1350
2016,May,24,7.00,1350,1450,1400
2016,May,30,7.00,1360,1450,1420
2016,January,21,7.00,1800,1900,1850
2016,January,01,7.00,1800,2000,1900
2015,December,31,7.00,1900,2000,1950
2016,January,07,7.00,1900,2100,2000
2016,January,11,7.00,1900,2100,2000
2015,April,21,7.00,2000,2200,2100
2015,April,22,7.00,2100,2300,2200
2015,April,23,7.00,2100,2300,2200
2015,May,02,7.00,2200,2400,2300
2015,May,06,7.00,2300,2500,2400
2015,May,13,7.00,2300,2500,2400
2015,June,09,7.00,2400,2600,2500
2015,May,25,7.00,2400,2600,2500
2015,May,30,7.00,2400,2600,2500
2015,June,15,7.00,2500,2700,2600
2015,June,16,7.00,2500,2700,2600
2015,June,22,7.00,2500,2700,2600
2015,July,16,7.00,2600,2750,2700
2015,November,30,7.00,2900,3100,3000
2015,November,12,7.00,3300,3500,3400
2015,August,18,7.00,3500,3900,3700
2015,November,01,7.00,4000,4200,4100
2015,November,03,7.00,4000,4200,4100
2015,October,31,7.00,4000,4200,4100
2015,October,15,7.00,5100,5300,5200
2015,October,17,7.00,5100,5300,5200
2015,August,31,7.00,5500,5900,5800
2015,June,01,7.50,2400,2600,2500
2015,September,24,7.50,5300,5800,5600
2016,June,01,8.00,1300,1360,1350
2016,May,12,8.00,1300,1360,1350
2016,May,18,8.00,1300,1360,1350
2016,May,17,8.00,1350,1360,1350
2016,June,09,8.00,1400,1420,1410
2015,April,09,8.00,1500,1700,1600
2015,December,20,8.00,1800,2000,1900
2015,May,27,8.00,2400,2600,2500
2015,May,28,8.00,2400,2600,2500
2015,May,29,8.00,2400,2600,2500
2015,July,03,8.00,2600,2750,2700
2015,August,12,8.00,3500,3900,3800
2015,November,02,8.00,4000,4200,4100
2015,October,30,8.00,4000,4200,4100
2015,October,26,8.00,4000,4300,4200
2015,August,25,8.00,5100,5600,5500
2015,September,07,8.00,5300,5800,5700
2015,September,08,8.00,5300,5800,5700
2015,September,09,8.00,5300,5800,5700
2015,September,30,8.00,5300,5900,5800
2015,July,04,9.00,2600,2750,2700
2016,April,26,10.00,1300,1370,1350
2016,April,28,10.00,1310,1360,1350
2016,May,02,10.00,1320,1360,1350
2016,May,13,10.00,1350,1360,1350
2016,May,20,10.00,1350,1450,1400
2015,December,21,10.00,1800,2000,1900
2015,December,24,10.00,1800,2000,1900
2015,December,08,10.00,2200,2400,2300
2015,December,10,10.00,2200,2400,2300
2015,December,11,10.00,2200,2400,2300
2015,December,15,10.00,2200,2400,2300
2015,June,12,10.00,2500,2700,2600
2015,June,26,10.00,2600,2700,2700
2015,July,10,10.00,2600,2750,2700
2015,July,13,10.00,2600,2750,2700
2015,July,22,10.00,2600,2750,2700
2015,July,30,10.00,2650,2900,2850
2015,December,04,10.00,2800,3000,2900
2015,December,01,10.00,2900,3100,3000
2015,November,25,10.00,3000,3100,3000
2015,November,27,10.00,3000,3100,3000
2015,November,19,10.00,3000,3200,3100
2015,November,20,10.00,3000,3200,3100
2015,November,13,10.00,3300,3500,3400
2015,August,07,10.00,3400,3800,3700
2015,August,19,10.00,3500,3900,3700
2015,August,20,10.00,3500,3900,3700
2015,August,13,10.00,3500,3900,3800
2015,November,04,10.00,4000,4200,4100
2015,October,27,10.00,4000,4300,4200
2015,August,24,10.00,5000,5500,5300
2015,October,08,10.00,5200,5700,5600
2015,September,22,10.00,5300,5800,5600
2015,August,28,10.00,5300,5800,5700
2015,October,06,10.00,5300,5900,5800
2015,October,16,10.00,5300,5900,5800
2016,May,06,12.00,1300,1360,1350
2016,May,26,12.00,1350,1450,1400
