year,month,date,arrival,min,max,modal
2017,April,03,10.00,450,500,475
2017,May,09,10.00,700,750,730
2017,April,29,10.00,700,750,730
2017,April,05,15.00,450,500,475
2017,April,17,15.00,450,500,475
2017,April,06,20.00,500,600,550
2017,April,12,20.00,500,600,550
2017,March,27,25.00,450,500,475
2017,May,04,25.00,700,750,730
2017,May,03,25.00,700,750,740
2017,April,19,25.00,700,750,740
2017,April,28,25.00,700,750,740
2017,March,24,30.00,450,500,475
2017,March,23,40.00,450,500,475
2017,March,20,15.00,450,500,475
2015,February,13,0.10,800,900,850
2015,July,29,0.10,850,950,900
2014,August,06,0.10,1600,1800,1700
2014,September,01,0.50,2700,2800,2750
2015,January,27,0.80,800,900,850
2015,July,27,1.00,850,950,900
2014,November,04,1.00,2600,2800,2600
2015,January,02,1.20,1100,1300,1200
2014,September,17,1.50,2100,2300,2200
2015,July,30,2.00,850,950,900
2014,April,04,2.00,900,1100,1000
2014,April,05,2.00,900,1100,1000
2015,December,14,2.00,1100,1250,1200
2015,December,22,2.00,1100,1250,1200
2014,October,22,2.00,2400,2600,2500
2014,October,29,2.00,2400,2600,2500
2014,September,09,2.00,2700,2800,2750
2014,August,16,2.00,2700,2900,2800
2014,July,25,2.10,2200,2400,2300
2014,April,07,2.50,900,1100,1000
2014,June,13,2.50,1600,1800,1600
2014,August,02,2.50,1600,1800,1700
2014,August,25,2.50,2600,2800,2700
2014,September,02,2.50,2700,2800,2750
2014,August,19,2.50,2700,2900,2800
2014,March,07,3.00,800,840,820
2014,April,21,3.00,950,1100,1000
2014,April,28,3.00,1100,1300,1200
2014,December,19,3.00,1200,1400,1300
2014,December,20,3.00,1200,1400,1300
2014,June,27,3.00,1500,1700,1600
2014,June,07,3.00,1500,1800,1700
2014,June,09,3.00,1500,1800,1700
2014,June,21,3.00,1500,1800,1700
2014,August,01,3.00,1600,1800,1700
2014,December,12,3.00,1900,2100,2000
2014,July,28,3.00,2000,2200,2100
2014,August,12,3.00,2100,3300,2200
2014,September,22,3.00,2200,2400,2300
2014,September,11,3.00,2300,2500,2400
2014,September,15,3.00,2300,2500,2400
2014,November,01,3.00,2500,2700,2600
2014,December,03,3.00,2500,2700,2600
2014,December,05,3.00,2500,2700,2600
2014,November,19,3.00,2500,2700,2600
2014,August,20,3.00,2600,2800,2700
2014,August,26,3.00,2700,2800,2750
2014,August,29,3.00,2700,2800,2750
2014,September,04,3.00,2700,3000,2750
2014,March,12,3.50,750,850,800
2014,April,03,3.50,900,1100,1000
2014,April,08,3.50,900,1100,1000
2014,April,10,3.50,900,1100,1000
2014,March,24,3.50,900,1100,1000
2014,April,17,3.50,950,1100,1000
2014,December,17,3.50,1200,1400,1300
2014,December,18,3.50,1200,1400,1300
2014,May,08,3.50,1400,1800,1600
2014,June,06,3.50,1500,1800,1700
2014,June,10,3.50,1500,1800,1700
2014,June,23,3.50,1500,1800,1700
2014,August,07,3.50,1600,1800,1700
2014,July,30,3.50,1900,2100,2000
2014,July,23,3.50,2000,2200,2100
2014,July,26,3.50,2000,2200,2100
2014,September,16,3.50,2100,2300,2200
2014,September,19,3.50,2100,2300,2200
2014,October,08,3.50,2200,2400,2300
2014,November,07,3.50,2500,2700,2600
2014,November,10,3.50,2500,2700,2600
2014,August,28,3.50,2600,2800,2700
2014,June,30,3.60,1500,1700,1600
2015,June,11,4.00,650,750,700
2014,March,01,4.00,800,840,820
2014,April,11,4.00,950,1100,1000
2014,April,19,4.00,950,1100,1000
2015,January,07,4.00,1100,1300,1200
2014,December,23,4.00,1100,1300,1200
2014,December,15,4.00,1200,1400,1300
2014,July,01,4.00,1500,1700,1600
2014,July,02,4.00,1500,1700,1600
2014,July,03,4.00,1500,1700,1600
2014,June,20,4.00,1500,1800,1700
2014,June,24,4.00,1500,1800,1700
2014,June,26,4.00,1500,1800,1700
2014,July,16,4.00,2000,2300,2200
2014,August,13,4.00,2100,2300,2200
2014,September,20,4.00,2100,2300,2200
2014,October,15,4.00,2200,2400,2300
2014,July,21,4.00,2200,2400,2300
2014,September,26,4.00,2200,2400,2300
2014,October,20,4.00,2300,2500,2400
2014,October,28,4.00,2400,2600,2500
2014,November,05,4.00,2500,2700,2600
2014,December,08,4.00,2500,2700,2600
2014,November,26,4.00,2500,2700,2600
2016,January,30,4.50,700,750,720
2014,March,21,4.50,900,1100,1000
2014,June,16,4.50,1700,1800,1700
2014,August,14,4.50,2100,2300,2200
2014,September,29,4.50,2200,2400,2300
2014,December,01,4.50,2500,2700,2600
2015,May,11,5.00,510,530,520
2016,January,02,5.00,800,900,850
2015,February,11,5.00,800,900,850
2015,February,12,5.00,800,900,850
2016,January,04,5.00,900,1000,950
2016,January,13,5.00,900,1000,950
2015,January,05,5.00,1100,1300,1200
2015,January,09,5.00,1100,1300,1200
2014,June,25,5.00,1500,1800,1700
2014,June,11,5.00,1600,1800,1600
2014,June,12,5.00,1600,1800,1600
2014,December,04,5.00,2500,2700,2600
2014,November,13,5.00,2500,2700,2600
2014,March,05,5.50,800,840,820
2014,March,06,5.50,800,840,820
2015,May,13,6.00,510,530,520
2015,February,21,6.00,530,550,540
2015,February,17,6.00,800,900,850
2015,January,29,6.00,800,900,850
2015,February,18,6.00,800,950,850
2016,January,01,6.00,800,950,900
2016,January,11,6.00,900,1000,950
2015,January,13,6.00,1000,1100,1050
2014,May,07,6.00,1400,1800,1600
2016,June,06,6.00,1500,1800,1700
2015,March,10,7.00,530,550,540
2015,March,11,7.00,530,550,540
2015,March,13,7.00,530,550,540
2015,March,17,7.00,530,550,540
2015,February,02,7.00,800,900,850
2015,January,30,7.00,800,900,850
2015,January,19,7.00,800,1000,900
2015,January,20,7.00,800,1000,900
2016,January,06,7.00,900,1000,950
2015,April,10,8.00,510,530,520
2015,April,27,8.00,510,530,520
2015,April,30,8.00,510,530,520
2015,March,09,8.00,530,550,540
2015,March,19,8.00,530,550,540
2015,January,21,8.00,800,850,800
2015,February,04,8.00,800,900,850
2016,January,21,8.00,800,900,850
2015,October,10,8.00,850,950,900
2016,May,04,8.00,1300,1360,1350
2016,June,08,8.00,1500,1800,1700
2015,May,06,9.00,510,530,520
2015,February,20,9.00,530,550,540
2015,February,26,9.00,530,550,540
2015,January,22,9.00,800,950,850
2015,December,20,9.00,1100,1250,1200
2016,May,19,9.00,1550,1700,1650
2015,April,17,10.00,510,530,520
2015,April,21,10.00,510,530,520
2015,April,24,10.00,510,530,520
2015,June,01,10.00,520,540,530
2015,June,06,10.00,520,540,530
2015,June,08,10.00,520,540,530
2015,May,21,10.00,520,540,530
2015,May,22,10.00,520,540,530
2015,May,26,10.00,520,540,530
2015,June,18,10.00,650,750,700
2015,June,19,10.00,700,750,730
2015,June,20,10.00,700,750,730
2015,December,27,10.00,800,900,850
2015,December,28,10.00,800,900,850
2015,September,01,10.00,850,950,900
2015,September,02,10.00,850,950,900
2015,October,04,10.00,850,950,900
2015,August,05,10.00,850,950,900
2015,October,07,10.00,850,950,900
2015,July,09,10.00,850,950,900
2015,October,09,10.00,850,950,900
2015,August,11,10.00,850,950,900
2015,October,11,10.00,850,950,900
2015,October,13,10.00,850,950,900
2015,July,14,10.00,850,950,900
2015,October,15,10.00,850,950,900
2015,October,19,10.00,850,950,900
2015,August,21,10.00,850,950,900
2015,September,24,10.00,850,950,900
2015,October,25,10.00,850,950,900
2015,August,29,10.00,850,950,900
2015,September,29,10.00,850,950,900
2015,November,01,10.00,900,940,930
2015,October,31,10.00,900,940,930
2016,January,07,10.00,900,1000,950
2015,December,02,10.00,1050,1150,1100
2015,December,07,10.00,1100,1250,1200
2015,December,15,10.00,1100,1250,1200
2015,December,24,10.00,1100,1250,1200
2015,November,07,10.00,1100,1300,1200
2015,November,22,10.00,1150,1300,1250
2016,May,03,10.00,1300,1360,1350
2016,April,25,10.00,1300,1360,1350
2016,April,30,10.00,1300,1360,1350
2016,May,25,10.00,1320,1360,1350
2016,May,27,10.00,1330,1360,1350
2015,December,21,11.00,1100,1250,1200
2015,April,01,12.00,500,520,510
2015,April,07,12.00,510,530,520
2015,May,07,12.00,510,530,520
2015,April,08,12.00,510,530,520
2015,May,08,12.00,510,530,520
2015,April,18,12.00,510,530,520
2015,April,20,12.00,510,530,520
2015,June,02,12.00,520,540,530
2015,June,04,12.00,520,540,530
2015,June,22,12.00,700,750,730
2015,December,31,12.00,800,900,850
2015,July,04,12.00,850,950,900
2015,October,18,13.00,850,950,900
2015,November,23,14.00,1150,1300,1250
2015,March,02,15.00,480,500,480
2015,March,04,15.00,480,500,480
2015,April,06,15.00,510,530,520
2015,April,22,15.00,510,530,520
2015,April,23,15.00,510,530,520
2015,May,25,15.00,520,540,530
2015,May,30,15.00,520,540,530
2015,June,09,15.00,650,750,700
2015,October,02,15.00,850,950,900
2015,July,03,15.00,850,950,900
2015,August,06,15.00,850,950,900
2015,October,06,15.00,850,950,900
2015,September,07,15.00,850,950,900
2015,September,08,15.00,850,950,900
2015,September,09,15.00,850,950,900
2015,August,12,15.00,850,950,900
2015,October,12,15.00,850,950,900
2015,October,14,15.00,850,950,900
2015,July,16,15.00,850,950,900
2015,September,17,15.00,850,950,900
2015,September,19,15.00,850,950,900
2015,August,25,15.00,850,950,900
2015,June,26,15.00,850,950,900
2015,October,26,15.00,850,950,900
2015,August,28,15.00,850,950,900
2015,October,28,15.00,850,950,900
2015,September,30,15.00,850,950,900
2015,August,31,15.00,850,950,900
2015,July,31,15.00,850,950,900
2015,November,02,15.00,900,940,930
2015,October,30,15.00,900,940,930
2015,November,11,15.00,1000,1200,1100
2015,December,01,15.00,1050,1150,1100
2015,December,04,15.00,1050,1150,1100
2015,November,25,15.00,1050,1150,1100
2015,December,05,15.00,1100,1250,1200
2015,December,09,15.00,1100,1250,1200
2015,November,04,15.00,1100,1300,1200
2015,November,20,15.00,1150,1300,1250
2016,May,02,15.00,1300,1360,1350
