year,month,date,arrival,min,max,modal
2019,August,07,3.43,13400,16080,14740
2018,November,16,3.88,8911,10720,9815.5
2018,February,16,4.78,9045,11256,10150.5
2018,May,23,6.57,8375,10720,9547.5
2018,May,24,7.46,8174,10720,9447
2019,December,26,7.46,8375,10385,9380
2019,September,19,7.46,8576,10184,9380
2018,May,25,7.76,8174,10720,9447
2019,December,28,7.84,8375,10385,9380
2019,December,27,8.48,8375,10385,9380
2018,February,15,8.96,9045,11256,10150.5
2018,March,29,10.45,8442,10720,9581
2019,January,26,10.45,8710,10720,9815.5
2018,October,24,10.45,8911,10720,9815.5
2019,June,29,10.45,9045,10921,9983
2019,July,27,10.45,10050,11055,10385
2018,October,14,11.04,8911,10720,9815.5
2019,October,09,11.19,8576,10184,9380
2018,January,21,11.19,9045,11256,10150.5
2018,January,28,11.34,9045,11256,10150.5
2017,December,23,11.55,9045,11256,10150.5
2019,January,27,11.57,8710,10720,9815.5
2018,October,20,11.64,8911,10720,9815.5
2017,December,09,11.64,9045,11256,10150.5
2019,September,13,11.72,8576,10184,9380
2017,December,02,11.72,9045,11256,10150.5
2018,October,25,11.79,8911,10720,9815.5
2019,August,04,11.79,9045,11055,10050
2019,July,28,11.79,10050,11055,10385
2017,December,16,11.87,9045,11256,10150.5
2018,April,07,11.94,8442,10720,9581
2018,June,09,11.94,8710,9782,9246
2018,February,17,11.94,8710,11256,9983
2019,February,03,11.94,8911,10720,9815.5
2018,November,15,11.94,8911,10720,9815.5
2018,October,15,11.94,8911,10720,9815.5
2019,January,30,11.94,8911,10720,9815.5
2018,November,06,11.94,8944.5,10720,9815.5
2019,July,01,11.94,8978,10988,9983
2019,June,28,11.94,9045,10921,9983
2019,May,14,11.94,9045,11055,10050
2019,July,26,11.94,9045,11055,10050
2017,December,03,11.94,9045,11256,10150.5
2017,December,10,11.94,9045,11256,10150.5
2018,February,10,11.94,9045,11256,10150.5
2018,February,13,11.94,9045,11256,10150.5
2017,December,24,11.94,9045,11256,10150.5
2019,June,06,12.04,8777,10921,9849
2019,April,10,12.16,8777,10921,9849
2018,October,21,12.18,8911,10720,9815.5
2019,February,17,12.24,9045,11055,10050
2019,August,20,12.31,9045,11055,10050
2018,March,10,12.39,8442,10720,9581
2019,February,19,12.39,8911,10720,9815.5
2018,November,14,12.54,9045,10720,9882.5
2018,January,04,12.54,9045,11256,10150.5
2019,October,14,12.69,8576,10184,9380
2019,September,14,12.69,8576,10184,9380
2018,December,03,12.69,8911,10720,9815.5
2018,December,18,12.69,8911,10720,9815.5
2018,January,17,12.69,9045,11256,10150.5
2019,April,11,12.76,8777,10921,9849
2018,January,06,12.84,9045,11256,10150.5
2018,February,24,12.84,9045,11256,10150.5
2018,April,11,12.99,8442,10720,9581
2018,April,14,12.99,8442,10720,9581
2018,June,27,12.99,8442,10720,9581
2019,May,05,12.99,8777,10921,9849
2019,March,10,12.99,8911,10720,9815.5
2019,January,29,12.99,8911,10720,9815.5
2018,July,06,12.99,8944.5,10318,9627.9
2018,February,04,12.99,9045,11256,10150.5
2018,April,09,13.06,8442,10720,9581
2018,May,18,13.06,8442,10720,9581
2018,April,20,13.06,8442,10720,9581
2018,April,24,13.06,8442,10720,9581
2018,February,26,13.06,8442,10720,9581
2018,June,02,13.06,8710,9782,9246
2018,June,06,13.06,8710,9782,9246
2018,June,18,13.06,8710,9782,9246
2019,March,12,13.06,8777,10921,9849
2019,January,28,13.06,8911,10720,9815.5
2018,July,12,13.06,8944.5,10318,9627.9
2018,August,16,13.06,8944.5,10318,9627.9
2018,August,21,13.06,8944.5,10318,9627.9
2019,February,15,13.06,9045,11055,10050
2017,December,15,13.06,9045,11256,10150.5
2018,January,18,13.06,9045,11256,10150.5
2017,December,22,13.06,9045,11256,10150.5
2018,January,23,13.07,9045,11256,10150.5
2017,December,06,13.10,9045,11256,10150.5
2018,May,22,13.13,8375,10787,9581
2018,September,17,13.13,8944.5,10318,9627.9
2019,December,02,13.21,8576,10184,9380
2019,September,09,13.28,8576,10184,9380
2018,June,13,13.28,8710,9782,9246
2019,May,03,13.28,8777,10921,9849
2019,June,18,13.28,8777,10921,9849
2019,April,22,13.28,8777,10921,9849
2018,September,23,13.28,8944.5,10318,9627.9
2018,February,09,13.31,9045,11256,10150.5
2018,March,26,13.34,8442,10720,9581
2019,October,30,13.36,8576,10184,9380
2019,March,13,13.36,8777,10921,9849
2018,February,28,13.37,8442,10720,9581
2019,December,25,13.43,8375,10385,9380
2018,April,03,13.43,8442,10720,9581
2018,May,04,13.43,8442,10720,9581
2018,March,05,13.43,8442,10720,9581
2018,April,06,13.43,8442,10720,9581
2018,May,09,13.43,8442,10720,9581
2018,April,12,13.43,8442,10720,9581
2018,March,13,13.43,8442,10720,9581
2018,April,17,13.43,8442,10720,9581
2018,March,17,13.43,8442,10720,9581
2018,May,17,13.43,8442,10720,9581
2018,May,19,13.43,8442,10720,9581
2018,April,25,13.43,8442,10720,9581
2018,April,28,13.43,8442,10720,9581
2018,May,28,13.43,8442,10720,9581
2018,May,31,13.43,8442,10720,9581
2019,September,02,13.43,8576,10184,9380
2019,September,03,13.43,8576,10184,9380
2019,October,10,13.43,8576,10184,9380
2019,September,10,13.43,8576,10184,9380
2019,September,17,13.43,8576,10184,9380
2019,October,28,13.43,8576,10184,9380
2018,June,08,13.43,8710,9782,9246
2019,December,31,13.43,8710,10720,9715
2019,April,04,13.43,8777,10921,9849
2019,March,04,13.43,8777,10921,9849
2019,May,04,13.43,8777,10921,9849
2019,June,08,13.43,8777,10921,9849
2019,June,12,13.43,8777,10921,9849
2019,July,14,13.43,8777,10921,9849
2019,June,14,13.43,8777,10921,9849
2019,May,15,13.43,8777,10921,9849
2019,June,17,13.43,8777,10921,9849
2019,May,19,13.43,8777,10921,9849
2019,April,21,13.43,8777,10921,9849
2019,June,25,13.43,8777,10921,9849
2019,March,26,13.43,8777,10921,9849
2019,May,29,13.43,8777,10921,9849
2019,January,01,13.43,8911,10720,9815.5
2019,March,03,13.43,8911,10720,9815.5
2019,February,05,13.43,8911,10720,9815.5
2019,March,09,13.43,8911,10720,9815.5
2018,October,10,13.43,8911,10720,9815.5
2018,November,12,13.43,8911,10720,9815.5
2018,October,13,13.43,8911,10720,9815.5
2019,January,14,13.43,8911,10720,9815.5
2018,December,19,13.43,8911,10720,9815.5
2019,February,20,13.43,8911,10720,9815.5
2018,November,20,13.43,8911,10720,9815.5
2018,October,22,13.43,8911,10720,9815.5
2018,November,24,13.43,8911,10720,9815.5
2018,December,26,13.43,8911,10720,9815.5
2019,February,27,13.43,8911,10720,9815.5
2018,October,27,13.43,8911,10720,9815.5
2018,November,29,13.43,8911,10720,9815.5
2018,October,30,13.43,8911,10720,9815.5
2018,December,31,13.43,8911,10720,9815.5
2018,August,02,13.43,8944.5,10318,9627.9
2018,July,04,13.43,8944.5,10318,9627.9
2018,September,04,13.43,8944.5,10318,9627.9
2018,September,08,13.43,8944.5,10318,9627.9
2018,August,09,13.43,8944.5,10318,9627.9
2018,September,13,13.43,8944.5,10318,9627.9
2018,August,14,13.43,8944.5,10318,9627.9
2018,September,18,13.43,8944.5,10318,9627.9
2018,August,20,13.43,8944.5,10318,9627.9
2018,September,24,13.43,8944.5,10318,9627.9
2018,August,27,13.43,8944.5,10318,9627.9
2018,September,29,13.43,8944.5,10318,9627.9
