year,month,date,arrival,min,max,modal
2014,April,05,1.00,2080,2200,2120
2019,May,05,2.30,2560,2800,2680
2019,July,21,3.00,2600,2800,2700
2015,December,15,5.00,2290,2300,2294
2019,December,31,5.00,2600,2800,2700
2015,March,23,6.00,2100,2400,2200
2014,October,08,6.00,2140,2200,2170
2014,October,23,6.00,2140,2200,2170
2015,December,22,6.00,2290,2300,2294
2016,October,29,6.50,1140,1155,1147
2014,October,18,7.00,2140,2200,2170
2015,December,16,7.50,2290,2300,2294
2019,July,17,8.00,2600,2800,2700
2016,October,28,8.50,1140,1155,1147
2019,August,04,8.50,2600,2800,2700
2019,December,27,8.50,2600,2800,2700
2019,December,28,8.50,2600,2800,2700
2015,August,07,8.80,2110,2120,2110
2016,November,03,8.90,1140,1155,1147
2019,December,29,9.10,2600,2800,2700
2016,October,27,9.50,1140,1155,1147
2019,July,22,9.50,2600,2800,2700
2019,December,26,9.50,2600,2800,2700
2019,July,28,9.80,2500,2700,2600
2016,November,01,10.00,1140,1155,1147
2016,November,06,10.00,1140,1155,1147
2016,December,07,10.00,1140,1155,1147
2016,November,08,10.00,1140,1155,1147
2017,January,09,10.00,1140,1155,1147
2016,November,14,10.00,1140,1155,1147
2016,December,18,10.00,1140,1155,1147
2016,November,20,10.00,1140,1155,1147
2016,December,24,10.00,1140,1155,1147
2016,December,28,10.00,1140,1155,1147
2016,September,28,10.00,1140,1155,1147
2016,December,29,10.00,1140,1155,1147
2016,October,30,10.00,1140,1155,1147
2017,December,03,10.00,1180,1190,1185
2018,February,13,10.00,1180,1190,1185
2018,February,16,10.00,1180,1190,1185
2017,December,24,10.00,1180,1190,1185
2017,November,24,10.00,1180,1190,1185
2019,July,29,10.00,2500,2700,2600
2019,February,03,10.00,2560,2800,2680
2018,November,06,10.00,2560,2800,2680
2018,October,15,10.00,2560,2800,2680
2018,November,23,10.00,2560,2800,2680
2019,January,29,10.00,2560,2800,2680
2019,July,02,10.00,2600,2800,2700
2019,August,05,10.00,2600,2800,2700
2019,July,16,10.00,2600,2800,2700
2019,September,19,10.00,2600,2800,2700
2019,July,20,10.00,2600,2800,2700
2019,July,23,10.00,2600,2800,2700
2019,December,30,10.00,2600,2800,2700
2019,July,27,10.20,2500,2700,2600
2018,October,20,10.30,2560,2800,2680
2018,October,24,10.30,2560,2800,2680
2016,October,31,10.50,1140,1155,1147
2018,October,21,10.50,2560,2800,2680
2017,December,23,10.80,1180,1190,1185
2016,October,01,11.00,1140,1155,1147
2016,November,02,11.00,1140,1155,1147
2016,November,05,11.00,1140,1155,1147
2017,January,10,11.00,1140,1155,1147
2016,December,16,11.00,1140,1155,1147
2016,November,16,11.00,1140,1155,1147
2016,November,18,11.00,1140,1155,1147
2016,December,20,11.00,1140,1155,1147
2016,November,23,11.00,1140,1155,1147
2016,November,28,11.00,1140,1155,1147
2017,November,23,11.00,1180,1190,1185
2018,November,16,11.00,2550,2800,2675
2019,February,12,11.00,2560,2800,2680
2018,October,25,11.00,2560,2800,2680
2016,November,04,11.30,1140,1155,1147
2019,January,10,11.40,2560,2800,2680
2017,January,17,11.50,1300,1325,1312
2018,November,07,11.60,2560,2800,2680
2016,December,14,11.80,1140,1155,1147
2016,November,15,11.80,1140,1155,1147
2017,January,01,12.00,1140,1155,1147
2016,November,07,12.00,1140,1155,1147
2017,January,11,12.00,1140,1155,1147
2016,November,17,12.00,1140,1155,1147
2016,December,19,12.00,1140,1155,1147
2016,November,25,12.00,1140,1155,1147
2016,September,30,12.00,1140,1155,1147
2018,February,15,12.00,1180,1190,1185
2017,December,16,12.00,1180,1190,1185
2017,May,16,12.00,1250,1300,1275
2017,January,16,12.00,1300,1325,1312
2017,January,18,12.00,1300,1325,1312
2017,January,19,12.00,1300,1325,1312
2017,March,27,12.00,1300,1325,1312
2018,May,25,12.00,2350,2390,2370
2018,November,15,12.00,2500,2800,2650
2018,November,14,12.00,2560,2740,2650
2019,January,14,12.00,2560,2800,2680
2018,November,22,12.00,2560,2800,2680
2018,November,24,12.00,2560,2800,2680
2019,January,30,12.00,2560,2800,2680
2016,December,12,12.30,1140,1155,1147
2018,November,10,12.30,2560,2800,2680
2018,October,14,12.30,2560,2800,2680
2018,December,31,12.30,2560,2800,2680
2016,December,03,12.50,1140,1155,1147
2016,October,03,12.50,1140,1155,1147
2016,December,10,12.50,1140,1155,1147
2016,December,21,12.50,1140,1155,1147
2016,October,26,12.50,1140,1155,1147
2017,December,07,12.50,1180,1190,1185
2017,December,09,12.50,1180,1190,1185
2017,December,10,12.50,1180,1190,1185
2017,December,19,12.50,1180,1190,1185
2017,December,22,12.50,1180,1190,1185
2017,May,17,12.50,1250,1300,1275
2018,November,08,12.50,2560,2800,2680
2018,November,20,12.50,2560,2800,2680
2018,October,27,12.50,2560,2800,2680
2019,February,15,12.50,2600,2800,2700
2019,February,16,12.50,2600,2800,2700
2016,December,06,12.80,1140,1155,1147
2016,December,15,12.80,1140,1155,1147
2016,November,21,12.80,1140,1155,1147
2017,December,20,12.80,1180,1190,1185
2017,January,06,13.00,1140,1155,1147
2016,October,06,13.00,1140,1155,1147
2017,January,07,13.00,1140,1155,1147
2016,November,09,13.00,1140,1155,1147
2016,November,11,13.00,1140,1155,1147
2016,December,17,13.00,1140,1155,1147
2016,November,22,13.00,1140,1155,1147
2016,December,27,13.00,1140,1155,1147
2016,November,29,13.00,1140,1155,1147
2018,January,01,13.00,1180,1190,1185
2017,December,06,13.00,1180,1190,1185
2017,December,18,13.00,1180,1190,1185
2017,December,21,13.00,1180,1190,1185
2017,November,28,13.00,1180,1190,1185
2017,January,23,13.00,1300,1325,1312
2017,January,28,13.00,1300,1325,1312
2019,January,01,13.00,2560,2800,2680
2018,November,03,13.00,2560,2800,2680
2019,February,05,13.00,2560,2800,2680
2019,January,05,13.00,2560,2800,2680
2019,February,19,13.00,2560,2800,2680
2018,November,19,13.00,2560,2800,2680
2019,December,18,13.00,2600,2800,2700
2019,December,19,13.00,2600,2800,2700
2016,December,05,13.20,1140,1155,1147
2016,December,26,13.20,1140,1155,1147
2018,November,27,13.20,2560,2800,2680
2019,October,30,13.20,2600,2800,2700
2016,November,10,13.40,1140,1155,1147
2018,December,28,13.40,2560,2800,2680
2018,November,29,13.40,2560,2800,2680
2017,December,08,13.50,1180,1190,1185
2017,November,27,13.50,1180,1190,1185
2017,November,29,13.50,1180,1190,1185
2019,January,02,13.50,2560,2800,2680
2018,November,02,13.50,2560,2800,2680
2018,November,09,13.50,2560,2800,2680
2018,October,29,13.50,2560,2800,2680
2016,November,30,13.60,1140,1155,1147
2017,December,05,13.70,1180,1190,1185
2019,October,28,13.80,2600,2800,2700
2018,November,12,13.90,2560,2800,2680
2016,December,01,14.00,1140,1155,1147
2017,January,04,14.00,1140,1155,1147
2016,December,09,14.00,1140,1155,1147
2016,November,19,14.00,1140,1155,1147
2016,December,31,14.00,1140,1155,1147
2017,December,04,14.00,1180,1190,1185
2017,December,11,14.00,1180,1190,1185
2017,December,13,14.00,1180,1190,1185
2017,December,26,14.00,1180,1190,1185
2017,December,29,14.00,1180,1190,1185
2017,November,30,14.00,1180,1190,1185
2017,March,19,14.00,1300,1325,1312
2017,January,24,14.00,1300,1325,1312
2017,January,31,14.00,1300,1325,1312
2015,February,10,14.00,2100,2400,2200
2019,February,01,14.00,2560,2800,2680
2019,January,03,14.00,2560,2800,2680
2019,January,07,14.00,2560,2800,2680
2019,January,11,14.00,2560,2800,2680
2019,January,16,14.00,2560,2800,2680
2018,November,17,14.00,2560,2800,2680
2019,February,21,14.00,2560,2800,2680
2018,November,26,14.00,2560,2800,2680
2018,October,26,14.00,2560,2800,2680
2019,January,27,14.00,2560,2800,2680
2018,October,30,14.00,2560,2800,2680
2019,January,31,14.00,2560,2800,2680
2018,October,31,14.00,2560,2800,2680
2019,December,02,14.00,2600,2800,2700
2019,June,29,14.00,2600,2800,2700
2017,December,01,14.20,1180,1190,1185
2018,January,03,14.20,1180,1190,1185
2017,January,21,14.20,1300,1325,1312
2016,December,23,14.30,1140,1155,1147
2018,December,29,14.30,2560,2800,2680
2018,January,02,14.50,1180,1190,1185
2017,December,14,14.50,1180,1190,1185
2017,December,27,14.50,1180,1190,1185
2018,November,05,14.50,2560,2800,2680
2019,February,06,14.50,2560,2800,2680
2018,November,28,14.50,2560,2800,2680
2019,October,29,14.50,2600,2800,2700
2019,November,04,14.60,2600,2800,2700
2019,July,19,14.70,2600,2800,2700
2017,January,02,15.00,1140,1155,1147
2017,January,05,15.00,1140,1155,1147
2016,September,29,15.00,1140,1155,1147
2018,January,04,15.00,1180,1190,1185
2017,December,15,15.00,1180,1190,1185
2017,December,30,15.00,1180,1190,1185
2017,February,05,15.00,1300,1325,1312
2017,February,08,15.00,1300,1325,1312
2017,February,10,15.00,1300,1325,1312
2017,May,10,15.00,1300,1325,1312
2017,March,12,15.00,1300,1325,1312
2017,January,20,15.00,1300,1325,1312
2017,January,27,15.00,1300,1325,1312
2017,August,26,15.00,2200,2400,2300
2015,January,09,15.00,2250,2500,2400
2019,February,04,15.00,2560,2800,2680
2019,February,11,15.00,2560,2800,2680
2019,February,20,15.00,2560,2800,2680
2018,November,21,15.00,2560,2800,2680
2018,November,30,15.00,2560,2800,2680
2019,February,14,15.00,2600,2800,2700
2019,December,20,15.00,2600,2800,2700
2019,November,25,15.00,2600,2800,2700
2019,October,31,15.00,2600,2800,2700
2019,February,08,15.20,2560,2800,2680
2017,January,13,15.50,1140,1155,1147
2017,December,12,15.50,1180,1190,1185
2016,March,14,15.50,2300,2310,2305
2019,January,04,15.50,2560,2800,2680
2019,January,24,15.50,2560,2800,2680
2019,December,21,15.50,2600,2800,2700
2017,January,25,15.70,1300,1325,1312
2016,December,30,16.00,1140,1155,1147
2017,February,02,16.00,1300,1325,1312
2017,March,15,16.00,1300,1325,1312
2017,March,17,16.00,1300,1325,1312
2017,February,21,16.00,1300,1325,1312
2017,March,23,16.00,1300,1325,1312
2017,April,27,16.00,1300,1325,1312
2017,January,30,16.00,1300,1325,1312
