year,month,date,arrival,min,max,modal
2014,April,22,47.00,2400,2600,2500
2014,June,13,52.00,2400,2600,2500
2014,July,10,53.00,2200,2600,2400
2014,June,25,66.00,2400,2600,2500
2014,March,20,70.00,2400,2600,2500
2014,May,22,70.00,2400,2600,2500
2014,May,15,75.50,2400,2600,2500
2014,May,17,87.00,2450,2600,2500
2014,April,04,90.00,2400,2600,2500
2014,January,30,101.00,1970,2350,2140
2014,March,13,130.00,1850,2600,2400
2014,March,14,130.00,1850,2600,2400
2014,August,13,47.00,2400,2800,2600
2015,November,11,60.00,1800,2400,2100
2015,November,20,60.00,1800,2400,2100
2015,September,13,61.00,1800,2400,2100
2015,June,28,63.00,1800,2400,2100
2016,January,20,64.00,1800,2400,2100
2015,September,14,66.50,1800,2400,2100
2016,January,12,67.00,1800,2400,2100
2016,May,30,68.00,1800,2400,2100
2015,July,19,70.00,1800,2400,2100
2015,May,31,70.00,1800,2400,2100
2015,April,11,70.00,2400,2800,2600
2015,December,09,70.50,1800,2400,2100
2016,May,10,71.00,1800,2400,2100
2015,July,12,71.00,1800,2400,2100
2015,July,07,72.00,1800,2400,2100
2016,December,04,72.00,2060,2400,2230
2019,August,03,72.00,2500,3000,2750
2016,October,11,73.00,2060,2400,2230
2014,September,01,73.00,2400,2700,2600
2014,December,15,73.00,2400,2800,2600
2015,December,04,74.00,1800,2400,2100
2015,August,14,74.00,1800,2400,2100
2015,August,27,74.00,1800,2400,2100
2016,March,14,74.50,1800,2400,2100
2016,August,06,75.00,2060,2400,2230
2016,December,27,75.00,2060,2400,2230
2018,May,22,75.00,2200,2600,2400
2014,August,20,75.00,2400,2600,2500
2019,December,03,75.50,2500,3000,2750
2019,October,10,76.50,2500,3000,2750
2017,April,20,77.00,2200,2500,2350
2016,October,25,77.20,2060,2400,2230
2017,December,02,77.50,2200,2600,2400
2015,November,23,78.00,1800,2400,2100
2017,February,15,79.00,2060,2400,2230
2016,September,22,79.00,2060,2400,2230
2019,September,12,79.00,2500,3000,2750
2019,July,25,79.50,2500,3000,2750
2014,June,11,49.00,2400,2700,2600
2014,July,16,50.00,2400,2600,2500
2014,July,04,52.00,2500,2800,2700
2014,July,09,59.00,2700,2900,2800
2014,June,16,60.00,2400,2700,2600
2014,July,15,69.00,2400,2600,2500
2014,April,05,77.50,2400,2600,2500
2014,June,20,79.00,2400,2600,2500
2014,June,17,80.50,2400,2600,2500
