year,month,date,arrival,min,max,modal
2014,August,25,6.50,2100,2120,2110
2014,September,25,6.50,2120,2200,2120
2014,September,23,6.50,2360,2440,2380
2014,September,01,7.00,2100,2120,2110
2014,August,06,7.00,2100,2120,2110
2014,August,22,7.00,2100,2120,2110
2014,October,23,7.00,2100,2120,2110
2014,August,09,7.00,2120,2200,2160
2014,April,04,7.50,2080,2160,2080
2014,September,12,7.50,2100,2120,2110
2014,August,14,7.50,2100,2120,2110
2014,March,19,7.50,2100,2200,2100
2014,November,13,7.50,2220,2300,2260
2014,March,01,8.00,2000,2160,2040
2014,April,02,8.00,2000,2400,2160
2014,August,05,8.00,2100,2120,2110
2014,September,05,8.00,2100,2120,2110
2014,March,15,8.00,2100,2200,2100
2014,October,24,8.00,2100,2300,2200
2014,October,28,8.00,2220,2300,2260
2014,November,11,8.00,2220,3000,2260
2014,September,20,8.50,2100,2120,2110
2014,October,22,8.50,2100,2120,2110
2014,September,26,8.50,2100,2120,2110
2015,March,23,8.50,2160,2180,2170
2014,February,15,8.80,2050,2100,2050
2014,February,10,9.00,2040,2100,2050
2014,February,01,9.00,2040,2160,2100
2014,March,04,9.00,2050,2150,2100
2014,August,02,9.00,2100,2120,2110
2014,September,15,9.00,2100,2120,2110
2014,March,18,9.00,2100,2200,2100
2014,August,08,9.00,2120,2200,2160
2014,October,26,9.00,2160,2300,2200
2014,February,04,9.50,2040,2080,2060
2014,February,03,9.50,2040,2160,2100
2014,September,08,9.50,2100,2120,2110
2014,May,04,9.50,2120,2400,2280
2014,July,04,10.00,1100,1200,1150
2014,February,05,10.00,2040,2080,2040
2014,February,13,10.00,2040,2100,2060
2014,March,11,10.00,2040,2160,2100
2014,March,13,10.00,2040,2160,2100
2014,January,17,10.00,2040,2160,2100
2014,January,30,10.00,2040,2160,2100
2014,January,22,10.00,2040,2160,2120
2014,February,27,10.00,2060,2140,2100
2014,March,31,10.00,2080,2160,2080
2014,September,22,10.00,2100,2120,2110
2014,June,27,10.00,2100,2400,2300
2014,October,21,10.00,2100,2400,2340
2014,April,17,10.00,2120,2160,2140
2014,March,20,10.00,2120,2200,2160
2014,March,24,10.00,2120,2200,2160
2014,November,22,10.00,2120,2400,2240
2014,May,03,10.00,2120,2400,2280
2014,October,27,10.00,2160,2300,2200
2014,July,10,10.00,2200,2400,2300
2015,January,09,10.00,2200,2600,2400
2014,February,07,10.50,2040,2100,2050
2014,January,21,10.50,2040,2160,2100
2014,September,11,10.50,2100,2300,2150
2015,April,28,11.00,1080,1090,1085
2014,February,06,11.00,2040,2100,2050
2015,August,10,11.00,2070,2110,2090
2014,July,11,11.00,2200,2400,2300
2015,April,01,11.50,1080,1090,1085
2015,May,06,12.00,1000,1010,1000
2015,August,22,12.00,1035,1055,1045
2015,May,02,12.00,1080,1090,1085
2015,April,27,12.00,1080,1090,1085
2014,June,07,12.00,1100,1200,1150
2014,July,20,12.00,2000,2040,2020
2014,February,18,12.00,2040,2100,2080
2014,January,28,12.00,2040,2140,2100
2014,March,12,12.00,2040,2160,2100
2015,August,11,12.00,2070,2110,2090
2014,August,19,12.00,2100,2200,2150
2014,November,01,12.00,2100,2300,2200
2014,November,23,12.00,2120,2250,2240
2014,August,27,12.00,2160,2400,2200
2014,February,17,12.50,2040,2080,2080
2014,February,12,12.50,2040,2100,2040
2014,January,18,12.50,2040,2160,2100
2014,March,21,12.50,2120,2200,2160
2014,April,09,12.80,2080,2200,2160
2015,September,03,13.00,1035,1055,1045
2014,December,01,13.00,1060,1200,1100
2015,March,20,13.00,1080,1090,1085
2014,February,11,13.00,2040,2100,2040
2014,March,10,13.00,2040,2160,2080
2015,May,19,14.00,1030,1055,1045
2015,September,10,14.00,1035,1055,1045
2014,June,06,14.00,1050,1100,1075
2015,April,04,14.00,1080,1090,1085
2016,July,31,14.00,1100,1200,1150
2014,March,05,14.00,2040,2160,2060
2014,November,21,14.00,2120,2400,2240
2015,May,20,15.00,1030,1055,1045
2015,June,02,15.00,1035,1055,1045
2015,October,09,15.00,1035,1055,1045
2015,September,14,15.00,1035,1055,1045
2015,May,15,15.00,1035,1055,1045
2015,October,17,15.00,1035,1055,1045
2015,September,20,15.00,1035,1055,1045
2015,May,21,15.00,1035,1055,1045
2015,May,25,15.00,1035,1055,1045
2015,May,28,15.00,1035,1055,1045
2015,April,08,15.00,1080,1090,1085
2015,April,10,15.00,1080,1090,1085
2015,April,13,15.00,1080,1090,1085
2015,March,19,15.00,1080,1090,1085
2015,April,21,15.00,1080,1090,1085
2015,March,26,15.00,1080,1090,1085
2015,April,29,15.00,1080,1090,1085
2016,April,09,15.00,1120,1150,1135
2015,November,20,15.00,1120,1170,1145
2014,August,10,15.00,1850,2000,1975
2014,July,22,15.00,2000,2100,2060
2014,April,01,15.00,2000,2400,2160
2014,March,14,15.00,2040,2200,2160
2014,April,05,15.00,2080,2160,2080
2014,July,17,15.00,2100,2300,2250
2014,April,23,15.00,2120,2160,2140
2014,April,25,15.00,2120,2160,2140
2014,March,25,15.00,2120,2200,2160
2014,May,09,15.00,2140,2200,2160
2014,April,29,15.00,2140,2200,2160
2015,June,01,16.00,1035,1055,1045
2015,July,02,16.00,1035,1055,1045
2015,June,10,16.00,1035,1055,1045
2015,July,16,16.00,1035,1055,1045
2015,August,21,16.00,1035,1055,1045
2015,September,24,16.00,1035,1055,1045
2015,September,27,16.00,1035,1055,1045
2015,March,11,16.00,1080,1090,1085
2015,February,12,16.00,1080,1090,1085
2015,March,13,16.00,1080,1090,1085
2015,March,17,16.00,1080,1090,1085
2015,February,21,16.00,1080,1090,1085
2015,March,21,16.00,1080,1090,1085
2015,March,24,16.00,1080,1090,1085
2016,July,08,16.00,1100,1200,1150
2016,July,14,16.00,1100,1200,1150
2016,February,05,16.00,1120,1170,1145
2015,December,06,16.00,1120,1170,1145
2015,December,08,16.00,1120,1170,1145
2016,February,14,16.00,1120,1170,1145
2016,February,21,16.00,1120,1170,1145
2014,August,04,16.00,2120,2200,2140
2014,November,10,16.00,2120,2400,2200
2016,June,05,16.50,1105,1110,1107
2015,September,01,17.00,1035,1055,1045
2015,June,04,17.00,1035,1055,1045
2015,June,09,17.00,1035,1055,1045
2015,May,11,17.00,1035,1055,1045
2015,July,13,17.00,1035,1055,1045
2014,June,04,17.00,1050,1100,1075
