year,month,date,arrival,min,max,modal
2019,July,24,9.00,5400,5800,5600
2016,September,29,19.00,9500,10000,9750
2016,September,28,20.00,9500,10000,9750
2019,July,26,8.00,5400,5800,5600
2014,March,27,9.00,4000,4200,4100
2019,July,20,10.00,5400,5700,5550
2019,July,22,10.00,5400,5800,5600
2017,August,23,10.00,6600,6900,6750
2018,May,24,11.00,5000,5200,5100
2019,December,31,11.50,5600,6000,5800
2018,May,25,12.00,5100,5300,5200
2019,July,23,12.00,5400,5800,5600
2019,December,25,13.50,5600,6000,5800
2019,December,28,13.50,5600,6000,5800
2016,September,03,13.50,9500,10000,9750
2019,July,27,13.90,5400,5800,5600
2019,July,28,14.00,5400,5800,5600
2019,December,24,14.00,5600,6000,5800
2017,June,21,14.00,6700,7000,6900
2019,July,17,14.50,5400,5600,5500
2017,May,16,14.50,7400,7600,7500
2017,April,22,14.50,7400,7600,7500
2017,April,25,14.50,7400,7600,7500
2016,October,08,14.50,9500,10000,9750
2019,July,29,14.60,5400,5800,5600
2019,September,19,15.00,5400,5600,5500
2019,December,27,15.00,5600,6000,5800
2019,December,29,15.00,5600,6000,5800
2019,February,15,15.00,5800,6150,5975
2017,August,24,15.00,6600,6900,6750
2017,August,26,15.00,6600,6900,6750
2017,June,20,15.00,6700,7000,6800
2017,June,22,15.00,6700,7000,6850
2017,April,08,15.00,7400,7600,7500
2017,April,21,15.00,7400,7600,7500
2016,September,09,15.00,9500,10000,9750
2016,October,29,15.00,10000,12500,11250
2019,December,30,15.50,5600,6000,5800
2019,May,14,16.00,5500,5800,5650
2019,December,26,16.00,5600,6000,5800
2018,February,24,16.00,5800,6000,5900
2019,February,16,16.00,5800,6150,5975
2017,March,19,16.00,6600,7000,6800
2017,May,10,16.00,7400,7600,7500
2017,April,20,16.00,7400,7600,7500
2017,September,10,16.00,7800,8000,7900
2016,September,04,16.00,9500,10000,9750
2016,September,10,16.00,9500,10000,9750
2016,October,16,16.00,9500,10000,9750
2016,September,24,16.50,9500,10000,9750
2016,November,12,16.50,13200,13400,13300
2018,October,24,16.70,5600,5800,5700
2017,February,10,16.80,8200,8500,8350
2019,July,25,17.00,5400,5800,5600
2018,February,20,17.00,5800,6000,5900
2017,August,25,17.00,6600,6900,6750
2016,October,05,17.00,9500,10000,9750
2016,October,07,17.00,9500,10000,9750
2016,October,11,17.00,9500,10000,9750
2016,September,17,17.00,9500,10000,9750
2016,October,23,17.00,10000,12500,11250
2016,October,28,17.00,10000,12500,11250
2016,November,20,17.00,13200,13400,13300
2018,October,14,17.50,5600,5800,5700
2018,October,25,17.50,5600,5800,5700
2018,February,21,17.50,5800,6000,5900
2018,February,23,17.50,5800,6000,5900
2019,February,13,17.50,5800,6150,5975
2017,April,03,17.50,6600,7000,6800
2017,April,09,17.50,7400,7600,7500
2017,May,14,17.50,7400,7600,7500
