year,month,date,arrival,min,max,modal
2019,September,28,2.50,7800,8600,8200
2018,May,23,11.00,6750,7150,6950
2018,May,25,11.50,6700,7100,6900
2018,May,22,12.00,6800,7200,7000
2019,July,20,12.50,7000,8000,7500
2019,July,21,13.00,7000,8000,7500
2019,July,16,14.00,7000,8000,7500
2019,July,17,14.50,7000,8000,7500
2017,June,22,15.00,6000,6600,6400
2018,May,24,15.00,6700,7100,6900
2016,September,03,15.00,6800,7800,7300
2019,August,04,15.00,7000,8000,7500
2019,August,05,15.00,7000,8000,7500
2019,January,26,15.00,7250,7700,7475
2019,December,25,15.50,7500,9000,8250
2017,March,19,16.00,5900,6600,6250
2017,February,05,16.00,5950,6800,6375
2017,June,21,16.00,6000,6600,6350
2016,October,29,16.00,6800,7300,7050
2017,April,22,16.00,6800,7400,7000
2016,September,24,16.00,6800,7800,7300
2019,December,24,16.00,7500,9000,8250
2019,December,31,16.00,7500,9000,8250
2017,February,08,16.50,5950,6800,6375
2017,February,10,16.50,5950,6800,6375
2017,June,20,17.00,6000,6600,6300
2017,August,26,17.00,6200,6400,6300
2016,October,27,17.00,6800,7300,7050
2017,April,21,17.00,6800,7400,7000
2017,May,17,17.40,6400,7000,6700
2017,March,08,17.50,6000,6700,6350
2017,May,16,17.50,6400,7000,6700
2017,November,11,17.50,6800,7600,7200
2019,July,27,17.50,7000,8000,7500
2016,October,28,17.70,6800,7300,7050
2017,April,04,18.00,5900,6600,6250
2017,February,06,18.00,5950,6800,6375
2017,February,07,18.00,5950,6800,6375
2017,February,09,18.00,5950,6800,6375
2017,March,04,18.00,6000,6700,6350
2017,January,28,18.00,6000,6700,6350
2016,December,10,18.00,6800,7100,6950
2016,October,23,18.00,6800,7300,7050
2017,April,20,18.00,6800,7400,7100
2017,April,30,18.00,6800,7400,7100
2017,April,17,18.00,6800,7400,7150
2016,October,05,18.00,6800,7500,7150
2016,October,08,18.00,6800,7500,7150
2016,October,16,18.00,6800,7500,7150
2016,September,29,18.00,6800,7500,7150
2019,July,28,18.00,7000,8000,7500
2018,October,24,18.50,6800,7300,7050
2016,October,26,18.50,6800,7300,7050
2017,April,27,18.50,6800,7400,7100
2019,July,26,18.50,7000,8000,7500
2016,October,30,18.60,6800,7300,7050
2016,November,20,18.90,6500,7100,6800
2016,September,04,18.90,6800,7800,7300
2017,September,10,18.90,7200,7800,7500
2017,March,17,19.00,5900,6600,6250
2018,April,20,19.00,6000,6800,6400
2016,November,12,19.00,6500,7100,6800
2016,November,14,19.00,6500,7100,6800
2016,November,23,19.00,6500,7100,6800
2016,December,04,19.00,6800,7100,6950
2018,October,09,19.00,6800,7300,7050
2018,October,14,19.00,6800,7300,7050
2017,April,19,19.00,6800,7400,7100
2016,October,11,19.00,6800,7500,7150
2017,May,19,19.30,6400,7000,6700
2017,March,18,19.50,5900,6600,6250
2016,September,18,19.50,6800,7800,7300
2019,July,23,19.50,7000,8000,7500
2017,September,01,19.50,7200,7800,7500
2017,May,14,19.60,6800,7400,7100
2017,May,18,19.80,6400,7000,6700
2017,November,01,19.80,6500,7200,6850
2016,October,17,19.80,6800,7300,7050
2017,July,22,20.00,5700,6600,6180
2017,April,05,20.00,5900,6600,6250
2017,March,14,20.00,5900,6600,6250
2017,March,23,20.00,5900,6600,6250
2017,March,25,20.00,5900,6600,6250
2017,June,29,20.00,6000,6600,6400
2017,February,11,20.00,6000,6700,6350
2017,February,20,20.00,6000,6700,6350
2017,January,23,20.00,6000,6700,6350
2017,January,30,20.00,6000,6700,6350
2018,April,12,20.00,6000,6800,6400
2017,June,16,20.00,6000,6800,6400
2018,March,27,20.00,6000,6800,6400
2017,August,23,20.00,6200,6400,6300
2016,December,18,20.00,6200,7000,6600
2016,December,20,20.00,6200,7000,6600
2016,December,27,20.00,6200,7000,6600
2016,December,31,20.00,6200,7000,6600
2017,December,14,20.00,6400,7300,6850
2017,December,15,20.00,6400,7300,6850
2018,July,03,20.00,6500,7000,6750
2016,November,17,20.00,6500,7100,6800
2016,November,22,20.00,6500,7100,6800
2016,November,25,20.00,6500,7100,6800
2017,November,02,20.00,6500,7200,6850
2017,December,23,20.00,6500,7400,6950
2017,October,02,20.00,6500,7800,7150
2017,October,14,20.00,6500,7800,7150
2017,November,30,20.00,6750,6900,6825
2016,December,06,20.00,6800,7100,6950
2018,April,07,20.00,6800,7100,6950
2016,December,09,20.00,6800,7100,6950
2018,May,19,20.00,6800,7200,7000
2016,November,02,20.00,6800,7300,7050
2018,October,11,20.00,6800,7300,7050
2018,October,13,20.00,6800,7300,7050
2016,October,19,20.00,6800,7300,7050
2016,October,21,20.00,6800,7300,7050
2016,October,22,20.00,6800,7300,7050
2016,October,25,20.00,6800,7300,7050
2018,October,25,20.00,6800,7300,7050
2017,April,26,20.00,6800,7400,6850
2017,May,01,20.00,6800,7400,7100
2017,May,06,20.00,6800,7400,7100
2017,April,16,20.00,6800,7400,7100
2017,April,23,20.00,6800,7400,7100
2017,April,25,20.00,6800,7400,7100
2017,April,18,20.00,6800,7400,7150
2016,October,06,20.00,6800,7500,7150
2016,October,13,20.00,6800,7500,7150
2016,October,15,20.00,6800,7500,7150
2016,September,28,20.00,6800,7500,7150
2016,September,30,20.00,6800,7500,7150
2017,November,10,20.00,6800,7600,7200
2016,September,10,20.00,6800,7800,7300
2016,September,11,20.00,6800,7800,7300
2016,September,25,20.00,6800,7800,7300
2019,August,20,20.00,7000,8000,7500
2019,July,24,20.00,7000,8000,7500
2019,July,25,20.00,7000,8000,7500
2019,July,29,20.00,7000,8000,7500
2017,September,04,20.00,7200,7800,7500
2017,September,06,20.00,7200,7800,7500
2017,September,12,20.00,7200,7800,7500
2019,February,03,20.00,7250,7700,7475
2019,February,05,20.00,7250,7700,7475
2019,January,28,20.00,7250,7700,7475
2017,February,21,20.50,6000,6700,6350
2016,December,24,20.50,6200,7000,6600
2017,December,03,20.50,6750,6900,6825
2018,October,15,20.50,6800,7300,7050
2018,November,24,20.50,6800,7300,7050
2019,July,22,20.50,7000,8000,7500
2019,March,15,20.50,7250,7700,7475
2019,January,27,20.50,7250,7700,7475
2019,July,02,20.50,7700,8000,7850
2018,September,01,20.70,5000,7200,6100
2018,June,19,20.90,6500,7000,6750
2017,November,24,20.90,6600,6950,6775
2017,August,17,21.00,5800,6000,5900
2017,April,03,21.00,5900,6600,6250
2017,April,06,21.00,5900,6600,6250
2017,March,21,21.00,5900,6600,6250
2017,July,09,21.00,6000,6600,6400
2017,January,31,21.00,6000,6700,6350
2017,October,28,21.00,6200,6700,6450
2017,January,10,21.00,6200,7000,6600
2018,July,09,21.00,6500,7000,6750
2016,November,16,21.00,6500,7100,6800
2017,November,04,21.00,6500,7200,6850
2017,December,24,21.00,6500,7400,6950
2017,October,08,21.00,6500,7800,7150
2017,December,09,21.00,6750,6900,6825
2018,April,09,21.00,6800,7100,6950
2016,December,16,21.00,6800,7100,6950
2019,January,10,21.00,6800,7300,7050
2018,October,12,21.00,6800,7300,7050
2018,November,17,21.00,6800,7300,7050
2017,May,05,21.00,6800,7400,7100
2017,May,10,21.00,6800,7400,7100
2016,September,19,21.00,6800,7800,7300
2019,July,15,21.00,7000,7700,7350
2019,July,19,21.00,7000,8000,7500
2017,September,09,21.00,7200,7800,7500
2017,September,19,21.00,7200,7800,7500
2017,September,20,21.00,7200,7800,7500
2019,March,03,21.00,7250,7700,7475
2019,February,12,21.00,7250,7700,7475
2019,March,20,21.00,7250,7700,7475
2019,January,29,21.00,7250,7700,7475
2019,February,15,21.00,7280,7720,7300
2019,June,27,21.00,7700,8000,7850
2019,June,29,21.00,7700,8000,7850
2017,May,29,21.10,6400,7000,6700
2018,December,22,21.10,6800,7300,7050
2017,November,21,21.20,6800,7600,7200
2018,November,06,21.30,6800,7300,7050
2018,December,13,21.30,6800,7300,7050
2018,December,23,21.30,6800,7300,7050
2018,January,28,21.40,6500,6750,6625
2018,December,03,21.40,6800,7300,7050
2018,November,23,21.40,6800,7300,7050
2019,February,16,21.40,7280,7720,7300
2017,July,16,21.50,5700,6600,6150
2017,April,07,21.50,5900,6600,6250
2017,March,15,21.50,5900,6600,6250
2018,March,10,21.50,6000,6800,6400
2018,March,13,21.50,6000,6800,6400
2018,March,17,21.50,6000,6800,6400
2017,August,28,21.50,6200,6400,6300
2018,July,04,21.50,6500,7000,6750
2016,December,17,21.50,6500,7100,6800
2017,October,03,21.50,6500,7800,7150
2018,June,06,21.50,6700,7200,6950
2017,December,02,21.50,6750,6900,6825
2017,December,06,21.50,6750,6900,6825
2017,December,10,21.50,6750,6900,6825
2018,May,04,21.50,6800,7200,7000
2016,November,04,21.50,6800,7300,7050
2018,November,10,21.50,6800,7300,7050
2018,September,28,21.50,6800,7300,7050
2016,October,07,21.50,6800,7500,7150
2016,September,06,21.50,6800,7800,7300
2016,September,09,21.50,6800,7800,7300
2016,September,16,21.50,6800,7800,7300
2016,September,17,21.50,6800,7800,7300
2016,September,22,21.50,6800,7800,7300
2019,February,02,21.50,7250,7700,7475
2019,March,14,21.50,7250,7700,7475
2019,January,30,21.50,7250,7700,7475
2019,July,01,21.50,7700,8000,7850
2019,January,14,21.80,6800,7300,7050
2018,December,28,21.80,6800,7300,7050
2017,September,13,21.80,7200,7800,7500
2018,June,13,21.90,6700,7200,6950
2018,December,31,21.90,6800,7300,7050
2019,April,10,21.90,6800,7600,7200
2018,August,02,22.00,5000,7200,6100
2018,September,11,22.00,5000,7200,6100
2017,August,06,22.00,5800,6000,5900
2017,February,04,22.00,5950,6800,6375
2018,April,21,22.00,6000,6800,6400
2017,January,01,22.00,6200,7000,6600
2017,January,07,22.00,6200,7000,6600
2017,January,13,22.00,6200,7000,6600
2016,December,21,22.00,6200,7000,6600
2016,November,28,22.00,6500,7100,6800
2016,November,29,22.00,6500,7100,6800
2017,September,26,22.00,6500,7800,7150
2017,October,27,22.00,6700,6800,6750
2018,November,15,22.00,6800,7200,7000
2018,May,21,22.00,6800,7200,7000
2016,November,01,22.00,6800,7300,7050
2016,November,03,22.00,6800,7300,7050
2016,November,10,22.00,6800,7300,7050
2018,October,10,22.00,6800,7300,7050
2016,October,18,22.00,6800,7300,7050
2016,October,24,22.00,6800,7300,7050
2018,November,26,22.00,6800,7300,7050
2016,October,31,22.00,6800,7300,7050
2017,May,04,22.00,6800,7400,7100
2017,April,08,22.00,6800,7400,7100
2017,April,09,22.00,6800,7400,7100
2017,May,13,22.00,6800,7400,7100
2016,October,03,22.00,6800,7500,7150
2016,September,13,22.00,6800,7800,7300
2016,September,15,22.00,6800,7800,7300
2019,August,17,22.00,7000,8000,7500
2019,February,11,22.00,7250,7700,7475
2019,February,17,22.00,7280,7720,7300
2019,December,19,22.00,7500,9000,8250
2019,June,28,22.00,7700,8000,7850
2019,September,13,22.00,7800,8600,8200
2018,December,18,22.10,6800,7300,7050
2019,March,06,22.10,7250,7700,7475
2019,February,19,22.10,7250,7700,7475
2019,September,14,22.10,7800,8600,8200
2019,May,19,22.10,7900,8600,8250
2016,November,19,22.20,6500,7100,6800
2017,March,06,22.30,6000,6700,6350
2018,June,09,22.30,6700,7200,6950
2019,June,05,22.30,6800,7600,7200
2018,August,21,22.40,5000,7200,6100
2018,March,30,22.40,6000,6800,6400
2016,November,15,22.40,6500,7100,6800
2018,June,02,22.40,6800,7200,7000
2018,September,22,22.40,6800,7300,7050
2019,July,14,22.40,7700,8600,8150
2017,July,04,22.50,6000,6600,6400
2017,February,18,22.50,6000,6700,6350
2017,May,22,22.50,6400,7000,6700
2017,December,16,22.50,6400,7300,6850
2018,January,23,22.50,6500,6750,6625
2016,December,01,22.50,6500,7100,6800
2016,November,11,22.50,6500,7100,6800
2016,November,21,22.50,6500,7100,6800
2018,January,06,22.50,6500,7400,6950
2017,October,04,22.50,6500,7800,7150
2017,October,22,22.50,6500,7800,7150
2017,December,07,22.50,6750,6900,6825
2016,December,03,22.50,6800,7100,6950
2016,December,07,22.50,6800,7100,6950
2018,November,07,22.50,6800,7300,7050
2016,November,08,22.50,6800,7300,7050
2018,September,27,22.50,6800,7300,7050
2017,May,03,22.50,6800,7400,7100
2016,October,01,22.50,6800,7500,7150
2016,October,12,22.50,6800,7500,7150
2017,November,09,22.50,6800,7600,7200
2016,September,08,22.50,6800,7800,7300
2016,September,26,22.50,6800,7800,7300
2017,September,23,22.50,7200,7800,7500
2019,February,04,22.50,7250,7700,7475
2019,March,19,22.50,7250,7700,7475
2019,February,14,22.50,7280,7720,7300
2019,February,13,22.50,7280,7720,7500
2019,December,18,22.50,7500,9000,8250
2019,October,09,22.50,7800,8600,8200
2018,April,19,22.60,6000,6800,6400
2018,June,05,22.60,6700,7200,6950
2017,September,11,22.60,7200,7800,7500
2019,February,27,22.60,7250,7700,7475
2019,June,14,22.60,7700,8600,8150
2018,August,14,22.70,5000,7200,6100
2018,March,29,22.70,6000,6800,6400
2016,December,26,22.70,6200,7000,6600
2017,October,12,22.70,6500,7800,7150
2019,September,10,22.70,7800,8600,8200
2018,August,23,22.80,5000,7200,6100
2017,March,09,22.80,6000,6700,6350
2018,March,26,22.80,6000,6800,6400
2017,October,24,22.80,6200,6700,6450
2017,January,18,22.80,6200,7000,6600
2016,December,29,22.80,6200,7000,6600
2017,October,10,22.80,6500,7800,7150
2017,December,04,22.80,6750,6900,6825
2019,January,05,22.80,6800,7300,7050
2017,May,02,22.80,6800,7400,7100
2017,April,28,22.80,6800,7400,7100
2016,September,05,22.80,6800,7800,7300
2017,September,07,22.80,7200,7800,7500
2017,September,14,22.80,7200,7800,7500
2019,December,20,22.80,7500,9000,8250
2017,May,07,22.90,6800,7400,7100
2019,October,23,22.90,7800,8600,8200
2018,August,03,23.00,5000,7200,6100
2018,September,07,23.00,5000,7200,6100
2018,August,29,23.00,5000,7200,6100
2017,August,04,23.00,5600,5900,5750
2017,July,15,23.00,5700,6600,6150
2017,March,12,23.00,5900,6600,6250
2017,March,16,23.00,5900,6600,6250
2017,July,02,23.00,6000,6600,6400
2017,July,05,23.00,6000,6600,6400
2017,July,07,23.00,6000,6600,6400
2017,July,08,23.00,6000,6600,6400
2017,June,23,23.00,6000,6600,6400
2017,June,24,23.00,6000,6600,6400
2017,March,07,23.00,6000,6700,6350
2017,February,14,23.00,6000,6700,6350
2017,February,16,23.00,6000,6700,6350
2017,June,15,23.00,6000,6800,6400
2018,April,17,23.00,6000,6800,6400
2017,June,19,23.00,6000,6800,6400
2018,April,24,23.00,6000,6800,6400
2018,April,28,23.00,6000,6800,6400
2018,February,24,23.00,6000,7400,6700
2017,August,24,23.00,6200,6400,6300
2017,August,30,23.00,6200,6400,6300
2017,June,10,23.00,6200,6800,6500
2017,January,06,23.00,6200,7000,6600
2017,January,16,23.00,6200,7000,6600
2016,December,23,23.00,6200,7000,6600
2017,December,12,23.00,6400,7300,6850
2018,January,21,23.00,6500,6750,6625
2016,November,30,23.00,6500,7100,6800
2017,October,30,23.00,6500,7200,6850
2017,October,11,23.00,6500,7800,7150
2017,October,13,23.00,6500,7800,7150
2017,November,23,23.00,6600,6950,6775
2018,June,07,23.00,6700,7200,6950
2018,June,18,23.00,6700,7200,6950
2017,December,08,23.00,6750,6900,6825
2016,December,05,23.00,6800,7100,6950
2016,December,12,23.00,6800,7100,6950
2018,December,01,23.00,6800,7300,7050
2018,October,01,23.00,6800,7300,7050
2019,January,03,23.00,6800,7300,7050
2016,November,06,23.00,6800,7300,7050
2016,November,07,23.00,6800,7300,7050
2018,November,09,23.00,6800,7300,7050
2018,December,14,23.00,6800,7300,7050
2018,December,21,23.00,6800,7300,7050
2018,September,29,23.00,6800,7300,7050
2017,May,08,23.00,6800,7400,7100
2017,April,13,23.00,6800,7400,7100
2018,July,18,23.00,6800,7400,7100
2017,April,24,23.00,6800,7400,7100
2018,July,24,23.00,6800,7400,7100
2019,April,03,23.00,6800,7600,7200
2017,November,22,23.00,6800,7600,7200
2018,November,16,23.00,6850,7350,7100
2019,September,05,23.00,7000,8000,7500
2019,August,13,23.00,7000,8000,7500
2019,February,01,23.00,7250,7700,7475
2019,February,07,23.00,7250,7700,7475
2019,March,07,23.00,7250,7700,7475
2019,March,11,23.00,7250,7700,7475
2019,March,12,23.00,7250,7700,7475
2019,January,31,23.00,7250,7700,7475
2019,December,02,23.00,7500,9000,8250
2019,December,21,23.00,7500,9000,8250
2019,December,29,23.00,7500,9000,8250
2019,June,13,23.00,7700,8600,8150
2019,September,09,23.00,7800,8600,8200
2019,May,20,23.00,7900,8600,8250
