year,month,date,arrival,min,max,modal
2017,August,23,5.00,9600,15300,12400
2018,May,25,6.50,6500,7000,6750
2018,February,16,6.80,5600,7000,6300
2018,May,24,7.50,6500,7100,6750
2018,February,15,8.00,5600,7000,6300
2018,May,23,8.00,6800,7200,7000
2018,February,17,10.00,5500,7100,6600
2018,February,13,10.00,5600,7000,6300
2019,August,04,10.00,6200,6800,6500
2019,July,21,10.00,6200,7200,6700
2019,December,26,10.00,7000,8800,7900
2019,December,31,10.00,7000,8800,7900
2019,June,27,10.00,7600,9000,8300
2019,December,28,10.10,7000,8800,7900
2019,December,27,10.50,7000,8800,7900
2019,August,05,11.00,6200,6800,6500
2019,July,20,11.00,6200,7200,6700
2019,July,02,11.00,7600,8800,8400
2019,July,01,11.00,7600,9000,8300
2019,December,29,11.50,7000,8800,7900
2019,December,30,12.00,7000,8800,7900
2019,June,28,12.50,7600,9000,8300
2017,June,22,13.00,5600,6300,6000
2019,December,25,13.00,7000,8800,7900
2016,October,29,13.50,8700,10100,9400
2017,June,21,14.00,5550,6250,5900
2019,July,18,14.00,6100,7000,6600
2019,May,12,14.00,6200,7400,6800
2019,December,24,14.00,7000,8800,7900
2019,June,29,14.00,7500,9000,8250
2017,May,17,14.50,6000,6600,6300
2017,May,19,14.50,6000,6600,6300
2019,July,23,14.50,6200,6800,6500
2016,September,03,14.50,9500,11000,10250
2019,July,27,14.80,6000,7000,6500
2017,April,22,15.00,5800,7000,6400
2017,April,25,15.00,5900,7000,6450
2017,March,19,15.00,6000,7400,6700
2019,July,17,15.00,6200,7200,6700
2019,May,13,15.00,6200,7400,6800
2016,November,12,15.00,8200,11000,9600
2016,November,16,15.00,8200,11000,9600
2016,November,06,15.00,8700,10100,9400
2016,October,27,15.00,8700,10100,9400
2016,October,30,15.00,8700,10100,9400
2016,November,09,15.50,8700,10100,9400
2016,October,11,15.50,9500,11000,10240
2017,June,20,16.00,5500,6200,5800
2017,April,21,16.00,5800,7000,6400
2017,April,16,16.00,5900,7000,6450
2017,March,25,16.00,6000,7400,6700
2019,July,26,16.00,6200,6800,6500
2019,July,16,16.00,6200,7200,6700
2019,May,14,16.00,6200,7400,6800
2017,December,03,16.00,7200,7300,7250
2016,December,04,16.00,8500,11000,9750
2016,October,26,16.00,8700,10100,9400
2016,October,28,16.00,8700,10100,9400
2016,October,16,16.00,9500,11000,10240
2016,September,10,16.00,9500,11000,10250
2016,September,25,16.00,9500,11000,10250
2016,November,17,16.40,8200,11000,9600
