year,month,date,arrival,min,max,modal
2016,March,14,20.00,1200,1300,1250
2014,November,22,38.00,2500,2600,2550
2019,October,14,18.50,4200,5000,4600
2017,December,06,19.50,4400,4600,4500
2018,December,26,20.00,1300,1500,1400
2018,October,25,20.00,2000,2300,2150
2017,November,28,21.50,5400,5400,5400
2016,October,01,22.00,1000,1500,1250
2017,July,04,22.00,1000,1600,1300
2017,June,13,22.00,1000,1600,1300
2019,June,15,22.00,1500,1700,1600
2017,October,31,22.40,3400,3400,3400
2018,October,11,22.50,1350,2000,1600
2016,November,01,22.80,1200,1500,1350
2018,June,08,23.00,1000,1700,1400
2018,April,09,23.00,1200,1300,1250
2018,May,07,23.00,1250,1260,1255
2018,December,21,23.00,1250,1400,1325
2019,February,07,23.50,1000,1100,1050
2018,June,12,24.00,1050,1650,1350
2018,July,09,24.00,2000,2500,2250
2017,November,02,24.20,3400,3400,3400
2018,May,04,24.50,1200,1250,1225
2018,December,27,24.50,1300,1500,1400
2018,July,24,24.80,1500,2300,1900
2019,April,09,25.00,900,1100,1000
2018,August,09,25.00,1700,2450,2075
2017,November,07,25.00,3400,3400,3400
2018,June,26,25.20,1500,2300,2000
2018,October,01,25.50,1300,2100,1700
2018,April,11,26.00,1100,1150,1120
2018,June,14,26.00,1100,1600,1350
2018,March,31,26.00,1300,1380,1340
2018,May,17,26.50,1500,1700,1600
2017,November,10,26.50,3800,4000,3900
2017,July,19,29.80,1100,1600,1350
2017,June,02,32.70,1250,1550,1350
2017,June,06,34.40,1200,1450,1325
2017,May,30,37.10,1250,1550,1350
2015,October,16,16.00,4500,4600,4550
2016,May,23,18.00,1200,1400,1300
2015,March,02,18.00,1600,1900,1750
2016,October,03,20.00,1300,1600,1450
2016,August,06,20.00,1500,1700,1600
2016,February,03,20.00,1600,1700,1650
2015,February,25,20.00,1700,1820,1760
2015,May,06,20.00,1700,2250,1975
2015,September,28,20.00,4800,5200,5000
2016,September,09,21.00,1200,1500,1400
2016,January,25,21.00,1600,1700,1650
2014,October,31,28.00,2000,2500,2400
2014,October,17,29.00,2200,2600,2300
2014,October,13,38.00,2300,2500,2400
2014,November,14,40.00,2300,2650,2400
2014,September,26,42.00,1700,2500,2100
2014,November,18,43.00,2300,2600,2500
2017,April,26,18.00,1100,1200,1150
2017,June,23,18.40,1000,1600,1300
2017,January,20,19.00,1300,1400,1350
2016,November,16,19.40,1300,1500,1400
2017,April,07,20.00,900,1000,950
2017,July,06,20.00,1100,1600,1350
2016,October,27,20.00,1300,1500,1400
2019,July,25,20.00,1700,2400,2050
2019,October,01,20.00,4850,5000,4900
2019,November,26,20.00,6800,7200,7000
2019,July,31,21.00,1700,2400,2050
2017,July,12,21.50,1000,1600,1300
2017,August,03,21.50,1600,2200,1900
2018,May,25,22.00,1550,1700,1625
2018,May,22,22.00,1600,1800,1700
2019,September,24,22.00,4700,5200,4950
2018,March,29,22.50,1300,1380,1340
2017,January,04,22.50,1300,1400,1350
2017,September,14,22.80,2500,3100,2800
2019,March,29,23.00,1000,1100,1050
2019,June,03,23.00,1500,1800,1650
2018,November,26,23.00,1550,1750,1650
2018,September,29,23.50,1300,2150,1725
2018,July,07,23.50,2000,2500,2250
2017,October,09,23.50,2600,3400,3000
2018,September,27,24.00,1500,2200,1850
2018,September,04,24.00,1500,2300,1900
2019,September,30,24.00,4700,5200,4950
2019,June,04,24.20,1500,1800,1650
2018,February,02,24.40,3000,3200,3100
2019,February,26,25.00,1000,1200,1100
2016,November,10,25.00,1200,1500,1350
2019,March,14,34.00,1050,1250,1150
2015,November,21,18.00,2800,3200,3000
2016,August,18,19.50,1400,1700,1550
2016,February,29,20.00,1200,1300,1250
2016,January,19,20.00,1500,1700,1600
2016,January,10,20.00,1600,1700,1650
2016,January,27,20.00,1600,1800,1700
2016,January,09,20.00,1700,1800,1750
2016,January,05,20.00,2000,2200,2100
2015,December,04,20.00,2400,2500,2450
2015,July,03,20.00,2500,2700,2600
2015,August,14,20.00,3600,3900,3800
2015,December,22,20.00,1800,2000,1900
2015,December,16,25.00,1000,1800,1450
2014,November,04,30.00,2200,2500,2400
2014,October,29,38.00,2100,2400,2300
2014,November,08,39.00,2400,2700,2550
2014,November,13,43.00,2300,2600,2450
2018,December,17,20.00,1300,1500,1400
2019,May,13,20.00,1400,1500,1450
2018,January,19,20.00,3800,4000,3900
2018,January,03,20.00,4000,4100,4050
2017,December,07,20.00,4600,4600,4600
2017,May,18,21.00,900,1300,1100
2018,April,19,21.50,1200,1300,1250
2019,July,30,21.50,1700,2400,2050
2017,October,24,22.50,3400,3400,3400
2017,November,29,22.50,5400,5400,5400
2016,December,31,23.00,1100,1200,1150
2018,April,12,23.00,1200,1280,1240
2016,November,17,23.00,1300,1400,1350
2018,August,10,23.00,1700,2450,2075
2017,August,08,23.00,2200,3200,2700
2017,October,25,23.00,3400,3400,3400
2016,November,28,23.20,1300,1800,1550
2018,March,12,23.20,1450,1500,1470
2018,June,05,23.50,1100,1650,1375
2018,December,24,23.50,1250,1400,1325
2019,April,01,23.70,900,1000,950
2019,July,19,24.00,2000,2400,2200
2019,September,21,24.00,3600,4000,3800
2019,October,31,24.50,4500,4800,4650
2017,August,16,24.60,2800,3400,3100
2018,March,21,25.00,1350,1450,1400
2017,September,25,25.00,2400,3000,2750
2017,March,22,27.00,900,1100,1000
2017,June,17,28.00,1000,1600,1300
2019,June,28,31.50,1520,1980,1750
2014,March,29,14.00,1200,1400,1300
2015,November,19,15.00,2700,3000,2800
2016,April,29,15.50,1150,1300,1225
2016,February,02,18.50,1600,1700,1650
2016,January,02,18.50,2000,2200,2100
2015,August,21,18.50,4000,4800,4400
2016,March,18,19.00,1100,1200,1150
2015,April,29,19.00,1700,2250,1975
2015,November,06,19.00,3000,3500,3250
2015,November,03,19.00,3500,3800,3650
2016,October,12,20.00,1050,1500,1275
2016,April,01,20.00,1100,1200,1150
2016,August,29,20.00,1400,1700,1550
2015,April,01,20.00,1600,1650,1625
2015,November,02,21.00,3500,4000,3750
