year,month,date,arrival,min,max,modal
2016,February,23,2.40,950,1000,975
2016,September,24,19.00,1550,1750,1650
2016,April,25,20.00,1350,1550,1450
2016,October,24,20.00,1700,2000,1850
2016,March,04,21.00,1050,1100,1075
2015,March,20,22.00,500,550,525
2015,May,20,22.00,520,550,535
2016,January,22,23.00,700,800,750
2015,August,16,23.00,850,1200,1025
2015,October,01,24.00,800,1280,1040
2015,December,30,24.00,900,1100,1000
2015,March,21,25.00,500,550,525
2015,July,14,25.00,800,1250,1025
2015,September,28,25.00,850,1200,1025
2015,August,25,25.00,900,1350,1150
2015,December,31,25.00,950,1100,1025
2014,May,16,25.00,1500,2000,1600
2015,March,27,26.00,500,550,525
2016,January,25,26.00,700,800,750
2015,August,29,26.00,850,1300,1075
2015,May,16,28.00,500,550,525
2015,March,17,28.00,580,630,605
2015,May,28,30.00,480,520,500
2015,June,25,30.00,850,1250,1150
2015,June,19,30.00,900,1250,1075
2014,April,09,30.00,1000,1200,1100
2014,December,11,30.00,1500,1700,1600
2014,June,25,30.00,1800,2200,2000
2015,June,12,31.00,750,1250,1000
2015,June,17,31.00,900,1200,1150
2015,July,24,33.00,850,1300,1075
2014,December,15,33.00,1050,1200,1125
2015,July,21,35.00,800,1300,1050
2014,December,31,37.00,900,1000,950
2014,June,21,37.50,1800,2200,2000
2014,May,29,40.00,1600,1700,1650
2014,August,12,40.00,2000,2650,2600
2014,November,13,42.00,2200,2600,2400
2015,January,09,43.00,650,800,700
2015,February,24,45.00,400,450,425
2015,January,20,46.00,700,800,750
2014,August,02,57.00,1800,2300,2050
2014,March,07,58.00,880,920,900
2014,January,04,62.00,1000,1450,1250
2014,February,27,70.00,750,850,800
2017,April,10,20.00,450,500,475
2018,September,01,20.00,1420,1850,1630
2019,October,14,20.50,1200,1600,1400
2017,April,23,21.00,750,900,825
2017,September,12,21.00,750,1150,950
2015,August,11,20.00,800,1200,1150
2016,October,19,20.00,1600,1900,1750
2016,April,27,21.00,1300,1580,1440
2016,May,02,21.00,1300,1600,1450
2016,February,04,21.50,700,780,740
2016,August,31,22.00,1700,1900,1800
2015,April,10,23.00,480,510,500
2016,April,01,23.00,1200,1300,1250
2016,May,09,23.00,1500,1700,1600
2016,October,07,23.60,1500,1800,1650
2016,January,05,24.00,800,900,850
2016,July,22,24.00,1850,2080,1965
2016,September,12,24.50,1600,2000,1800
2015,August,31,25.00,850,1200,1025
2015,November,26,25.00,1050,1650,1350
2016,March,30,25.00,1100,1300,1200
2016,August,16,25.00,1800,2000,1900
2015,October,12,26.00,750,1200,975
2015,September,01,27.00,900,1300,1100
2015,May,29,28.00,500,540,520
2015,June,02,28.00,650,680,665
2014,May,04,28.00,1500,1700,1600
2014,June,16,29.00,1800,2000,1900
2014,August,08,30.00,1800,2400,2200
2014,October,21,30.00,2300,2700,2600
2014,December,01,30.00,2600,2800,2750
2015,May,25,31.00,500,530,515
2014,December,06,32.00,1800,2100,1950
2014,December,13,36.00,1500,1700,1600
2015,March,10,40.00,500,550,525
2014,May,20,40.00,1600,1900,1800
2015,January,13,44.00,700,780,740
2015,February,10,45.00,580,600,590
2015,January,05,46.00,750,850,800
2015,January,21,48.00,650,700,680
2014,June,28,50.00,1800,2400,2200
2014,October,16,50.00,2300,2400,2350
2014,September,15,61.00,2200,2600,2400
2017,February,04,20.00,600,650,625
2017,May,09,21.00,750,950,850
2019,January,17,23.00,500,900,700
2017,January,27,23.00,600,700,650
2018,April,19,23.00,1150,1200,1175
2018,April,24,23.00,1300,1350,1325
2016,December,28,24.00,550,700,625
2017,September,08,24.00,750,1050,900
2017,November,13,24.00,950,1050,1000
2019,July,25,24.00,1000,1450,1225
2018,July,31,24.00,1430,1850,1640
2018,May,31,24.00,1550,1850,1700
2016,November,17,21.80,1200,1600,1400
2016,November,30,22.40,1000,1700,1350
2019,March,09,22.50,500,600,550
2018,January,03,22.80,500,950,725
2017,February,20,24.00,425,500,450
2018,February,20,24.00,700,800,750
2019,May,23,24.00,800,900,850
2019,May,08,24.00,850,900,875
2017,November,16,24.00,900,1100,1000
2019,September,04,24.00,900,1500,1300
2016,November,21,24.00,1000,1600,1300
2019,March,18,24.50,550,650,600
2018,October,09,24.50,1500,2000,1750
2017,February,17,25.00,425,500,450
2019,February,04,25.00,500,700,600
2016,December,20,25.00,600,1200,900
2019,June,24,25.00,1050,1500,1275
2018,July,04,25.00,1480,1780,1630
2018,March,15,25.60,950,1000,970
2017,December,27,26.00,500,1200,850
2017,March,10,28.00,425,500,450
2019,April,30,28.00,800,900,850
2019,February,13,30.00,600,700,650
2018,July,19,30.00,1480,1950,1715
2018,May,24,30.00,1600,1700,1650
2018,October,25,31.00,1500,1900,1700
2017,May,31,32.10,850,1350,1100
2015,October,15,20.00,850,1350,1100
2016,May,13,20.00,1550,1750,1650
2016,August,30,20.00,1700,1950,1825
2016,August,06,21.50,1850,2150,2000
2015,November,17,22.00,1200,1400,1300
2016,May,04,22.00,1300,1600,1450
2015,November,03,22.50,1300,1600,1450
2015,April,29,23.00,500,550,525
2016,April,26,23.00,1300,1580,1440
2016,June,10,23.00,1750,1900,1825
2016,September,22,23.20,1550,1700,1625
2016,July,21,24.00,1800,2080,1940
2015,May,08,25.00,500,580,540
2015,August,14,25.00,850,1200,1025
2016,March,02,25.00,1000,1050,1025
2015,December,09,25.00,1200,1500,1350
2016,July,28,25.00,1850,2080,1965
2015,October,07,26.00,800,1250,1025
2015,September,08,26.00,880,1350,1065
2016,August,10,26.00,1850,2050,1950
2015,June,23,27.00,850,1250,1150
2014,June,23,27.00,2000,2200,2100
2014,October,10,27.00,2250,2650,2500
2015,March,29,27.50,500,550,525
2015,May,11,28.00,500,580,540
2016,February,06,28.00,680,800,740
2015,August,09,28.00,800,1280,1040
2015,July,30,28.00,800,1300,1100
2015,December,04,28.00,1250,1750,1500
2015,March,30,30.00,500,550,525
2014,June,14,30.00,1700,2000,1800
2015,March,09,35.00,550,600,580
2015,July,27,35.00,850,1300,1075
2014,May,17,37.00,1500,1600,1500
2014,May,18,37.50,1600,1800,1700
2015,February,11,38.00,550,600,550
2015,January,15,40.00,700,750,700
2014,April,17,40.00,1300,1350,1320
2014,May,23,40.00,1600,1800,1750
2015,February,27,43.00,450,480,465
2015,February,21,46.00,450,480,470
2014,January,20,48.00,900,1000,950
2014,May,21,50.00,1800,2000,1900
2014,October,22,52.00,2250,2900,2575
2014,March,06,60.00,850,950,900
2014,March,18,60.00,950,1000,950
2014,February,06,93.00,650,750,700
2014,February,04,103.00,600,700,680
2014,July,03,200.00,1700,2200,2000
2016,December,17,21.00,700,1250,975
2018,May,19,24.00,1600,1750,1675
2019,March,26,24.50,550,650,600
2017,December,08,24.50,700,1900,1300
2019,September,02,24.50,900,1500,1300
2017,November,06,24.50,950,1250,1100
2017,November,07,24.50,950,1250,1100
2018,March,21,24.50,980,1020,1000
2018,August,20,24.50,1350,1850,1600
2019,March,27,24.60,500,600,550
2019,September,11,24.60,900,1400,1150
2017,December,30,25.00,500,1000,750
2018,January,05,25.00,700,1000,850
2017,November,10,25.00,700,1100,900
2016,December,15,25.00,700,1300,1000
2018,March,19,25.00,1000,1200,1100
2019,October,31,25.00,1500,1800,1650
2019,December,03,25.00,1600,1950,1775
2019,August,01,25.50,600,700,650
2019,May,09,25.50,800,900,850
2017,November,29,25.50,800,1000,900
2018,April,09,25.50,1080,1100,1090
2018,October,08,25.50,1450,2100,1800
2018,June,11,25.50,1550,1800,1650
2018,March,20,25.60,960,1000,980
2018,March,16,26.00,980,1050,1015
2018,May,17,26.00,1550,1780,1665
2017,August,09,26.30,750,1100,925
2017,June,19,26.50,900,1150,1025
2019,January,07,28.00,500,980,740
2017,June,14,28.00,850,1150,1000
2019,December,24,28.00,2050,2500,2300
2019,June,27,105.00,1050,1450,1250
2016,April,29,18.00,1250,1650,1450
2016,October,20,18.00,1700,2000,1850
2016,May,06,20.00,1400,1600,1500
2016,May,18,20.00,1600,1750,1675
2015,June,05,21.00,700,1200,950
2016,February,29,21.00,1000,1050,1025
2016,September,29,21.00,1500,1900,1700
2016,June,17,21.00,1700,1850,1775
2015,August,21,22.00,900,1350,1150
2016,September,28,22.00,1500,1900,1700
2016,October,12,22.50,1500,1750,1625
2016,February,01,23.00,750,800,775
2015,September,30,23.00,800,1200,1050
2016,September,06,23.00,1700,1900,1800
2015,May,06,24.00,550,580,565
2015,August,18,24.00,900,1200,1050
2016,March,28,24.00,1100,1300,1200
2016,March,31,24.50,1250,1350,1300
2014,October,27,25.00,2000,2200,2100
2014,June,15,26.00,1800,2000,1900
2016,August,09,26.00,1800,2100,1950
2015,April,08,27.00,480,500,490
2014,September,16,28.00,2100,2600,2500
2015,April,21,30.00,550,580,565
2015,January,19,30.00,700,900,800
2014,March,25,30.00,1100,1200,1150
2015,March,02,32.00,450,520,485
2014,May,14,32.00,1500,2000,1600
2015,March,07,33.00,500,550,525
2015,March,11,34.00,650,720,685
2014,June,05,34.00,1600,1800,1700
2015,February,25,35.00,400,450,425
2015,February,23,35.00,540,600,575
2014,December,25,35.00,1000,1200,1100
2014,December,16,35.00,1050,1200,1100
2014,May,09,40.00,1500,1600,1550
2014,July,06,40.00,1600,2400,2200
2015,January,18,41.00,700,750,720
2014,February,07,50.00,700,750,725
2014,September,14,65.00,2200,2600,2400
2014,March,31,90.00,1050,1100,1050
2014,February,11,105.00,700,800,770
2014,March,12,150.00,900,950,900
2016,October,28,17.00,1800,2000,1900
2016,November,09,18.00,1300,1600,1450
2016,October,31,18.50,1500,1800,1650
2019,March,05,20.00,500,600,550
2017,April,12,20.50,450,500,475
2016,November,25,22.00,1000,1550,1275
2018,May,18,22.00,1600,1780,1690
2016,June,29,18.00,1750,1800,1775
2015,December,21,20.00,1100,1300,1200
2015,November,18,20.00,1200,1400,1300
2016,April,28,20.00,1350,1650,1500
2016,July,05,20.00,1700,1900,1800
2014,October,31,20.00,2100,2400,2300
2016,May,23,21.00,1600,1750,1675
2016,May,10,21.20,1500,1700,1600
2015,May,15,22.00,500,530,515
2016,July,11,22.00,1850,2050,1950
2016,August,29,22.50,1700,1950,1825
2016,January,06,23.00,800,950,875
2015,November,30,23.00,1050,1500,1275
2015,December,11,24.00,1100,1300,1200
2015,November,23,24.00,1150,1400,1275
2015,November,27,24.50,1000,1500,1250
2016,August,05,24.50,1850,2150,2000
2015,April,07,25.00,480,500,490
2015,May,31,25.00,600,650,625
2014,June,11,25.00,1600,1800,1700
