year,month,date,arrival,min,max,modal
2014,July,24,5.00,2400,3000,2800
2014,January,29,6.50,1200,1300,1250
2014,February,04,9.20,1600,1800,1700
2014,February,10,13.00,1000,1200,1100
2014,January,18,1.00,1900,2000,2000
2014,January,16,1.00,2000,2100,2000
2014,January,24,1.00,2000,2100,2000
2014,January,17,1.20,2000,2100,2000
2014,January,20,1.50,1900,2000,2000
2014,March,01,2.00,1200,1500,1500
2014,January,27,2.00,1600,2000,1880
2014,January,01,2.20,1850,2000,1900
2014,January,03,2.20,2000,2400,2200
2014,January,13,2.20,2000,2400,2200
2014,March,05,2.80,1400,1600,1450
2014,March,10,2.80,1500,1650,1600
2014,March,03,3.00,1400,1600,1450
2014,February,27,3.00,1500,1600,1550
2014,March,07,3.00,1500,1650,1600
2014,March,11,3.00,1500,1700,1600
2014,March,04,3.50,1500,1600,1530
2014,March,06,4.00,1500,1650,1600
2014,February,07,4.20,1800,2000,1900
2014,February,15,5.00,1800,2000,1900
2014,January,07,5.80,2400,2600,2400
2014,February,12,6.00,1050,1200,1100
2014,January,08,6.50,2000,2400,2300
2014,January,04,6.70,1600,2000,1800
2014,February,06,7.00,1200,1500,1300
2014,January,21,7.00,1500,1700,1600
2014,January,28,7.00,2000,2200,2050
2014,February,11,8.00,1400,1600,1500
2014,January,22,8.50,1000,1200,1100
2014,January,09,9.00,1800,2200,2000
2014,February,05,9.50,1200,1400,1300
2014,January,10,9.50,1700,2100,2000
2014,January,30,10.00,800,1000,900
2014,February,01,10.50,700,1000,800
2014,February,13,11.20,800,1000,900
2014,February,03,16.00,1000,1200,1100
2014,February,17,100.00,800,1000,900
