year,month,date,arrival,min,max,modal
2023,December,15,35.00,4600,4600,4600
2023,December,14,37.00,4600,4600,4600
2023,December,12,40.00,4500,4500,4500
2023,December,11,40.00,4600,4600,4600
2023,December,13,40.00,4600,4600,4600
2023,May,30,46.00,1600,1600,1600
2023,July,28,47.00,2500,2700,2600
2023,June,07,55.00,1650,2000,1700
2023,May,26,59.50,1550,1700,1600
2023,May,22,59.50,1600,1800,1700
2023,May,17,78.50,1700,2000,1800
2021,September,01,7.00,3000,3200,3100
2022,May,02,10.00,1300,1500,1400
2023,June,03,22.00,2150,2300,2200
2022,May,19,26.00,1900,1900,1900
2023,April,27,30.00,1300,1500,1400
2023,December,22,30.00,3500,3500,3500
2022,May,23,35.00,1800,1800,1800
2023,December,15,35.00,4500,4500,4500
2023,December,14,37.00,4800,4800,4800
2023,July,05,38.00,2000,2200,2100
2023,May,16,39.00,1800,2000,1900
2022,May,24,40.00,1800,1800,1800
2023,June,30,40.00,1800,2000,1900
2023,May,18,40.00,2050,2200,2100
2023,July,19,40.00,2200,2400,2300
2023,December,12,40.00,4800,4800,4800
2023,December,13,40.00,4800,4800,4800
2023,December,11,40.00,5000,5000,5000
2023,June,01,45.00,1900,2200,2000
2023,July,15,45.00,2350,2500,2400
2023,July,11,45.00,2400,2500,2400
2023,July,13,45.00,2500,2600,2500
2023,May,30,46.00,1850,2400,1900
2023,July,28,47.00,2300,2500,2400
2023,May,24,49.50,2000,2200,2100
2023,May,10,50.00,1600,1800,1700
2023,July,04,50.00,2000,2200,2100
2023,June,07,55.00,2000,2000,2000
2023,May,22,59.50,2000,2200,2100
2023,May,26,59.50,2000,2200,2100
2023,May,17,78.50,2000,2500,2200
2018,September,09,0.10,1600,2200,2000
2018,November,28,0.10,1800,2200,2000
2018,November,05,0.10,2000,2400,2200
2021,September,01,7.00,2500,2600,2600
2022,February,20,8.00,3000,3000,3000
2022,March,08,9.00,2500,2800,2800
2019,August,19,10.00,2200,2500,2350
2019,August,17,10.00,2200,7000,2350
2022,February,03,10.00,2800,3300,3300
2022,March,03,10.00,3000,3000,3000
2022,February,04,10.00,3200,3300,3300
2022,February,07,11.00,2500,2800,2800
2018,August,20,12.00,1700,2300,2200
2019,November,24,13.00,6800,7200,7000
2022,January,27,14.00,3300,3400,3400
2022,April,12,15.00,1300,1400,1400
2022,April,13,15.00,1300,1400,1400
2019,July,16,15.00,2000,2500,2200
2019,August,13,15.00,2100,2400,2250
2019,November,10,15.00,5500,6000,5700
2019,November,11,15.00,5500,6000,5700
2019,November,22,15.00,6500,6700,6600
2019,November,26,15.50,7000,7200,7100
2022,March,01,16.00,2800,3000,3000
2022,March,02,16.00,3000,3000,3000
2023,April,24,17.00,1300,1500,1400
2019,November,21,17.00,6000,6500,6300
2022,March,04,18.00,2800,3000,3000
2022,February,14,18.00,2900,3000,3000
2022,February,15,18.00,3000,3000,3000
2022,February,21,18.00,3000,3000,3000
2022,February,22,18.00,3000,3000,3000
2019,October,01,18.00,4600,5200,5000
2019,November,03,18.00,4800,5200,5000
2019,November,14,18.00,5500,6000,5800
2019,November,17,18.00,5900,6000,5950
2019,November,20,18.00,6000,6400,6200
2019,October,31,19.00,4500,4900,4700
2019,September,22,19.00,4800,5000,4900
2019,November,15,19.00,5800,6000,5900
2023,April,25,20.00,1300,1500,1400
2023,April,26,20.00,1300,1500,1400
2022,March,28,20.00,1400,1600,1500
2019,June,27,20.00,1700,2000,1800
2018,August,23,20.00,1700,2300,2000
2019,July,05,20.00,1800,2200,2000
2019,June,29,20.00,1800,2200,2000
2019,July,01,20.00,1800,3200,2000
2019,July,07,20.00,2000,2300,2100
2019,July,14,20.00,2000,2500,2200
2019,July,15,20.00,2000,2500,2200
2019,July,17,20.00,2000,2500,2200
2019,July,18,20.00,2000,2500,2200
2019,July,12,20.00,2000,2500,2300
2019,July,19,20.00,2000,2500,2300
2019,July,22,20.00,2000,2500,2300
2019,August,14,20.00,2100,2400,2250
2019,July,23,20.00,2200,2500,2400
2022,February,16,20.00,3000,3000,3000
2019,September,06,20.00,3100,3400,3250
2019,September,17,20.00,3500,4000,3750
2019,September,18,20.00,3500,4000,3750
2019,September,19,20.00,3800,4500,4200
2019,October,20,20.00,4000,4800,4400
2019,October,22,20.00,4200,4900,4600
2019,October,30,20.00,4200,4900,4600
2019,September,21,20.00,4500,5000,4800
2019,September,30,20.00,4700,5200,5000
2019,September,23,20.00,4800,5100,5000
2019,September,25,20.00,5000,5200,5000
2019,September,24,20.00,5000,5200,5100
2019,November,04,20.00,5000,6000,5500
2019,November,13,20.00,5500,6000,5800
2019,November,08,20.00,5700,6000,5800
2019,November,19,20.00,5800,6000,5900
