year,month,date,arrival,min,max,modal
2023,April,25,30.00,1300,1500,1400
2023,December,22,30.00,1400,1400,1400
2023,December,12,33.00,1700,1700,1700
2023,April,24,35.00,1500,1700,1600
2023,December,14,35.00,1700,1700,1700
2022,March,23,38.00,1400,1500,1500
2022,March,17,40.00,1400,1400,1400
2023,December,13,40.00,1700,1700,1700
2023,June,01,41.50,1650,1800,1700
2022,March,24,42.00,1400,1500,1500
2023,July,05,43.50,1900,2000,1950
2022,March,28,45.00,1300,1500,1500
2023,July,15,45.00,1700,1900,1800
2023,June,30,45.00,1700,1900,1800
2023,December,15,45.00,1800,1800,1800
2023,June,03,46.00,1400,1800,1700
2023,May,22,46.00,1600,1800,1700
2023,May,24,46.00,1600,2000,1700
2023,May,26,46.00,1600,2000,1700
2023,June,07,46.50,1650,1800,1700
2023,December,11,48.00,1900,1900,1900
2023,May,17,49.00,1700,1900,1800
2023,April,26,50.00,1600,1800,1700
2023,July,28,50.00,1750,1850,1800
2023,July,04,50.00,1850,1950,1900
2023,May,30,50.50,1650,1800,1700
2022,March,31,55.00,1400,1600,1500
2023,May,16,55.00,1700,1900,1800
2023,July,13,55.00,1800,1800,1800
2023,July,19,55.00,1900,1900,1900
2023,May,18,56.00,1650,1900,1700
2023,May,12,57.50,1600,1800,1700
2023,May,10,60.00,1600,1800,1700
2023,April,28,65.00,1700,1900,1800
2023,July,11,70.00,1700,1800,1800
2023,December,22,30.00,1800,1800,1800
2023,December,12,33.00,2500,2500,2500
2023,December,14,35.00,2100,2100,2100
2023,December,13,40.00,2200,2200,2200
2023,July,05,43.50,1500,1700,1600
2023,December,15,45.00,2000,2000,2000
2023,December,11,48.00,2600,2600,2600
2023,July,04,50.00,1400,1600,1500
2023,July,28,50.00,1450,1550,1500
2023,July,13,55.00,1400,1400,1400
2023,July,19,55.00,1500,1550,1550
2023,July,11,70.00,1400,1500,1500
2018,September,09,0.10,1500,2100,2000
2018,November,05,0.10,1550,2100,1850
2019,September,04,10.00,900,1500,1250
2019,September,16,11.00,900,1500,1300
2022,March,22,15.00,1500,1500,1500
2022,April,19,21.00,1400,1600,1500
2022,April,04,25.00,1300,1500,1400
2022,April,20,28.00,1200,1400,1300
2022,February,02,30.00,1000,1000,1000
2022,February,16,30.00,1100,1100,1100
2022,February,18,30.00,1100,1200,1200
2022,February,19,30.00,1100,1200,1200
2022,February,22,30.00,1200,1300,1300
2023,December,22,30.00,1400,1400,1400
2023,April,27,31.00,1300,1500,1400
2022,February,17,32.00,1100,1100,1100
2022,March,02,32.00,1200,1300,1300
2022,February,03,33.00,1000,1000,1000
2023,December,12,33.00,1800,1800,1800
2023,April,24,35.00,1300,1500,1400
2022,March,10,35.00,1400,1400,1400
2022,April,12,35.00,1400,1400,1400
2022,April,13,35.00,1400,1400,1400
2022,April,18,35.00,1500,1500,1500
2022,May,02,35.00,1500,1600,1500
2023,December,14,35.00,1700,1700,1700
2022,May,23,35.00,1900,1900,1900
2022,February,14,37.00,1000,1100,1100
2022,February,15,37.00,1000,1100,1100
2022,February,09,38.00,1200,1200,1200
2022,March,23,38.00,1400,1500,1500
2022,February,20,40.00,1200,1200,1200
2022,February,21,40.00,1200,1200,1200
2022,April,02,40.00,1200,1300,1300
2022,March,17,40.00,1200,1300,1300
2022,March,09,40.00,1300,1400,1400
2022,March,11,40.00,1300,1400,1400
2018,August,23,40.00,1400,1900,1700
2022,April,30,40.00,1500,1500,1500
2022,April,26,40.00,1500,1700,1600
2023,December,13,40.00,1700,1700,1700
2022,May,19,40.00,1900,1900,1900
2023,June,01,41.50,1350,1700,1400
2022,February,07,42.00,1300,1300,1300
2022,March,24,42.00,1300,1500,1500
2022,March,01,42.00,1400,1400,1400
2023,July,05,43.50,1900,2100,2000
2022,March,08,44.00,1300,1300,1300
2022,February,04,45.00,900,1000,1000
2022,March,28,45.00,1300,1500,1400
2023,December,15,45.00,1400,1400,1400
2023,July,15,45.00,1450,1600,1500
2022,May,24,45.00,1900,1900,1900
2023,June,30,45.00,1900,2100,2000
2023,May,22,46.00,1300,1500,1400
2023,May,24,46.00,1300,1700,1400
2023,May,26,46.00,1300,1700,1400
2022,March,04,46.00,1400,1400,1400
2023,June,03,46.00,1400,1500,1400
2022,April,08,46.00,1450,1500,1500
2023,June,07,46.50,2400,2400,2400
2023,December,11,48.00,1400,1400,1400
2023,May,17,49.00,1400,1800,1500
2019,August,19,50.00,950,1250,1050
2023,April,26,50.00,1300,1500,1400
2022,April,07,50.00,1500,1700,1600
2023,July,04,50.00,2000,2000,2000
2023,July,28,50.00,2000,2000,2000
2023,May,30,50.50,1350,1700,1400
2022,March,31,55.00,1250,1300,1300
2022,March,14,55.00,1300,1400,1400
2023,May,16,55.00,1800,2100,2000
2023,July,19,55.00,2000,2000,2000
2023,July,13,55.00,2000,2200,2000
2023,May,18,56.00,1300,1600,1350
2023,May,12,57.50,1300,1500,1400
2019,August,17,60.00,950,1250,1050
2019,August,14,60.00,1000,1400,1200
2023,May,10,60.00,1300,1500,1400
2019,November,30,60.00,1350,2400,1850
2019,November,14,60.00,1500,2500,2000
2019,November,08,60.00,1550,1950,1750
2019,November,06,60.00,1600,2000,1800
2023,April,28,65.00,1100,1300,1200
2019,December,26,65.00,1900,2300,2200
2019,June,07,70.00,800,1500,1200
2019,August,13,70.00,1000,1400,1250
2019,November,24,70.00,1300,2300,1700
2019,November,25,70.00,1300,2300,1700
2019,November,29,70.00,1350,2300,1800
2019,November,15,70.00,1400,2500,1800
2019,November,04,70.00,1600,1950,1800
2019,December,03,70.00,1600,2600,1900
2019,December,25,70.00,1900,2300,2100
2023,July,11,70.00,2000,2200,2000
2019,November,03,75.00,1500,1850,1650
2019,December,05,75.00,1700,2500,2000
2019,March,08,80.00,700,800,750
2019,October,24,80.00,800,2000,900
2019,September,18,80.00,850,1450,1200
2019,November,22,80.00,1200,2400,1600
2019,July,16,80.00,1300,1600,1500
2019,July,17,80.00,1300,1600,1500
2019,July,22,80.00,1300,1600,1500
2019,November,26,80.00,1300,2300,1700
2019,November,28,80.00,1300,2300,1800
2019,November,21,80.00,1300,2400,1700
2019,July,23,80.00,1400,1700,1500
2019,November,17,80.00,1400,2500,1800
2019,November,19,80.00,1400,2500,1800
2019,November,20,80.00,1400,2500,1800
2019,October,20,80.00,1500,1900,1600
2019,November,10,80.00,1500,1950,1750
2019,November,11,80.00,1500,1950,1750
2018,September,17,80.00,1500,2000,1800
2019,November,13,80.00,1500,2500,2000
2019,November,05,80.00,1600,1950,1800
2019,December,04,80.00,1700,2600,2000
2019,December,09,80.00,1700,2600,2100
2019,December,06,80.00,1800,2800,2200
2019,December,07,80.00,1800,2800,2200
2019,December,27,80.00,1900,2200,2000
2019,December,21,80.00,2000,2400,2200
2019,December,23,80.00,2000,2500,2250
2019,October,25,85.00,1500,2000,1800
2019,April,25,90.00,850,950,900
2019,September,19,90.00,900,1500,1200
2019,June,11,90.00,1000,1500,1250
2019,July,15,90.00,1050,1450,1250
2019,June,10,90.00,1100,1500,1400
2019,October,10,90.00,1300,1600,1450
2019,July,18,90.00,1300,1600,1500
2018,August,26,90.00,1350,1900,1750
2019,November,18,90.00,1400,2500,1800
2019,October,31,90.00,1500,1800,1600
2019,October,22,90.00,1600,2000,1800
2019,December,20,90.00,2000,2400,2200
2019,January,09,100.00,600,1100,900
2019,January,22,100.00,800,1000,900
2019,April,24,100.00,850,950,900
2019,September,17,100.00,850,1450,1200
2019,August,30,100.00,900,1350,1200
2019,September,02,100.00,900,1350,1250
2019,September,23,100.00,900,1400,1200
2019,September,24,100.00,900,1400,1200
2019,September,03,100.00,900,1500,1250
2019,September,06,100.00,900,1500,1250
2019,September,07,100.00,900,1500,1250
2019,August,28,100.00,900,1550,1250
2019,August,20,100.00,950,1250,1050
2019,August,22,100.00,950,1250,1100
2019,June,26,100.00,1000,1500,1200
2019,June,27,100.00,1000,1500,1200
2019,June,12,100.00,1000,1500,1250
2019,October,01,100.00,1000,1500,1300
2019,August,01,100.00,1050,1400,1300
2019,July,12,100.00,1050,1450,1250
2019,July,14,100.00,1050,1450,1250
2019,July,01,100.00,1050,1500,1200
2019,July,07,100.00,1050,1500,1200
2019,June,29,100.00,1050,1500,1200
2019,October,13,100.00,1200,1400,1300
2019,October,04,100.00,1200,1600,1400
2019,July,19,100.00,1300,1600,1400
2019,October,15,100.00,1300,1650,1450
2019,October,11,100.00,1300,1650,1500
2019,November,27,100.00,1300,2300,1800
2019,July,24,100.00,1400,1700,1500
2019,November,12,100.00,1400,1900,1600
2018,August,19,100.00,1400,1900,1700
2019,October,30,100.00,1500,1700,1600
2019,November,01,100.00,1500,1800,1700
2019,October,23,100.00,1600,2000,1800
2019,July,03,110.00,1050,1500,1100
2019,March,02,120.00,550,650,600
2019,January,07,120.00,600,1200,900
2019,April,22,120.00,650,850,750
2019,February,16,120.00,700,750,725
2019,April,08,120.00,700,800,750
2019,April,01,120.00,715,800,750
2019,April,26,120.00,800,950,900
2018,December,17,120.00,800,1400,1200
2018,December,03,120.00,800,2000,1300
2019,September,22,120.00,850,1400,1250
