year,month,date,arrival,min,max,modal
2017,October,04,2.99,8442,9380,8877.5
2018,September,17,2.99,8710,9715,9045
2018,July,27,7.46,8710,9715,9045
2019,August,22,7.46,9045,9715,9380
2017,May,15,8.96,4020,10117,8576
2017,August,05,8.96,8040,9380,8710
2017,April,13,8.96,8241,10117,8911
2017,June,03,8.96,8442,9112,8710
2017,June,04,8.96,8442,9112,8710
2017,June,14,8.96,8442,9112,8710
2017,June,16,8.96,8442,9112,8710
2017,July,29,8.96,8442,9112,8710
2017,July,31,8.96,8442,9112,8710
2017,May,31,8.96,8442,9112,8710
2018,January,01,8.96,8442,9380,8877.5
2018,January,03,8.96,8442,9380,8877.5
2017,December,05,8.96,8442,9380,8877.5
2018,January,05,8.96,8442,9380,8877.5
2017,September,07,8.96,8442,9380,8877.5
2017,November,09,8.96,8442,9380,8877.5
2018,January,12,8.96,8442,9380,8877.5
2017,December,13,8.96,8442,9380,8877.5
2017,November,14,8.96,8442,9380,8877.5
2017,September,14,8.96,8442,9380,8877.5
2017,December,16,8.96,8442,9380,8877.5
2017,September,16,8.96,8442,9380,8877.5
2018,January,17,8.96,8442,9380,8877.5
2018,January,18,8.96,8442,9380,8877.5
2017,December,19,8.96,8442,9380,8877.5
2017,December,21,8.96,8442,9380,8877.5
2017,November,21,8.96,8442,9380,8877.5
2018,January,24,8.96,8442,9380,8877.5
2017,December,26,8.96,8442,9380,8877.5
2017,November,26,8.96,8442,9380,8877.5
2017,November,28,8.96,8442,9380,8877.5
2017,August,29,8.96,8442,9380,8877.5
2017,October,29,8.96,8442,9380,8877.5
2018,February,02,8.96,8442,9715,9045
2018,March,12,8.96,8442,9715,9045
2018,March,13,8.96,8442,9715,9045
2018,March,15,8.96,8442,9715,9045
2018,March,22,8.96,8442,9715,9045
2018,March,25,8.96,8442,9715,9045
2018,January,30,8.96,8442,9715,9045
2017,May,20,8.96,8442,10050,9112
2018,May,01,8.96,8509,9849,9179
2018,May,03,8.96,8509,9849,9179
2018,May,05,8.96,8509,9849,9179
2017,March,04,8.96,8509,10050,9179
2017,February,06,8.96,8509,10050,9179
2017,February,16,8.96,8509,10050,9179
2017,February,21,8.96,8509,10050,9179
2018,June,01,8.96,8542.5,9715,9045
2018,June,02,8.96,8542.5,9715,9045
2018,June,03,8.96,8542.5,9715,9045
2018,June,07,8.96,8542.5,9715,9045
2018,June,11,8.96,8542.5,9715,9045
2018,June,12,8.96,8542.5,9715,9045
2018,May,13,8.96,8542.5,9715,9045
2018,June,14,8.96,8542.5,9715,9045
2018,May,24,8.96,8542.5,9715,9045
2017,April,12,8.96,8576,10117,9045
2017,April,03,8.96,8576,10117,9246
2017,May,05,8.96,8576,10117,9246
2017,April,07,8.96,8576,10117,9246
2017,May,11,8.96,8576,10117,9246
2017,March,14,8.96,8576,10117,9246
2017,March,18,8.96,8576,10117,9246
2017,April,19,8.96,8576,10117,9246
2017,May,19,8.96,8576,10117,9246
2017,April,24,8.96,8576,10117,9246
2017,April,27,8.96,8576,10117,9246
