year,month,date,arrival,min,max,modal
2018,May,01,40.00,2350,2450,2400
2017,January,27,400.00,2250,2350,2300
2014,June,13,0.20,2200,2400,2300
2014,June,11,2.00,2200,2400,2300
2014,January,09,20.00,2100,2500,2300
2014,June,10,20.00,2200,2400,2300
2014,June,12,20.00,2200,2400,2300
2014,June,16,20.00,2200,2400,2300
2014,June,20,20.00,2200,2400,2300
2014,June,21,20.00,2200,2400,2300
2014,June,26,20.00,2200,2400,2300
2014,February,10,20.00,2200,2500,2300
2014,June,23,20.00,2200,2500,2300
2014,February,20,20.00,2200,2500,2400
2014,March,13,20.00,2300,2600,2400
2014,March,29,20.00,2450,2650,2550
2014,June,18,30.00,2200,2400,2300
2014,March,18,30.00,2300,2620,2420
2014,July,01,32.50,2200,2400,2300
2014,July,02,40.00,2200,2400,2300
2014,July,03,40.00,2200,2400,2300
2014,January,30,40.00,2200,2400,2300
2014,February,19,40.00,2300,2500,2400
2014,March,12,40.00,2300,2600,2400
2014,March,26,40.00,2450,2650,2550
2014,January,07,60.00,2100,2500,2300
2014,January,08,60.00,2100,2500,2300
2014,June,17,60.00,2200,2400,2300
2014,June,27,80.00,2200,2400,2300
2014,June,30,80.00,2200,2400,2300
2014,February,17,90.00,2300,2500,2400
2016,July,12,2.50,9000,10000,9500
2018,September,21,10.00,2350,2450,2400
2015,December,02,20.00,2000,2100,2050
2015,December,05,20.00,2000,2100,2050
2015,December,16,20.00,2000,2100,2050
2014,December,23,20.00,2000,2100,2050
2015,January,01,20.00,2000,2200,2100
2015,March,02,20.00,2000,2200,2100
2015,January,05,20.00,2000,2200,2100
2015,March,09,20.00,2000,2200,2100
2015,February,10,20.00,2000,2200,2100
2015,February,11,20.00,2000,2200,2100
2015,February,12,20.00,2000,2200,2100
2015,January,12,20.00,2000,2200,2100
2015,January,13,20.00,2000,2200,2100
2015,March,17,20.00,2000,2200,2100
2014,December,19,20.00,2000,2200,2100
2015,January,20,20.00,2000,2200,2100
2015,March,20,20.00,2000,2200,2100
2015,March,21,20.00,2000,2200,2100
2014,December,22,20.00,2000,2200,2100
2015,March,23,20.00,2000,2200,2100
2015,March,27,20.00,2000,2200,2100
2014,December,31,20.00,2000,2200,2100
2015,March,31,20.00,2000,2200,2100
2016,May,03,20.00,2100,2200,2150
2016,July,04,20.00,2100,2200,2150
2016,June,08,20.00,2100,2200,2150
2014,December,16,20.00,2100,2200,2150
2016,June,16,20.00,2100,2200,2150
2016,May,18,20.00,2100,2200,2150
2016,May,24,20.00,2100,2200,2150
2016,May,26,20.00,2100,2200,2150
2016,June,28,20.00,2100,2200,2150
2016,May,30,20.00,2100,2200,2150
2015,October,03,20.00,2100,2300,2200
2015,September,04,20.00,2100,2300,2200
2015,April,07,20.00,2100,2300,2200
2015,September,08,20.00,2100,2300,2200
2015,April,09,20.00,2100,2300,2200
2015,October,09,20.00,2100,2300,2200
2015,September,09,20.00,2100,2300,2200
2015,May,10,20.00,2100,2300,2200
2015,September,10,20.00,2100,2300,2200
2015,May,13,20.00,2100,2300,2200
2015,September,14,20.00,2100,2300,2200
2015,September,16,20.00,2100,2300,2200
2015,September,24,20.00,2100,2300,2200
2015,September,28,20.00,2100,2300,2200
2015,April,29,20.00,2100,2300,2200
2015,September,29,20.00,2100,2300,2200
2015,April,30,20.00,2100,2300,2200
2014,December,09,20.00,2100,2300,2250
2016,April,05,20.00,2150,2250,2200
2016,February,05,20.00,2150,2250,2200
2016,April,08,20.00,2150,2250,2200
2016,March,15,20.00,2150,2250,2200
2016,September,15,20.00,2150,2250,2200
2016,April,19,20.00,2150,2250,2200
2016,October,21,20.00,2150,2250,2200
2016,April,27,20.00,2150,2250,2200
2016,January,27,20.00,2150,2250,2200
2014,December,10,20.00,2200,2300,2250
2015,November,13,20.00,2200,2300,2250
2015,November,19,20.00,2200,2300,2250
2015,August,01,20.00,2200,2400,2300
2015,July,01,20.00,2200,2400,2300
2015,June,01,20.00,2200,2400,2300
2015,July,02,20.00,2200,2400,2300
2014,December,03,20.00,2200,2400,2300
2015,November,03,20.00,2200,2400,2300
2014,December,04,20.00,2200,2400,2300
2014,July,04,20.00,2200,2400,2300
2014,December,05,20.00,2200,2400,2300
2015,June,05,20.00,2200,2400,2300
2014,July,07,20.00,2200,2400,2300
2015,June,08,20.00,2200,2400,2300
2015,November,09,20.00,2200,2400,2300
2015,June,10,20.00,2200,2400,2300
2015,August,11,20.00,2200,2400,2300
2015,June,11,20.00,2200,2400,2300
2015,June,12,20.00,2200,2400,2300
2015,August,13,20.00,2200,2400,2300
2015,July,13,20.00,2200,2400,2300
2015,August,17,20.00,2200,2400,2300
2015,August,18,20.00,2200,2400,2300
2015,August,19,20.00,2200,2400,2300
2015,June,19,20.00,2200,2400,2300
2015,October,19,20.00,2200,2400,2300
2015,August,20,20.00,2200,2400,2300
2015,June,22,20.00,2200,2400,2300
2015,June,24,20.00,2200,2400,2300
2015,August,28,20.00,2200,2400,2300
2015,October,28,20.00,2200,2400,2300
2015,August,29,20.00,2200,2400,2300
2015,July,29,20.00,2200,2400,2300
2015,June,29,20.00,2200,2400,2300
2015,October,31,20.00,2200,2400,2300
2017,March,03,20.00,2250,2350,2300
2017,February,08,20.00,2250,2350,2300
2017,March,08,20.00,2250,2350,2300
2016,December,15,20.00,2250,2350,2300
2017,March,18,20.00,2250,2350,2300
2016,December,21,20.00,2250,2350,2300
2017,February,21,20.00,2250,2350,2300
2017,January,24,20.00,2250,2350,2300
2017,March,27,20.00,2250,2350,2300
2017,March,29,20.00,2250,2350,2300
2016,December,30,20.00,2250,2350,2300
2017,March,31,20.00,2250,2350,2300
2016,November,11,20.00,2250,2450,2350
2017,July,01,20.00,2300,2400,2350
2017,April,04,20.00,2300,2400,2350
2018,February,05,20.00,2300,2400,2350
2017,July,05,20.00,2300,2400,2350
2017,September,05,20.00,2300,2400,2350
2018,February,06,20.00,2300,2400,2350
2017,July,06,20.00,2300,2400,2350
2017,April,10,20.00,2300,2400,2350
2017,September,11,20.00,2300,2400,2350
2017,April,13,20.00,2300,2400,2350
2017,July,16,20.00,2300,2400,2350
2018,January,18,20.00,2300,2400,2350
2017,September,18,20.00,2300,2400,2350
2017,April,19,20.00,2300,2400,2350
2017,August,19,20.00,2300,2400,2350
2017,April,27,20.00,2300,2400,2350
2017,July,28,20.00,2300,2400,2350
2018,January,29,20.00,2300,2400,2350
2018,March,29,20.00,2300,2400,2350
2017,July,30,20.00,2300,2400,2350
2014,September,01,20.00,2300,2500,2400
2014,August,05,20.00,2300,2500,2400
2014,September,09,20.00,2300,2500,2400
2014,September,11,20.00,2300,2500,2400
2014,October,17,20.00,2300,2500,2400
2014,August,22,20.00,2300,2500,2400
2014,July,22,20.00,2300,2500,2400
2014,July,28,20.00,2300,2500,2400
2017,June,01,20.00,2350,2450,2400
2017,November,01,20.00,2350,2450,2400
2019,February,02,20.00,2350,2450,2400
2017,June,02,20.00,2350,2450,2400
2019,February,04,20.00,2350,2450,2400
2018,September,04,20.00,2350,2450,2400
2019,February,05,20.00,2350,2450,2400
2018,September,05,20.00,2350,2450,2400
2019,February,06,20.00,2350,2450,2400
2017,June,06,20.00,2350,2450,2400
2019,February,07,20.00,2350,2450,2400
2018,September,07,20.00,2350,2450,2400
2017,May,08,20.00,2350,2450,2400
2017,October,09,20.00,2350,2450,2400
2019,February,10,20.00,2350,2450,2400
2019,February,11,20.00,2350,2450,2400
2018,October,11,20.00,2350,2450,2400
2017,June,13,20.00,2350,2450,2400
2017,October,13,20.00,2350,2450,2400
2017,December,14,20.00,2350,2450,2400
2019,February,14,20.00,2350,2450,2400
2017,June,14,20.00,2350,2450,2400
2019,February,15,20.00,2350,2450,2400
2019,February,16,20.00,2350,2450,2400
2017,June,16,20.00,2350,2450,2400
2017,October,16,20.00,2350,2450,2400
2017,December,17,20.00,2350,2450,2400
2017,May,17,20.00,2350,2450,2400
2018,September,18,20.00,2350,2450,2400
2018,October,20,20.00,2350,2450,2400
2018,September,20,20.00,2350,2450,2400
2018,July,21,20.00,2350,2450,2400
2018,July,22,20.00,2350,2450,2400
2018,August,24,20.00,2350,2450,2400
2017,October,24,20.00,2350,2450,2400
2018,September,24,20.00,2350,2450,2400
2018,July,27,20.00,2350,2450,2400
2018,November,28,20.00,2350,2450,2400
2017,October,30,20.00,2350,2450,2400
2014,November,01,20.00,2350,2550,2450
2014,November,11,20.00,2350,2550,2450
2014,November,13,20.00,2350,2550,2450
2014,October,21,20.00,2350,2550,2450
2014,October,22,20.00,2350,2550,2450
2014,October,29,20.00,2350,2550,2450
2018,July,03,20.00,2400,2500,2450
2018,June,13,20.00,2400,2500,2450
2019,March,16,20.00,2400,2500,2450
2018,June,17,20.00,2400,2500,2450
2019,March,17,20.00,2400,2500,2450
2018,June,18,20.00,2400,2500,2450
2019,June,19,20.00,2400,2500,2450
2019,June,20,20.00,2400,2500,2450
2019,March,23,20.00,2400,2500,2450
2019,April,24,20.00,2400,2500,2450
2019,March,24,20.00,2400,2500,2450
2019,March,25,20.00,2400,2500,2450
2019,March,26,20.00,2400,2500,2450
2018,May,27,20.00,2400,2500,2450
2018,May,31,20.00,2400,2500,2450
2014,November,17,20.00,2400,2600,2500
2014,November,18,20.00,2400,2600,2500
2015,October,18,20.00,2600,3000,2800
2016,February,24,20.00,2600,3000,2800
2015,September,30,20.00,2600,3000,2800
2015,March,04,20.00,2600,3200,3000
2017,January,05,20.00,2600,3600,3100
2017,April,07,20.00,2600,3600,3100
2016,December,09,20.00,2600,3600,3100
2017,March,22,20.00,2600,3600,3100
2017,November,22,20.00,6000,7000,6500
2018,September,17,22.00,2350,2450,2400
2015,March,16,30.00,2000,2200,2100
2016,September,09,30.00,2150,2200,2200
2016,July,20,30.00,2150,2250,2200
2016,July,21,30.00,2150,2250,2200
2016,August,26,30.00,2150,2250,2200
2015,July,08,30.00,2200,2400,2300
2014,September,02,30.00,2300,2500,2400
2014,September,16,30.00,2300,2500,2400
2014,September,18,30.00,2300,2500,2400
2014,July,24,30.00,2300,2500,2400
2014,September,24,30.00,2300,2500,2400
2014,July,30,30.00,2300,2500,2400
2014,November,04,30.00,2350,2550,2450
2014,November,21,38.00,2350,2550,2450
2015,December,01,40.00,2000,2100,2050
2015,December,04,40.00,2000,2100,2050
2015,December,07,40.00,2000,2100,2050
2015,December,09,40.00,2000,2100,2050
2014,December,24,40.00,2000,2100,2050
2015,January,09,40.00,2000,2200,2100
2015,March,13,40.00,2000,2200,2100
2015,February,18,40.00,2000,2200,2100
2015,March,18,40.00,2000,2200,2100
2014,December,26,40.00,2000,2200,2100
2015,January,27,40.00,2000,2200,2100
2014,December,30,40.00,2000,2200,2100
2016,January,07,40.00,2050,2150,2100
2016,July,01,40.00,2100,2200,2150
2016,June,01,40.00,2100,2200,2150
2016,June,03,40.00,2100,2200,2150
2016,May,04,40.00,2100,2200,2150
2016,June,07,40.00,2100,2200,2150
2016,June,09,40.00,2100,2200,2150
2016,May,09,40.00,2100,2200,2150
2014,December,17,40.00,2100,2200,2150
2016,June,17,40.00,2100,2200,2150
2016,May,17,40.00,2100,2200,2150
2016,June,22,40.00,2100,2200,2150
2016,May,23,40.00,2100,2200,2150
2016,May,25,40.00,2100,2200,2150
2016,June,27,40.00,2100,2200,2150
2015,September,01,40.00,2100,2300,2200
2015,May,05,40.00,2100,2300,2200
2015,May,06,40.00,2100,2300,2200
2015,October,07,40.00,2100,2300,2200
2015,September,07,40.00,2100,2300,2200
2015,April,08,40.00,2100,2300,2200
2015,May,11,40.00,2100,2300,2200
2015,April,17,40.00,2100,2300,2200
2015,April,20,40.00,2100,2300,2200
2015,April,21,40.00,2100,2300,2200
2015,May,25,40.00,2100,2300,2200
2015,April,27,40.00,2100,2300,2200
2016,August,02,40.00,2150,2250,2200
2016,February,04,40.00,2150,2250,2200
2016,April,06,40.00,2150,2250,2200
2016,September,06,40.00,2150,2250,2200
2016,September,07,40.00,2150,2250,2200
2016,August,10,40.00,2150,2250,2200
2016,March,10,40.00,2150,2250,2200
