year,month,date,arrival,min,max,modal
2014,January,07,9.00,7000,7500,7250
2014,January,08,9.00,7000,7500,7250
2014,March,12,9.00,7000,7500,7250
2014,June,19,9.00,7000,7500,7250
2014,March,19,9.00,7000,7500,7250
2014,February,21,9.00,7000,7500,7250
2014,June,21,9.00,7000,7500,7250
2014,June,23,9.00,7000,7500,7250
2014,March,24,9.00,7000,7500,7250
2014,January,30,9.00,7000,7500,7250
2014,January,09,20.00,7000,7500,7250
2014,February,10,20.00,7000,7500,7250
2014,June,17,20.00,7000,7500,7250
2014,June,18,20.00,7000,7500,7250
2014,February,19,20.00,7000,7500,7250
2014,June,20,20.00,7000,7500,7250
2014,June,26,20.00,7000,7500,7250
2014,March,26,20.00,7000,7600,7300
2014,July,03,20.00,7000,7800,7400
2014,July,01,25.00,6500,8500,7500
2014,July,02,40.00,7000,7500,7250
2014,February,17,40.00,7000,7500,7250
2014,June,27,60.00,7000,7500,7250
2014,June,30,60.00,7000,7500,7250
