year,month,date,arrival,min,max,modal
2014,February,19,9.00,1500,1700,1600
2014,January,07,18.00,1800,2000,1900
2014,January,08,18.00,1800,2000,1900
2014,January,09,18.00,1800,2000,1900
2014,March,13,20.00,1100,1300,1200
2014,March,12,20.00,1400,1600,1500
2014,February,20,20.00,1500,1700,1600
2014,March,26,20.00,1500,1700,1600
2014,March,18,20.00,1600,1800,1700
2014,March,19,20.00,1600,1800,1700
2014,March,24,20.00,1600,1800,1700
2014,January,30,20.00,1600,1800,1700
2014,February,17,50.00,1500,1700,1600
2022,April,18,6.50,1800,2400,2150
2022,April,29,40.00,1500,1600,1550
2015,June,25,10.00,5300,5500,5400
