year,month,date,arrival,min,max,modal
2014,February,19,18.00,1000,1200,1100
2014,February,20,18.00,1000,1200,1100
2014,January,07,18.00,1600,1800,1700
2014,January,08,18.00,1600,1800,1700
2014,March,12,20.00,1000,1200,1100
2014,March,19,20.00,1000,1200,1100
2014,March,24,20.00,1000,1200,1100
2014,March,18,20.00,1200,1300,1250
2014,February,10,20.00,1300,1500,1400
2014,March,26,20.00,1300,1500,1400
2014,January,30,20.00,1300,1500,1400
2014,January,09,20.00,1600,1800,1700
2014,March,13,30.00,900,1100,1000
2014,February,21,40.00,1000,1100,1050
2014,February,17,80.00,1000,1200,1100
