year,month,date,arrival,min,max,modal
2016,April,22,0.10,2500,2800,2570
2016,April,23,0.10,2500,2800,2570
2016,April,20,1.20,2500,2800,2570
2016,April,21,1.20,2500,2800,2570
2016,April,28,1.40,2500,2800,2570
2016,December,18,1.50,2800,6000,4000
2016,July,27,2.00,2400,6000,4000
2016,November,04,2.00,2600,6000,4000
2016,October,12,2.00,2600,6000,4000
2016,October,17,2.00,2600,6000,4000
2016,October,24,2.00,2600,6000,4000
2016,July,20,2.20,2400,6000,4000
2016,September,04,2.50,2400,6000,4000
2016,September,11,2.50,2400,6000,4000
2016,August,12,2.50,2400,6000,4000
2016,August,14,2.50,2400,6000,4000
2016,September,14,2.50,2400,6000,4000
2016,September,18,2.50,2400,6000,4000
2016,September,21,2.50,2400,6000,4000
2016,October,23,2.50,2400,6000,4000
2016,August,25,2.50,2400,6000,4000
2016,September,25,2.50,2400,6000,4000
2016,August,28,2.50,2400,6000,4000
2016,July,28,2.50,2400,6000,4000
2016,September,28,2.50,2400,6000,4000
2016,July,29,2.50,2400,6000,4000
2016,December,02,2.50,2600,6000,4000
2016,November,06,2.50,2600,6000,4000
2016,October,06,2.50,2600,6000,4000
2016,November,07,2.50,2600,6000,4000
2016,October,09,2.50,2600,6000,4000
2016,November,10,2.50,2600,6000,4000
2016,October,13,2.50,2600,6000,4000
2016,November,14,2.50,2600,6000,4000
2016,November,15,2.50,2600,6000,4000
2016,October,16,2.50,2600,6000,4000
2016,October,26,2.50,2600,6000,4000
2016,November,28,2.50,2600,6000,4000
2016,December,12,2.50,2800,6000,4000
2016,December,14,2.50,2800,6000,4000
2016,December,15,2.50,2800,6000,4000
2016,December,20,2.50,2800,6000,4000
2016,December,24,2.50,2800,6000,4000
2016,December,28,2.50,2800,6000,4000
2016,September,05,3.00,2400,6000,4000
2016,July,08,3.00,2400,6000,4000
2016,September,12,3.00,2400,6000,4000
2016,August,13,3.00,2400,6000,4000
2016,September,19,3.00,2400,6000,4000
2016,September,22,3.00,2400,6000,4000
2016,August,26,3.00,2400,6000,4000
2016,September,26,3.00,2400,6000,4000
2016,October,14,3.00,2600,3500,3000
2016,December,01,3.00,2600,6000,4000
2016,November,01,3.00,2600,6000,4000
2016,November,03,3.00,2600,6000,4000
2016,October,07,3.00,2600,6000,4000
2016,November,08,3.00,2600,6000,4000
2016,October,08,3.00,2600,6000,4000
2016,October,10,3.00,2600,6000,4000
2016,November,11,3.00,2600,6000,4000
2016,November,12,3.00,2600,6000,4000
2016,October,15,3.00,2600,6000,4000
2016,November,16,3.00,2600,6000,4000
2016,November,17,3.00,2600,6000,4000
2016,November,21,3.00,2600,6000,4000
2016,October,21,3.00,2600,6000,4000
2016,October,22,3.00,2600,6000,4000
2016,October,25,3.00,2600,6000,4000
2016,November,27,3.00,2600,6000,4000
2016,October,28,3.00,2600,6000,4000
2016,December,04,3.00,2800,6000,4000
2016,December,06,3.00,2800,6000,4000
2016,December,08,3.00,2800,6000,4000
2016,December,10,3.00,2800,6000,4000
2016,December,13,3.00,2800,6000,4000
2016,December,16,3.00,2800,6000,4000
2016,December,17,3.00,2800,6000,4000
2016,December,25,3.00,2800,6000,4000
2016,December,27,3.00,2800,6000,4000
2016,September,23,3.50,2400,6000,4000
2016,August,27,3.50,2400,6000,4000
2016,September,27,3.50,2400,6000,4000
2016,November,05,3.50,2600,6000,4000
2016,November,22,3.50,2600,6000,4000
2016,November,29,3.50,2600,6000,4000
2016,December,09,3.50,2800,6000,4000
2014,September,20,4.00,1750,1900,1800
2014,September,25,4.00,1800,1900,1850
2014,October,15,4.00,1800,1950,1900
2016,September,03,4.00,2400,6000,4000
2016,September,06,4.00,2400,6000,4000
2016,September,10,4.00,2400,6000,4000
2016,September,16,4.00,2400,6000,4000
2016,September,24,4.00,2400,6000,4000
2016,October,03,4.00,2600,6000,4000
2016,November,19,4.00,2600,6000,4000
2016,November,26,4.00,2600,6000,4000
2014,September,22,4.50,1750,1900,1800
2014,October,17,5.00,1800,1950,1900
2014,October,16,5.50,1800,1950,1900
2014,September,16,8.00,1700,1725,1700
2015,January,02,8.00,1800,1950,1900
2015,January,03,8.00,1800,2000,1950
2016,January,06,8.00,2200,2400,2250
2014,December,23,8.50,1800,2000,1950
2015,February,06,9.00,1800,2000,1950
2015,February,11,9.00,1800,2000,1950
2014,December,22,9.00,1800,2000,1950
2015,December,06,9.00,2100,2200,2150
2015,November,25,9.00,2100,2200,2150
2015,November,30,9.00,2100,2200,2150
2016,January,01,9.00,2200,2400,2250
2016,January,03,9.00,2200,2400,2250
2016,January,07,9.00,2200,2400,2250
2016,January,17,9.00,2200,2400,2250
2015,December,21,9.00,2200,2400,2250
2016,January,22,9.00,2200,2400,2250
2016,January,23,9.00,2200,2400,2250
2016,February,03,9.50,2200,2400,2250
2016,January,21,9.90,2200,2400,2250
2014,September,12,10.00,1750,1900,1800
2014,October,21,10.00,1800,1950,1900
2014,November,05,10.00,1900,2000,1950
2015,August,29,10.00,2000,2050,2000
2014,November,10,10.00,2000,2100,2050
2016,February,24,10.00,2000,2200,2080
2016,March,02,10.00,2000,2200,2100
2015,December,09,10.00,2100,2200,2150
2015,December,11,10.00,2100,2200,2150
2015,November,15,10.00,2100,2200,2150
2015,November,19,10.00,2100,2200,2150
2015,November,27,10.00,2100,2200,2150
2015,December,23,10.00,2200,2400,2250
2016,January,24,10.00,2200,2400,2250
2015,December,28,10.00,2200,2400,2250
2015,February,05,10.50,1800,2000,1950
2015,February,18,10.50,1800,2000,1950
2014,December,20,10.50,1800,2000,1950
2015,January,29,10.50,1800,2000,1950
2015,January,30,10.50,1800,2000,1950
2016,February,28,10.50,2000,2200,2080
2015,December,18,10.50,2100,2200,2150
2015,November,26,10.50,2100,2200,2150
2015,November,28,10.50,2100,2200,2150
2015,December,25,10.50,2200,2400,2250
2016,January,31,10.50,2200,2400,2250
2014,December,18,10.80,1800,2000,1950
2014,December,19,11.00,1850,2000,2000
2015,September,10,11.00,2000,2150,2050
2016,February,16,11.00,2000,2200,2080
2016,February,26,11.00,2000,2200,2080
