year,month,date,arrival,min,max,modal
2017,January,05,40.00,2200,2800,2500
2019,January,04,40.00,2250,2500,2350
2016,November,11,40.00,2600,3500,3000
2016,October,11,50.00,2600,3500,3000
2019,September,03,60.00,2400,3200,2800
2016,September,19,60.00,2500,3500,3000
2018,May,29,70.00,2150,2850,2500
2017,August,08,75.00,2500,3050,2600
2018,June,13,90.00,2150,2850,2500
2018,June,26,90.00,2150,2850,2500
2016,October,08,90.00,2600,3500,3000
2016,January,02,115.00,2950,3200,2980
2015,December,15,140.00,2950,3200,2980
2014,August,19,150.00,2900,3050,3000
2015,December,29,160.00,2950,3200,2980
2016,February,02,180.00,2900,3200,2950
2015,November,23,190.00,2950,3200,2980
2016,April,01,200.00,2900,3200,2950
2015,November,02,235.00,2950,3200,2980
2014,September,16,100.00,2300,3000,2800
2015,August,10,240.00,2850,3100,2950
2018,June,06,50.00,2150,2850,2500
2016,December,20,50.00,2500,2900,2800
2016,October,24,60.00,2600,3500,3000
2018,July,12,65.00,2150,2850,2500
2018,May,19,70.00,2150,2850,2500
2019,October,11,70.00,2400,3200,2800
2016,September,27,70.00,2500,3500,3000
2016,October,21,70.00,2600,3500,3000
2018,May,28,80.00,2150,2850,2500
2018,September,14,80.00,2150,2900,2500
2016,August,14,80.00,2400,3200,2800
2014,August,13,100.00,2950,3050,3000
2014,November,11,140.00,2640,2950,2850
2014,September,09,160.00,3000,3250,3150
2016,March,20,180.00,2500,2800,2600
2015,December,08,225.00,2950,3200,2980
2015,July,02,200.00,2450,3150,2700
2015,June,06,210.00,2400,3050,2650
2015,July,13,230.00,2450,3150,2700
2015,September,18,230.00,2950,3200,2980
2015,May,02,240.00,2300,2950,2550
2015,June,01,250.00,2400,3050,2650
2015,April,18,260.00,2300,2950,2550
2019,July,11,1.00,2000,2500,2300
2016,November,27,50.00,2600,3500,3000
2018,July,27,60.00,2150,2850,2500
2018,August,09,60.00,2150,2850,2800
2016,December,05,60.00,2500,2900,2800
2016,September,21,60.00,2500,3500,3000
2019,August,21,70.00,2400,3200,2800
2019,September,02,80.00,2400,3250,2800
2016,January,24,90.00,2900,3200,2950
2016,August,27,100.00,2400,3200,2800
2014,August,06,120.00,2600,2750,2620
2015,December,18,120.00,2950,3200,2980
2016,January,22,130.00,2900,3200,2950
2016,February,16,140.00,2900,3200,2950
2015,December,10,150.00,2950,3200,2980
2015,December,06,160.00,2950,3200,2980
2016,March,10,170.00,2200,2800,2500
2015,December,22,170.00,2950,3200,2980
2016,March,25,190.00,2500,2800,2600
2015,November,22,200.00,2950,3200,2980
2015,November,03,210.00,2950,3200,2980
2014,December,30,170.00,2300,2700,2550
2014,December,19,200.00,2300,2850,2700
2015,September,09,205.00,2950,3200,2980
2015,July,22,230.00,2450,3150,2700
2015,April,17,260.00,2300,2950,2550
2018,October,06,50.00,2200,2450,2250
2016,October,12,50.00,2600,3500,3000
2016,November,14,50.00,2600,3500,3000
2018,July,03,60.00,2150,2850,2500
2016,November,21,60.00,2600,3500,3000
2018,August,03,70.00,2150,2850,2500
2018,September,06,70.00,2150,2900,2500
2019,July,20,70.00,2200,3400,2700
2019,September,16,80.00,2400,3200,2800
2016,November,29,80.00,2600,3500,3000
2014,August,07,100.00,2600,2750,2620
2014,August,30,100.00,2900,3050,3000
2016,January,04,120.00,2950,3200,2980
2015,December,28,120.00,2950,3200,2980
2015,December,27,125.00,2950,3200,2980
2015,December,24,135.00,2950,3200,2980
2016,January,23,140.00,2900,3200,2950
2014,September,02,150.00,2950,3100,3050
2015,January,03,160.00,2300,2700,2550
2015,December,11,165.00,2950,3200,2980
2015,November,13,185.00,2950,3200,2980
2015,December,12,190.00,2950,3200,2980
2015,November,28,190.00,2950,3200,2980
2015,December,01,200.00,2950,3200,2980
2015,October,17,220.00,2950,3200,2980
2016,June,08,240.00,2500,3000,2700
2016,June,11,240.00,2500,3000,2700
2017,November,08,40.00,2200,2800,2500
2015,May,12,25.00,2400,2950,2650
2015,July,03,240.00,2450,3150,2700
2015,August,11,250.00,2850,3100,2950
2015,October,09,255.00,2950,3200,2980
