year,month,date,arrival,min,max,modal
2018,June,27,0.10,1450,1600,1500
2017,September,01,1.50,2450,2800,2600
2018,May,23,2.50,1400,1600,1500
2018,July,04,2.50,1450,1600,1500
2018,June,25,2.50,1450,1600,1500
2018,July,03,2.50,1450,1700,1500
2018,May,24,2.50,1600,1800,1650
2017,July,20,3.00,1150,1300,1200
2018,May,10,3.00,1400,1600,1500
2018,June,07,3.00,1450,1600,1500
2018,June,18,3.00,1450,1600,1500
2018,May,28,3.00,1450,1600,1500
2018,June,06,3.00,1450,1650,1500
2018,July,12,3.50,1450,1600,1500
2018,June,22,3.50,1450,1600,1500
2018,June,11,4.00,1450,1600,1500
2018,June,26,4.00,1450,1600,1500
2018,May,29,4.00,1450,1600,1500
2018,June,13,4.50,1450,1600,1500
2018,June,21,4.50,1450,1600,1500
2018,June,02,5.00,1450,1600,1500
2018,May,11,5.00,1450,1600,1500
2018,May,19,5.00,1450,1600,1500
2018,September,07,0.10,1600,1700,1650
2022,April,26,0.70,1700,1800,1700
2022,April,20,1.00,1500,1800,1600
2022,May,19,1.00,1650,1750,1650
2022,March,16,1.00,2000,3000,2500
2017,August,18,1.00,2800,3000,2900
2017,August,29,1.00,2800,3200,3000
2022,May,21,1.20,1600,1700,1650
2022,April,28,1.50,1450,1650,1500
2022,May,12,1.50,1600,2000,1800
2017,September,04,1.50,2500,3000,2550
2017,August,30,1.50,2800,3200,3000
2017,September,05,1.50,2950,3200,3000
2022,May,24,1.60,1600,1700,1650
2022,April,08,1.70,1450,1550,1500
2022,April,18,1.80,1600,1700,1650
2022,April,11,2.00,1400,1500,1450
2018,September,11,2.00,1600,1700,1650
2018,September,12,2.00,1600,1700,1650
2017,August,04,2.00,1650,1850,1750
2017,August,25,2.00,2900,3200,3000
2017,July,25,2.50,1150,1300,1200
2017,July,28,2.50,1150,1300,1200
2018,August,03,2.50,1450,1600,1500
2018,July,19,2.50,1450,1600,1500
2018,August,09,2.50,1500,1700,1600
2018,August,10,2.50,1500,1700,1600
2018,September,06,2.50,1600,1800,1650
2018,October,01,2.50,1600,1900,1700
2018,September,13,2.50,1610,1900,1700
2018,September,14,2.50,1610,1900,1700
2017,December,14,2.50,5100,5300,5200
2017,July,21,3.00,1150,1300,1200
2017,July,26,3.00,1150,1300,1200
2018,July,11,3.00,1450,1600,1500
2018,July,13,3.00,1450,1600,1500
2018,September,18,3.00,1610,1910,1700
2018,December,03,3.00,1650,1800,1700
2017,November,20,3.00,3800,4000,3900
2017,November,08,3.00,3800,4200,4000
2017,November,06,3.00,3800,4500,4100
2017,July,29,3.50,1150,1300,1200
2018,July,27,3.50,1450,1600,1500
2018,August,02,3.50,1500,1700,1600
2018,August,08,3.50,1500,1700,1600
2018,August,04,4.00,1500,1700,1600
2017,November,05,4.00,3800,4400,4000
2017,November,30,4.00,4800,5000,4900
2018,June,19,4.50,1450,1600,1500
2019,January,04,5.00,1400,1700,1450
2018,December,07,5.00,1450,1800,1500
2018,October,06,5.00,1600,1900,1700
2017,November,28,5.00,5500,5700,5600
2017,November,14,6.00,3800,4100,4000
2017,November,07,7.50,3500,4000,3600
2022,April,29,15.00,1500,1800,1600
2017,April,14,0.30,1100,1200,1150
2016,April,21,0.30,1300,1500,1400
2016,April,22,0.30,1300,1500,1400
2016,March,26,0.40,1100,1400,1200
2016,April,23,0.40,1300,1500,1400
2015,June,01,1.50,1500,2350,1700
2017,June,05,2.00,650,800,700
2017,April,23,2.00,1100,1200,1150
2017,April,27,2.00,1100,1200,1150
2017,May,05,2.00,1150,1300,1200
2017,June,14,2.00,1200,1300,1250
2016,November,11,2.00,1300,1700,1400
2017,January,18,2.00,1400,1600,1500
2017,January,27,2.00,1400,1600,1500
2017,January,30,2.00,1400,1600,1500
2016,July,20,2.00,1500,2000,1800
2015,December,21,2.00,2200,2300,2250
2014,August,11,2.00,2800,3000,2900
2014,August,12,2.00,3100,3350,3200
2017,April,06,2.50,1100,1200,1150
2017,April,17,2.50,1100,1200,1150
2017,April,20,2.50,1100,1200,1150
2017,April,21,2.50,1100,1200,1150
2017,April,22,2.50,1100,1200,1150
2017,April,26,2.50,1100,1200,1150
2017,April,28,2.50,1100,1200,1150
2017,April,30,2.50,1100,1200,1150
2017,April,16,2.50,1150,1200,1150
2017,May,03,2.50,1150,1300,1200
2017,May,04,2.50,1150,1300,1200
2017,May,07,2.50,1150,1300,1200
2017,May,10,2.50,1150,1300,1200
2017,May,11,2.50,1150,1300,1200
2017,May,13,2.50,1150,1300,1200
2017,May,14,2.50,1150,1300,1200
2017,May,17,2.50,1150,1300,1200
2017,May,18,2.50,1150,1300,1200
2017,May,19,2.50,1150,1300,1200
2017,May,21,2.50,1150,1300,1200
2017,May,23,2.50,1150,1300,1200
2017,May,24,2.50,1150,1300,1200
2017,May,25,2.50,1150,1300,1200
2017,March,01,2.50,1200,1300,1250
2017,April,02,2.50,1200,1300,1250
2017,June,04,2.50,1200,1300,1250
2017,April,05,2.50,1200,1300,1250
2017,March,06,2.50,1200,1300,1250
2017,March,09,2.50,1200,1300,1250
2017,March,12,2.50,1200,1300,1250
2017,March,15,2.50,1200,1300,1250
2017,March,18,2.50,1200,1300,1250
2017,March,19,2.50,1200,1300,1250
2017,March,22,2.50,1200,1300,1250
2017,March,23,2.50,1200,1300,1250
2017,March,24,2.50,1200,1300,1250
2017,March,26,2.50,1200,1300,1250
2017,March,27,2.50,1200,1300,1250
2017,March,29,2.50,1200,1300,1250
2017,February,01,2.50,1300,1400,1350
2017,February,02,2.50,1300,1400,1350
2017,February,12,2.50,1300,1400,1350
2017,February,15,2.50,1300,1400,1350
2017,February,17,2.50,1300,1400,1350
2017,February,19,2.50,1300,1400,1350
2017,February,22,2.50,1300,1400,1350
2017,February,23,2.50,1300,1400,1350
2017,February,27,2.50,1300,1400,1350
2016,November,14,2.50,1300,1700,1400
2017,January,04,2.50,1400,1600,1500
2017,January,08,2.50,1400,1600,1500
2017,January,09,2.50,1400,1600,1500
2017,January,11,2.50,1400,1600,1500
2017,January,12,2.50,1400,1600,1500
2017,January,15,2.50,1400,1600,1500
2017,January,16,2.50,1400,1600,1500
2017,January,17,2.50,1400,1600,1500
2017,January,19,2.50,1400,1600,1500
2017,January,20,2.50,1400,1600,1500
2017,January,22,2.50,1400,1600,1500
2017,January,23,2.50,1400,1600,1500
2017,January,25,2.50,1400,1600,1500
2017,January,29,2.50,1400,1600,1500
2016,July,27,2.50,1500,2000,1800
2016,July,28,2.50,1500,2000,1800
2016,July,29,2.50,1500,2000,1800
2016,October,10,2.50,1600,1800,1700
2016,October,11,2.50,1600,1800,1700
2016,October,12,2.50,1600,1800,1700
2016,October,16,2.50,1600,1800,1700
2016,October,17,2.50,1600,1800,1700
2016,October,23,2.50,1600,1800,1700
2016,October,24,2.50,1600,1800,1700
2016,October,26,2.50,1600,1800,1700
2016,December,08,2.50,1600,1850,1800
2016,December,15,2.50,1600,1850,1800
2016,December,18,2.50,1600,1850,1800
2016,December,28,2.50,1600,1850,1800
2016,August,12,2.50,1600,2000,1650
2016,August,14,2.50,1600,2000,1650
2016,September,04,2.50,1600,2000,1700
2016,September,28,2.50,1600,2000,1700
2016,January,01,2.50,2200,2300,2250
2016,January,06,2.50,2200,2300,2250
2015,December,23,2.50,2200,2300,2250
2015,December,24,2.50,2200,2300,2250
2015,December,25,2.50,2200,2300,2250
2015,December,28,2.50,2200,2300,2250
2015,December,30,2.50,2200,2300,2250
2015,December,18,2.50,3000,4000,3200
2015,November,30,2.50,3000,4000,3200
2015,November,20,2.50,3000,4000,3500
2014,August,13,2.50,3100,3350,3200
2014,October,16,2.50,3250,3450,3300
2015,November,04,2.50,5000,6000,5500
2015,October,27,2.50,5000,6000,5500
2017,April,07,3.00,1100,1200,1150
2017,April,13,3.00,1100,1200,1150
2017,April,18,3.00,1100,1200,1150
2017,April,24,3.00,1100,1200,1150
2017,April,25,3.00,1100,1200,1150
2017,April,29,3.00,1100,1200,1150
2017,May,02,3.00,1150,1300,1200
2017,May,06,3.00,1150,1300,1200
2017,May,08,3.00,1150,1300,1200
2017,May,15,3.00,1150,1300,1200
2017,May,22,3.00,1150,1300,1200
2017,March,02,3.00,1200,1300,1250
2017,April,03,3.00,1200,1300,1250
2017,March,03,3.00,1200,1300,1250
2017,April,04,3.00,1200,1300,1250
2016,May,04,3.00,1200,1300,1250
2017,March,05,3.00,1200,1300,1250
2017,March,08,3.00,1200,1300,1250
2016,May,11,3.00,1200,1300,1250
2017,March,16,3.00,1200,1300,1250
2016,May,18,3.00,1200,1300,1250
2017,March,20,3.00,1200,1300,1250
2017,June,27,3.00,1200,1300,1250
2017,March,28,3.00,1200,1300,1250
2017,March,30,3.00,1200,1300,1250
2017,March,31,3.00,1200,1300,1250
2017,June,09,3.00,1200,3600,1250
2017,February,05,3.00,1300,1400,1350
2017,February,08,3.00,1300,1400,1350
2017,February,13,3.00,1300,1400,1350
2017,February,16,3.00,1300,1400,1350
2017,February,20,3.00,1300,1400,1350
2016,April,02,3.00,1300,1500,1400
2016,April,20,3.00,1300,1500,1400
2016,March,23,3.00,1300,1500,1400
2016,April,24,3.00,1300,1500,1400
2016,March,27,3.00,1300,1500,1400
2016,December,01,3.00,1300,1700,1400
2016,December,02,3.00,1300,1700,1400
2016,November,03,3.00,1300,1700,1400
2016,November,04,3.00,1300,1700,1400
2016,November,06,3.00,1300,1700,1400
2016,November,07,3.00,1300,1700,1400
2016,November,10,3.00,1300,1700,1400
2016,November,12,3.00,1300,1700,1400
2016,November,15,3.00,1300,1700,1400
2016,November,16,3.00,1300,1700,1400
2016,November,17,3.00,1300,1700,1400
2016,November,21,3.00,1300,1700,1400
2016,November,28,3.00,1300,1700,1400
2017,January,02,3.00,1400,1600,1500
2017,January,05,3.00,1400,1600,1500
2017,January,06,3.00,1400,1600,1500
2017,January,10,3.00,1400,1600,1500
2017,January,13,3.00,1400,1600,1500
2017,January,14,3.00,1400,1600,1500
2017,January,21,3.00,1400,1600,1500
2017,January,24,3.00,1400,1600,1500
2017,January,28,3.00,1400,1600,1500
2016,June,12,3.00,1500,2000,1800
2016,June,13,3.00,1500,2000,1800
2016,October,06,3.00,1600,1800,1700
2016,October,08,3.00,1600,1800,1700
2016,October,13,3.00,1600,1800,1700
2016,October,14,3.00,1600,1800,1700
2016,October,21,3.00,1600,1800,1700
2016,December,04,3.00,1600,1850,1800
2016,December,05,3.00,1600,1850,1800
2016,December,09,3.00,1600,1850,1800
2016,December,11,3.00,1600,1850,1800
2016,December,12,3.00,1600,1850,1800
