year,month,date,arrival,min,max,modal
2017,April,17,0.30,500,700,600
2017,April,05,0.30,550,800,600
2017,April,08,0.40,500,700,600
2017,April,12,0.40,500,700,600
2017,June,17,0.40,600,800,700
2016,March,02,1.10,800,1000,850
2014,August,30,1.20,2250,2500,2300
2017,April,10,2.50,500,700,600
2017,June,18,2.50,600,800,700
2017,May,23,2.50,600,800,700
2017,June,05,2.50,650,800,700
2017,February,01,2.50,700,800,750
2017,February,02,2.50,700,800,750
2017,June,22,2.50,800,900,850
2017,April,06,3.00,500,700,600
2017,April,09,3.00,500,700,600
2017,April,20,3.00,500,700,600
2017,April,21,3.00,500,700,600
2017,April,22,3.00,500,700,600
2017,April,23,3.00,500,700,600
2017,April,26,3.00,500,700,600
2017,April,27,3.00,500,700,600
2017,April,28,3.00,500,700,600
2017,April,30,3.00,500,700,600
2017,March,01,3.00,550,800,600
2017,April,02,3.00,550,800,600
2017,April,03,3.00,550,800,600
2017,March,06,3.00,550,800,600
2017,March,09,3.00,550,800,600
2017,March,15,3.00,550,800,600
2017,March,18,3.00,550,800,600
2017,March,19,3.00,550,800,600
2017,March,22,3.00,550,800,600
2017,March,23,3.00,550,800,600
2017,March,27,3.00,550,800,600
2017,May,03,3.00,600,800,700
2017,May,04,3.00,600,800,700
2017,May,07,3.00,600,800,700
2017,May,10,3.00,600,800,700
2017,May,11,3.00,600,800,700
2017,June,14,3.00,600,800,700
2017,May,14,3.00,600,800,700
2017,June,15,3.00,600,800,700
2017,May,17,3.00,600,800,700
2017,May,18,3.00,600,800,700
2017,June,19,3.00,600,800,700
2017,May,19,3.00,600,800,700
2017,May,21,3.00,600,800,700
2017,May,24,3.00,600,800,700
2017,May,25,3.00,600,800,700
2017,May,26,3.00,600,800,700
2017,May,29,3.00,600,800,700
2017,June,04,3.00,650,800,700
2017,February,19,3.00,700,800,750
2017,February,22,3.00,700,800,750
2017,February,23,3.00,700,800,750
2017,January,04,3.00,800,900,850
2017,January,08,3.00,800,900,850
2017,January,09,3.00,800,900,850
2017,January,11,3.00,800,900,850
2017,January,15,3.00,800,900,850
2017,January,16,3.00,800,900,850
2017,January,22,3.00,800,900,850
2017,January,23,3.00,800,900,850
2017,June,23,3.00,800,900,850
2017,June,24,3.00,800,900,850
2017,June,25,3.00,800,900,850
2017,January,27,3.00,800,900,850
2016,December,08,3.00,800,1800,1300
2016,December,15,3.00,800,1800,1300
2016,December,18,3.00,800,1800,1300
2016,December,28,3.00,800,1800,1300
2016,October,10,3.00,1600,1800,1700
2016,November,11,3.00,1600,2000,1800
2016,October,11,3.00,1600,2000,1800
2016,October,12,3.00,1600,2000,1800
2016,October,16,3.00,1600,2000,1800
2016,October,23,3.00,1600,2000,1800
2016,October,24,3.00,1600,2000,1800
2016,July,20,3.00,1700,2000,1900
2016,July,27,3.00,1700,2000,1900
2016,July,28,3.00,1700,2000,1900
2016,September,04,3.00,1800,2000,1850
2016,September,28,3.00,1800,2000,1850
